id,合成品名称,合成品ID,背包显示排序,子类顺序,配方类别（0常用，1战斗，2生产，4建筑，6机械，7出现在食谱内，8出现在烹饪台内。填两个表示同时显示到两个分类里）,子类(填的是crafting的id),"插件编辑（大于0开放插件编辑，1：常用,2:装备,3:道具,4:材料,5:建筑,6:装饰,7:机械；填两个表示同时显示到两个分类里",插件编辑模板[0=不是模板，1=作为模板],英文名称,海外开放,必填/插件用,合成品数量,消耗经验,解锁等级(默认是1）,横占格（填3）,竖占格（填3）,组（0不为组1为组，例如木板通用）（关联Itemdef的ItemGroup）,是否随身合成（11616钛金锤（曾经是需要工具箱0，程序特殊处理了），11000空手（曾经是不需要工具箱1，程序特殊处理了），800不完整工匠台，797完整工匠台，794石锅，795烹饪台，150029融合台，201011烘焙箱）,烹饪时长（制作一份所需要的标准时长，单位tick，20tick=1s）,1格材料ID,1格材料数量,1格保留容器ID,2格材料ID,2格材料数量,2格保留容器ID,3格材料ID,3格材料数量,3格保留容器ID,4格材料ID,4格材料数量,4格保留容器ID,5格材料ID,5格材料数量,5格保留容器ID,6格材料ID,6格材料数量,6格保留容器ID,7格材料ID,7格材料数量,7格保留容器ID,8格材料ID,8格材料数量,8格保留容器ID,9格材料ID,9格材料数量,9格保留容器ID,货币ID,货币数量,分数,野人合成检测开关（0需要合成；1不需要合成）,标签
338,扳手,11070,1426,[1],"[6,6]","[21542,21543]","[3,7]",,Wrench,,Wrench,1,2,,3,3,0,797,0,11209,1,,11210,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
339,风铃花种子,431,1428,[10],[2],[21573],[4],,BellflowersSeed,,BellflowersSeed,2,4,,3,3,0,797,0,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
340,若兰花种子,432,1429,[10],[2],[21573],[4],,RuolanSeed,,RuolanSeed,2,4,,3,3,0,797,0,301,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
341,星辰花种子,433,1430,[10],[2],[21573],[4],,StarFlowerSeed,,StarFlowerSeed,2,4,,3,3,0,797,0,302,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
342,龙血花种子,434,1431,[10],[2],[21573],[4],,DragonFlowerSeed,,DragonFlowerSeed,2,4,,3,3,0,797,0,303,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
343,风信子种子,435,1432,[10],[2],[21573],[4],,HyacinthSeed,,HyacinthSeed,2,4,,3,3,0,797,0,304,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
344,龙爪草种子,436,1433,[10],[2],[21573],[4],,DragonGrassSeed,,DragonGrassSeed,2,4,,3,3,0,797,0,305,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
345,龙血树种子,437,1434,[10],[2],[21573],[4],,DragonTreeSeed,,DragonTreeSeed,2,4,,3,3,0,797,0,306,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
346,红色龙舌兰种子,438,1435,[10],[2],[21573],[4],,RedMagueySeed,,RedMagueySeed,2,4,,3,3,0,797,0,307,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
347,橙色龙舌兰种子,439,1436,[10],[2],[21573],[4],,OrangeMagueySeed,,OrangeMagueySeed,2,4,,3,3,0,797,0,308,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
348,灰色龙舌兰种子,440,1437,[10],[2],[21573],[4],,GreyMagueySeed,,GreyMagueySeed,2,4,,3,3,0,797,0,309,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
349,粉色龙舌兰种子,441,1438,[10],[2],[21573],[4],,PinkMagueySeed,,PinkMagueySeed,2,4,,3,3,0,797,0,310,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
350,白椰花种子,442,1439,[10],[2],[21573],[4],,WhiteFlowerSeed,,WhiteFlowerSeed,2,4,,3,3,0,797,0,311,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
351,黄钟花种子,443,1440,[10],[2],[21573],[4],,YellowFlowerSeed,,YellowFlowerSeed,2,4,,3,3,0,797,0,312,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
352,野蔷薇种子,444,1441,[10],[2],[21573],[4],,RosebushSeed,,RosebushSeed,2,4,,3,3,0,797,0,313,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
354,彩蛋,12248,1443,,[1],[21551],[3],,BigPaintedEgg,,BigPaintedEgg,10,1,,3,3,0,797,0,12053,10,,11506,1,,11504,1,,11509,1,,,,,,,,,,,,,,,,,,,0.1,,
355,小彩蛋,12240,1444,,[1],[21551],[3],,PaintedEgg,,PaintedEgg,10,1,,3,3,0,797,0,12052,10,,11514,1,,11504,1,,11503,1,,,,,,,,,,,,,,,,,,,0.1,,
356,感应方块,1032,1446,,[6],[21543],[7],,SensorCube,,SensorCube,1,2,,3,3,0,797,0,11664,1,,11210,1,,12755,2,,,,,,,,,,,,,,,,,,,,,,0.1,,
357,星能算法器,387,1447,,[6],[21543],[7],,Calculator,,Calculator,1,2,,3,3,0,797,0,11664,2,,11210,1,,11207,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
358,木窗,555,1449,[2],[4],[21579],[6],,Woodenwindow,,Woodenwindow,2,1,,3,3,1,797,0,11323,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
359,玻璃窗,556,1450,[2],[4],[21579],[6],,GlassWindow,,GlassWindow,2,1,,3,3,1,797,0,11323,4,,649,6,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
360,信纸,11806,1451,[5],[2],[21570],[3],,LetterPaper,,LetterPaper,1,1,,3,3,0,797,0,11322,1,,710,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
361,秋叶橙地板,419,2452,[1],[4],[21582],[5],,YellowOrangeFloor,,YellowOrangeFloor,4,1,,3,3,0,797,0,11323,4,,11537,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
362,海棠红地板,420,2453,[1],[4],[21582],[5],,LightRedFloor,,LightRedFloor,4,1,,3,3,0,797,0,11323,4,,11506,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
363,精制黄砖,424,2454,[1],[4],[21582],[5],,SandstoneBrick,,SandstoneBrick,1,1,,3,3,1,797,0,104,2,,29,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
364,竖格釉面砖,427,2455,[5],[4],[21544],[5],,VerticalGlazedBlock,,VerticalGlazedBlock,1,1,,3,3,0,797,0,12756,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
365,四格釉面砖,428,2456,[5],[4],[21544],[5],,GridGlazedBlock,,GridGlazedBlock,1,1,,3,3,0,797,0,12756,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
366,不规则釉面砖,429,2457,[5],[4],[21544],[5],,IrregularGlazedBlock,,IrregularGlazedBlock,1,1,,3,3,0,797,0,12756,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
367,象牙白细围栏,539,2458,[6],[4],[21534],[5],,WhiteFence,,WhiteFence,4,1,,3,3,1,797,0,11323,5,,11500,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
368,粗制石围栏,551,2459,[5],[4],[21534],[5],,StoneBrickFence,,StoneBrickFence,4,1,,3,3,0,797,0,11627,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
369,象牙白细围栏,552,2460,[6],[4],[21534],[5],,WhiteFence1,,WhiteFence1,4,1,,3,3,1,797,0,11323,10,,11500,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
370,薄木围栏,553,2461,[6],[4],[21534],[5],,WoodenStockade,,WoodenStockade,4,1,,3,3,1,797,0,11323,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
371,铜围栏,554,2462,[6],[4],[21534],[5],,BrassFence,,BrassFence,4,1,,3,3,0,797,0,11329,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
372,过山车头,13802,1463,,[6],[21543],[7],,RollerCoasterEngine,,RollerCoasterEngine,1,1,,3,3,1,797,0,11664,1,,11209,5,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
373,胭脂红木板,562,1464,[5],[4],[21544],[5],,RedPurpleBoard,,RedPurpleBoard,4,1,,3,3,0,797,0,11323,4,,11502,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
374,竹板,563,1465,[5],[4],[21544],[5],,BambooBoard,,BambooBoard,1,1,,3,3,0,797,0,251,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
375,胭脂红薄板,564,1466,[30],[4],[128],[5],,RedPurpleStep,,RedPurpleStep,4,1,,3,3,0,797,0,11323,1,,11502,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
376,竹板薄板,565,1467,[30],[4],[128],[5],,BambooStep,,BambooStep,4,1,,3,3,0,797,0,251,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
377,胭脂红楼梯,566,1468,[8],[4],[21586],[5],,RedPurpleStair,,RedPurpleStair,4,1,,3,3,0,797,0,11323,2,,11502,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
378,竹板楼梯,567,1469,[8],[4],[21586],[5],,BambooStair,,BambooStair,2,1,,3,3,0,797,0,251,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
379,地刺陷阱,721,1471,"[5,20]",[6],[21543],[7],,SpikeTrap,,SpikeTrap,1,2,,3,3,0,797,0,11664,1,,11323,9,,11209,3,,,,,,,,,,,,,,,,,,,,,,0.1,,
380,投掷装置,722,1472,,[6],[21543],[7],,Thrower,,Thrower,1,2,,3,3,0,797,0,11664,3,,12758,2,,11323,3,,710,3,,,,,,,,,,,,,,,,,,,0.1,,
381,桃木图腾,723,1473,[1],[4],[21582],[6],,Totem,,Totem,1,1,,3,3,0,797,0,254,6,,11911,3,,104,3,,,,,,,,,,,,,,,,,,,,,,0.1,,
382,蔬果披萨,831,1474,[1],"[7,8]",,[1],,FruitPizza,,FruitPizza,1,0,,3,3,0,794,300,12509,1,11320,200147,1,,12601,1,,344,1,,,,,,,,,,,,,,,,,,,0.1,,
383,吹箭筒,12288,1159,[9],[1],[21517],[2],,Blowgun,,Blowgun,1,1,,3,3,0,797,0,11312,1,,11329,3,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
384,蜂刺飞镖,12289,1160,[10],[1],[21517],[2],,Dart,,Dart,6,1,,3,3,1,797,0,11312,1,,11313,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
386,瓶装蜂蜜,12511,1478,,[1],[21519],[3],,BottledHoney,,BottledHoney,1,1,,3,3,0,797,0,11320,1,,12504,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
387,萤火虫,13419,1480,[30],[4],[21522],[6],,Firefly,,Firefly,1,1,,3,3,0,797,0,748,1,11320,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
388,空的蜂巢,133,1481,[10],[2],[21573],[4],,EmptyHoneycomb,,EmptyHoneycomb,1,1,,3,3,0,797,0,12504,3,,11323,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
389,竹围栏,568,1482,[6],[4],[21534],[5],,BambooFence,,BambooFence,4,1,,3,3,0,797,0,251,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
390,竹围栏门,569,1483,[6],[4],"[21534,21533]",[5],,BambooFenceGate,,BambooFenceGate,1,1,,3,3,0,797,0,251,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
391,足球服,12821,1484,[16],[2],[21576],[3],,SoccerShirt,,SoccerShirt,1,1,,3,3,0,797,0,710,6,,11500,1,,11503,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
392,足球,13420,1485,[17],[2],[21576],[3],,Soccer,,Soccer,1,1,,3,3,0,797,0,11307,3,,710,3,,11500,1,,11515,1,,,,,,,,,,,,,,,,,,,0.1,,
393,彩带烟花,12781,1486,[13],[2],[21576],[3],,RibbonFireworks,,RibbonFireworks,3,1,,3,3,0,797,0,11322,3,,11306,1,,11323,3,,,,,,,,,,,,,,,,,,,,,,0.1,,
394,星球岩薄板,570,1490,[30],[4],[128],,,Horasrockstep,,Horasrockstep,4,1,,3,3,0,797,0,116,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
395,星球岩楼梯,571,1491,[8],[4],[21586],,,Horasrockstair,,Horasrockstair,2,1,,3,3,0,797,0,116,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
396,星球岩墙,572,1492,[6],[4],[21534],,,Horasrockfence,,Horasrockfence,1,1,,3,3,0,797,0,116,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
397,星球岩石砖,573,1493,[5],[4],[21544],,,Horasrockbrick,,Horasrockbrick,1,1,,3,3,0,797,0,116,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
398,氧气提炼装置,1045,1494,[1],[2],[21572],,,OxygenPump,,OxygenPump,1,1,,3,3,0,797,0,11329,4,,11210,5,,632,3,,,,,,,,,,,,,,,,,,,,,,0.1,,
399,压缩气罐（空）,1047,1495,[2],[2],[21572],,,Gastank(Empty),,Gastank(Empty),1,1,,3,3,0,797,0,632,4,,11329,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
400,星球植物培养基,1050,1496,[8],[2],[21573],,,PlantMedium,,PlantMedium,1,1,,3,3,0,797,0,117,1,,116,3,,11049,1,,11311,1,,,,,,,,,,,,,,,,,,,0.1,,
401,星瞳钻头,11016,1021,[1],[2],[21571],,,Horascopperdrill,,Horascopperdrill,1,1,,3,3,0,797,0,11073,5,,11664,2,,11323,2,,116,2,,,,,,,,,,,,,,,,,,,0.1,,
402,星启石,11075,1498,[23],[2],[21577],,,RegenRune,,RegenRune,1,1,,3,3,0,797,0,11080,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
403,星辉石,11076,1499,[24],[2],[21577],,,IlluRune,,IlluRune,1,1,,3,3,0,797,0,11080,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
404,喷射钩爪,12006,1022,[1],[1],[21552],,,Hookshot,,Hookshot,1,1,,3,3,0,797,0,12758,6,,12755,3,,11210,3,,11073,6,,,,,,,,,,,,,,,,,,,0.1,,
405,氧气背包,12275,1023,[3],[2],[21572],,,Oxygenpack,,Oxygenpack,1,1,,3,3,0,797,0,1048,2,,11209,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
407,氧气豆,12582,1503,[5],[2],[21572],,,Oxyseed,,Oxyseed,2,1,,3,3,0,797,0,12583,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
408,苍石灰木板,264,1504,[5],[4],[21544],,,GreyBoard,,GreyBoard,4,1,,3,3,0,797,0,11323,4,,11507,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
409,苍石灰薄板,574,1505,[30],[4],[128],,,Genwoodstep,,Genwoodstep,4,1,,3,3,0,797,0,11323,1,,11507,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
410,苍石灰楼梯,575,1506,[8],[4],[21586],,,Genwoodstair,,Genwoodstair,4,1,,3,3,0,797,0,11323,2,,11507,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
411,苍石灰围栏,576,1507,[6],[4],[21534],,,Greyfence,,Greyfence,4,1,,3,3,0,797,0,11323,4,,11507,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
413,实验室门,1101,2509,[7],"[4,6]","[21533,21543]",,,Labdoor,,Labdoor,1,2,,3,3,0,797,0,11664,3,,12758,6,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
414,镜冰,1102,2510,[5],[4],[21544],,,Spectularice,,Spectularice,1,2,,3,3,0,797,0,430,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
415,冰灯,1103,2511,[7],[4],[21522],,,Icelamp,,Icelamp,1,1,,3,3,0,797,0,430,4,,536,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
416,花纹星能块,1104,2512,[5],[4],[21544],,,HorasStarenergy,,HorasStarenergy,1,2,,3,3,0,797,0,11664,10,,11209,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
417,星能铁块,1105,2513,[5],[4],[21544],,,StarenergyMithsilverBlock,,StarenergyMithsilverBlock,2,1,,3,3,0,797,0,11209,4,,11664,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
418,星能铁板,1106,2514,[5],[4],[21544],,,StarenergyMithsilverDeck,,StarenergyMithsilverDeck,2,1,,3,3,0,797,0,11209,4,,11664,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
419,紫线铁块,1107,2515,[5],[4],[21544],,,NetherMithsilverBlock,,NetherMithsilverBlock,1,1,,3,3,0,797,0,11209,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
420,厚铁板,1108,2516,[5],[4],[21544],,,NetherMithsilverdeck,,NetherMithsilverdeck,1,1,,3,3,0,797,0,11209,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
421,镂空铁板,1109,2517,[5],[4],[21544],,,MithsilverSieve,,MithsilverSieve,1,1,,3,3,0,797,0,11209,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
422,实验室灯,1110,2518,[7],[4],[21522],,,Lablamp,,Lablamp,1,1,,3,3,0,797,0,412,1,,536,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
423,锈铁门,1111,2519,[7],"[4,6]","[21533,21543]",,,Rustdoor,,Rustdoor,1,1,,3,3,0,797,0,11664,3,,11209,6,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
424,铁丝网,1112,2520,[5],[4],[21544],,,MithsilverNet,,MithsilverNet,4,1,,3,3,0,797,0,11209,4,,11049,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
425,竖纹铁板,1113,2521,[5],[4],[21544],,,Stripedeck,,Stripedeck,1,1,,3,3,0,797,0,11209,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
426,锈铁板,1114,2522,[5],[4],[21544],,,Rustdeck,,Rustdeck,2,1,,3,3,0,797,0,11209,4,,11049,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
427,条纹锈铁板,1115,2523,[5],[4],[21544],,,Striperustdeck,,Striperustdeck,2,1,,3,3,0,797,0,11209,4,,11049,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
428,镂空锈铁板,1116,2524,[5],[4],[21544],,,Rustsieve,,Rustsieve,2,1,,3,3,0,797,0,11209,4,,11049,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
429,星能锈铁块,1117,2525,[5],[4],[21544],,,RustStarenergyblock,,RustStarenergyblock,2,1,,3,3,0,797,0,11209,4,,11664,2,,11049,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
430,荧光灯,1118,2526,[7],[4],[21522],,,Fluorescentlamp,,Fluorescentlamp,1,1,,3,3,0,797,0,11209,2,,11318,1,,536,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
431,花纹铁块,1119,2527,[5],[4],[21544],,,PrintedMithsilver,,PrintedMithsilver,2,1,,3,3,0,797,0,11209,4,,11504,1,,11507,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
432,旧铁块,1120,2528,[5],[4],[21544],,,WhiteOldMithsilver,,WhiteOldMithsilver,1,1,,3,3,0,797,0,11209,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
433,信号发生器,1052,1529,,[6],[21543],,,,,,1,1,,3,3,0,797,0,11664,6,,11074,2,,11210,4,,,,,,,,,,,,,,,,,,,,,,0.1,,
434,信号接收器,1053,1530,,[6],[21543],,,,,,1,1,,3,3,0,797,0,11664,6,,11074,2,,11210,4,,,,,,,,,,,,,,,,,,,,,,0.1,,
435,信号解析器,1054,1532,,[6],[21543],,,,,,1,1,,3,3,0,797,0,11664,6,,11074,2,,11210,4,,,,,,,,,,,,,,,,,,,,,,0.1,,
436,指令芯片,11809,1533,,[6],[21543],,,,,,1,1,,3,3,0,797,0,11664,2,,11074,1,,11210,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
437,变蛋枪,12587,1534,[1],[2],[21521],,,EggGun,,EggGun,1,1,,3,3,0,797,0,12758,4,,11073,3,,11210,3,,,,,,,,,,,,,,,,,,,,,,0.1,,
438,变蛋枪子弹,12588,1535,[2],[2],[21521],,,EggGunAmmo,,EggGunAmmo,4,1,,3,3,0,797,0,11209,2,,11080,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
439,荧光弹弓,12589,2536,[13],[1],[21517],,,Fluorescentslingshot,,Fluorescentslingshot,1,1,,3,3,0,797,0,11323,4,,710,2,,11307,2,,,,,,,,,,,,,,,,,,,,,,0.1,,
440,荧光弹,12590,1537,[14],[1],[21517],,,FluorescentFlare,,FluorescentFlare,4,1,,3,3,0,797,0,837,2,,11307,1,,11201,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
441,荧光球,12591,1538,,[1],[21551],,,Fluorescentball1,,Fluorescentball1,2,1,,3,3,0,797,0,269,1,,11080,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
442,圆球爆弹,15506,2539,,[1],[21567],,,Roundbomb,,Roundbomb,1,1,,3,3,0,797,0,11207,2,,11306,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
443,冰锥,15507,2540,,[1],[21551],,,FrostyDarts,,FrostyDarts,1,1,,3,3,0,797,0,123,2,,12710,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
444,熔岩球,15508,2541,[1],[1],[21551],,,LavaBall,,LavaBall,1,1,,3,3,0,797,0,11211,2,,124,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
445,星光孢子种子,263,1545,[10],[2],[21573],,,HorasSporeSeed,,HorasSporeSeed,1,4,,3,3,1,797,0,272,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
446,星瞳石块,449,1546,[4],"[0,4]","[21585,21544]",[6],,HorasCopperBlock,,HorasCopperBlock,1,1,,3,3,0,797,0,11073,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
447,紫荧石块,450,1547,[5],[4],[21544],[6],,HorasGravitiBlock,,HorasGravitiBlock,1,1,,3,3,0,797,0,11074,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
448,星瞳石,11073,1548,[7],[2],[21577],[4],,Horascopper,,Horascopper,8,1,,3,3,0,797,0,449,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,
449,紫荧石,11074,1549,[8],[2],[21577],[4],,Horasgraviti,,Horasgraviti,8,1,,3,3,0,797,0,450,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,
450,反射镜,1060,2550,,[6],[21543],,,Reflector,,Reflector,1,2,,3,3,0,797,0,11664,2,,11073,2,,632,1,,11210,2,,,,,,,,,,,,,,,,,,,0.1,,
451,脉冲弓,12291,1161,[1],[1],[21517],,,EnergyPulseBow,,EnergyPulseBow,1,1,,3,3,0,797,0,12050,1,,1059,1,,11080,3,,,,,,,,,,,,,,,,,,,,,,0.1,,
452,脉冲箭,12292,1162,[2],[1],[21517],,,EnergyPulseArrow,,EnergyPulseArrow,4,1,,3,3,0,797,0,12051,4,,11080,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
453,喷射塞子,12008,1553,[2],[1],[21552],,,PlungerCrossbow,,PlungerCrossbow,1,1,,3,3,0,797,0,11073,6,,12758,6,,12755,3,,11210,3,,,,,,,,,,,,,,,,,,,0.1,,
454,黑龙熔岩球,15519,2554,[2],[1],[21551],,,BlackDragonLavaball,,BlackDragonLavaball,1,1,,3,3,0,797,0,124,1,,11052,1,11064,11211,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
455,混乱召唤球,15520,2555,[3],[1],[21551],,,BlackDragonChaosball,,BlackDragonChaosball,1,1,,3,3,0,797,0,124,2,,11207,1,,11211,2,,,,,,,,,,,,,,,,,,,,,,0.1,,
456,区域复制器,11995,1556,[3],[2],[21570],,,AreaDuplicationBlock,,AreaDuplicationBlock,1,1,,3,3,0,797,0,12758,2,,11210,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
457,蓝图工作台,201009,1557,[2],[2],[21570],,,BlueprintWorkbench,,BlueprintWorkbench,1,1,,3,3,1,797,0,11322,3,,11209,2,,11323,4,,,,,,,,,,,,,,,,,,,,,,0.1,,
458,测距仪,1066,1558,,[6],[21543],,,Diastimeter,,Diastimeter,1,2,,3,3,0,797,0,11664,2,,11207,1,,11209,2,,,,,,,,,,,,,,,,,,,,,,0.1,,
459,雪梅屏风,1136,2559,[1],[4],[21582],,,WintersweetPartition,,WintersweetPartition,1,1,,3,3,1,797,0,632,2,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
460,红烛灯,1137,2560,[7],[4],[21522],,,RedCandleLantern,,RedCandleLantern,1,1,,3,3,0,797,0,298,1,,11207,3,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
461,编书台,1143,1561,[4],[2],[21570],,,BookmakingWorkbench,,BookmakingWorkbench,1,1,,3,3,0,797,0,11322,2,,12758,2,,11323,4,,,,,,,,,,,,,,,,,,,,,,0.1,,
462,书架,1144,1562,[30],[4],[21557],,,Bookrack,,Bookrack,1,1,,3,3,1,797,0,11323,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
463,转向车轮,1083,1563,,[6],[21549],,,Wheel,,Wheel,1,1,,3,3,0,797,0,11209,1,,448,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,
464,驾驶座,1084,1564,,[6],[21549],,,DriverSeat,,DriverSeat,1,1,,3,3,0,797,0,11210,2,,11209,3,,11307,2,,,,,,,,,,,,,,,,,,,,,,1,,
465,机械车间,1085,1565,,[6],[21549],,,MachineWorkshop,,MachineWorkshop,1,1,,3,3,0,797,0,11209,3,,11210,3,,12755,3,,,,,,,,,,,,,,,,,,,,,,1,,
466,动力车轮,1087,1566,,[6],[21549],,,PowerWheel,,PowerWheel,1,1,,3,3,0,797,0,11209,1,,448,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,
467,燃料引擎,1089,1567,,[6],[21549],,,FuelEngine,,FuelEngine,1,1,,3,3,0,797,0,11209,3,,12758,3,,12755,4,,,,,,,,,,,,,,,,,,,,,,1,,
468,乘客座,1091,1568,,[6],[21549],,,PassengerSeat,,PassengerSeat,1,1,,3,3,0,797,0,11209,2,,11307,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,
470,物理清除枪,15529,1570,,[6],[21549],,,Physical-propertiesEraseGun,,Physical-propertiesEraseGun,1,1,,3,3,0,797,0,11664,4,,11209,2,,11207,2,,11911,1,,,,,,,,,,,,,,,,,,,1,,
471,篮球衣,12820,1571,[14],[2],[21576],[3],,Basketballjersey,,Basketballjersey,1,1,,3,3,0,797,0,710,6,,11500,1,,11503,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
472,篮球,13425,1572,[15],[2],[21576],[3],,Basketball,,Basketball,1,1,,3,3,0,797,0,11307,3,,710,3,,11500,1,,11515,1,,,,,,,,,,,,,,,,,,,0.1,,
473,连接器,11101,1573,,[6],[21549],,,Connector,,Connector,1,1,,3,3,0,797,0,11210,2,,12758,1,,11073,1,,,,,,,,,,,,,,,,,,,,,,0.1,,
474,动作序列器,1092,1574,,[6],[21549],,,SequenceEditor,,SequenceEditor,1,1,,3,3,0,797,0,11210,2,,12758,1,,11073,2,,,,,,,,,,,,,,,,,,,,,,0.1,,
