功能操作ID,备注(自己看),UI名称（IDString）,分类(暂时没用上),UI描述（IDString）,图标,技能类型[0=点击目标，1=无目标，2=不主动释放],键位[0=左键/屏幕，1=右键/屏幕，2=右键/使用按钮],蓄力模式[0=不蓄力，1=蓄力中途可以释放，2=蓄满才能释放，3=蓄满自动释放],蓄力时间[单位0.1秒],蓄力移动速度[百分比],操作间隔[0.01秒]-暂时用不上,冷却时间[单位1秒],使用距离[单位厘米],目标类型[0=生物，1=方块，2=物理对象],目标种类[当目标类型为生物，-1=所有生物，0=怪物，1=动物，2=稀有动物，3=水生物，4=移动工具，5=村民，6=boss，7=Npc，8=飞行生物，9=除怪物以外的所有生物（包括玩家）][当目标类型为方块，0=所有方块，1=木头，2=石头，3=泥土，5=树叶羊毛],精确目标[ID],目标队伍[0=不限队伍，1=同队伍，2=不同队伍],特殊类型标记（暂时没用到）,"目标范围类型[0=单体，1=射线，2=立方体,3=圆柱体]",目标范围类型参数1[射线的长度 or 立体的长 or 圆柱体半径]（100=1格）,目标范围类型参数2[射线的半径 or 立体的宽 or 圆柱体角度]（100=1格）,目标范围类型参数3[立体的高 or 圆柱体的高]（100=1格）,第一人称启动动作,第一人称蓄力动作,第一人称释放动作,第三人称启动动作,第三人称蓄力动作,第三人称释放动作,启动音效,蓄力音效,释放音效,启动特效,蓄力特效,释放特效,目标地点特效(暂时没用上),目标特效,消耗[数组]（type：0=耐久，1=饥饿，2=弹药，3=体力）,"效果[数组，1=方块操作（Type：5：替换方块为指定方块），2=攻击，3=加状态，4=击飞，5=召唤，6=治疗，7=发射投掷物，8=图纸，9=变蛋，10=接剧情，11-13都被占用，14=加状态（自身），15=引雷，16=巴啦啦变身，17=清除某类型状态，18=给某类型生物加状态,19=Actor,20=架盾,21=穿刺投掷,22=削韧]"
162,食谱配方-冰焰双果披萨,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":23,""ItemID"":""200200"",""UnlockType"":1}]"
163,食谱配方-水晶西瓜沙棘慕斯,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":23,""ItemID"":""200201"",""UnlockType"":1}]"
164,食谱配方-阳光青提舒芙蕾,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":23,""ItemID"":""200202"",""UnlockType"":1}]"
165,食谱配方-彩虹草莓千层,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":23,""ItemID"":""200203"",""UnlockType"":1}]"
166,食谱配方-汉堡,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":23,""ItemID"":""200204"",""UnlockType"":1}]"
167,食谱配方-青瓜鸡蛋饼,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":23,""ItemID"":""200205"",""UnlockType"":1}]"
168,食谱配方-浆果松饼,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":23,""ItemID"":""200206"",""UnlockType"":1}]"
169,食谱配方-独葵蜂蜜饼干,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":23,""ItemID"":""200207"",""UnlockType"":1}]"
170,食谱配方-葡萄干土司,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":23,""ItemID"":""200208"",""UnlockType"":1}]"
171,食谱配方-草莓蛋糕,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":23,""ItemID"":""200209"",""UnlockType"":1}]"
172,食谱配方-牛角包,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":23,""ItemID"":""200210"",""UnlockType"":1}]"
173,食谱配方-面包,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":23,""ItemID"":""200211"",""UnlockType"":1}]"
174,食谱配方-超级米发糕,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":23,""ItemID"":""200212"",""UnlockType"":1}]"
175,食谱配方-日光番茄佛卡夏,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":23,""ItemID"":""200213"",""UnlockType"":1}]"
176,食谱配方-胡萝卜南瓜盅,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":23,""ItemID"":""200214"",""UnlockType"":1}]"
177,食谱配方-莲藕核桃糕,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":23,""ItemID"":""200215"",""UnlockType"":1}]"
178,道具配方-铁制花洒,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""11760"",""UnlockType"":1}]"
179,道具配方-钛制花洒,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""11761"",""UnlockType"":1}]"
180,道具配方-初级丰硕肥料,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""11762"",""UnlockType"":1}]"
181,道具配方-中级丰硕肥料,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""11763"",""UnlockType"":1}]"
182,道具配方-粗制洒水器,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""200163"",""UnlockType"":1}]"
183,道具配方-标准洒水器,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""200164"",""UnlockType"":1}]"
184,道具配方-加强洒水器,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""200165"",""UnlockType"":1}]"
185,道具配方-餐盘,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""200160"",""UnlockType"":1}]"
186,道具配方-高脚餐盘,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""200217"",""UnlockType"":1}]"
187,道具配方-囤积桶,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""200222"",""UnlockType"":1}]"
188,道具配方-囤积箱,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""200221"",""UnlockType"":1}]"
189,解锁配方-流星烟花,,,,,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""12631"",""UnlockType"":1}]"
190,解锁配方-蘑菇拳套,,,,,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""11775"",""UnlockType"":1}]"
191,解锁配方-隐身披风,,,,,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""12325"",""UnlockType"":1}]"
192,解锁配方-空间残片,,,,,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""11782"",""UnlockType"":1}]"
193,解锁配方-夜光菇笠,,,,,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""12326"",""UnlockType"":1}]"
194,解锁配方-四叶星辉剑,,,,,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""11777"",""UnlockType"":1}]"
200,破坏方块（投掷）,6500,,6501,100,2,,,,,,,,1,0,,,,1,1000,200,,,,,,,,,,,,,,item_12253_2,,,"[{""function_id"":1,""ActionType"":0,""DropOut"":1,""BlockID"":200}]"
207,放置方块,6500,,6501,100,2,,,,,,,,1,0,,,,1,1000,200,,,,,,,,,,,,,,item_12253_2,,,"[{""function_id"":1,""ActionType"":1,""DropOut"":1,""BlockID"":500}]"
208,替换方块,6500,,6501,100,2,,,,,,,,1,0,,,,1,1000,200,,,,,,,,,,,,,,item_12253_2,,,"[{""function_id"":1,""ActionType"":2,""DropOut"":1,""BlockID"":200}]"
201,攻击（投掷）,6500,,6501,101,2,,,,,,,,0,-1,,,,1,1000,200,,,,,,,,,,,,,,,,,"[{""function_id"":2,""AttackType"":1,""AttackVal"":20},{""function_id"":4,""RepelPower"":300,""BlowUpPower"":200}]"
202,击飞（投掷）,6500,,6501,102,2,,,,,,,,0,-1,,,,1,1000,200,,,,,,,,,,,,,,,,,"[{""function_id"":4,""RepelPower"":300,""BlowUpPower"":200}]"
203,召唤（投掷）,6500,,6501,103,2,,,,,,,,0,-1,,,,1,1000,200,,,,,,,,,,,,,,,,,"[{""function_id"":5,""MobID"":3407,""CallNum"":5,""IsFollow"":1,""Duration"":10}]"
204,加状态（投掷）,6500,,6501,104,2,,,,,,,,0,-1,,,,1,1000,200,,,,,,,,,,,,,,,item_12004_4,,"[{""function_id"":3,""BuffID"":101005,""Duration"":5,""Odds"":100},{""function_id"":2,""AttackType"":1,""AttackVal"":0}]"
205,发射投掷物（投掷）,6500,,6501,105,2,,,,,,,,0,-1,,,,1,1000,200,,,,,,,,,,,,,,,,,"[{""function_id"":7,""ProjectileID"":12051,""SpeedAdd"":0}]"
206,治疗（投掷）,6500,,6501,106,2,,,,,,,,0,-1,,,,1,1000,200,,,,,,,,,,,,,,,BUFF_HP_R,,"[{""function_id"":6,""TreatType"":0,""TreatVal"":100}]"
300,小外星人C（岩浆球）,6500,,6501,102,2,,,,,,,,0,-1,,,,2,100,100,,,,,,,,,,,,,,,,,"[{""function_id"":4,""RepelPower"":0,""BlowUpPower"":60}]"
301,合体外星人BB（巨型冰锥）,6500,,6501,100,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,item_12253_2,,,"[{""function_id"":1,""ActionType"":1,""DropOut"":1,""BlockID"":113}]"
302,合体外星人CC（巨型岩浆球）,6500,,6501,102,2,,,,,,,,0,-1,,,,2,100,100,,,,,,,,,,,,,,,item_15060_trigger,,"[{""function_id"":3,""BuffID"":47001,""Duration"":3,""Odds"":100},{""function_id"":4,""RepelPower"":0,""BlowUpPower"":80}]"
303,合体外星人AB（冰炸弹）,6500,,6501,104,2,,,,,,,,0,-1,,,,2,600,600,200,,,,,,,,,,,,,,item_15064_trigger,,"[{""function_id"":2,""AttackType"":1,""AttackVal"":30},{""function_id"":3,""BuffID"":45001,""Duration"":3,""Odds"":100}]"
304,合体外星人AC（火炸弹）,6500,,6501,102,2,,,,,,,,0,-1,,,,2,600,600,200,,,,,,,,,,,,,,item_15065_trigger,,"[{""function_id"":2,""AttackType"":1,""AttackVal"":30},{""function_id"":4,""RepelPower"":0,""BlowUpPower"":80}]"
305,合体外星人BC（冰火球）,6500,,6501,102,2,,,,,,,,0,-1,,,,2,600,600,200,,,,,,,,,,,,,,item_15065_trigger,,"[{""function_id"":3,""BuffID"":45002,""Duration"":3,""Odds"":100},{""function_id"":4,""RepelPower"":0,""BlowUpPower"":80}]"
306,小荧光球（荧光）,,,,,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":1,""ActionType"":4,""DropOut"":1,""BlockID"":1071}]"
307,巨型冰锥,,,,,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,item_12253_2,,,"[{""function_id"":1,""ActionType"":1,""DropOut"":1,""BlockID"":113}]"
308,巨型岩浆球,,,,,2,,,,,,,,0,-1,,,,2,100,100,,,,,,,,,,,,,,,item_15060_trigger,,"[{""function_id"":3,""BuffID"":47002,""Duration"":3,""Odds"":100},{""function_id"":4,""RepelPower"":0,""BlowUpPower"":80}]"
309,变蛋功能,,,,,2,,,,,,,,0,-1,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":9},]"
310,大荧光球（荧光）,,,,,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":1,""ActionType"":4,""DropOut"":1,""BlockID"":1070}]"
311,击飞（激光）,6500,,6501,102,2,,,,,,,,0,-1,,,,2,300,300,300,,,,,,,,,,,,,,,,"[{""function_id"":4,""RepelPower"":100,""BlowUpPower"":-300}]"
312,岩石海啸,,,,,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,item_12253_2,,,"[{""function_id"":1,""ActionType"":1,""DropOut"":1,""BlockID"":138}]"
313,黑龙熔岩球（岩浆）,,,,,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":3,""BuffID"":47002,""Duration"":3,""Odds"":100},{""function_id"":1,""ActionType"":1,""DropOut"":1,""BlockID"":6}]"
314,黑龙混乱球（召唤）,,,,,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":5,""MobID"":3132,""CallNum"":1,""IsFollow"":1,""Duration"":45}]"
315,召唤星星,,,,,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":1,""ActionType"":4,""DropOut"":1,""BlockID"":1069}]"
316,加状态（治疗自身）,6500,,6501,104,1,2,2,1.5,0.7,,,500,0,-1,,,,1,1000,300,,101120,101121,101122,,100149,100142,,item.12004.charge3,item.12004.charge4,,item_12004_3,,,item_12004_4,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":14,""BuffID"":3003,""Duration"":5,""Odds"":100}]"
317,引雷,6500,,6501,,1,2,2,1.5,0.7,,,500,0,-1,,,,1,1000,300,,101120,101121,101122,,100149,100142,,item.12004.charge3,item.12004.charge4,,item_12004_3,,,item_12004_4,,"[{""function_id"":15},]"
318,平凡法杖发射,,,,,2,,,10,1,,2,,,,,,,,,,,101111,101111,,,100116,,,item_11580.gather,item_11580.fire,,item_staffgather_normal,staffshot_normal,,,,"[{""function_id"":7,""ProjectileID"":11586,""SpeedAdd"":0}]"
319,炽烈法杖发射,,,,,2,,,15,0.7,,5,,,,,,,,,,,101111,101111,,,100116,,,item_11580.gather,item_11580.fire,,item_staffgather_fire,staffshot_fire,,,,"[{""function_id"":7,""ProjectileID"":11587,""SpeedAdd"":0}]"
320,雷电法杖发射,,,,,2,,,20,0.5,,8,,,,,,,,,,,101111,101111,,,100116,,,item_11580.gather,item_11580.fire,,item_staffgather_thunder,staffshot_thunder,,,,"[{""function_id"":7,""ProjectileID"":11588,""SpeedAdd"":0}]"
321,淬毒法杖发射,,,,,2,,,15,0.7,,5,,,,,,,,,,,101111,101111,,,100116,,,item_11580.gather,item_11580.fire,,item_staffgather_poison,staffshot_poison,,,,"[{""function_id"":7,""ProjectileID"":11589,""SpeedAdd"":0}]"
322,复苏法杖发射,,,,,2,,,20,0.5,,8,,,,,,,,,,,101111,101111,,,100116,,,item_11580.gather,item_11580.fire,,item_staffgather_cure,staffshot_cure,,,,"[{""function_id"":7,""ProjectileID"":11590,""SpeedAdd"":0}]"
323,炽烈法杖（火焰）,,,,,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":1,""ActionType"":1,""DropOut"":1,""BlockID"":500}]"
324,钛金镰技能,,,,,1,,2,1,0.7,,8,,0,-1,,,,3,500,150,200,101111,101111,,,100116,,,item_11580.gather,,,,,,,,
326,巴啦啦变身,,,,,1,2,2,1,0.7,,600,,0,-1,,,,0,,,,101111,101111,,,100116,,,item.12004.charge3,item.12004.charge4,bianshen,,acchorse,,,"[{""CostType"":0,""CostVal"":20}]","[{""function_id"":16},]"
327,喷漆,,,,,0,2,0,1.5,0.7,,1.5,500,1,0,,,,0,1000,300,,101130,101131,100811,,100148,100147,,item.12239.spray,item.12239.spray,,item_12004_3,ui_penqi,item_12253_2,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":1,""ActionType"":3,""DropOut"":1}]"
328,召唤法杖发射,,,,,2,,,20,0.5,,15,,,,,,,,,,,101111,101111,,,100116,,,item_11580.gather,item_11580.fire,,item_staffgather_summon,staffshot_summon,,,,"[{""function_id"":7,""ProjectileID"":11629,""SpeedAdd"":0}]"
329,召唤沙人（友好）,6500,,6501,103,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":5,""MobID"":3827,""CallNum"":1,""IsFollow"":1,""Duration"":60}]"
330,生成剧毒（砸中方块）,6500,,6501,100,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,item_12253_2,,,"[{""function_id"":1,""ActionType"":1,""DropOut"":1,""BlockID"":18}]"
331,解毒粉包技能(给蝎子上毒）,6500,,6501,104,2,,,,,,,,0,-1,,,,2,1100,1100,500,,,,,,,,,,,,,,item_12004_4,,"[{""function_id"":17,""BuffNature"":3},{""function_id"":18,""Monsterid"":""3824|3829"",""BuffID"":55001,""Odds"":100},{""function_id"":18,""Monsterid"":""0|3200|3201|3202|3204|3205|3206|3207|3208|3209|3210|3211|3212|3213|3405|3406|3408|3410|3415|3417|3422|3823|3871|3882|3884|3891|3896"",""BuffID"":54001,""Odds"":100},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":584,""ToBlockID"":0}]"
332,口水糊脸,,,,,2,,,,,,,,0,-1,,,,0,,,,,,,,,,,,,,,,,,,
333,沙子糊脸,,,,,2,,,,,,,,0,-1,,,,0,,,,,,,,,,,,,,,,,,,
334,液化剂技能,6500,,6501,100,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,item_12253_2,,,"[{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":106,""ToBlockID"":14},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":29,""ToBlockID"":14},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":108,""ToBlockID"":14},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":109,""ToBlockID"":14},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":123,""ToBlockID"":4},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":1757,""ToBlockID"":6},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":558,""ToBlockID"":12}]"
335,音爆罐子,6500,,6501,104,2,,,,,,,,0,-1,,,,2,500,500,500,,,,,,,,,,,,,,,,"[{""function_id"":3,""BuffID"":1019001,""Duration"":3,""Odds"":0}]"
336,沙虫咆哮,6500,,6501,104,1,2,2,1,0.8,,10,500,0,-1,,,,1,800,500,300,101120,101121,101122,,100153,100153,100116,item.12004.charge3,item.12004.charge4,,item_12311_charge,item_12311_attack,,item_12004_4,"[{""CostType"":0,""CostVal"":10}]","[{""function_id"":3,""BuffID"":1019001,""Duration"":5,""Odds"":0},{""function_id"":4,""RepelPower"":200,""BlowUpPower"":0},{""function_id"":2,""AttackType"":1,""AttackVal"":40}]"
337,生成沙块,6500,,6501,100,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,item_12253_2,,,"[{""function_id"":1,""ActionType"":1,""DropOut"":1,""BlockID"":29}]"
338,召唤沙人（敌对）,6500,,6501,103,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":5,""MobID"":3826,""CallNum"":1,""IsFollow"":0,""Duration"":600}]"
339,彼岸菠萝技能,6500,,6501,,2,,,,,,,,0,-1,,,,2,1100,1100,500,,,,,,,,,,,,,,,,"[{""function_id"":3,""BuffID"":1021001,""Duration"":5,""Odds"":100}]"
340,空气球岸上爆炸,6500,,6501,104,2,,,,,,,,0,-1,,,,2,500,500,500,,,,,,,,,,,,,,,,"[{""function_id"":4,""RepelPower"":200,""BlowUpPower"":0}]"
