能力ID,能力名称,图标,技能分类（1特性技能，2普通技能）,技能文件名（需要lua逻辑支持时才填，名字罗列于技能模板.xlsx）,描述,效果ID,效果值1,效果名称1,效果值2,效果名称2,效果值3,效果名称3,效果值4,效果名称4,效果值5,效果名称5,效果值6,效果名称6,效果值7,效果名称7,特效1,特效2,特效3,音效1,音效2,音效3,备注,
155,兔兔重击,155,2,RabbitCrack,在空中点击跳跃键可以快速落地破坏地面上的方块。,,10,,,,,,,,,,,,,,,,,,,,cd（10s）,
156,柔情,156,1,,周身环绕着星星光影和花瓣。,,,,,,,,,,,,,,,,,,,,,,,
157,粉漾,157,1,,周身环绕着星星光影、花瓣和浅粉色光带。,,,,,,,,,,,,,,,,,,,,,,,
158,游转幻境,158,2,Fly,长按跳跃键可以在空中飞行一段距离。,,18,,-24,,5,,15,,9,,20,,0.1,,,,,,,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
159,造梦空间,159,2,PinkSpace,在两个位置分别点击使用键可以设置双向传送阵。,,50,,180,,4,,30,,,,,,,,,,,,,,传送门范围上限（50），传送门生效时间（180s），传送次数上限（4），cd时间（30s）,
160,飘雪,160,1,,周身环绕着蓝色光芒和小雪花。,,,,,,,,,,,,,,,,,,,,,,,
161,寒冰领域,161,2,FreezingField,进入周边的怪物会被减速。,,8,,,,,,,,,,,,,,,,,,,,,
162,绝对零度,162,2,AbsoluteZero,长按跳跃键可以冰冻附近的怪物。,,8,,2001002,,20,,,,,,,,,,,,,,,,范围半径（8），buffid（2001002），cd（15）,
163,变形车出动,163,1,,周身飘散着火焰，身后会飘散尾气。,,,,,,,,,,,,,,,,,,,,,,,
164,许愿,164,1,,周身环绕着小星星。,,,,,,,,,,,,,,,,,,,,,,,
165,惊喜,165,2,Teleportation,长按跳跃键可以向前瞬移一段距离。,,10,,15,,,,,,,,,,,,,,,,,,移动的距离（6），技能cd（15）,
166,双骑,166,1,,可以与小伙伴一起乘坐。,,,,,,,,,,,,,,,,,,,,,,,
167,咕噜,167,1,,周身环绕着各种小小咕噜兽光点。,,,,,,,,,,,,,,,,,,,,,,,
168,奇迹能量,168,2,GuluEnergy,长按跳跃键可以随机生成一个生物蛋。,,13400.1,,13401.1,,13402.1,,13403.1,,13409.1,,13421.1,,15,,,,,,,,道具id，道具数量，cd,
169,扑腾一下,169,2,GuluPilot,双击跳跃键可持续低空飞行，但是不能在水面和岩浆上飞行，再次双击跳跃键可降落。,,4,,,,,,,,,,,,,,,,,,,,飞行高度（4）,
170,粽香,170,1,,周身飘散着精致小粽子。,,,,,,,,,,,,,,,,,,,,,,,
171,扬帆,171,1,WalkOnWater,可以漂浮在水面上。,,,,,,,,,,,,,,,,,,,,,,,
172,海钓,172,2,Fishing,在水面上长按跳跃键可以丢出粽子并获得一只海洋生物。,,13607.1,,13608.1,,13609.1,,13621.1,,13627.1,,13630.1,,15,,,,,,,,道具id，道具数量，cd,
173,云烟,173,1,,周身笼罩着缥缈的云烟。,,,,,,,,,,,,,,,,,,,,,,,
174,山中景,174,2,Cloudsea1,召唤坐骑可以提升挖掘速度。,,2005001,,,,,,,,,,,,,,,,,,,,buff id,
175,水月花,175,2,Cloudsea2,长按跳跃键可以随机召唤一个生物，该生物会主动攻击附近的怪物。,,3822,,3828,,3411,,3809,,8,,30,,40,,,,,,,,生物id（3105.3109.3132.3809），范围半径（8），生物存在时间（30s），cd时间（50s）,
176,甜梦,176,1,,周身笼罩着糖果、粒子和爱心。,,,,,,,,,,,,,,,,,,,,,,,
177,幻想,177,2,DearHoneyStrong,随着玩家生命值减少，玩家的攻击力会逐渐增加。,,20,,40,,60,,80,,90,,2006,,2007,,,,,,,,buff间隔的血量区间，buffid 2006001-2006005 和 2007001-2007005,
178,玩偶派对,178,2,DearHoneyColdResist,长按跳跃键可以召唤欢乐小熊，让玩家和坐骑都保持合适的体温。,,2008001,,30,,,,,,,,,,,,,,,,,,buffid，技能cd(10s),
179,奔腾,179,1,,脚上笼罩着蓝色气焰。,,,,,,,,,,,,,,,,,,,,,,,
180,星环,180,1,,身上有紫色光环转动。,,,,,,,,,,,,,,,,,,,,,,,
181,音律,181,1,,周身环绕着跳动的音符。,,,,,,,,,,,,,,,,,,,,,,,
182,逐月之音,182,1,,周身有跳动的紫金音符伴随着星月环绕。,,,,,,,,,,,,,,,,,,,,,,,
183,乐音,183,2,MusicBoxMoon,点击使用键可以加速并恢复生命值持续一段时间。,,220001,,2010001,,,,,,,,,,,,,,,ent.4663.attack1,,,加速buffid（220001），回血buffid（2010001）,
184,星穹之乐,184,2,MusicBoxStar,长按跳跃键可以让附近的怪物眩晕。,,8,,4,,25,,2011001,,,,,,,,,,,,,,技能作用半径（8格）、技能作用高度（4格），cd时间（25s），buff id（2011001）,
185,碧叶,185,1,,周身环绕着绿叶。,,,,,,,,,,,,,,,,,,,,,,,
186,绿茵庇护,186,1,,周身环绕着绿色能量及鲜花绿叶。,,,,,,,,,,,,,,,,,,,,,,,
187,森之祝福,187,2,ForestBlessings,点击使用键可以恢复生命值持续一段时间。,,2010002,,15,,,,,,,,,,,,,,,,,,回血buffid（2010002），cd（15）,
188,自然共鸣,188,2,NaturalResonances,长按跳跃键可以对附近的怪物造成伤害。,,8,,4,,25,,250001,,,,,,,,,,,,,,技能作用半径（8格）、技能作用高度（4格），cd时间（25s），buff id（250001）,
189,奇光,189,1,,周身闪烁着光点。,,,,,,,,,,,,,,,,,,,,,,,
190,海缎舞者,190,1,,周身闪烁着海洋生物的光影。,,,,,,,,,,,,,,,,,,,,,,,
191,珊瑚屏障,191,2,ConchShield,双击跳跃键可以获得一个抵御伤害的护盾。,,2012001,,15,,,,,,,,,,,,,,,,,,护盾buffid（2012001），cd（15）,
192,潮汐之怒,192,2,ConchAnger,长按跳跃键可以涌出浪花将附近的怪物击退。,,8,,4,,5,,4,,5,,,,,,sea192,light192,,,,,技能作用半径（8格）、技能作用高度（4格），cd时间（20s），击退距离（4），伤害（10）,
193,鲤灯,193,1,,周身散发着亮光。,,,,,,,,,,,,,,,,,,,,,,,
194,游灯鲤舞,194,1,,周身闪飘散着小锦鲤与光点。,,,,,,,,,,,,,,,,,,,,,,,
195,锦福屏幕,195,2,ClickAddBuff,双击跳跃键可获得一个护盾，抵御部分伤害。,,2012001,,15,,,,,,,,,,,,,,,,,,护盾buffid（2012001），cd（15）,
196,富锦祥舞,196,2,ChargeAddBuff,长按跳跃键可释放锦鲤之力，恢复一定的生命值。,,2010001,,15,,,,,,,,,,,,,,,,,,buffif（2010001），cd时间（15s）,
197,梦幻,197,1,,周身闪烁着光点。,,,,,,,,,,,,,,,,,,,,,,,
198,童梦旋舞,198,1,,周身环绕着翩翩起舞的童话小马。,,,,,,,,,,,,,,,,,,,,,,,
199,星光驰骋,199,2,ClickUseAddBuff,点击使用键可获短暂加速效果。,,220001,,15,,,,,,,,,,,,,,,,,,加速buffid（220001），cd（15）,
200,旋律共振,200,2,ChargeAddBuff,长按跳跃键可释放童话旋律，使周围的怪物陷入短暂昏迷状态。,,8,,4,,25,,2011001,,,,,,,,,,,,,,技能作用半径（8格）、技能作用高度（4格），cd时间（25s），buff id（2011001）,
201,一骑绝尘,201,1,,周身飘散着尘土。,,,,,,,,,,,,,,,,,,,,,,,
202,糖果攻击,202,1,,向四周投掷棒棒糖。,,,,,,,,,,,,,,,,,,,,,,,
203,虚幻之影,203,1,,周身飘散着平底锅虚影。,,,,,,,,,,,,,,,,,,,,,,,
204,绝望阴风,204,1,,周身会出现紫色的阴风。,,,,,,,,,,,,,,,,,,,,,,,
205,丹青,205,1,,周身飘落水墨丹青花瓣。,,,,,,,,,,,,,,,,,,,,,,,
206,一花一叶,206,1,,周身飘落着花瓣。,,,,,,,,,,,,,,,,,,,,,,,
207,明镜,207,2,Fly,长按跳跃键可以在空中飞行一段距离。,,18,,-24,,5,,15,,9,,20,,0.1,,attack1,,,,,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
208,无妄,208,2,Fertilize,点击使用键可以催熟前方的植物。,,11311,,3,,3,,1,,,,,,,,,,,,,,肥料道具id（62803），范围长度（3），范围宽度（3），冷却时间（10）,
209,叮叮,209,1,,周身散发着亮光。,,,,,,,,,,,,,,,,,,,,,,,
210,梦幻一刻,210,1,,身后跟随着彩虹拖尾。,,,,,,,,,,,,,,,,,,,,,,,
211,冲！冲！冲！,211,2,ClickAddBuff,双击跳跃键可释放购物激情，获得一段时间的加速效果。,,220001,,15,,,,,,,,,,,,,,,,,,,
212,预备！发射！,212,2,Shoot,长按跳跃键会掉落小鸡炸弹，对怪物造成一定伤害。,,8,,4,,25,,250001,,,,,,,,,,,,,,技能作用半径（8格）、技能作用高度（4格），cd时间（25s），buff id（250001）,
213,彩云逐梦,213,1,,周围环绕着朵朵白云。,,,,,,,,,,,,,,,,,,,,,,,
214,天际滑翔,214,2,Fly,长按跳跃键可以在空中飞行一段距离。,,16,,-24,,5,,15,,9,,20,,0.1,,,,,,,,上升速度，下降速度，蓄满力后上升时间（s），前进加速，后退减速，平移速度，转向速度比例（0-1，数值越小转向越慢）,
215,热浪震击,215,2,HeatShock,长按跳跃键向四周发射气流，对怪物造成一定伤害。,,8,,4,,25,,250001,,,,,,,,,,,,,,技能作用半径（8格）、技能作用高度（4格），cd时间（25s），buff id（250001）,
216,末日废土,216,1,,周围环绕着白色雾气和尘埃,,,,,,,,,,,,,,,,,,,,,,,
217,快速俯冲,217,2,Endairplane1,长按跳跃键可以向前方快速冲刺一段距离。,,18,,5,,,,,,,,,,,,,,,,,,冲刺距离（15格）,
218,导弹齐发,218,2,Endairplane2,点击使用键可以发射导弹，对周围的怪物造成一定伤害.,,12,,4,,25,,250001,,,,,,,,,,,,,,技能作用半径（8格）、技能作用高度（4格），cd时间（25s），buff id（250001）,
219,幽萤,219,1,,周围环绕着火焰和萤火。,,,,,,,,,,,,,,,,,,,,,,,
220,载货,220,2,UnloadAwakening1,点击使用键可以打开载货箱，取消召唤或坐骑死亡时，载货箱的物品会掉落在地上。,,10,,,,,,,,,,,,,,,,,,,,保险箱空间数量（10）,
221,觉醒,221,2,UnloadAwakening2,长按跳跃键后，可获得短暂加速效果并在移动痕迹上留下灼烧效果，对怪物造成一定伤害。,,25,,220001,,250001,,15,,,,,,,,,,,,,,cd时间（25s），加速buff id（），伤害buff id（250001），技能时间（15s）,
222,狂野,222,1,,车前灯光闪烁，载具反射着荧光。,,,,,,,,,,,,,,,,,,,,,,,
223,双乘,223,2,SetRiddenNum,可以承载两名乘客，带上你的小伙伴吧~,,2,,,,,,,,,,,,,,,,,,,,,
224,野蛮冲撞,224,2,BrutalCollision,长按跳跃键后，可获得短暂加速效果并对冲撞的怪物造成伤害。,,25,,220001,,250001,,15,,,,,,,,,,,,,,cd时间（25s），加速buff id（），伤害buff id（250001），技能时间（10s）,
225,烟霞御风,225,1,,车身环绕着点点霞光，阵阵微风。,,,,,,,,,,,,,,,,,,,,,,,
226,双乘,226,2,SetRiddenNum,可以承载两名乘客，带上你的小伙伴吧~,,2,,,,,,,,,,,,,,,,,,,,,
227,御风时刻,227,2,MusicBoxMoon,点击使用键可以加速并恢复生命值持续一段时间。,,220001,,2010001,,,,,,,,,,,,,,,ent.4663.attack1,,,加速buffid（220001），回血buffid（2010001）,
228,天蝎,228,1,,身体环绕着点点星光。,,,,,,,,,,,,,,,,,,,,,,,
229,震荡,229,2,Shock,长按跳跃键可以使用双钳敲击地板释放出一圈冲击波，对周围的怪物造成一定伤害。,,12,,4,,25,,250001,,,,,,,,air229,light229,,,,,技能作用半径（8格）、技能作用高度（4格），cd时间（25s），buff id（250001）,
230,振奋,230,2,MusicBoxMoon,点击使用键可以加速并恢复生命值持续一段时间。,,220001,,2010001,,,,,,,,,,,,,,,,,,,
231,圣诞,231,1,,身体环绕着点点雪花及星光。,,,,,,,,,,,,,,,,,,,,,,,
232,雪路加速,232,2,WapitiDash1,长按跳跃键可获得一段时间的速度提升。,,30,,2200001,,,,,,,,,,,,,,,,,,cd时间（30s），buff id（2200001）,
233,礼物送达,233,2,WapitiDash2,双击跳跃键可以打开礼物盒获得随机生物蛋。,,25,,13412,,13416,,13413,,13414,,13411,,13402,,,,,,,,cd时间（25s），道具id1，道具id2，道具id3，道具id4，道具id5，道具id6,
234,巨无霸出击,234,2,BigMacAttack,点击使用按钮获得持续一段时间的加速能力。,,2201001,,20,,,,,,,,,,,,,,,,,,buffid（2201001），cd（20）,
235,巨无霸出击,235,2,BigMacAttack,点击使用按钮获得持续一段时间的加速能力。,,2201002,,30,,,,,,,,,,,,,,,,,,buffid（2201002），cd（30）,
236,原始兽出击,236,2,BeastAttack,点击使用按钮喷射能量柱，对命中的怪物造成伤害。,,2202001,,15,,0.8,,12309,,0,,45,,0.1,,,,,,,,buffid（2202001），cd（20），力量(决定发射速度)，物品id（子弹），初始位置往前的偏移，初始位置向上的偏移，镜头抖动的时间,
237,原始兽出击,237,2,BeastAttack2,长按使用按钮喷射火焰对怪物造成伤害。,,5,,2202002,,20,,,,,,,,,,,,,,,,火焰持续时间s（5），buffid（2202001），cd（25）,
238,彩鳞幻变,238,2,ChangeSkin,坐骑拥有两个形态，乘坐时点击使用键可以切换坐骑形态。,,,,,,,,,,,,,,,,,,,,,,,
239,灵蚺舞动,239,2,TraceBuff,长按跳跃键可获得短暂加速效果并在移动痕迹上留下毒焰，对怪物造成一定伤害。,,30,,2200001,,250001,,15,,,,,,,,,,,,,,cd时间（30s），buff id（2200001），伤害buff id（250001），灼烧标记持续时间（15s）,
240,灵蚺蜕变,240,2,RestoreHP,生命降至1时会自动进行一次蜕皮，恢复至满血状态。,,60,,,,,,,,,,,,,,,,,,,,cd时间（60s）,
241,凌霄翼,241,2,Flying,双击跳跃键可以在空中自由调整高度飞行！,,240,,15,,,,,,,,,,,,,,,,,,飞行高度 100(绝对高度，不是相对高度) 上升速度 15,
242,双人乘骑,242,1,SetRiddenNum,可乘坐两位玩家.,,2,,,,,,,,,,,,,,,,,,,,,
243,车车跳跃,243,2,ContinueJump,点击跳跃键后在空中再点击一次跳跃键可以连续跳跃两次。,,160,,,,,,,,,,,,,,,,,,,,跳跃高度（160）,
244,鸭鸭车出击,244,2,Shock,长按跳跃键后，鸭鸭炸弹从空中掉落地面后爆炸对怪物造成伤害。,,8,,4,,25,,250001,,,,,,,,duck244,light244,,,,,技能作用半径（8格）、技能作用高度（4格），cd时间（25s），buff id（250001）,
245,飞舞莲华,245,,,周身飘散莲花花瓣。,,,,,,,,,,,,,,,,,,,,,,,
246,莲华绽放·净化领域,246,,PurifyField,点击使用键释放净化能量，对周围敌人造成伤害，并为己方提供一个短暂的无敌状态。,,8,,4,,250001,,2204001,,25,,10,,,,pink246,,,,,,半径（8），高度（4），扣血buff（），无敌buff（），cd（25），技能特效cd（10）,
247,灯火通明·全域,247,,BrightlyLit,长按跳跃键蓄力释放法阵使己方获得极大的攻击力提升，并持续恢复生命值。,,8,,4,,2010001,,2203001,,2205001,,25,,,,,,,,,,技能作用半径（8格）、技能作用高度（4格），加血buff，近战攻击力增加buff，远程攻击力增加buff，cd时间（25s）,
248,熔渊渡,248,2,WalkOnLiquidWithOwner,可以在水面、岩浆上行走并不受到岩浆伤害，坐骑存在时玩家也可以在水面、岩浆上行走！,,,,,,,,,,,,,,,,,,,,,,,
249,碧海游,249,2,BreatheUnderWaterWithOwner,可以潜入水中，坐骑存在时玩家也可以在水下自由呼吸！,,,,,,,,,,,,,,,,,,,,,,,
250,亮晶晶,250,,,周身飘散着闪亮的水晶。,,,,,,,,,,,,,,,,,,,,,,,
251,水晶护盾,251,,CrystalShield,点击使用键可以生成护盾。,,20,,2012002,,,,,,,,,,,,shield249,,,,,,吸收伤害（20），cd（20）,
252,晶蝶献礼,252,,Gift,长按跳跃键蓄力随机获得一个礼物。,,25,,150142.1,,150156.1,,150136.1,,150165.1,,150172.1,,150182.1,,gift250,circle250,,,,,,
253,光焰,253,,Cab,背部喷射光焰！,,,,,,,,,,,,,,,,,,,,,,,
254,火焰,254,,Cab,背部喷射火焰！,,,,,,,,,,,,,,,,,,,,,,,
255,蓝焰,255,,Cab,背部喷射蓝焰！,,,,,,,,,,,,,,,,,,,,,,,
256,蒸汽喷射滑行,256,,AirDash,跳跃后在空中按下跳跃键，会往面朝方向疾速冲刺。,,370,,,,,,,,,,,,,,fire256,,,,,,,
257,蒸汽喷射滑行,257,,AirDash,跳跃后在空中按下跳跃键，会往面朝方向疾速冲刺。,,390,,,,,,,,,,,,,,fire257,,,,,,,
258,火力全开,258,,FullFire,点击使用键向前方发射一道激光柱对怪物造成伤害！,,25,,2202003,,,,,,,,,,,,fire258,fire259,,,,,cd（25s），伤害buff（2202002）,
259,百鸟逐行,259,,,周身有灵鸟追随前行。,,,,,,,,,,,,,,,,,,,,,,,
260,红绸同心,260,,SetRiddenNum,可以乘载两名乘客，带上你的小伙伴吧~,,2,,,,,,,,,,,,,,,,,,,,,
261,十里红妆,261,,MusicBoxMoon,点击使用键可以加速并恢复生命值持续一段时间。,,220001,,2010001,,15,,,,,,,,,,flower261,,,,,,加速buffid（220001），回血buffid（2010001）,
262,甜蜜糖果,262,,,周身飘散着糖果。,,,,,,,,,,,,,,,,,,,,,,,
263,全速前行,263,2,MusicBoxMoon,点击使用键可获短暂加速效果。,,220001,,,,10,,,,,,,,,,light265,,,ent.4663.attack1,,,加速buffid（220001），回血buffid（2010001）,
264,草莓追踪导弹,264,,TrackingBomb,长按跳跃键蓄力发射草莓追踪导弹，导弹会自动追击附近的怪物。,,15,,25,,12839,,0.5,,100,,300,,,,candy265,,,,,,目标半径/格，技能cd/秒，抛掷物ID，速度系数（会与抛掷物速度相乘导得到实际速度），抛掷物初始位置偏移（向前 格*100），抛掷物初始位置偏移（向上 格*100）,
265,月下飞花,265,,,周身有花朵飞舞。,,,,,,,,,,,,,,,,,,,,,,,
266,辉月无眠,266,,Sleep,在夜晚长按跳跃键蓄力可以跳过漫长黑夜进入白天。,,5,,,,,,,,,,,,,,moonlight265,,,,,,,
267,玉轮净域,267,,PurifyField,点击使用键释放净化能量，对周围敌人造成伤害，并为己方提供一个短暂的无敌状态。,,8,,4,,250001,,2204001,,25,,15,,,,water266,light266,,,,,半径（格），高度（格），目标buffid，自己buffid，技能cd（秒），技能特效播放时长（秒）,
268,浪迹天涯,268,,CPSkin,可以乘载两名乘客，貂蝉乘坐时触发特殊效果,,2,,514,,515,,,,,,,,,,diaochan268,,,ent.4786.attack1,,,,
269,量子晶能,269,,,身上的能量晶管有量子晶能涌现。,,,,,,,,,,,,,,,,,,,,,,,
270,光刃冲锋,270,2,HuYue,向前飞扑，对击中的怪物造成伤害。,,15,,15,伤害,5,,3,,,,,,,,,,,,,,,cd时间，攻击点数，格子数，技能范围半径
271,王者领域,271,2,Shock,长按跳跃键可发出狮吼，使周围的怪物陷入短暂昏迷状态。,,8,,4,,25,,2011001,,1,,,,,,energy270,light270,,ent.4791.attack1,,,,技能作用半径（8格）、技能作用高度（4格），cd时间（25s），buff id（2011001），cd位（按需填写，默认是0就可以）
272,铃摇雪舞,272,,,周身有雪花飞舞。,,,,,,,,,,,,,,,,,,,,,,,
273,清澈铃声,273,,LimpidRing,点击使用键发出清脆的震响，驱散怪物的敌意。,,8,,4,,10,,20,,,,,,,,light273,,,ent.4793.attack1,,,,技能作用半径（8格）、技能作用高度（4格），持续时间（10s），cd（20s）
274,欢快行进曲,274,,LivelySong,长按跳跃键奏出欢快旋律，驱散冒险家和坐骑身上的负面效果持续一段时间，并获得加速效果.,,20,,35,,2201002,,,,,,,,,,music274,light274,,ent.4793.attack2,,,,技能时间（20s）cd时间（35s），buff id（2201002）
275,浮泡环生,275,,,持续产生少量漂浮泡泡，缓慢上升后消失,,,,,,,,,,,,,,,,,,,,,,,
276,流光尾迹,276,,,移动时，身后有光尘拖尾效果,,,,,,,,,,,,,,,,,,,,,,,
277,流光彩,277,,,坐骑可随时间缓慢变化颜色,,,,,,,,,,,,,,,,,,,,,,,
278,普天同庆,278,,ClickUseAddBuff,点击使用，即可触发烟花庆典,,,,15,,3,,,,,,,,,,fireworks278,,,,,,,
279,坚固纪念,279,,FallParam,自带缓冲护佑，有效减免坠落伤害,,0.5,,,,,,,,,,,,,,,,,,,,,
280,流光特效,280,,,周身萦绕流光特效,,,,,,,,,,,,,,,,,,,,,,,
281,星星拖尾,281,,,移动时，身后有星星跟随闪动效果,,,,,,,,,,,,,,,,,,,,,,,
282,震荡爆冲,282,,CollisionBuff,满足撞击条件后，撞击会触发微电流爆炸，降低怪物生命值,,10,,15,,,,,,,,,,,,282,,,,,,,
283,能量牢笼,283,,BeastAttack,点击使用，向目标投掷闪电蛋，命中后造成伤害。,,2202003,,2,,0.8,,11588,,,100,,,,,283,,,,,,,
284,流光残影,284,,,移动时，身后有烟雾拖尾效果,,,,,,,,,,,,,,,,,,,,,,,
285,泡泡护盾,285,,BubbleShield,血量过低时自动生成护盾，护盾破裂时炸出泡泡对周围敌人造成伤害。,,60,,50,,15,,10,,3,,50,,,,bubbleshield285,bubbleshield285_1,,,,,,
286,涂鸦地雷,286,,Mine,点击使用键留下涂鸦地雷，怪物触发后受到伤害。,,60,,30,,10,,,,,,,,,,particles/graffitimine286.ent,particles/graffitimine286_1.ent,,,,,,
287,魔力清扫,287,2,ConchAnger,长按跳跃键扫出一片魔法波，对前方怪物造成伤害并强制击退。,,8,,4,,20,,4,,10,,,,,,magiccleanup287,,,,,,,技能作用半径（8格）、技能作用高度（4格），cd时间（20s），击退距离（4），伤害（10）
288,凌霄翼,241,2,ClickUseFlying,点击使用键可以在空中自由调整高度飞行！,,240,,15,,,,,,,,,,,,,,,,,,飞行高度 100(绝对高度，不是相对高度) 上升速度 15,
