ID[整型],名称[string],界面大类[整型](1事件 2条件 3动作 4取值 5流程控制 6变量 7自定义),界面子类[整型]【1通用，2游戏，3玩家，4生物，5方块，6道具，7变量，8控制，9自定义，10数学，11组，12计时器，13界面，14特效，15音频，16图文信息，17开发者，18赋值，19数据存储，21区域，22位置，23数值，24字符串，25布尔值，26生物类型，27排行榜，28一维表，29世界，30二维表，31对象，32角色，33实体，34投掷物，35掉落物，36蓝图】,形状类型[数值](1事件 2条件 3动作 4取值 5重复执行 6次数重复执行 7重复执行直到 8退出循环 9如果那么 如果那么否则 10保持等待直到),简略显示[数值]【在库里是否缩略显示，1=是，0=否】,描述[string],图标[string],"3.0组件场景筛选（-3 完全不显示,-2 只在选择器中使用,-1 全显示,0 实体 ，1  生物，2  玩家， 3 世界，4 空对象，5 方块5，6 UI，7 道具，8 状态，9 地形，11 配方，12 方块材质，13 熔炼编辑，14 区域，15 投掷物，16 位置，17 掉落物，1001 持续效果，1002 瞬时效果）",传参[string],左右值标记[整型]1常量0变量,返回值[整型],参数1类型[string],参数1默认值[string],参数2类型,参数2默认值,参数3类型,参数3默认值,参数4类型,参数4默认值,参数5类型,参数5默认值,参数6类型,参数6默认值,参数7类型,参数7默认值,参数8类型,参数8默认值,参数9类型,参数9默认值,参数10类型,参数10默认值,参数11类型,参数11默认值,显示控制（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见 3=4位数迷你号可见  4 = 仅国内可见  5 = 仅海外可见 6 = 仅国内开发者可见 7 = 仅海外开发者可见）,积木间距值（间距值默认为60，超过60会开始变高）,说明,是否显示详细说明（0和空不显示，1显示）,创建的版本,,,
60405003,对象有某个组件吗,2,31,2,1,%1 有 %2,,-1,,1,13,1048|1|0,,3002|0|0,,,,,,,,,,,,,,,,,,,,,,306845,1,1.44.0,337,,
60405002,对象是否存在,2,31,2,1,%1在场景中存在,,暂时不要,,1,13,1048|1|0,,,,,,,,,,,,,,,,,,,,,,,,仅支持场景内的对象,,1.44.0,338,,
60405004,对象类型判断,2,31,2,1,%1 是 %2,,暂时不要,,1,13,1048|1|0,,3066|1|2,5|3660001,,,,,,,,,,,,,,,,,,,,,306846,1,1.44.0,339,,
60405006,对象类型判断,2,31,2,1,%1 是 %2,,-1,,1,13,1048|1|0,,3140|1|2,5|4400001,,,,,,,,,,,,,,,,,,,,,,,1.50.0,340,,
60405005,对象外观判断,2,31,2,1,%1%2%3,,-1,,1,13,1060|1|0,3|60505010,1012|1|2,5|90001,1060|1|0,,,,,,,,,,,,,,,,,,0,,306847,1,1.44.0,341,,
60405007,对象拥有全部/任意标签,2,31,2,1,%1拥有%2%3标签，是否精确匹配%4,,-1,,1,13,3149|1|0,,3147|0|2,5|4470001,3149|1|0,,1014|1|0,5|320001,,,,,,,,,,,,,,,,,307510,,,,,
60405001,对象处于区域的判断,2,31,2,1,%1%2处于%3中,,-1,,1,13,1048|1|0,,1012|1|2,5|90001,1001|1|0,,,,,,,,,,,,,,,,,,0,95,306848,1,1.44.0,342,,
60300001,输出日志,3,1,3,1,输出%1%2,,-1,,,,3114|1|2,5|4140001,3115|1|0,,,,,,,,,,,,,,,,,,,,,,,,1.44.0,343,,
2040019,目标对象类型判断,2,31,2,1,事件中的目标对象类型是%1为%2,,-1,,1,13,1106|1|0,5|730001,1014|1|0,5|320001,,,,,,,,,,,,,,,,,,,0,,306849,1,1.42.0,344,,
3010001,设置全局天气模式,3,2,3,1,设置全局天气模式为%1,12,暂时不要,,,,1000|1|0,5|10003,,,,,,,,,,,,,,,,,,,,,0,,306033,1,1.42.0,345,,
3010013,设置地形组天气,3,2,3,1,设置%1的天气为%2，位置在%3,12,-1,,,,1137|1|0,5|990010,1000|1|0,5|10003,3143|1|0,3|60505020,,,,,,,,,,,,,,,,,0,,306850,1,1.44.0,346,,
3010011,发送服务器广播到所有云服房间,3,2,3,1,发送服务器广播%1到所有云服房间,12,-1,,,,1090|1|0,,,,,,,,,,,,,,,,,,,,,,0,100,306295,1,1.42.0,347,,
3010002,设置时间,3,2,3,1,设置游戏时间为%1,12,-1,,,,1005|1|0,1|0,,,,,,,,,,,,,,,,,,,,,0,,306851,1,1.42.0,348,,
3010015,增加时间,3,2,3,1,将游戏时间%1增加%2,12,-1,,,,3132|1|2,5|4320001,1005|1|0,1|0,,,,,,,,,,,,,,,,,,,0,,306034,1,1.50.0,349,,
3010007,设置时间流逝速度,3,2,3,1,设置游戏时间流逝速度为%1倍,12,-1,,,,1091|1|0,1|2,,,,,,,,,,,,,,,,,,,,,0,,306852,1,1.42.0,350,,
3010003,设置重力,3,2,3,1,设置重力为%1，位置在%2,12,-1,,,,1005|1|0,1|0,3143|1|0,3|60505020,,,,,,,,,,,,,,,,,,,0,100,306853,1,1.42.0,351,,
3010005,发送广播,3,2,3,1,发送广播%1,12,-1,,,,1090|1|0,,,,,,,,,,,,,,,,,,,,,,,,306854,1,1.42.0,352,,
3010006,发送广播并等待,3,2,3,1,发送广播%1并等待,12,-1,,,,1090|1|0,,,,,,,,,,,,,,,,,,,,,,,100,306855,1,1.42.0,353,,
3010008,设置全局天空盒贴图,3,2,3,1,设置%1为%2，位置在%3,12,-1,,,,1125|1|0,5|910001,1076|1|0,2|30001,3143|1|0,3|60505020,,,,,,,,,,,,,,,,,0,,306856,1,1.42.0,354,,
3010009,设置全局环境颜色,3,2,3,1,设置%1%2为%3，位置在%4,12,-1,,,,1124|1|0,5|900001,1126|1|0,5|920001,1056|1|0,1|0xFFFFFF,3143|1|0,3|60505020,,,,,,,,,,,,,,,0,,306857,1,1.42.0,355,,
3010010,设置全局环境参数(随时间变化),3,2,3,1,设置%1%2为%3，位置在%4,12,-1,,,,1124|1|0,5|900001,1127|1|0,5|930001,1005|1|0,1|20,3143|1|0,3|60505020,,,,,,,,,,,,,,,0,,306858,1,1.42.0,356,,
3010016,设置全局环境参数,3,2,3,1,设置%1为%2，位置在%3,12,-1,,,,3146|1|0,5|4460001,1005|1|0,1|20,3143|1|0,3|60505020,,,,,,,,,,,,,,,,,0,0,306627,1,1.52.0,,,
3010012,设置全局环境模板,3,2,3,1,设置当前环境为%1，位置在%2,12,-1,,,,1134|1|0,2|1,3143|1|0,3|60505020,,,,,,,,,,,,,,,,,,,0,,306859,1,1.42.0,357,,
3010014,设置全局环境开关,3,2,3,1,设置%1%2为%3，位置在%4,12,-1,,,,1124|1|0,5|900001,1139|1|0,5|1000001,1013|1|0,5|100001,3143|1|0,3|60505020,,,,,,,,,,,,,,,0,100,306860,1,1.42.0,358,,
3010004,设置游戏中途加入,3,2,3,1,设置中途加入游戏为%1,12,-1,,,,1013|1|2,5|100002,,,,,,,,,,,,,,,,,,,,,,100,306239,1,1.42.0,359,,
60302001,设置位置亮度,3,2,3,1,设置%1的亮度为%2，位置在%3,12,-1,,,,1002|1|0,3|40003,1005|1|0,1|0,3143|1|0,3|60505020,,,,,,,,,,,,,,,,,,,306440,1,1.50.0,360,,
3050004,设置玩家属性,3,3,3,1,设置%1的%2为%3,8,暂时不要,,,,1018|1|0,3|60009,1020|1|2,5|140001,1005|1|0,1|0,,,,,,,,,,,,,,,,,0,,306031,1,1.42.0,361,,
60303011,对玩家显示聊天框信息,3,3,3,1,对%1显示聊天框信息%2,10,-1,,,,3008|1|0,3|60009,3113|1|0,1|300198,,,,,,,,,,,,,,,,,,,0,,306861,1,1.44.0,362,,
60303010,对玩家显示飘窗文字,3,3,3,1,对%1显示飘窗文字%2,10,-1,,,,3008|1|0,3|60009,3113|1|0,1|300198,,,,,,,,,,,,,,,,,,,0,100,306862,1,1.44.0,363,,
3050007,设置玩家权限,3,3,3,1,设置%1的%2为%3,8,暂时不要,,,,1018|1|0,3|60009,1022|1|2,5|160001,1013|1|2,5|100001,,,,,,,,,,,,,,,,,0,100,306047,1,1.42.0,364,,
3050011,设置玩家位置,3,3,3,1,传送%1至%2,8,暂时不要,,,,1018|1|0,3|60009,1002|1|0,,,,,,,,,,,,,,,,,,,,0,,306036,1,1.42.0,365,,
60303002,设置玩家视角,3,3,3,1,设置%1的视角为%2，锁定%3,8,-1,,,,3008|1|0,3|60009,1004|1|0,5|30002,1013|1|2,5|100001,,,,,,,,,,,,,,,,,0,100,306863,1,1.44.0,366,,
3050012,设置玩家朝向,3,3,3,1,设置%1的朝向为%2,8,暂时不要,,,,1018|1|0,3|60009,1003|1|2,5|20001,,,,,,,,,,,,,,,,,,,0,,306055,1,1.42.0,367,,
60303003,添加道具至玩家背包,3,3,3,1,添加%1个%2至%3背包,8,-1,,,,1005|1|0,1|1,1028|1|0,2|200,3008|1|0,3|60009,,,,,,,,,,,,,,,,,0,,306864,1,1.44.0,368,,
60303018,创建道具至玩家,3,3,3,1,创建%1个%2至%3 %4,8,-1,,,,1005|1|0,1|1,1028|1|0,2|200,3008|1|0,3|60009,3031|1|2,5|3310001,,,,,,,,,,,,,,,,,306865,1,1.44.0,369,,
60303012,设置玩家道具,3,3,3,1,设置%1%2的道具为%3，数量为%4,8,-1,,,,3008|1|0,3|60009,1104|1|0,,1028|1|0,2|200,1005|1|0,1|1,,,,,,,,,,,,,,,0,,306866,1,1.44.0,370,,
60303049,设置玩家背包道具格子属性,3,3,3,1,设置%1的%2的%3属性为%4,8,-1,,,,1018|1|0,3|60009,1104|1|0,,3130|1|2,5|4300002,1091|1|0,1|1,,,,,,,,,,,,,,,0,100,306434,1,1.48.0,371,,
3050044,设置玩家移动方式,3,3,3,1,设置%1的移动方式为%2,8,暂时不要,,,,1018|1|0,3|60009,1077|1|0,5|530001,,,,,,,,,,,,,,,,,,,,,306109,1,1.42.0,372,,
60303013,移除玩家道具,3,3,3,1,移除%1%2的%3个道具,8,-1,,,,3008|1|0,3|60009,1104|1|0,,1005|1|0,1|1,,,,,,,,,,,,,,,,,0,,306867,1,1.44.0,373,,
60303004,删除玩家背包道具,3,3,3,1,%1%2身上的%3个%4,8,-1,,,,3041|1|2,5|3410001,3008|1|0,3|60009,1005|1|0,1|1,1028|1|0,2|200,,,,,,,,,,,,,,,0,,306868,1,1.44.0,374,,
3050054,移动玩家道具,3,3,3,1,移动%1身上%2个%3到%4,8,-1,,,,1018|1|0,3|60009,1005|1|0,1|1,1104|1|0,,1104|1|0,,,,,,,,,,,,,,,,0,,306869,1,1.42.0,375,,
3050055,交换玩家道具,3,3,3,1,交换%1身上%2到%3,8,-1,,,,1018|1|0,3|60009,1104|1|0,,1104|1|0,,,,,,,,,,,,,,,,,,0,,306870,1,1.42.0,376,,
3050053,清空玩家道具库,3,3,3,1,清空%1的所有%2,8,-1,,,,1018|1|0,3|60009,1103|1|0,5|710002,,,,,,,,,,,,,,,,,,,0,,306871,1,1.42.0,377,,
3050020,设置玩家视角,3,3,3,1,设置%1的视角为%2，锁定%3,8,暂时不要,,,,1018|1|0,3|60009,1004|1|2,5|30002,1013|1|2,5|100001,,,,,,,,,,,,,,,,,0,100,306145,1,1.42.0,378,,
3050036,设置玩家外观,3,3,3,1,设置%1的外观为%2,8,暂时不要,,,,1018|1|0,3|60009,1060|1|0,2|163,,,,,,,,,,,,,,,,,,,,,306056,1,1.42.0,379,,
3050079,设置玩家外观为某玩家外观,3,3,3,1,设置%1的外观为迷你号%2的玩家外观,8,暂时不要,,,,1018|1|0,3|60009,1010|1|0,,,,,,,,,,,,,,,,,,,,0,,306100,1,1.42.0,380,,
3050037,恢复玩家外观,3,3,3,1,恢复%1为初始外观,8,暂时不要,,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,,,306057,1,1.42.0,381,,
60303019,设置玩家道具不可丢弃,3,3,3,1,设置%1的%2 %3为%4,8,-1,,,,3008|1|0,3|60009,1028|1|0,2|200,3044|1|2,5|3440001,1013|1|0,5|100001,,,,,,,,,,,,,,,0,,306872,1,1.44.0,382,,
60303046,切换玩家快捷栏选中焦点,3,3,3,1,切换%1快捷栏选中焦点为槽位%2,8,-1,,,,3008|1|0,3|60009,1005|1|0,1|1,,,,,,,,,,,,,,,,,,,0,,306873,1,1.44.0,383,,
3050043,设置玩家名字,3,3,3,1,设置%1的名字为%2,8,暂时不要,,,,1018|1|0,3|60009,1010|1|0,1|1010008,,,,,,,,,,,,,,,,,,,2,,306249,1,1.42.0,384,,
3050024,玩家播放动画表情,3,3,3,1,使%2播放%1,8,暂时不要,,,,1041|1|0,2|1,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,0,100,306223,1,1.42.0,385,,
3050050,设置玩家道具,3,3,3,1,设置%1%2的道具为%3，数量为%4,8,暂时不要,,,,1018|1|0,3|60009,1104|1|0,,1028|1|0,2|200,1005|1|0,1|1,,,,,,,,,,,,,,,0,,306146,1,1.42.0,386,,
3050051,移除玩家道具,3,3,3,1,移除%1%2的%3个道具,8,暂时不要,,,,1018|1|0,3|60009,1104|1|0,,1005|1|0,1|1,,,,,,,,,,,,,,,,,0,,306147,1,1.42.0,387,,
3050059,对玩家打开世界中的箱子,3,3,3,1,对%1打开%2的箱子（有效范围约60个方块）,8,-1,,,,1018|1|0,3|60009,1002|1|0,3|40003,,,,,,,,,,,,,,,,,,,0,,306874,1,1.42.0,388,,
3050014,添加道具至玩家背包,3,3,3,1,添加%1个%2至%3背包,8,暂时不要,,,,1005|1|0,1|1,1028|1|0,2|200,1018|1|0,3|60009,,,,,,,,,,,,,,,,,0,,306035,1,1.42.0,389,,
60303040,对玩家打开工匠台,3,3,3,1,对%1打开 %2,8,-1,,,,1018|1|0,3|60009,3090|1|2,5|3900001,,,,,,,,,,,,,,,,,,,0,100,306875,1,1.44.0,390,,
3050035,删除玩家装备,3,3,3,1,删除%1%2中的装备,8,暂时不要,,,,1018|1|0,3|60009,1054|1|0,5|420001,,,,,,,,,,,,,,,,,,,,,306281,1,1.42.0,391,,
3050028,指定玩家道具不可丢弃,3,3,3,1,设置%1的%2不可丢弃为%3,8,暂时不要,,,,1018|1|0,3|60009,1028|1|0,2|200,1013|1|2,5|100001,,,,,,,,,,,,,,,,,0,,306282,1,1.42.0,392,,
3050029,指定玩家道具不可掉落,3,3,3,1,设置%1的%2不可掉落为%3,8,暂时不要,,,,1018|1|0,3|60009,1028|1|0,2|200,1013|1|2,5|100001,,,,,,,,,,,,,,,,,0,100,306283,1,1.42.0,393,,
3060001,添加玩家进玩家组,3,3,3,1,将%1添加进%2,8,-1,,,,1018|1|0,3|60009,1019|0|0,,,,,,,,,,,,,,,,,,,,0,,306876,1,1.42.0,394,,
3060002,从玩家组中移除玩家,3,3,3,1,将%1从%2中移除,8,-1,,,,1018|1|0,3|60009,1019|0|0,,,,,,,,,,,,,,,,,,,,0,,306877,1,1.42.0,395,,
3050016,丢弃玩家背包道具,3,3,3,1,丢弃%1身上的%2个%3,8,暂时不要,,,,1018|1|0,3|60009,1005|1|0,1|1,1028|1|0,2|200,,,,,,,,,,,,,,,,,0,,306149,1,1.42.0,396,,
3050017,删除玩家背包道具,3,3,3,1,删除%1身上的%2个%3,8,暂时不要,,,,1018|1|0,3|60009,1005|1|0,1|1,1028|1|0,2|200,,,,,,,,,,,,,,,,,0,,306150,1,1.42.0,397,,
3060003,清空玩家组,3,3,3,1,清空%1,8,-1,,,,1019|0|0,,,,,,,,,,,,,,,,,,,,,,0,100,306878,1,1.42.0,398,,
60303006,设置玩家的复活点,3,3,3,1,设置%1的 %2为%3，位置在%4,8,-1,,,,3008|1|0,3|60009,3065|1|2,5|3650002,1002|1|0,3|40003,3143|1|0,3|60505020,,,,,,,,,,,,,,,0,,306879,1,1.44.0,399,,
60303017,使玩家加入观战模式,3,3,3,1,使%1%2模式,8,-1,,,,3008|1|0,3|60009,3043|1|2,5|3430001,,,,,,,,,,,,,,,,,,,0,,306880,1,1.44.0,400,,
3050002,玩家复活到指定位置,3,3,3,1,使%1复活到%2，位置在%3,8,-1,,,,1018|1|0,3|60009,1002|1|0,3|40003,3143|1|0,3|60505020,,,,,,,,,,,,,,,,,0,,306881,1,1.42.0,401,,
60303007,使 玩家游戏胜利,3,3,3,1,使%1 获得游戏胜利,8,-1,,,,3008|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,,306882,1,1.44.0,402,,
3050025,对玩家显示飘窗文字,3,3,3,1,对%1显示飘窗文字%2,10,暂时不要,,,,1018|1|0,3|60009,1010|1|0,1|300198,,,,,,,,,,,,,,,,,,,0,,306039,1,1.42.0,403,,
3050027,对玩家显示聊天框信息,3,3,3,1,对%1显示聊天框信息%2,10,暂时不要,,,,1018|1|0,3|60009,1010|1|0,1|300198,,,,,,,,,,,,,,,,,,,0,100,306220,1,1.42.0,404,,
60303008,将 玩家 移出本局游戏,3,3,3,1,将%1移出本局游戏,8,-1,,,,3008|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,,306883,1,1.44.0,405,,
60303015,传送玩家到指定类型房间,3,3,3,1,传送%1到地图id为%2 类型为 %3的房间,8,-1,,,,3008|1|0,3|60009,1010|1|0,,3125|1|0,,,,,,,,,,,,,,,,,,0,,306268,1,1.46.0,406,,
60303042,修改当前房间类型,3,3,3,1,修改当前房间类型为 %1,8,-1,,,,1010|1|0,,,,,,,,,,,,,,,,,,,,,,0,,306268,1,1.46.0,407,,
3050026,玩家使用快捷栏道具,3,3,3,1,使用%1快捷栏选中道具,8,暂时不要,,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,100,306101,1,1.42.0,408,,
60303043,使玩家穿上装备,3,3,3,1,使%1穿上背包中的%2,32,-1,,,,1018|1|0,3|60009,1055|1|0,2|12202,,,,,,,,,,,,,,,,,,,,,306638,1,1.44.0,409,,
60303044,使玩家脱下装备,3,3,3,1,使%1脱下%2的装备至背包中,32,-1,,,,1018|1|0,3|60009,1054|1|0,,,,,,,,,,,,,,,,,,,,,,306639,1,1.44.0,410,,
60303048,设置玩家枪械权限,3,3,3,1,设置%1的%2为%3,32,-1,,,,3008|1|0,3|60009,3126|1|2,5|4260001,1013|1|0,5|100001,,,,,,,,,,,,,,,,,0,,,1,1.46.0,411,,
60303045,删除玩家装备,3,3,3,1,删除%1%2中的装备,32,-1,,,,1018|1|0,3|60009,1054|1|0,5|420001,,,,,,,,,,,,,,,,,,,,100,306640,1,1.44.0,412,,
3050056,移除玩家身上所有状态,3,3,3,1,清除%1身上所有状态,8,暂时不要,,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,,306251,1,1.42.0,413,,
3050057,移除玩家身上所有有害状态,3,3,3,1,清除%1身上所有有害状态,8,暂时不要,,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,,306252,1,1.42.0,414,,
3050058,设置玩家面向角度,3,3,3,1,设置%1面向角度为%2,8,暂时不要,,,,1018|1|0,3|60009,1005|1|0,1|90,,,,,,,,,,,,,,,,,,,0,,306253,1,1.42.0,415,,
60303009,传送玩家到其他房间,3,3,3,1,将%1传送到当前地图的其他房间,8,暂时不要,,,,3008|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,100,306271,1,1.44.0,416,,
3050089,设置玩家模型角度,3,3,3,1,设置%1 模型%2角度为%3,8,暂时不要,,,,1018|1|0,3|60009,1147|1|2,5|1480001,1005|1|0,1|90,,,,,,,,,,,,,,,,,0,,,,1.42.0,417,,
3050080,传送玩家到指定地图且指定类型房间,3,3,3,1,将%1传送到地图id为%2类型为%3的房间,8,暂时不要,,,,1018|1|0,3|60009,1010|1|0,,1010|1|0,,,,,,,,,,,,,,,,,,0,,306269,1,1.42.0,418,,
3050090,使玩家对玩家赠送礼物,3,3,3,1,对%1显示赠送礼物弹窗，接收者为%2,8,暂时不要,,,,1018|1|0,3|60009,1018|1|0,3|60010,,,,,,,,,,,,,,,,,,,2,,306263,1,1.42.0,419,,
3050060,对玩家打开工匠台,3,3,3,1,对%1打开工匠台,8,暂时不要,,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,,306255,1,1.42.0,420,,
3050005,给予玩家状态,3,3,3,1,给予%1%2状态，永久持续%3，持续%4秒,8,暂时不要,,,,1018|1|0,3|60009,1037|1|0,2|4001,1014|1|0,5|320002,1005|1|0,1|0,,,,,,,,,,,,,,,0,,306041,1,1.42.0,421,,
60303014,传送玩家到指定地图且指定类型房间,3,3,3,1,将%1传送到地图id为%2类型为%3的房间,8,暂时不要,,,,3008|1|0,3|60009,1010|1|0,,1010|1|0,,,,,,,,,,,,,,,,,,0,,306269,1,1.44.0,422,,
3050006,移除玩家状态,3,3,3,1,移除%1的%2状态,8,暂时不要,,,,1018|1|0,3|60009,1037|1|0,2|4001,,,,,,,,,,,,,,,,,,,0,,306256,1,1.42.0,423,,
60303016,对玩家显示游戏内弹窗,3,3,3,1,对%1 %2 %3弹窗,8,-1,,,,3008|1|0,3|60009,1013|1|2,5|100002,1141|1|2,5|1420002,,,,,,,,,,,,,,,,,0,100,306884,1,1.44.0,424,,
3050031,替换玩家状态,3,3,3,1,将%1身上的%2替换为%3，永久持续%4，持续%5秒,8,暂时不要,,,,1018|1|0,3|60009,1037|1|0,2|4001,1037|1|0,2|8001,1014|1|0,5|320002,1005|1|0,1|0,,,,,,,,,,,,,0,100,306257,1,1.42.0,425,,
60303005,使玩家对玩家申请好友/赠送礼物,3,3,3,1,使%1向房间内的玩家%2发送%3,8,-1,,,,1018|1|0,3|60009,1018|1|0,3|60010,3057|1|2,5|3570001,,,,,,,,,,,,,,,,,2,,306885,1,1.44.0,426,,
3050001,击败玩家,3,3,3,1,击败%1,8,暂时不要,,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,,306258,1,1.42.0,427,,
60303020,设置玩家滤镜的颜色,3,3,3,1,设置%1的滤镜颜色为%2,8,-1,,,,3008|1|0,3|60009,1056|1|0,1|0xFFFFFF,,,,,,,,,,,,,,,,,,,0,,306886,1,1.44.0,428,,
3050052,发送房间内好友申请,3,3,3,1,使%1向房间内的%2发送好友申请,8,暂时不要,,,,1018|1|0,3|60009,1018|1|0,3|60010,,,,,,,,,,,,,,,,,,,0,,306263,1,1.42.0,429,,
3050003,设置玩家复活点,3,3,3,1,设置%1的复活点为%2,8,暂时不要,,,,1018|1|0,3|60009,1002|1|0,3|40003,,,,,,,,,,,,,,,,,,,0,,306262,1,1.42.0,430,,
60303021,设置玩家滤镜的参数,3,3,3,1,设置%1的滤镜%2为%3，位置在%4,8,-1,,,,3008|1|0,3|60009,1129|1|0,5|950001,1005|1|0,1|50,3143|1|0,3|60505020,,,,,,,,,,,,,,,0,,306887,1,1.44.0,431,,
60303022,设置玩家滤镜的色彩风格,3,3,3,1,设置%1滤镜的色彩风格为%2，位置在%3,8,-1,,,,3008|1|0,3|60009,1135|1|0,2|1,3143|1|0,3|60505020,,,,,,,,,,,,,,,,,0,,306888,1,1.44.0,432,,
60303023,设置玩家的滤镜模板,3,3,3,1,设置%1滤镜模板为%2，位置在%3,8,-1,,,,3008|1|0,3|60009,1136|1|0,2|1,3143|1|0,3|60505020,,,,,,,,,,,,,,,,,0,,306889,1,1.44.0,433,,
60303024,设置玩家天空盒贴图(动效),3,3,3,1,设置%1的%2为%3，动画%4，时长%5秒，位置在%6,8,-1,,,,3008|1|0,3|60009,1125|1|0,5|910001,1076|1|0,2|30001,1112|1|2,5|850002,1005|1|0,1|1,3143|1|0,3|60505020,,,,,,,,,,,,,306890,1,1.44.0,434,,
3050023,玩家胜利,3,3,3,1,使%1获得游戏胜利,8,暂时不要,,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,,306264,1,1.42.0,435,,
60303025,设置玩家天空盒颜色(动效),3,3,3,1,设置%1%2为%3，动画%4，时长%5秒，位置在%6,8,-1,,,,3008|1|0,3|60009,1126|1|0,5|920001,1056|1|0,1|0xFFFFFF,1112|1|2,5|850002,1005|1|0,1|1,3143|1|0,3|60505020,,,,,,,,,,,,,306891,1,1.44.0,436,,
60303026,设置玩家滤镜的颜色(动效),3,3,3,1,设置%1的滤镜颜色为%2，动画%3，时长%4秒，位置在%5,8,-1,,,,3008|1|0,3|60009,1056|1|0,1|0xFFFFFF,1112|1|2,5|850002,1005|1|0,1|1,3143|1|0,3|60505020,,,,,,,,,,,,,,100,306892,1,1.44.0,437,,
60303027,设置玩家摄像机角度,3,3,3,1,设置%1的摄像机角度为世界坐标水平%2度，垂直%3度,8,-1,,,,3008|1|0,3|60009,1005|1|0,1|1,1005|1|0,1|1,,,,,,,,,,,,,,,,,0,,306893,1,1.44.0,438,,
3050008,移除玩家,3,3,3,1,将%1移出本局游戏,8,暂时不要,,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,,306265,1,1.42.0,439,,
60303028,抖动玩家摄像机,3,3,3,1,抖动%1摄像机%2秒，强度为%3,8,-1,,,,3008|1|0,3|60009,1005|1|0,1|2,1005|1|0,1|100,,,,,,,,,,,,,,,,,,,306894,1,1.44.0,440,,
3050066,传送玩家到指定地图,3,3,3,1,将%1传送到地图id为%2的地图,8,暂时不要,,,,1018|1|0,3|60009,1010|1|0,,,,,,,,,,,,,,,,,,,,0,,306266,1,1.42.0,441,,
3050067,传送玩家到指定房间,3,3,3,1,将%1传送到房间id为%2的地图,8,暂时不要,,,,1018|1|0,3|60009,1010|1|0,,,,,,,,,,,,,,,,,,,,0,,306267,1,1.42.0,442,,
3050078,传送玩家到指定类型房间,3,3,3,1,将%1传送到类型为%2的房间,8,暂时不要,,,,1018|1|0,3|60009,1010|1|0,,,,,,,,,,,,,,,,,,,,0,,306268,1,1.42.0,443,,
60303029,停止玩家摄像机抖动,3,3,3,1,停止%1摄像机抖动,8,-1,,,,3008|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,,,306895,1,1.44.0,444,,
3050081,对玩家显示好友邀请弹窗,3,3,3,1,对%1显示好友邀请弹窗,8,暂时不要,,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,,306270,1,1.42.0,445,,
60303030,使玩家摄像机移动,3,3,3,1,使%1的摄像机%2坐标值%3%4(与世界坐标比例为100:1)，动画%5，时长%6秒,8,暂时不要,,,,3008|1|0,3|60009,1133|1|2,5|980001,1120|1|2,5|840001,1005|1|0,1|10,1112|1|2,5|850002,1005|1|0,1|1,,,,,,,,,,,0,,306120,1,1.44.0,446,,
60303039,使玩家摄像机移动,3,3,3,1,使%1的摄像机%2坐标值%3%4(方块坐标)，动画%5，时长%6秒,8,-1,,,,3008|1|0,3|60009,1133|1|2,5|980001,1120|1|2,5|840001,1005|1|0,1|10,1112|1|2,5|850002,1005|1|0,1|1,,,,,,,,,,,0,,306896,1,1.44.0,447,,
60303031,使玩家摄像机旋转,3,3,3,1,使%1的摄像机%2角度%3%4，动画%5，时长%6秒,8,-1,,,,3008|1|0,3|60009,1133|1|2,5|980001,1120|1|2,5|840001,1005|1|0,1|45,1112|1|2,5|850002,1005|1|0,1|1,,,,,,,,,,,0,,306897,1,1.44.0,448,,
60303032,设置玩家摄像机视场角(FOV),3,3,3,1,使%1的摄像机视场角(FOV)%2%3，动画%4，时长%5秒,8,-1,,,,3008|1|0,3|60009,1120|1|2,5|840001,1005|1|0,1|45,1112|1|2,5|850002,1005|1|0,1|1,,,,,,,,,,,,,0,,306898,1,1.44.0,449,,
60303033,设置玩家摄像机权限,3,3,3,1,设置%1的摄像机%2为%3,8,-1,,,,3008|1|0,3|60009,1130|1|2,5|960001,1013|1|2,5|100001,,,,,,,,,,,,,,,,,0,,306899,1,1.44.0,450,,
3050068,传送玩家组到其他房间,3,3,3,1,将%1传送到当前地图的其他房间,8,暂时不要,,,,1019|1|0,3|60006,,,,,,,,,,,,,,,,,,,,,0,100,306271,1,1.42.0,451,,
3050009,玩家加入观战模式,3,3,3,1,使%1加入观战模式,8,暂时不要,,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,,306272,1,1.42.0,452,,
