方块ID,方块名称,预制文件名,英文名称,插件用名称[必填/不能有空格],繁体名称,海外开放（0和空为在国内海外都开放，1为只在国内开放，2为只在海外开放）,类别,插件编辑[大于0开放插件编辑，1=综合，2=彩色，3=建筑],触发器开放[1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块],地形编辑器开放[1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块],成长后替换的模型ID,插件编辑模板[0=不是模板，1=作为模板],变换颜色,鼠标点击碰撞,移动碰撞[0=空气， 1=固体， 2= 液体， 3=不阻挡投射物，4=空气挡子弹，5=不阻挡物理],阻挡水流（0=不阻挡，1=阻挡，2=被流沙同化，3=覆盖阻挡）,"推动标识-0:普通推动后续方块, 1:推动碾碎, 2:不能推动",重力影响方式0:不影响， 1: 沙子会下坠， 2: 流体会往低处流， 3：花草会破坏,PlaceDir(0：没有方向，1：和放置的面相关，类似火把，  2：和自己视线的方向相关，类似楼梯),放置可直接替换,植物标识（填了1就视为是植物方块）,生长时间（生长阶段数|阶段生成时间）,覆雪标识[默认0=不覆雪 1=覆雪],爆炸抗性,硬度,地滑程度,燃烧速度,点燃概率,毒液侵蚀速度,充能状态,掉落物1,掉落概率1,掉落物2,掉落概率2,空手掉落物,空手掉落概率,采集掉落经验,掉落经验概率,掉落的星星数量（数组，两个值随机）,"遮挡旁边块0: 不遮挡， 1: 遮挡， 2： 根据厚度来定,  3: 遮挡相同材质",光衰减,光源强度,使用旁边方块的光照,高度（block),贴图1,贴图2/模型类这里填模型名称,prefab资源（用到prefab资源的方块填此字段）,走在上面声音,挖的声音,放置的声音,精准掉落物品,采集工具/1=斧头，2=镐，3=铲子，5=剪刀,工具等级（1=石，2=铜，3=铁，4=铝，5=钛，6=钴，7=钨）,随机颜色【地形生成树的时候会从三个颜色里等概率随机一个，以012的形式存于blockdata】,小地图颜色,分数,特殊数据1,可被投掷物击碎,特效名字,蓝图方块分类[多类相加，1=不能复制 2=不消耗 4=有方向的方块 8=随机数 16=多方向 32=不能替换],所需材料替换方块[蓝图],物理碰撞（0-无碰撞，1-满1格碰撞，2-不满一格的碰撞，3-门那种， 6-会根据方块data改变形状）,微缩透明度(0全透 15不透明),微缩发光度(0最亮 15不发光),温度源强度（用于计算温度源的热传导）,温度衰减（用于计算温度源的传热衰减）,植物生长温度区间（1=冻结，2=极寒，3=寒冷，4=适宜，5=炎热，6=极热，7=自燃；不在适宜温度区间则会降低生长速度，仅对cropper，flowergrow，melonstem，shrub这几个type生效；0或不填则不开启）,"多格方块类型(0非多格,1多格例如床钢琴箱子等)",韧度值,LOD等级(默认为0，0=强制显示),是否产生阴影(默认为1),是否按屏幕空间大小的方式裁剪(默认是1),破坏中的掉落粒子使用的特效文件，填文件名称，默认填空为使用通用粒子；文件地址：CommonResource\Assets\Resources\minigame\prefab\particles,破坏后的掉落粒子使用的特效文件，填文件名称，默认填空为使用通用粒子；文件地址：CommonResource\Assets\Resources\minigame\prefab\particles,挖掘附属特效（例如石头-火花）,可否被变向（0没有方向无法变向，1四向，2六、八向，3特殊处理）,自发光颜色,不透明度(0-255),"方块结构标识-0:可被推动、转动, 1:推动、转动碾碎, 2:不能推动、转动",里世界交互标识（0不可被交互，1可被交互）,PBR功能贴图,蓝图方块价值,替换绘制类型（BlockDrawType）,是否可活化,HDR自发光强度系数
734,普通宝箱,,Chest,Chest,,,simplechest,1,4,,,,,1,1,1,2,0,0,,,,,-1,-1,1,0,,0,,0,0,0,0,0,0,,,,2,1,0,,1,box1,,,blocks.wood,blockd.wood,,0,0,,,a26262,,,,,1,,1,15,15,,1,,,,3,,,,,,0,,17,0,1,,0,,,
735,精致宝箱,,ExquisiteChest,ExquisiteChest,,,simplechest,,,,,,,1,1,1,2,0,0,,,,,-1,-1,1,0,,0,,0,0,0,0,0,0,,,,2,1,0,,1,box2,,,blocks.wood,blockd.wood,,0,0,,,503625,,,,,1,,1,15,15,,1,,,,3,,,,,,0,,17,0,1,,0,,,
736,黄金宝箱,,GoldChest,GoldChest,,,simplechest,,,,,,,1,1,1,2,0,0,,,,,-1,-1,1,0,,0,,0,0,0,0,0,0,,,,2,1,0,,1,box3,,,blocks.wood,blockd.wood,,0,0,,,f9cb0e,,,,,1,,1,15,15,,1,,,,3,,,,,,0,,17,0,1,,0,,,
737,简易罐子,,Jar,Jar,,,jar,1,4,,,,,1,4,1,0,0,0,,,,,3,0,1,0,,0,,0,0,0,0,0,0,1,5000,"1,1",2,1,0,,1,jar1,jar,,blocks.stone,blockd.jar,blockd.stone,737,0,1,,ddc2b7,1,,1,,1,,0,15,15,,1,,,,2,,,,,,0,,17,0,1,,0,,1,
738,陶土罐子,,ClayJar,ClayJar,,,jar,1,4,,,,,1,4,1,0,0,0,,,,,3,0,1,0,,0,,0,0,0,0,0,0,1,5000,"1,1",2,1,0,,1,jar2,jar,,blocks.stone,blockd.jar,blockd.stone,738,0,1,,edc3d4,1,,1,,1,,0,15,15,,1,,,,2,,,,,,0,,17,0,1,,0,,1,
739,彩陶罐子,,PaintedClayJar,PaintedClayJar,,,jar,1,4,,,,,1,4,1,0,0,0,,,,,3,0,1,0,,0,,0,0,0,0,0,0,1,5000,"1,1",2,1,0,,1,jar3,jar,,blocks.stone,blockd.jar,blockd.stone,739,0,1,,f7def7,1,,1,,1,,0,15,15,,1,,,,2,,,,,,0,,17,0,1,,0,,1,
740,熔岩之石,,LavaStone,LavaStone,,,dragonegg,1,4,,,,,1,1,1,2,0,0,,,,,500,200,1,0,,0,,740,10000,0,0,740,10000,,,,2,1,15,1,1,dragonegg_lava,dragonegg,,blocks.stone,blockd.stone,,740,2,1,,c6dcc6,,,,,33,,1,15,0,,1,,,999,,,,,,,0,956035,17,2,0,,0,26,,
741,混乱之石,,ChaosStone,ChaosStone,,,dragonegg,1,4,,,,,1,1,1,2,0,0,,,,,-1,-1,1,0,,0,,0,0,0,0,0,0,,,,2,1,15,1,1,dragonegg_chaos,dragonegg,,blocks.stone,blockd.stone,,0,0,,,49a6e9,,,,,33,,1,15,0,,1,,,,,,,,,,0,7b6588,17,2,0,,0,26,,
742,混乱雕像,,ChaosStatue,ChaosStatue,,,dragoncup,1,4,,,,,1,1,1,2,0,1,,,,,100,25,1,0,,0,,742,10000,0,0,742,10000,,,,2,1,15,1,1,dragoncup1,,,blocks.stone,blockd.stone,,742,2,1,,231d3d,,,,,33,,1,15,0,,1,,,10,,,,,,,0,8e74a9,17,2,0,,0,26,,2
743,熔岩宝罐,,LavaJar,LavaJar,,,jar,1,4,,,,,1,0,1,2,0,0,,,,,-1,0,1,0,,0,,0,0,0,0,0,0,,,,2,1,0,,1,jar4,jar,,blocks.stone,blockd.jar,blockd.stone,0,0,1,,decc23,50,,,,33,,0,15,15,,1,,,,,,,,,,0,,17,2,0,,0,,1,
744,混乱宝罐,,ChaosJar,ChaosJar,,,jar,1,4,,,,,1,0,1,2,0,0,,,,,-1,0,1,0,,0,,0,0,0,0,0,0,,,,2,1,0,,1,jar4,jar,,blocks.stone,blockd.jar,blockd.stone,0,0,1,,decc23,50,,,,33,,0,15,15,,1,,,,,,,,,,0,,17,2,0,,0,,1,
745,硫黄弓手图腾,,SulfurArcherTotem,SulfurArcherTotem,,,mobspawner,,4,,,,,1,1,1,2,0,0,,,,,30,10,1,0,,0,,0,0,0,0,0,0,,,,2,1,0,,1,spawner,,,blocks.stone,blockd.stone,,0,2,1,,a6a899,,,,,33,,1,15,15,,1,,,1,3,,,,,,0,,17,2,1,,0,,,
746,熔岩雕像,,LavaStatue,LavaStatue,,,dragoncup,1,4,,,,,1,1,1,2,0,1,,,,,100,25,1,0,,0,,746,10000,0,0,746,10000,,,,2,1,15,1,1,dragoncup2,,,blocks.stone,blockd.stone,,746,2,1,,27212f,,,,,33,,1,15,0,,1,,,10,,,,,,,0,e3bf42,17,2,0,,0,26,,2
747,物资罐,,SupplyJar,SupplyJar,,,jar,1,4,,,,,1,0,1,0,0,0,,,,,0,0,1,0,,0,,0,0,0,0,0,0,1,5000,"1,1",2,1,0,,1,jar3,jar,,blocks.stone,blockd.jar,blockd.stone,739,0,1,,f7def7,1,,,,33,,0,15,15,,1,,,,,,,,,,0,,17,0,1,,0,,1,
748,萤火虫玻璃瓶,,FireflyBottle,FireflyBottle,,,glassbottle,1,4,,3419,,,1,1,1,0,0,0,,,,,3,0,1,0,,0,,0,0,0,0,0,0,,,,2,1,8,,1,glassjar,glassjar,,blocks.stone,blockd.glass,blockd.stone,748,2,1,,ffffff,1,,1,item_748.ent,,,0,8,0,,1,,,1,3,,,,,,0,,17,0,1,,0.2,,,2
749,铜薄板,,BrassStep,BrassStep,,,slab,1,4,4,,,,1,1,3,0,0,1,,,,,50,12,1,0,,0,,749,10000,0,0,749,10000,,,,2,15,0,,1,brass_block,,,blocks.stone,blockd.stone,,749,2,1,,b5a642,,,,,,,2,15,15,,1,,,10,,,,,,,0,,255,0,1,,1,26,,
750,铁制薄板,,MithsilverStep,MithsilverStep,,,slab,1,4,4,,,,1,1,3,0,0,1,,,,,50,12,1,0,,0,,750,10000,0,0,750,10000,,,,2,15,0,,1,mithsilver_block,,,blocks.stone,blockd.stone,,750,2,1,,5d605d,,,,,,,2,15,15,,1,,,10,,,,,,,0,,255,0,1,,1.5,26,,
751,炽炎薄板,,FlameCrystalStep,FlameCrystalStep,,,slab,1,4,4,,,,1,1,3,0,0,1,,,,,50,12,1,0,,0,,751,10000,0,0,751,10000,,,,2,15,4,,1,flamecrystal_block,,,blocks.stone,blockd.stone,,751,2,1,,fac117,,,,,,,2,15,15,,1,,,10,,,,,,,0,f8c100,255,0,1,,1,,,2
752,钛合金薄板,,TitaniumStep,TitaniumStep,,,slab,1,4,4,,,,1,1,3,0,0,1,,,,,50,12,1,0,,0,,752,10000,0,0,752,10000,,,,2,15,0,,1,titanium_block,,,blocks.stone,blockd.stone,,752,2,1,,ffffff,,,,,,,2,15,15,,1,,,10,,,,,,,0,,255,0,1,,3,26,,
753,铜楼梯,,BrassStair,BrassStair,,,stair,1,4,4,,,,1,1,1,0,0,2,,,,,50,12,1,0,,0,,753,10000,0,0,753,10000,,,,2,15,0,1,1,brass_block,stair,,blocks.stone,blockd.stone,,753,2,1,,b5a642,,,,,4,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,2,26,1,
754,铁制楼梯,,MithsilverStair,MithsilverStair,,,stair,1,4,4,,,,1,1,1,0,0,2,,,,,50,12,1,0,,0,,754,10000,0,0,754,10000,,,,2,15,0,1,1,mithsilver_block,stair,,blocks.stone,blockd.stone,,754,2,1,,5d605d,,,,,4,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,3,26,1,
755,炽炎楼梯,,FlameCrystalStair,FlameCrystalStair,,,stair,1,4,4,,,,1,1,1,0,0,2,,,,,50,12,1,0,,0,,755,10000,0,0,755,10000,,,,2,15,4,1,1,flamecrystal_block,stair,,blocks.stone,blockd.stone,,755,2,1,,fac117,,,,,4,,2,15,15,,1,,,10,,,,,,,2,f8c100,255,0,1,,2,,1,2
756,钛合金楼梯,,TitaniumStair,TitaniumStair,,,stair,1,4,4,,,,1,1,1,0,0,2,,,,,50,12,1,0,,0,,756,10000,0,0,756,10000,,,,2,15,0,1,1,titanium_block,stair,,blocks.stone,blockd.stone,,756,2,1,,ffffff,,,,,4,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,6,26,1,
757,藏宝图宝箱,,PyratsChest,PyratsChest,,,simplechest,,,,,,,1,1,1,2,0,0,,,,,50,15,1,0,,0,,0,0,0,0,0,0,,,,2,1,0,,1,box1,,,blocks.wood,blockd.wood,,0,1,1,,ba706b,,,,,33,,1,15,15,,1,,,10,3,,,,,,0,,17,0,1,,0,,1,
758,沉船宝箱,,BoatChest,BoatChest,,,simplechest,,,,,,,1,1,3,2,0,0,,,,,50,15,1,0,,0,,0,0,0,0,0,0,,,,2,1,0,,1,box1,,,blocks.wood,blockd.wood,,0,1,1,,ba706b,,,,,33,,1,15,15,,1,,,10,3,,,,,,0,,17,0,1,,0,,1,
759,沉船普通箱,,BoatNormalChest,BoatNormalChest,,,simplechest,,,,,,,1,1,1,2,0,0,,,,,50,15,1,0,,0,,0,0,0,0,0,0,,,,2,1,0,,1,box1,,,blocks.wood,blockd.wood,,0,1,1,,ba706b,,,,,33,,1,15,15,,1,,,10,3,,,,,,0,,17,0,1,,0,,1,
760,冬温花种子,,WinterFlowerSeed,WinterFlowerSeed,,,flowergrow,,1,,761,,,1,0,0,1,3,0,,1,2|24|24,,4,0,1,0,,15,,760,10000,0,0,760,10000,,,,0,1,0,,1,warmwinterflowers,warmwinterflowersseed,,,blockd.grass,,760,0,1,,c28907,,,,,,,0,15,15,,1,3,,,3,0,,,,,0,,17,1,1,,0.2,,,2
761,冬温花,,WinterFlower,WinterFlower,,,colorflower,,1,1,,,,1,0,0,1,3,0,,,,,4,0,1,0,,15,,761,10000,0,0,761,10000,,,,2,1,5,,1,warmwinterflowers,warmwinterflowers,,,blockd.grass,,761,0,1,,c28907,,,,,,,0,15,15,,1,,1,,3,0,,,,,0,87afb7,17,1,1,,0.2,,,2
762,枯灌木丛树苗,,DeadThicketSapling,DeadThicketSapling,,,sapling,,1,,763,,,1,0,0,1,3,0,,1,1|48,,1,0,1,5,60,5,,11825,10000,0,0,11825,10000,,,,0,1,0,,1,sapling_deadbush,sapling_bush,,,blockd.grass,,11825,,1,,7c6037,,,1,,,,0,15,15,,1,,,,,,,,,,0,,17,1,1,,0.2,,,
763,枯灌木丛,,DeadThicket,DeadThicket,,,thicket,1,1,1,,,,1,0,0,1,3,0,,,,,1,0,1,15,100,15,,763,10000,0,0,763,10000,,,,2,1,0,,1,deadthicket,thicket_snow,,,blockd.grass,,392,1,1,,7c6037,0.12,,1,,,,0,15,15,,1,,,1,2,,,,,,0,,17,1,0,,0.2,,,
764,庇佑雪莲,,SnowLotus,SnowLotus,,,colorflower,,1,1,,,,1,0,0,1,3,0,,,,,5,2,1,0,,0,,764,10000,0,0,764,10000,,,,0,1,5,,1,snow_lotus,snow_lotus,,,blockd.grass,,764,0,1,,c28907,1,,,,,,0,15,15,,1,,,,3,0,,,,,0,87afb7,17,1,1,,1,,,2
765,远古之石,,AncentEgg,AncentEgg,,,dragonegg,1,4,,,,,1,1,1,2,0,0,,,,,500,-1,1,0,,0,,765,10000,0,0,765,10000,,,,2,1,15,1,1,dragonegg_ancent,dragonegg,,blocks.stone,blockd.stone,,765,2,1,,c6dcc6,,,,,33,,1,15,0,,1,,,999,,,,,,,0,9f9072,17,2,0,,0,26,,
766,星辉古树叶,,StarTreeLeaf,StarTreeLeaf,,,grayleaf,,1,1,,,,1,1,3,0,0,0,,,,,4,0,1,10,60,10,,11226,1500,0,0,11226,1500,,,,0,3,0,1,1,leaves_startree,newleaves_general,,blocks.grass,blockd.grass,,766,1,1,,264c1b,,,1,,,,0,15,15,,1,,,1,4,,,block_knock_sy_1,block_knock_sy_2,,0,,51,0,1,,0.2,,,
767,星辉古树干,,StarTreeWood,StarTreeWood,,,log,1,1,1,,,,1,1,1,0,0,0,,,,1,25,15,1,2,5,2,,11323,20000,0,0,11323,20000,,,,2,1,0,1,1,log_startree,,,blocks.wood,blockd.wood,,767,1,1,,7c6037,,,,,4,,1,15,15,,1,,,1,,,,,,,0,,17,0,1,,0.2,,1,
768,星辉古树柳叶,,StarTreeLeaf2,StarTreeLeaf2,,,grayleaf,,1,1,,,,1,1,3,0,0,0,,,,,4,0,1,10,60,10,,11226,1500,0,0,11226,1500,,,,0,3,8,1,1,leaves_startree2,startreeleaves_model,,blocks.grass,blockd.grass,,768,1,1,,264c1b,,,1,,,,0,15,15,,1,,,1,4,,,block_knock_sy_1,block_knock_sy_2,,0,fbecff,51,0,1,,0.2,,,8
770,蘑古草块,,MoguGrassBlock,MoguGrassBlock,,,grass,1,3,3,,,,1,1,1,0,0,0,,,,1,7,3,1,0,,0,,770,10000,0,0,770,10000,,,,1,15,0,,1,mogugrass,,,blocks.grass,blockd.grass,,770,3,1,,ADD8E6,,,,,,,1,15,15,,6,,,,,,,,,,0,,255,0,1,,0.2,,1,
771,蘑古耕地,,MoguArableland,MoguArableland,,,farmland,1,3,3,,,,1,1,1,0,0,0,,,,,7,3,1,0,,0,,200247,10000,0,0,200247,10000,,,,2,15,0,,1,moguarableland,fine_dirt_block,,blocks.grass,blockd.grass,,771,3,1,,6c5a1a,,,,,,200247,1,15,15,,6,,,,,,,,,,0,,255,0,1,,0,,1,
772,蘑古土坑,,MoguBuryland,MoguBuryland,,,buryland,1,3,3,,,,1,1,1,0,0,0,,,,,7,3,1,0,,0,,200247,10000,0,0,200247,10000,,,,2,15,0,,1,moguburyland,fine_dirt_block,,blocks.grass,blockd.grass,,772,3,1,,6c5a1a,,,,,,200247,1,15,15,,6,,,,,,,,,,0,,255,0,1,,0,,1,
780,跳舞厅,,MiniClub,MiniClub,,,miniclub,,5,,,,,1,1,1,0,0,2,,,,,50,-1,1,0,,0,,780,10000,0,0,780,10000,,,,2,15,0,1,1,miniclub,miniclub,,blocks.stone,blockd.stone,,780,2,1,,636573,,,,,33,,2,15,15,,1,,,10,,,,,,,0,,255,0,1,,0,,,2
781,石制创造锤方块,,,,,,hammer,,,,,,,1,1,1,0,0,1,,,,,100,10,1,0,,0,,11613,10000,0,0,11613,10000,,,,1,1,0,,1,stone_hammer,stone_hammer,,blocks.stone,blockd.stone,,11613,2,1,,a6a899,,,,,4,,2,15,15,,1,,,1,3,,,,,,0,,17,0,1,,0.2,,,
782,黄铜创造锤方块,,,,,,hammer,,,,,,,1,1,1,0,0,1,,,,,200,15,1,0,,0,,11614,10000,0,0,11614,10000,,,,1,1,0,,1,scopper_hammer,scopper_hammer,,blocks.stone,blockd.stone,,11614,2,1,,d2abaa,,,,,4,,2,15,15,,1,,,10,3,,,,,,0,,17,0,1,,0.5,,,
783,铁制创造锤方块,,,,,,hammer,,,,,,,1,1,1,0,0,1,,,,,300,20,1,0,,0,,11615,10000,0,0,11615,10000,,,,1,1,0,,1,siron_hammer,siron_hammer,,blocks.stone,blockd.stone,,11615,2,1,,d2abaa,,,,,4,,2,15,15,,1,,,15,3,,,,,,0,,17,0,1,,1,,,
784,钛金创造锤方块,,,,,,hammer,,,,,,,1,1,1,0,0,1,,,,,400,25,1,0,,0,,11616,10000,0,0,11616,10000,,,,1,1,0,,1,sti_hammer,sti_hammer,,blocks.stone,blockd.stone,,11616,2,1,,81c9fb,,,,,4,,2,15,15,,1,,,20,3,,,,,,0,,17,0,1,,1,,,
785,符文附魔台,,FuseTable,FuseTable,,,fusetable,1,5,,,,,1,1,1,0,0,1,,,,,400,25,1,0,,0,,785,10000,0,0,785,10000,,,,1,1,0,,1,fusetable,enchanttable,,blocks.stone,blockd.stone,,785,2,1,,6786d9,,,,,4,,1,15,15,,1,,,20,,,,,,,0,,17,0,1,,1,,1,2
794,石锅,,StonePot,StonePot,,,pot,,,,,,,1,1,1,2,0,0,,,,,50,10,1,0,,0,,794,10000,0,0,794,10000,,,,1,1,0,,1,stonepot,stonepot,,blocks.stone,blockd.stone,,794,2,1,,a6a899,,,,,,200108,0,15,15,,1,,,1,3,,,,,,0,,17,0,1,,0,,,
795,烹饪台,,MithsilverPot,MithsilverPot,,,pot,,,,,,,1,1,1,2,0,0,,,,,50,15,1,0,,0,,795,10000,0,0,795,10000,,,,1,1,0,,1,mithsilver_pot,mithsilver_pot,,blocks.stone,blockd.stone,,795,2,1,,a6a899,,,,,,200109,0,15,15,,1,,,20,3,,,,,,0,,17,0,1,,0,,,
796,不完整工匠台,,IncompleteToolbox,IncompleteToolbox,,,crafting,,,,,,,1,1,1,2,0,0,,,,,50,6,1,0,,0,,796,10000,0,0,796,10000,,,,1,1,0,,1,brokencrafttable,brokencrafttable,,blocks.stone,blockd.stone,,796,2,1,,a6a899,,,,,,797,1,15,15,,1,,,20,3,,,,,,0,,17,0,1,,0,,1,
797,工匠台,,Toolbox,Toolbox,,,crafting,1,5,,,,,1,1,1,2,0,0,,,,,50,6,1,0,,0,,797,10000,0,0,797,10000,,,,1,1,0,,1,intact_table,intact_table,,blocks.stone,blockd.stone,,797,2,1,,a6a899,,,,,4,,1,15,15,,1,,,20,3,,,,,,0,,17,0,1,,0.5,26,1,2
798,铁冶炼台,,MithsilverFurnace,MithsilverFurnace,,,smelter,1,5,,,,,1,1,1,2,0,2,,,,,50,12,1,0,,0,,798,10000,0,0,798,10000,,,,2,0,0,,1,mithsilver_smelter,mithsilver_smelter,,blocks.stone,blockd.stone,,798,2,1,,d2abaa,,,,,4,,1,15,15,7,1,,,10,3,,,,,,1,ffdb5d,0,0,1,,1.5,26,1,
799,铜冶炼台,,BrassFurnace,BrassFurnace,,,smelter,1,5,,,,,1,1,1,2,0,2,,,,,50,12,1,0,,0,,799,10000,0,0,799,10000,,,,2,0,0,,1,brass_smelter,brass_smelter,,blocks.stone,blockd.stone,,799,2,1,,d2abaa,,,,,4,,1,15,15,7,1,,,10,3,,,,,,1,ffdb5d,0,0,1,,1,26,1,
800,不完整工匠台,,Toolbox,Toolbox,,,crafting,1,5,,,,,1,1,1,0,0,2,,,,,16,9,1,2,20,2,,800,10000,0,0,800,10000,,,,2,1,0,,1,incomplete_table,incomplete_table,,blocks.wood,blockd.wood,,800,2,1,,a86649,,,,,,797,1,15,15,,1,,,1,3,,,,,,1,,17,0,1,,0,,1,
801,储物箱,,StorageBox,StorageBox,,,chest,1,5,,,,,1,1,1,2,0,2,,,,,24,10,1,1,20,1,,801,10000,0,0,801,10000,,,,2,,0,,1,chest,chest,,blocks.wood,blockd.wood,,801,1,1,,ad4136,,,,,4,,1,15,15,,1,,,1,,,,,,,1,,0,2,1,,0.5,26,1,
802,冶炼台,,SmeltingFurnace,SmeltingFurnace,,,smelter,1,5,,,,,1,1,1,2,0,2,,,,,50,12,1,0,,0,,802,10000,0,0,802,10000,,,,2,0,0,,1,rock_smelter,rock_smelter,,blocks.stone,blockd.stone,,802,2,1,,d2abaa,,,,,4,,1,15,15,7,1,,,10,3,,,,,,1,ffdb5d,0,0,1,,0.5,26,1,
803,游戏版本过低,,,,,,colorherbs,,,,,,,1,2,0,0,0,1,,,,,10,10,1,0,,0,,706,10000,0,0,706,0,,,,3,1,0,,1,web,,,,blockd.stone,,803,1,1,,,,,,,,,0,15,15,,1,,,1,3,0,,,,,0,,17,2,0,,0,,,
804,奇怪石头,,StrangeStone,StrangeStone,,,basic,,,,,,,1,1,1,0,3,0,,,,,100,50,1,0,,0,,104,10000,0,0,0,0,,,,0,1,0,,1,0,,,blocks.stone,blockd.stone,,804,2,1,,,,,,,1,,1,15,15,,1,,,10,,,,,,,0,,17,0,1,,0,,1,
805,奇怪石块,,StrangeRock,StrangeRock,,,basic,,,,,,,1,1,1,0,3,0,,,,,100,50,1,0,,0,,505,10000,0,0,0,0,,,,0,1,0,,1,0,,,blocks.stone,blockd.stone,,805,2,1,,,,,,,1,,1,15,15,,1,,,10,,,,,,,0,,17,0,1,,0,,1,
806,奇怪石砖,,StrangeStoneBrick,StrangeStoneBrick,,,basic,,,,,,,1,1,1,0,3,0,,,,,100,50,1,0,,0,,501,10000,0,0,0,0,,,,0,1,0,,1,0,,,blocks.stone,blockd.stone,,806,2,1,,,,,,,1,,1,15,15,,1,,,10,,,,,,,0,,17,0,1,,0,,1,
807,奇怪青石,,StrangeMossStone,StrangeMossStone,,,basic,,,,,,,1,1,1,0,3,0,,,,,100,50,1,0,,0,,503,10000,0,0,0,0,,,,0,1,0,,1,0,,,blocks.stone,blockd.stone,,807,2,1,,,,,,,1,,1,15,15,,1,,,10,,,,,,,0,,17,0,1,,0,,1,
808,奇怪裂石砖,,StrangeCrazedStoneBrick,StrangeCrazedStoneBrick,,,basic,,,,,,,1,1,1,0,3,0,,,,,100,50,1,0,,0,,502,10000,0,0,0,0,,,,0,1,0,,1,0,,,blocks.stone,blockd.stone,,808,2,1,,,,,,,1,,1,15,15,,1,,,10,,,,,,,0,,17,0,1,,0,,1,
809,奇怪花纹石砖,,StrangePatternedStoneBrick,StrangePatternedStoneBrick,,,basic,,,,,,,1,1,1,0,3,0,,,,,100,50,1,0,,0,,504,10000,0,0,0,0,,,,0,1,0,,1,0,,,blocks.stone,blockd.stone,,809,2,1,,,,,,,1,,1,15,15,,1,,,10,,,,,,,0,,17,0,1,,0,,1,
810,怪物召集石,,SummoningStone,SummoningStone,,,mobspawner,,,,,,,1,1,1,0,0,0,,,,,100,30,1,0,,0,,0,0,0,0,0,0,,,,1,1,0,,1,spawner,,,blocks.stone,blockd.stone,,0,2,1,,,,,,,1,,1,15,15,,1,,,10,3,,,,,,0,,17,0,1,,0,,,
811,陷阱箱,,Trapbox,,,,basic,,,,,,,1,1,1,0,0,2,,,,,24,10,1,0,,0,,811,10000,0,0,811,10000,,,,2,15,0,,1,,,,blocks.wood,blockd.wood,,811,1,1,,,,,,,4,,1,15,15,,1,,,1,,,,,,,0,,255,0,1,,0,,1,
812,轻木门,,WoodDoor,WoodDoor,,,door,3,5,,,,,1,1,1,1,3,2,,,,,24,12,1,1,20,1,,812,10000,0,0,812,10000,,,,0,1,0,,2,door_wood,,,blocks.wood,blockd.wood,,812,1,1,,412b0f,,,,,4,,3,15,15,,1,,1,10,,,,,,,0,,17,1,0,,0.5,,,
813,绳索,,RopeLadder,RopeLadder,,,ladder,1,5,5,,,,1,0,1,0,3,1,,,,,5,1,1,2,20,1,,813,10000,0,0,813,10000,,,,0,1,0,,1,ladder,ladder,,blocks.ladder,blocks.ladder,,813,1,1,,e09f50,,,,,4,,0,15,15,,1,,,1,3,,,,,,0,,17,0,1,,0.5,,,
814,铁门,,MithsilverDoor,MithsilverDoor,,,door,3,5,,,,,1,1,1,1,3,2,,,,,60,24,1,0,,2,,814,10000,0,0,814,10000,,,,0,1,0,,2,door_mithsilver,door_mithsilver,,blocks.stone,blockd.stone,,814,2,1,,353b43,,,,,4,,3,15,15,,1,,1,10,,,,,,,0,,17,1,0,,1.5,,,
815,黄铜星能幕布,,StarenergyBoard,StarenergyBoard,,,notice,1,5,,,,,1,0,1,2,3,2,,,,,16,9,1,2,20,0,,815,10000,0,0,815,10000,,,,2,1,0,,1,notice_brass,,,,blockd.wood,,815,1,1,,d09e77,,,,,16,,0,15,15,,1,,,1,2,,,,,,2,,17,2,0,,1,,,2
816,巨布鲁果灯,,BlueFruiteLantern,BlueFruiteLantern,,,log,,,,,,,1,1,1,1,0,2,,,,1,16,9,1,0,,0,,816,10000,0,0,816,10000,,,,1,1,15,,1,bluefruite_lantern,,,blocks.wood,blockd.wood,,816,1,1,,d74d08,,,,,4,,1,15,0,,1,,,1,3,,,,,,2,cec294,17,1,1,,1,,1,2
817,火炬,,Torch,Torch,,,torch,,,,,,,1,0,0,1,3,1,,,,,1,0,1,0,,0,,817,10000,0,0,817,10000,,,,0,1,14,,1,torch_on,,,,blockd.wood,,817,0,1,,ffff15,,,,,4,,0,15,0,,1,,,,2,,,,,,0,e3c662,17,1,0,,0.2,,,
818,星能幕布（依附方块）,,,,,,notice,,,,,,,1,0,1,2,3,2,,,,,16,9,1,0,,0,,815,10000,0,0,815,10000,,,,2,1,0,,1,notice_brass,,,,blockd.wood,,815,1,1,,d09e77,,,,,4,815,0,15,15,,1,,,1,2,,,,,,2,,17,2,0,,0,,,2
819,黑龙蛋,,BlackDragonEgg,BlackDragonEgg,,,basic,,,,,,,1,1,1,0,3,0,,,,,100,15,1,0,,0,,819,10000,0,0,819,10000,,,,2,1,1,,1,,,,,blockd.stone,,819,0,1,,,,,,,33,,1,15,0,,1,,,,,,,,,,0,,17,0,1,,0,,1,
