 ,名称[string],界面大类[整型](      1.AI事件 2.AI装饰器 3.AI组合 4.AI条件 5.AI动作 6.AI取值 7.AI变量),"界面子类[整型]【1通用，2游戏，3玩家，4生物，5方块，6道具，7变量，8控制，9自定义，10数学，11组，12计时器，13界面，14特效，15音频，16图文信息，17开发者，18赋值，19数据存储，21区域，22位置，23数值，24字符串，25布尔值，26生物类型，27排行榜，28表,29世界,30对象,32角色,34投掷物，35掉落物101搜索对象 , 102移动, 103攻击 ， 150 内部节点】",形状类型[数值](      1.AI事件 2.AI装饰器 3.AI组合 4.AI条件 5.AI动作 6.AI取值 7.AI变量 8.全局变量  9.AI根节点),简略显示[数值]【在库里是否缩略显示，1=是，0=否】,描述[string],图标[string],使用场景过滤[string],传参[string],左右值标记[整型]1可读0可读写,返回值[整型],参数1类型[string],参数1默认值[string],参数2类型,参数2默认值,参数3类型,参数3默认值,参数4类型,参数4默认值,参数5类型,参数5默认值,参数6类型,参数6默认值,参数7类型,参数7默认值,参数8类型,参数8默认值,显示控制（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见 3=4位数迷你号可见  4 = 仅国内可见  5 = 仅海外可见 6 = 仅国内开发者可见 7 = 仅海外开发者可见 8 = 不显示）,积木间距值（间距值默认为60，超过60会开始变高）,说明,"生成规则[ 0 =lua ,1=c++]",真排序,节点版本控制：        0： 节点在全版本显示     .2： UGC2.0版本显示   3.  UGC3.0版本显示,备注
500410,设置生物位置,5,4,5,1,传送%1至%2,5,"1,1,0,1,1,0",,,,1031|1|0,3|600400,1002|1|0,,,,,,,,,,,,,,,,,,512,,
500411,改变生物属性,5,4,5,1,使%1的%2%3%4,5,"1,1,0,1,1,0",,,,1031|1|0,3|600400,1035|1|2,5|140001,1120|1|2,5|840001,1005|1|0,1|1,,,,,,,,,,,9401034,,511,,
500412,改变生物模型,5,4,5,1,改变%1的模型外观为%2,5,"1,1,0,1,1,0",,,,1031|1|0,3|600400,1060|1|0,2|163,,,,,,,,,,,,,,,9401029,,514,,
500413,替换生物,5,4,5,1,"替换%1为%2,%3保留血量百分比",5,"1,1,0,1,1,0",,,,1031|1|0,,1032|1|0,2|3400,1012|1|2,5|90001,,,,,,,,,,,,,9401030,,515,,
500414,骑乘生物,5,4,5,1,使此生物骑乘%1,5,"1,1,0,1,1,0",,,,1031|1|0,,,,,,,,,,,,,,,,,,9401031,,516,2,
500415,创建生物,5,4,5,1,在%1创建%2生物,5,"1,1,0,1,1,0",,,,1002|1|0,,1032|1|0,2|3400,,,,,,,,,,,,,,,,,517,,
500416,击败生物,5,4,5,1,击败%1,5,"1,1,0,1,1,0",,,,1031|1|0,,,,,,,,,,,,,,,,,,9401055,,518,,
500417,删除生物,5,4,5,1,删除%1,5,"1,1,0,1,1,0",,,,1031|1|0,,,,,,,,,,,,,,,,,,9401056,,519,,
500418,抱起生物,5,4,5,1,使此生物抱起%1,5,"1,1,0,1,1,0",,,,1031|1|0,,,,,,,,,,,,,,,,,,,,520,,
500419,放下抱起的生物,5,4,5,1,使此生物放下正在抱着的生物,5,"1,1,0,1,1,0",,,,,,,,,,,,,,,,,,,,,100,,,521,,
500420,设置生物死亡掉落,5,4,5,1,"设置此生物死亡时,%1%的概率,掉落%2个%3",5,"1,1,0,1,1,0",,,,1005|1|0,100,1005|1|0,100,1028|1|0,2|200,,,,,,,,,,,,,,,532,,
500421,使生物播放动画表情,5,4,5,1,使%1播放%2,5,"1,1,0,1,1,0",,,,1031|1|0,3|600400,1041|1|0,2|1,,,,,,,,,,,,,,,,,523,,
500422,改变组内生物的属性,5,4,5,1,使%1的%2%3%4,5,"1,1,0,1,1,0",,,,1033|1|0,,1020|1|2,5|140001,1120|1|2,5|840001,1005|1|0,1|1,,,,,,,,,,100,9401033,,512,,
500423,骑乘生物,5,4,5,1,使此生物骑乘%1，可控制%2，生物行为%3,5,"1,1,0,1,1,0",,,,1031|1|0,,1013|1|2,5|100002,1013|1|2,5|100002,,,,,,,,,,,,,,,525,3,
500424,取消生物主动骑乘,5,4,5,1,使此生物取消主动骑乘,5,"1,1,0,1,1,0",,,,,,,,,,,,,,,,,,,,,100,,,526,3,
500425,看向目标,5,4,5,1,"看向%1,持续%2秒",5,"1,1,0,1,1,0",,,,1048|1|0,,1005|1|0,1|5,,,,,,,,,,,,,,,,,527,,
500426,取消生物被动骑乘,5,4,5,1,使%1取消被骑乘状态,5,"1,1,0,1,1,0",,,,1031|1|0,,,,,,,,,,,,,,,,2,100,,,526,3,26寒假
500427,持续朝向对象,5,4,5,1,朝向 %1，持续 %2 秒,5,"1,1,0,1,1,0",,,,1048|1|0,,1005|1|0,1|1,,,,,,,,,,,,,2,,,,527,,
500430,设置当前移动方式,5,4,5,1,设置%1当前移动方式为%2,5,"1,1,0,1,1,0",,,,1031|1|0,3|600400,1211|1|0,5|2110001,,,,,,,,,,,,,2,,,,528,,
500431,设置血条显示与隐藏,5,4,5,1,设置%1的血条显示为%2,5,"1,1,0,1,1,0",,,,1031|1|0,3|600400,1013|1|2,5|100002,,,,,,,,,,,,,,,,,529,,
500432,弃用-设置搜寻时受到视线阻挡,5,4,5,1,%1搜寻目标时，%2受到视线阻挡,5,"1,1,0,1,1,0",,,,1031|1|0,3|600400,1012|1|2,5|90001,,,,,,,,,,,,,8,,9401032,,530,,
500433,设置生物飞行高度,5,4,5,1,"当%1可飞行时,飞行高度为%2",5,"1,1,0,1,1,0",,,,1031|1|0,3|600400,1005|1|0,1|10,,,,,,,,,,,,,,,,,531,,
500434,设置允许生物开门,5,4,5,1,"设置允许%1开门,%2随手关门",5,"1,1,0,1,1,0",,,,1031|1|0,3|600400,1012|1|2,5|90002,,,,,,,,,,,,,,100,,,532,,
500435,设置生物主人,5,4,5,1,设置%1的主人为%2,5,"1,1,0,1,1,0",,,,1031|1|0,3|600400,1048|1|0,,,,,,,,,,,,,,2,,,,528,,
500436,改变生物avatar,5,4,5,1,设置%1的%2为%3,5,"1,1,0,1,1,0",,,,1031|1|0,3|600400,3155|1|0,,3154|1|0,,,,,,,,,,,,2,,,,,,26寒假
500440,使生物向前跳跃,5,4,5,1,"使%1向前跳跃,跳跃高度%2格,跳跃距离%3格",5,"1,1,0,1,1,0",,,,1031|1|0,3|600400,1005|1|0,,1005|1|0,,,,,,,,,,,,,,,,533,,
500441,踢开生物,5,4,5,1,"距离%1%2格子时,以%3的力量踢开",5,"1,1,0,1,1,0",,,,1031|1|0,,1005|1|0,,1005|1|0,,,,,,,,,,,,,,,,534,,
500442,在地上睡觉,5,4,5,1,使%1睡%2秒,5,"1,1,0,1,1,0",,,,1031|1|0,3|600400,1005|1|0,,,,,,,,,,,,,,,100,,,537,,
500443,设置移动能力开关,5,4,5,1,设置%1移动能力%2为%3,5,"1,1,0,1,1,0",,,,1031|1|0,3|600400,3107|1|0,5|4070001,1013|1|2,5|100002,,,,,,,,,,,,,,,536,,
500444,设置当前移动方式,5,4,5,1,设置%1当前移动方式为%2,5,"1,1,0,1,1,0",,,,1031|1|0,3|600400,3106|1|0,5|4060001,,,,,,,,,,,,,,100,,,537,,
500445,在床上睡觉,5,4,5,1,去%1的床睡觉,5,"1,1,0,1,1,0",,,,1002|1|0,,,,,,,,,,,,,,,,,,,,537,,
500446,起床,5,4,5,1,起床,5,"1,1,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,537,,
500449,向饲料槽放入饲料,5,4,5,1,将%1个%2道具放入%3格内最近的饲料槽,5,"1,1,0,1,1,0",,,,1005|1|0,1|1,1028|1|0,2|200,1005|1|0,1|20,,,,,,,,,,,2,,,,538,,26寒假
500450,去饲料槽进食,5,4,5,1,寻找%1格内的饲料槽进食,5,"1,1,0,1,1,0",,,,1005|1|0,1|1,,,,,,,,,,,,,,,2,,,,538,,
500451,找窝进行孵化,5,4,5,1,找%1格的窝进行孵化,5,"1,1,0,1,1,0",,,,1005|1|0,1|1,,,,,,,,,,,,,,,2,,,,539,,
500452,可爱动物-开始睡觉,5,4,5,1,内部-%1开始睡觉,5,"1,1,0,1,1,0",,,,1031|1|0,,,,,,,,,,,,,,,,2,,9401055,,518,,
500453,可爱动物-停止睡觉,5,4,5,1,内部-%1停止睡觉,5,"1,1,0,1,1,0",,,,1031|1|0,,,,,,,,,,,,,,,,2,,9401055,,518,,
500454,内部-生物进入窝,5,4,5,1,内部-%1进入%2的宠物窝,5,"1,1,0,1,1,0",,,,1031|1|0,,1002|1|0,,,,,,,,,,,,,,2,,9401055,,518,,26寒假
500455,内部-生物离开窝,5,4,5,1,内部-%1离开窝,5,"1,1,0,1,1,0",,,,1031|1|0,,,,,,,,,,,,,,,,2,,9401055,,518,,26寒假
500456,内部-生物与生物交互,5,4,5,1,内部-%1与%2交互,5,"1,1,0,1,1,0",,,,1031|1|0,,1031|1|0,,,,,,,,,,,,,,2,,9401055,,518,,26寒假
500501,挖掘方块,5,5,5,1,"靠近%1并挖掘,%2方块掉落,挖掘距离%3格",2,"1,1,0,1,1,0",,,,1002|1|0,,1013|1|2,5|100002,1005|1|0,1|5,,,,,,,,,,,,,,1,600,,
500502,与方块交互,0,5,0,1,与%1的方块进行交互,2,"1,1,0,1,1,0",,,,1002|1|0,,,,,,,,,,,,,,,,,,,,601,,
500503,破坏方块,5,5,5,1,"破坏%1位置的方块,%2方块掉落",2,"1,1,0,1,1,0",,,,1002|1|0,,1013|1|2,5|100002,,,,,,,,,,,,,,,9401035,,602,,
500504,放置方块,5,5,5,1,在%1放置%2，朝向为%3,2,"1,1,0,1,1,0",,,,1002|1|0,,1025|1|0,2|200,1003|1|2,5|20001,,,,,,,,,,,,,9401036,,603,,
500505,替换方块,5,5,5,1,替换在%1上的方块为%2，朝向%3,2,"1,1,0,1,1,0",,,,1002|1|0,,1025|1|0,2|200,1003|1|2,5|20001,,,,,,,,,,,,100,9401037,,604,,
500506,破坏区域内的方块,5,5,5,1,"破坏%1内的方块,间隔%2秒,%3方块掉落",2,"1,1,0,1,1,0",,,,1001|1|0,,1005|1|0,1|0,1013|1|2,5|100002,,,,,,,,,,,0,,9401037,,605,,
500507,挖掘区域内的方块,5,5,5,1,"挖掘%1内的方块,%2方块掉落,速度%3倍",2,"1,1,0,1,1,0",,,,1001|1|0,,1013|1|2,5|100002,1005|1|0,1|1,,,,,,,,,,,,,,1,606,,
500508,内部-搜寻并攻击建筑,5,5,5,1,"搜寻%1格内的建筑并靠近破坏,攻击间隔%2,伤害值%3,攻击距离%4",2,"1,1,0,1,1,0",,,,1005|1|0,,1005|1|0,1|1,1005|1|0,1|10,1005|1|0,1|2,,,,,,,,,2,,,,607,,
500509,使用道具与方块交互,5,5,5,1,使用%1道具与%2的方块交互,2,"1,1,0,1,1,0",,,,1028|1|0,2|200,1002|1|0,,,,,,,,,,,,,,2,,,,608,,
500520,在指定范围内播种种子,5,5,5,1,"在%1中心位置，长%2宽%3高%4,使用%5播种,播种间隔%6秒",2,"1,1,0,1,1,0",,,,1002|1|0,,1005|1|0,1|1,1005|1|0,1|1,1005|1|0,1|1,1028|1|0,2|200,1005|1|0,1|1,,,,,2,,,,,,26寒假
500525,在指定范围内耕种,5,5,5,1,"在%1中心位置,长%2宽%3高%4,使用含%5的道具耕地,耕地间隔%6秒",2,"1,1,0,1,1,0",,,,1002|1|0,,1005|1|0,1|1,1005|1|0,1|1,1005|1|0,1|1,3149|1|0,,1005|1|0,1|1,,,,,2,,,,,,26寒假
500530,在指定范围内采集,5,5,5,1,"在%1中心位置，长%2宽%3高%4,进行采集,采集间隔%5秒",2,"1,1,0,1,1,0",,,,1002|1|0,,1005|1|0,1|1,1005|1|0,1|1,1005|1|0,1|1,1005|1|0,1|1,,,,,,,2,,,,,,26寒假
500602,向箱子存入特定道具,5,6,5,1,将%1个%2存储到%3,1,"1,1,0,1,1,0",,,,1005|1|0,1|1,1028|1|0,2|200,1002|1|0,,,,,,,,,,,,,,9401038,,608,,
500603,拿出背包道具并放在手上,5,6,5,1,把背包内%1放在手上,1,"1,1,0,1,1,0",,,,1028|1|0,2|200,,,,,,,,,,,,,,,,,9401039,,700,,
500604,生成道具并直接放入背包,5,6,5,1,生成%1%2个并直接放入背包,1,"1,1,0,1,1,0",,,,1028|1|0,2|200,1005|1|0,1|1,,,,,,,,,,,,,,,9401040,,701,,
500605,拾取周边道具并放入背包,5,6,5,1,捡起周边%1格内的%2放入背包,1,"1,1,0,1,1,0",,,,1005|1|0,1|10,1028|1|0,2|200,,,,,,,,,,,,,,,9401041,,702,,
500606,生成道具并直接放在手上,5,6,5,1,生成%1并直接放在手上,1,"1,1,0,1,1,1",,,,1028|1|0,2|200,,,,,,,,,,,,,,,,,,,703,,
500607,使用道具,5,6,5,1,"使用%1,%2需要有此物品",1,"1,1,0,1,1,1",,,,1028|1|0,2|200,1012|1|2,5|90002,,,,,,,,,,,,,,100,,,709,,
500608,内部-幸存者拾道具,5,6,5,1,自动拾周边%1格道具,1,"1,1,0,1,1,0",,,,1005|1|0,,,,,,,,,,,,,,,,2,,,,704,,
500609,给予对象道具,5,6,5,1,"给予%1%2个%3,%4凭空产生",1,"1,1,0,1,1,0",,,,1048|1|0,,1005|1|0,1|1,1028|1|0,2|200,1012|1|2,5|90002,,,,,,,,,,100,,,710,,
500610,消耗对象道具,5,6,5,1,消耗%1%2个%3,1,"1,1,0,1,1,0",,,,1048|1|0,,1005|1|0,1|1,1028|1|0,2|200,,,,,,,,,,,,,,,710,,
500611,扔出道具,5,6,5,1,"扔出%1个%2,距离%3格,%4凭空产生",1,"1,1,0,1,1,0",,,,1005|1|0,1|1,1028|1|0,2|200,1005|1|0,1|1,1012|1|2,5|90002,,,,,,,,,,,,,706,,
500612,手持道具放入背包,5,6,5,1,将手持道具放入背包,1,"1,1,0,1,1,0",,,,,,,,,,,,,,,,,,,,,100,,,704,,
500613,装备指定道具,5,6,5,1,装备%1道具,1,"1,1,0,1,1,0",,,,1028|1|0,2|200,,,,,,,,,,,,,,,,100,,,704,,
500614,脱下装备,5,6,5,1,脱下%1的装备至背包中,1,"1,1,0,1,1,0",,,,1054|1|0,,,,,,,,,,,,,,,,,,,,705,,
500615,装备带指定标签的道具,5,6,5,1,装备包含%2%1道具,1,"1,1,0,1,1,0",,,,3149|1|0,,3147|0|2,5|4470002,,,,,,,,,,,,,2,100,,,704,,
500616,抢夺对象手持道具,5,6,5,1,抢夺%1手持道具，%2放到手上,1,"1,1,0,1,1,0",,,,1048|1|0,,1012|1|2,5|90002,,,,,,,,,,,,,2,100,,,704,,
500617,发送召集消息,5,2,5,1,向周围%1格内生物发送召集消息%2，发送冷却%3秒，接收冷却%4秒,12,"1,1,0,1,1,0",,,,1005|1|0,1|10,1005|1|0,1|1,1005|1|0,1|3,1005|1|0,1|15,,,,,,,,,2,,9401417,,705,,
500618,向对象发送召集消息,5,2,5,1,向%1发送召集消息%2，发送冷却%3秒，接收冷却%4秒,12,"1,1,0,1,1,0",,,,1048|1|0,,1005|1|0,1|1,1005|1|0,1|3,1005|1|0,1|15,,,,,,,,,2,,9401418,,706,,
500620,从箱子取出特定道具,5,6,5,1,从%1箱子取出%2个%3,1,"1,1,0,1,1,0",,,,1002|1|0,,1005|1|0,1|1,1028|1|0,2|200,,,,,,,,,,,,,,,609,,
500621,从箱子取出特定标签道具,5,6,5,1,从%1箱子取出%2个包含%4%3的道具,1,"1,1,0,1,1,0",,,,1002|1|0,,1005|1|0,1|1,3149|1|0,,3147|0|2,5|4470002,,,,,,,,,2,,,,610,,
500630,向箱子存入特定标签道具,5,6,5,1,向%1箱子存入%2个包含%4%3的道具,1,"1,1,0,1,1,0",,,,1002|1|0,,1005|1|0,1|1,3149|1|0,,3147|0|2,5|4470002,,,,,,,,,2,100,,,611,,
500631,背包内道具全部放入箱子,5,6,5,1,向%1箱子存入所有的背包道具,1,"1,1,0,1,1,0",,,,1002|1|0,,,,,,,,,,,,,,,,2,,,,,,26寒假
500650,随身合成道具,5,6,5,1,随身合成%1个%2,1,"1,1,0,1,1,0",,,,1005|1|0,1|1,1028|1|0,2|200,,,,,,,,,,,,,,,,,750,,
500651,在工作台合成道具,5,6,5,1,在%1工作台合成%2个%3,1,"1,1,0,1,1,0",,,,1002|1|0,,1005|1|0,1|1,1028|1|0,2|200,,,,,,,,,,,,100,,,751,,
500660,向冶炼台中填充道具,5,6,5,1,向%1冶炼台填充%2个%3,1,"1,1,0,1,1,0",,,,1002|1|0,,1005|1|0,1|1,1028|1|0,2|200,,,,,,,,,,,,,,,752,,
500661,从冶炼台中拿取燃料,5,6,5,1,从%1冶炼台中拿取燃料,1,"1,1,0,1,1,0",,,,1002|1|0,,,,,,,,,,,,,,,,,,,,753,,
500662,从冶炼台中拿取产物,5,6,5,1,从%1冶炼台中拿取产物,1,"1,1,0,1,1,0",,,,1002|1|0,,,,,,,,,,,,,,,,,,,,754,,
500663,从冶炼台中拿取原料,5,6,5,1,从%1冶炼台中拿取原料,1,"1,1,0,1,1,0",,,,1002|1|0,,,,,,,,,,,,,,,,,100,,,755,,
500670,获取石锅内食材,5,6,5,1,获取%1的石锅内的食材,1,"1,1,0,1,1,0",,,,1002|1|0,,,,,,,,,,,,,,,,,,,,760,,
500671,获取篝火内食材,5,6,5,1,获取%1的篝火内的食材,1,"1,1,0,1,1,0",,,,1002|1|0,,,,,,,,,,,,,,,,,,,,760,,
500680,向位置处蓝图工作台填充道具,5,6,5,1,向%1的蓝图工作台填充%2个%3道具,1,"1,1,0,1,1,0",,,,1002|1|0,,1005|1|0,1|1,1028|1|0,2|200,,,,,,,,,,,2,,,,770,,26寒假
500681,启动位置处蓝图的工作台,5,6,5,1,启动%1位置处的蓝图工作台,1,"1,1,0,1,1,0",,,,1002|1|0,,,,,,,,,,,,,,,,2,,,,770,,26寒假
501201,运行计时器,5,12,5,1,"启动%1,%2重置",12,"1,1,0,1,1,0",,,,1040|1|0,,1012|1|2,5|90002,,,,,,,,,,,,,,,,,800,,
501202,暂停计时器,5,12,5,1,暂停%1,12,"1,1,0,1,1,0",,,,1040|1|0,,,,,,,,,,,,,,,,,,,,801,,
501203,恢复计时器,5,12,5,1,恢复%1,12,"1,1,0,1,1,0",,,,1040|1|0,,,,,,,,,,,,,,,,,,,,802,,
501204,重置计时器,5,12,5,1,重置%1,12,"1,1,0,1,1,0",,,,1040|1|0,,,,,,,,,,,,,,,,,,,,803,,
501401,在指定位置播放特效,5,14,5,1,"在%1播放%2,缩放%3",7,"1,1,0,1,1,0",,,,1002|1|0,,1045|1|0,,1005|1|0,1|1,,,,,,,,,,,,,,,820,,
501402,在对象身上播放特效,5,14,5,1,"在%1身上播放%2,缩放%3,偏移%4,持续时长%5",7,"1,1,0,1,1,0",,,,1048|1|0,,1045|1|0,,1005|1|0,1|1,1002|1|0,,1005|1|0,1|1,,,,,,,,,,,822,,
501403,删除指定位置的特效,5,14,5,1,删除%1的%2特效,7,"1,1,0,1,1,0",,,,1002|1|0,,1045|1|0,,,,,,,,,,,,,,,,,,821,,
501404,删除对象身上的特效,5,14,5,1,删除%1身上的%2特效,7,"1,1,0,1,1,0",,,,1048|1|0,,1045|1|0,,,,,,,,,,,,,,,,,,823,,
501501,在位置处播放音效,5,15,5,1,"在%1播放%2,音量%3,循环%4",11,"1,1,0,1,1,0",,,,1002|1|0,,1046|1|0,,1005|1|0,1|100,1012|1|2,5|90002,,,,,,,,,,,,,830,,
501502,使对象播放音效,5,15,5,1,"使%1播放%2,音量%3,循环%4,%5关闭其他音效",11,"1,1,0,1,1,0",,,,1048|1|0,,1046|1|0,,1005|1|0,1|100,1012|1|2,5|90002,1012|1|2,5|90002,,,,,,,,,,,832,,
501511,关闭位置处音效,5,15,5,1,关闭%1正在播放的%2,11,"1,1,0,1,1,0",,,,1002|1|0,,1046|1|0,,,,,,,,,,,,,,,,,,831,,
501512,关闭对象身上音效,5,15,5,1,关闭%1正在播放的%2,11,"1,1,0,1,1,0",,,,1048|1|0,,1046|1|0,,,,,,,,,,,,,,,,,,833,,
501601,创建平面图文信息,5,16,5,1,在%1身上创建%2，向X轴偏移%3，Y轴偏移%4,3,"1,1,0,1,1,0",,,,1048|1|0,,1057|1|0,,1005|1|0,1|0,1005|1|0,1|100,,,,,,,,,,,,,840,,
501602,删除平面图文信息,5,16,5,1,删除%1身上编号为%2的%3,3,"1,1,0,1,1,0",,,,1048|1|0,,1005|1|0,1|1,1058|1|2,5|490001,,,,,,,,,,,,,,,841,,
501610,使玩家打开界面,5,16,5,1,使%1打开%2,3,"1,0,0,1,1,0",,,,1018|1|0,,1074|1|0,,,,,,,,,,,,,,,100,9401042,,842,,
503410,立即拾取投掷物,5,34,5,1,立即拾取%1,34,"1,1,0,1,1,0",,,,1044|1|0,,,,,,,,,,,,,,,,,,,,,,
503501,创建掉落物,5,35,5,1,"创建%1个%2,相对偏移%3",35,"1,1,0,1,1,0",,,,1005|1|0,1|1,1028|1|0,,1002|1|0,3|600105,,,,,,,,,,,,,,,,,
503502,拾取带指定标签的掉落物,5,35,5,1,拾取周边%1格包含%3%2的掉落物,34,"1,1,0,1,1,0",,,,1005|1|0,1|30,3149|1|0,,3147|0|2,5|4470002,,,,,,,,,,,2,,,,,,26寒假
510201,移动到指定位置,5,102,5,1,"移动到%1,速度%2倍,%3允许改变朝向",15,"1,1,0,1,1,0",,,,1002|1|0,,1005|1|0,1|1,1012|1|2,5|90001,,,,,,,,,,,,,9401042,,900,,
510202,随机位置移动,5,102,5,1,"以%1为中心在%2格内随机移动,速度%3倍,%4允许改变朝向。",15,"1,1,0,1,1,0",,,,1002|1|0,,1005|1|0,1|10,1005|1|0,1|1,1012|1|2,5|90001,,,,,,,,,,,9401043,,901,,
510203,跟随对象移动,5,102,5,1,"跟随%1移动,并保持%2格距离,速度%3倍,%4允许改变朝向",15,"1,1,0,1,1,0",,,,1048|1|0,,1005|1|0,1|2,1005|1|0,1|1,1012|1|2,5|90001,,,,,,,,,,,9401044,,902,,
510204,指定路线移动,5,102,5,1,"按照%1移动,速度%2倍,%3往返, 移动重启时%4从头开始",15,"1,1,0,1,1,0",,,,1062|1|0,,1005|1|0,1|1,1012|1|2,5|90001,1012|1|2,5|90001,,,,,,,,,,,9401045,,903,,
510205,远离位置移动,5,102,5,1,"远离%1移动,速度%2倍,远离时间%3秒,%4允许改变朝向",15,"1,1,0,1,1,0",,,,1002|1|0,,1005|1|0,1|1,1005|1|0,1|2,1012|1|2,5|90001,,,,,,,,,,,9401046,,904,,
510206,在区域中随机移动,5,102,5,1,"在%1内随机移动,速度%2倍,%3允许改变朝向",15,"1,1,0,1,1,0",,,,1001|1|0,,1005|1|0,1|1,1012|1|2,5|90001,1012|1|2,5|90001,,,,,,,,,,,9401047,,905,,
510208,朝指定方向移动,5,102,5,1,"朝%1移动,速度%2倍,移动时间%3秒",15,"1,1,0,1,1,0",,,,1047|1|0,5|350005,1005|1|0,1|1,1005|1|0,1|1,,,,,,,,,,,,,9401047,,905,,
510209,移动到对象前方,5,102,5,1,"移动到%1前方%2格,速度%3倍,%4允许移动中改变朝向",15,"1,1,0,1,1,0",,,,1048|1|0,,1005|1|0,1|1,1005|1|0,1|1,1012|1|2,5|90001,,,,,,,,,2,,9401048,,907,,
510210,绕圈,5,102,5,1,绕圈 围绕%1中心点 以半径%2格 绕圈，速度%3倍，圈数%4圈,15,"1,1,0,1,1,0",,,,1002|1|0,,1005|1|0,1|3,1005|1|0,1|1,1005|1|0,1|1,,,,,,,,,2,,,,908,,
510220,停止移动,5,102,5,1,使%1停止移动,15,"1,1,0,1,1,0",,,,1048|1|0,3|600101,,,,,,,,,,,,,,,,,,,906,,
510300,使用指定武器近战攻击,5,103,5,1,"使用%1近战攻击%2,攻击间隔%3秒,攻击距离%4格,追击速度%5倍",16,"1,1,0,1,1,0",,,,1028|1|0,,1048|1|0,,1005|1|0,1|1,1005|1|0,1|2,1005|1|0,1|1,,,,,,,,,9401050,,1000,,
510301,使用手持道具近战攻击,5,103,5,1,"近战攻击%1,攻击间隔%2秒,攻击距离%3格,追击速度%4倍",16,"1,1,0,1,1,0",,,,1048|1|0,,1005|1|0,1|1,1005|1|0,1|2,1005|1|0,1|1,,,,,,,,,,100,9401049,,1001,,
510302,使用投掷物攻击,5,103,5,1,"远程攻击%1,攻击间隔%2秒,攻击距离%3格,投掷%4,追击速度%5倍 ",16,"1,1,0,1,1,0",,,,1048|1|0,,1005|1|0,1|1,1005|1|0,1|2,1029|1|0,2|12052,1005|1|0,1|1,,,,,,,,,9401050,,1002,,
510303,使用武器发射投掷物,5,103,5,1,"使用%1装填%2攻击%3,攻击间隔%4秒,攻击距离%5格,追击速度%6倍",16,"1,1,0,1,1,0",,,,1028|1|0,,1029|1|0,2|12052,1048|1|0,,1005|1|0,1|2,1005|1|0,,1005|1|0,1|1,,,,,,,9401051,,1003,,
510304,使用武器进行蓄力攻击,5,103,5,1,"使用%1装填%2蓄力攻击%3,蓄力时间%4秒,攻击间隔%5秒,攻击距离%6格,追击速度%7倍",16,"1,1,0,1,1,0",,,,1028|1|0,,1029|1|0,2|12052,1048|1|0,,1005|1|0,1|2,1005|1|0,1|2,1005|1|0,1|2,1005|1|0,1|1,,,,,,,1004,,
510305,内部-使用武器进行N次连续攻击,5,103,5,1,"使用%1进行%2段攻击,攻击%3,攻击距离%4格",16,"1,1,0,1,1,0",,,,1028|1|0,,1005|1|0,1|1,1048|1|0,,1005|1|0,1|1,,,,,,,,,2,,,,1005,,
510306,内部-使用武器进行第N段攻击 ,5,103,5,1,"使用%1进行第%2段攻击,攻击%3,攻击距离%4格,结束时%5重置动画",16,"1,1,0,1,1,0",,,,1028|1|0,,1005|1|0,1|1,1048|1|0,,1005|1|0,1|1,1012|1|2,5|90001,,,,,,,2,,,,1006,,
510307,内部 - 瞄准目标使用爆炸技能,5,103,5,1,瞄准%1使用爆炸技能,16,"1,1,0,1,1,0",,,,1048|1|0,,,,,,,,,,,,,,,,2,,,,1007,,
510308,举起盾牌,5,103,5,1,使此生物举起%1,16,"1,1,0,1,1,0",,,,1028|1|0,,,,,,,,,,,,,,,,,,,,1008,,
510309,放下盾牌,5,103,5,1,使此生物放下盾牌,16,"1,1,0,1,1,0",,,,,,,,,,,,,,,,,,,,,100,,,1009,,
510310,给予对象状态效果,5,103,5,1,"给予%1%2效果,永久持续%3,持续%4秒",16,"1,1,0,1,1,0",,,,1048|1|0,,1037|1|0,2|4001,1014|1|0,5|320002,1005|1|0,1|0,,,,,,,,,,,9401052,,1010,,
510311,移除对象状态效果,5,103,5,1,移除%1的%2效果,16,"1,1,0,1,1,0",,,,1048|1|0,,1037|1|0,2|4001,,,,,,,,,,,,,,,9401053,,1011,,
510312,替换对象状态效果,5,103,5,1,"将%1身上的%2替换为%3,永久持续%4,持续%5秒",16,"1,1,0,1,1,0",,,,1048|1|0,,1037|1|0,2|4001,1037|1|0,2|8001,1014|1|0,5|320002,1005|1|0,1|0,,,,,,,,100,9401054,,1012,,
510313,内部-使用枪械攻击,5,103,5,1,"使用%1攻击%2,攻击距离%3",16,"1,1,0,1,1,0",,,,1028|1|0,,1048|1|0,,1005|1|0,1|5,,,,,,,,,,,2,,,,1013,,
510320,击败对象,0,103,0,1,击败%1,16,"1,1,0,1,1,0",,,,1048|1|0,,,,,,,,,,,,,,,,30,,9401055,,1014,,
510321,删除对象,0,103,0,1,删除%1,1,"1,1,0,1,1,0",,,,1048|1|0,,,,,,,,,,,,,,,,31,100,9401056,,1015,,
510330,抱起对象,0,103,0,1,使此生物抱起%1,1,"1,1,0,1,1,0",,,,1048|1|0,,,,,,,,,,,,,,,,40,,,,1016,,
510331,放下抱起的对象,0,103,0,1,使此生物放下抱起的对象,1,"1,1,0,1,1,0",,,,1048|1|0,,,,,,,,,,,,,,,,41,100,,,1017,,
