id,音效名,备注,插件库开放[0代表不开放，1=开放 ],触发器开放[0代表不开放，1=开放 ],分类（1=脚步，2=行为，3=受击，4=待机，5=技能，6=环境，7=背景音乐，8=提示，9=其它）,音效路径,图标名字,时长(ms)
10443,die,,0,1,3,ent.3439.die,sounds03,375
10444,hit1,,0,1,3,ent.3439.hit1,sounds03,375
10445,hit2,,0,0,3,ent.3439.hit2,sounds03,375
10446,hit3,,0,0,3,ent.3439.hit3,sounds03,375
10447,idle1,,0,1,4,ent.3439.idle1,sounds04,500
10448,idle2,,0,1,4,ent.3439.idle2,sounds04,500
10449,idle3,,0,1,4,ent.3439.idle3,sounds04,500
10450,idle4,,0,1,4,ent.3439.idle4,sounds04,500
10451,idle5,,0,1,4,ent.3439.idle5,sounds04,500
10452,idle6,,0,1,4,ent.3439.idle6,sounds04,500
10453,die,,0,1,3,ent.3442.die,sounds03,1236
10454,hit1,,0,1,3,ent.3442.hit1,sounds03,603
10455,hit2,,0,1,3,ent.3442.hit2,sounds03,539
10456,idle1,,0,1,4,ent.3442.idle1,sounds04,1035
10457,die,,0,1,3,ent.3445.die,sounds03,318
10458,hit,,0,1,3,ent.3445.hit,sounds03,230
10459,idle,,0,1,4,ent.3445.idle,sounds04,481
10460,jump,,0,0,2,ent.3445.jump,sounds02,888
10461,angry,,0,1,5,ent.3501.angry,sounds05,7000
10462,die,,0,1,3,ent.3501.die,sounds03,1375
10463,hit1,,0,1,3,ent.3501.hit1,sounds03,375
10464,hit2,,0,0,3,ent.3501.hit2,sounds03,375
10465,hit3,,0,0,3,ent.3501.hit3,sounds03,500
10466,idle1,,0,1,4,ent.3501.idle1,sounds04,1250
10467,idle2,,0,1,4,ent.3501.idle2,sounds04,1250
10468,idle3,,0,1,4,ent.3501.idle3,sounds04,901
10469,idle4,,0,1,4,ent.3501.idle4,sounds04,1375
10470,move1,,0,1,5,ent.3501.move1,sounds05,500
10471,move2,,0,1,5,ent.3501.move2,sounds05,500
10472,shout1,,0,1,2,ent.3501.shout1,sounds02,527
10473,die,,0,1,6,ent.3502.die,sounds06,10000
10474,fireball,,0,1,6,ent.3502.fireball,sounds06,2000
10475,fly1,,0,1,2,ent.3502.fly1,sounds02,625
10476,fly2,,0,0,2,ent.3502.fly2,sounds02,625
10477,fly3,,0,0,2,ent.3502.fly3,sounds02,625
10478,fly4,,0,0,2,ent.3502.fly4,sounds02,625
10479,fly5,,0,0,2,ent.3502.fly5,sounds02,625
10480,growl1,,0,1,2,ent.3502.growl1,sounds02,3125
10481,growl2,,0,0,2,ent.3502.growl2,sounds02,3125
10482,growl3,,0,0,2,ent.3502.growl3,sounds02,3125
10483,hit1,,0,1,3,ent.3502.hit1,sounds03,2000
10484,hit2,,0,1,3,ent.3502.hit2,sounds03,2000
10485,hit3,,0,0,3,ent.3502.hit3,sounds03,2000
10486,idle1,,0,1,4,ent.3502.idle1,sounds04,2000
10487,idle2,,0,1,4,ent.3502.idle2,sounds04,2000
10488,idle3,,0,1,4,ent.3502.idle3,sounds04,2000
10489,idle4,,0,1,4,ent.3502.idle4,sounds04,2000
10490,die,,0,1,3,ent.3505.die,sounds03,1625
10491,escape,,0,1,4,ent.3505.escape,sounds04,1875
10492,foot1,,0,0,1,ent.3505.foot1,sounds01,184
10493,foot2,,0,0,1,ent.3505.foot2,sounds01,186
10494,foot3,,0,0,1,ent.3505.foot3,sounds01,177
10495,foot4,,0,0,1,ent.3505.foot4,sounds01,200
10496,foot5,,0,0,1,ent.3505.foot5,sounds01,230
10497,hit1,,0,1,3,ent.3505.hit1,sounds03,500
10498,hit2,,0,0,3,ent.3505.hit2,sounds03,500
10499,hit3,,0,0,3,ent.3505.hit3,sounds03,500
10500,idle1,,0,1,4,ent.3505.idle1,sounds04,1250
10501,idle2,,0,1,4,ent.3505.idle2,sounds04,1125
10502,idle3,,0,1,4,ent.3505.idle3,sounds04,1625
10503,idle4,,0,1,4,ent.3505.idle4,sounds04,625
10504,idle5,,0,1,4,ent.3505.idle5,sounds04,500
10505,die,,0,1,3,ent.3506.die,sounds03,1625
10506,egg,,0,1,2,ent.3506.egg,sounds02,125
10507,foot1,,0,0,1,ent.3506.foot1,sounds01,184
10508,foot2,,0,0,1,ent.3506.foot2,sounds01,186
10509,foot3,,0,0,1,ent.3506.foot3,sounds01,177
10510,foot4,,0,0,1,ent.3506.foot4,sounds01,200
10511,foot5,,0,0,1,ent.3506.foot5,sounds01,230
10512,hit1,,0,1,3,ent.3506.hit1,sounds03,500
10513,hit2,,0,0,3,ent.3506.hit2,sounds03,500
10514,hit3,,0,0,3,ent.3506.hit3,sounds03,500
10515,idle1,,0,1,4,ent.3506.idle1,sounds04,1250
10516,idle2,,0,1,4,ent.3506.idle2,sounds04,1125
10517,idle3,,0,1,4,ent.3506.idle3,sounds04,1625
10518,idle4,,0,1,4,ent.3506.idle4,sounds04,625
10519,idle5,,0,1,4,ent.3506.idle5,sounds04,500
10520,sit,,0,1,2,ent.3506.sit,sounds02,1375
10521,die,,0,1,3,ent.3507.die,sounds03,875
10522,foot1,,0,0,1,ent.3507.foot1,sounds01,500
10523,foot2,,0,0,1,ent.3507.foot2,sounds01,375
10524,hit1,,0,1,3,ent.3507.hit1,sounds03,500
10525,hit2,,0,0,3,ent.3507.hit2,sounds03,500
10526,hit3,,0,0,3,ent.3507.hit3,sounds03,500
10527,idle1,,0,1,4,ent.3507.idle1,sounds04,375
10528,idle2,,0,1,4,ent.3507.idle2,sounds04,375
10529,idle3,,0,1,4,ent.3507.idle3,sounds04,375
10530,die,,0,1,3,ent.3508.die,sounds03,1250
10531,foot1,,0,0,1,ent.3508.foot1,sounds01,500
10532,hit1,,0,1,3,ent.3508.hit1,sounds03,500
10533,hit2,,0,0,3,ent.3508.hit2,sounds03,500
10534,idle1,,0,1,4,ent.3508.idle1,sounds04,875
10535,idle2,,0,1,4,ent.3508.idle2,sounds04,1000
10536,lavaball,,0,1,2,ent.3508.lavaball,sounds02,156
10537,lavaball_hit,,0,1,2,ent.3508.lavaball_hit,sounds02,1485
10538,attack,,0,1,2,ent.3510.attack,sounds02,2117
10539,born,,0,1,2,ent.3510.born,sounds02,2455
10540,die,,0,1,2,ent.3510.die,sounds02,6350
10541,doubleattack,,0,0,2,ent.3510.doubleattack,sounds02,2439
10542,bellow,,0,0,2,ent.3514.bellow,sounds02,2236
10543,die,,0,1,3,ent.3514.die,sounds03,3089
10544,foot,,0,1,1,ent.3514.foot,sounds01,615
10545,stonewave,,0,0,2,ent.3514.stonewave,sounds02,2903
10546,stonewaverdy,,0,1,5,ent.3514.stonewaverdy,sounds05,2000
10547,countdown,,0,1,5,ent.3803.countdown,sounds05,11222
10548,drop,,0,0,2,ent.3803.drop,sounds02,145
10549,fly,,0,0,2,ent.3803.fly,sounds02,3617
10550,landing,,0,0,2,ent.3803.landing,sounds02,3617
10551,launching,,0,0,2,ent.3803.launching,sounds02,1859
10552,open,,0,0,2,ent.3803.open,sounds02,1601
10553,padding,,0,0,2,ent.3803.padding,sounds02,261
10554,ready,,0,1,5,ent.3803.ready,sounds05,1549
10555,warn,,0,1,5,ent.3803.warn,sounds05,2541
10556,base,,0,1,6,ent.che.base,sounds06,1982
10557,brake,,0,1,6,ent.che.brake,sounds06,794
10558,inside,,0,1,6,ent.che.inside,sounds06,1906
10559,portal,,0,0,2,ent.portal.portal,sounds02,1733
10560,blast1,,0,1,6,ent.yanhua.blast1,sounds06,2125
10561,blast2,,0,1,6,ent.yanhua.blast2,sounds06,2125
10562,blast3,,0,1,6,ent.yanhua.blast3,sounds06,2125
10563,blast4,,0,1,6,ent.yanhua.blast4,sounds06,2000
10564,blast5,,0,1,6,ent.yanhua.blast5,sounds06,2125
10565,launch1,,0,1,6,ent.yanhua.launch1,sounds06,1875
10566,lava,,0,1,6,env.lava,sounds06,16855
10567,lavapop,,0,1,6,env.lavapop,sounds06,322
10568,portal,,0,1,6,env.portal,sounds06,16651
10569,rain1,,0,1,6,env.rain1,sounds06,3500
10570,rain2,,0,1,6,env.rain2,sounds06,4000
10571,rain3,,0,1,6,env.rain3,sounds06,4000
10572,rain4,,0,1,6,env.rain4,sounds06,6000
10573,splash,,0,1,6,env.splash,sounds06,3875
10574,swim1,,0,1,6,env.swim1,sounds06,750
10575,swim2,,0,1,6,env.swim2,sounds06,750
10576,swim3,,0,1,6,env.swim3,sounds06,750
10577,swim4,,0,1,6,env.swim4,sounds06,750
10578,transfer,,0,1,6,env.transfer,sounds06,500
10579,underwater,,0,1,6,env.underwater,sounds06,13500
10580,water,,0,1,6,env.water,sounds06,3898
10581,full,,0,0,2,item.1047.full,sounds02,875
10582,use1,,0,0,2,item.11005.use1,sounds02,250
10583,charge1,,0,0,2,item.11015.charge1,sounds02,3000
10584,charge4,,0,0,2,item.11015.charge4,sounds02,1000
10585,clear_prop,,0,0,2,item.11072.clear_prop,sounds02,1616
10586,activate,,0,0,2,item.11075.activate,sounds02,3500
10587,charge1,,0,0,2,item.12004.charge1,sounds02,1125
10588,charge2,,0,0,2,item.12004.charge2,sounds02,1125
10589,charge3,,0,0,2,item.12004.charge3,sounds02,1125
10590,charge4,,0,0,2,item.12004.charge4,sounds02,1000
10591,charge1,,0,0,2,item.12005.charge1,sounds02,2000
10592,charge2,,0,0,2,item.12005.charge2,sounds02,2000
10593,charge3,,0,0,2,item.12005.charge3,sounds02,2000
10594,charge4,,0,0,2,item.12005.charge4,sounds02,2000
10595,fire,,0,0,2,item.12247.fire,sounds02,407
10596,warn,,0,0,2,item.12275.warn,sounds02,875
10597,charge2,,0,0,2,item.12288.charge2,sounds02,147
10598,charge4,,0,0,2,item.12288.charge4,sounds02,563
10599,charge,,0,0,2,item.12293.charge,sounds02,2000
10600,freed,,0,0,2,item.12293.freed,sounds02,636
10601,pickup,,0,0,2,item.12293.pickup,sounds02,388
10602,fire,,0,0,2,item.12294.fire,sounds02,266
10603,hit,,0,0,2,item.12296.hit,sounds02,231
10604,hit,,0,0,2,item.12298.hit,sounds02,371
10605,fire,,0,0,2,item.12587.fire,sounds02,1000
10606,hit,,0,0,2,item.12587.hit,sounds02,1000
10607,reload,,0,0,2,item.12587.reload,sounds02,1000
10608,hit,,0,0,2,item.12591.hit,sounds02,1000
10609,blast,,0,0,2,item.12822.blast,sounds02,2125
10610,count,,0,0,2,item.12822.count,sounds02,875
10611,fly,,0,0,2,item.12822.fly,sounds02,1852
10612,launch,,0,0,2,item.12822.launch,sounds02,1875
10613,empty,,0,0,2,item.15000.empty,sounds02,417
10614,fire,,0,1,2,item.15000.fire,sounds02,580
10615,hit,,0,1,2,item.15000.hit,sounds02,441
10616,reload,,0,1,2,item.15000.reload,sounds02,1044
10617,empty,,0,1,2,item.15002.empty,sounds02,394
10618,fire,,0,1,2,item.15002.fire,sounds02,1091
10619,hit,,0,1,2,item.15002.hit,sounds02,1215
10620,reload,,0,1,2,item.15002.reload,sounds02,1044
10621,empty,,0,1,2,item.15004.empty,sounds02,278
10622,fire,,0,1,2,item.15004.fire,sounds02,1300
10623,hit,,0,1,2,item.15004.hit,sounds02,464
10624,load,,0,1,2,item.15004.load,sounds02,1000
10625,reload,,0,1,2,item.15004.reload,sounds02,928
10626,empty,,0,1,2,item.15005.empty,sounds02,1125
10627,fire,,0,1,2,item.15005.fire,sounds02,250
10628,hit,,0,1,2,item.15005.hit,sounds02,905
10629,reload,,0,1,2,item.15005.reload,sounds02,1393
10630,empty,,0,1,2,item.15006.empty,sounds02,325
10631,fire,,0,1,2,item.15006.fire,sounds02,1114
10632,hit,,0,1,2,item.15006.hit,sounds02,557
10633,reload,,0,1,2,item.15006.reload,sounds02,1532
10634,hit,,0,1,2,item.15007.hit,sounds02,256
10635,axe_use,,0,1,2,misc.axe_use,sounds02,500
10636,balloon,,0,1,2,misc.balloon,sounds02,299
10637,bazooka,,0,1,2,misc.bazooka,sounds02,1625
10638,bee,,0,1,6,misc.bee,sounds06,8560
10639,bodyshot,,0,1,2,misc.bodyshot,sounds02,500
10640,bow,,0,1,2,misc.bow,sounds02,527
10641,bowhit1,,0,1,2,misc.bowhit1,sounds02,658
10642,bowhit2,,0,0,2,misc.bowhit2,sounds02,658
10643,bowhit3,,0,0,2,misc.bowhit3,sounds02,454
10644,bowhit4,,0,0,2,misc.bowhit4,sounds02,828
10645,break,,0,1,2,misc.break,sounds02,1000
10646,burp,,0,1,2,misc.burp,sounds02,250
10647,candle,,0,1,2,misc.candle,sounds02,451
10648,chest_close,,0,1,2,misc.chest_close,sounds02,540
10649,chest_open,,0,1,2,misc.chest_open,sounds02,1054
10650,click,,0,1,2,misc.click,sounds02,277
10651,dogwhistle,,0,1,2,misc.dogwhistle,sounds02,813
10652,door_close,,0,1,2,misc.door_close,sounds02,444
10653,door_open,,0,1,2,misc.door_open,sounds02,348
10654,eat1,,0,1,2,misc.eat1,sounds02,215
10655,eat2,,0,1,2,misc.eat2,sounds02,239
10656,egg_hit,,0,1,2,misc.egg_hit,sounds02,375
10657,emitter,,0,1,2,misc.emitter,sounds02,166
10658,emitter_null,,0,1,2,misc.emitter_null,sounds02,220
10659,equipment_break,,0,1,2,misc.equipment_break,sounds02,1000
10660,explode1,,0,1,2,misc.explode1,sounds02,3375
10661,explode2,,0,0,2,misc.explode2,sounds02,3375
10662,explode3,,0,0,2,misc.explode3,sounds02,3375
10663,explode4,,0,0,2,misc.explode4,sounds02,3375
10664,explosive,,0,1,2,misc.explosive,sounds02,2250
10665,fallbig,,0,1,2,misc.fallbig,sounds02,500
10666,fallsmall,,0,1,2,misc.fallsmall,sounds02,500
10667,fart,,0,1,2,misc.fart,sounds02,320
10668,fire,,0,1,2,misc.fire,sounds02,3727
10669,fireworks_1,,0,1,2,misc.fireworks_1,sounds02,1750
10670,fizz,,0,0,2,misc.fizz,sounds02,1248
10671,fuse,,0,0,2,misc.fuse,sounds02,2713
10672,headshot,,0,0,2,misc.headshot,sounds02,500
10673,hit1,,0,0,2,misc.hit1,sounds02,750
10674,hit2,,0,0,2,misc.hit2,sounds02,625
10675,hit3,,0,0,2,misc.hit3,sounds02,625
10676,horn,,0,0,2,misc.horn,sounds02,2667
10677,horseegg_pip,,0,0,2,misc.horseegg_pip,sounds02,7000
10678,horseegg_plop,,0,0,2,misc.horseegg_plop,sounds02,125
10679,ignite,,0,0,2,misc.ignite,sounds02,451
10680,jetpack_1,,0,0,2,misc.jetpack_1,sounds02,750
10681,jetpack_2,,0,0,2,misc.jetpack_2,sounds02,1852
10682,jetpack_3,,0,0,2,misc.jetpack_3,sounds02,1000
10683,jetpack_4,,0,0,2,misc.jetpack_4,sounds02,875
10684,jetpack_5,,0,0,2,misc.jetpack_5,sounds02,1000
10685,mechaslider,,0,0,2,misc.mechaslider,sounds02,1601
10686,mechaslider_break,,0,0,2,misc.mechaslider_break,sounds02,1000
10687,mechaslider_error,,0,0,2,misc.mechaslider_error,sounds02,1933
10688,netting,,0,0,2,misc.netting,sounds02,156
10689,pickaxe_use,,0,0,2,misc.pickaxe_use,sounds02,750
10690,piston_in,,0,0,2,misc.piston_in,sounds02,250
10691,piston_out,,0,0,2,misc.piston_out,sounds02,250
10692,plug,,0,0,2,misc.plug,sounds02,96
10693,pop,,0,0,2,misc.pop,sounds02,182
10694,pulllution,,0,0,2,misc.pulllution,sounds02,4200
10695,pulse_arrow,,0,0,2,misc.pulse_arrow,sounds02,424
10696,rebirth,,0,0,2,misc.rebirth,sounds02,2250
10697,robotarm,,0,0,2,misc.robotarm,sounds02,3213
10698,sensorblock,,0,0,2,misc.sensorblock,sounds02,220
10699,sleep,,0,0,2,misc.sleep,sounds02,5750
10700,slingshot,,0,0,2,misc.slingshot,sounds02,500
10701,slingshot_hit,,0,0,2,misc.slingshot_hit,sounds02,750
10702,snowball_hit,,0,0,2,misc.snowball_hit,sounds02,203
10703,snowball_hit_christmas,,0,0,2,misc.snowball_hit_christmas,sounds02,1219
10704,spring_in,,0,0,2,misc.spring_in,sounds02,175
10705,spring_out,,0,0,2,misc.spring_out,sounds02,783
10706,starblock,,0,0,2,misc.starblock,sounds02,1750
10707,switch1,,0,0,2,misc.switch1,sounds02,3213
10708,throw,,0,0,2,misc.throw,sounds02,156
10709,thrower,,0,0,2,misc.thrower,sounds02,156
10710,throw_spear,,0,0,2,misc.throw_spear,sounds02,500
10711,tnt_count,,0,0,2,misc.tnt_count,sounds02,330
10712,trap_out,,0,0,2,misc.trap_out,sounds02,250
10713,bgm1,,0,1,7,music.bgm1,sounds07,73375
10714,bgm2,,0,1,7,music.bgm2,sounds07,57727
10715,bgm3,,0,1,7,music.bgm3,sounds07,60582
10716,bgm4,,0,1,7,music.bgm4,sounds07,52881
10717,bgm5,,0,1,7,music.bgm5,sounds07,45125
10718,bgm6,,0,1,7,music.bgm6,sounds07,52363
10719,bgm7,,0,1,7,music.bgm7,sounds07,16000
10720,bgm8,,0,1,7,music.bgm8,sounds07,38000
10721,bgm_day_1,,0,1,7,music.bgm_day_1,sounds07,133333
10722,bgm_day_2,,0,1,7,music.bgm_day_2,sounds07,151333
10723,bgm_day_3,,0,1,7,music.bgm_day_3,sounds07,134007
10724,bgm_day_4,,0,1,7,music.bgm_day_4,sounds07,136000
10725,bgm_night_1,,0,1,7,music.bgm_night_1,sounds07,214000
10726,bgm_night_2,,0,1,7,music.bgm_night_2,sounds07,144000
10727,bgm_night_3,,0,1,7,music.bgm_night_3,sounds07,110400
10728,bgm_night_4,,0,1,7,music.bgm_night_4,sounds07,100000
10729,bgm_planet_day_1,,0,1,7,music.bgm_planet_day_1,sounds07,88000
10730,bgm_planet_day_2,,0,1,7,music.bgm_planet_day_2,sounds07,98000
10731,bgm_planet_day_3,,0,1,7,music.bgm_planet_day_3,sounds07,148000
10732,bgm_planet_land,,0,1,7,music.bgm_planet_land,sounds07,32000
10733,bgm_planet_night_1,,0,1,7,music.bgm_planet_night_1,sounds07,264000
10734,bgm_planet_night_2,,0,1,7,music.bgm_planet_night_2,sounds07,100000
10735,bgm_planet_night_3,,0,1,7,music.bgm_planet_night_3,sounds07,132000
10736,bgm_earthcore_night_1,,0,1,7,music.bgm_earthcore_night_1,sounds07,82750
10737,boss_earthcore_1,,0,1,7,music.boss_earthcore_1,sounds07,56570
10738,boss_golem_1,,0,1,7,music.boss_golem_1,sounds07,61934
10739,theme1,,0,1,7,music.theme1,sounds07,50823
10740,fx1,,0,1,7,music.fx.fx1,sounds07,4000
10741,fx2,,0,0,7,music.fx.fx2,sounds07,2000
10742,fx3,,0,1,7,music.fx.fx3,sounds07,8500
10743,fx4,,0,1,7,music.fx.fx4,sounds07,8500
10744,bass1,,0,1,7,music.loop.bass1,sounds07,8000
10745,bass2,,0,1,7,music.loop.bass2,sounds07,4000
10746,bass3,,0,1,7,music.loop.bass3,sounds07,4000
10747,bass4,,0,1,7,music.loop.bass4,sounds07,4000
10748,bass_a1,,0,0,7,music.loop.bass_a1,sounds07,500
10749,bass_a2,,0,0,7,music.loop.bass_a2,sounds07,500
10750,bass_a3,,0,0,7,music.loop.bass_a3,sounds07,500
10751,bass_a4,,0,0,7,music.loop.bass_a4,sounds07,500
10752,drum1,,0,1,7,music.loop.drum1,sounds07,8000
10753,drum2,,0,1,7,music.loop.drum2,sounds07,16000
10754,drum3,,0,1,7,music.loop.drum3,sounds07,4000
10755,drum4,,0,1,7,music.loop.drum4,sounds07,4000
10756,drum_a1,,0,0,7,music.loop.drum_a1,sounds07,500
10757,drum_a2,,0,0,7,music.loop.drum_a2,sounds07,500
10758,drum_a3,,0,0,7,music.loop.drum_a3,sounds07,500
10759,drum_a4,,0,0,7,music.loop.drum_a4,sounds07,500
10760,pad1,,0,1,7,music.loop.pad1,sounds07,16000
10761,pad2,,0,1,7,music.loop.pad2,sounds07,8000
10762,pad3,,0,1,7,music.loop.pad3,sounds07,8000
10763,pad4,,0,1,7,music.loop.pad4,sounds07,4000
10764,pad_a1,,0,0,7,music.loop.pad_a1,sounds07,500
10765,pad_a2,,0,0,7,music.loop.pad_a2,sounds07,500
10766,pad_a3,,0,0,7,music.loop.pad_a3,sounds07,500
10767,pad_a4,,0,0,7,music.loop.pad_a4,sounds07,500
10768,bass1,,0,1,7,music.note.bass1,sounds07,500
10769,bass2,,0,1,7,music.note.bass2,sounds07,500
10770,bass3,,0,1,7,music.note.bass3,sounds07,1500
10771,bass4,,0,1,7,music.note.bass4,sounds07,2000
10772,bass5,,0,1,7,music.note.bass5,sounds07,2000
10773,bass6,,0,1,7,music.note.bass6,sounds07,3000
10774,bass7,,0,1,7,music.note.bass7,sounds07,2500
10775,bass8,,0,1,7,music.note.bass8,sounds07,2500
10776,drum1,,0,1,7,music.note.drum1,sounds07,1000
10777,drum2,,0,1,7,music.note.drum2,sounds07,1000
10778,drum3,,0,1,7,music.note.drum3,sounds07,1000
10779,drum4,,0,1,7,music.note.drum4,sounds07,1000
10780,drum5,,0,1,7,music.note.drum5,sounds07,1000
10781,drum6,,0,1,7,music.note.drum6,sounds07,6000
10782,drum7,,0,1,7,music.note.drum7,sounds07,6000
10783,drum8,,0,1,7,music.note.drum8,sounds07,1000
10784,lead1,,0,1,7,music.note.lead1,sounds07,875
10785,lead2,,0,1,7,music.note.lead2,sounds07,875
10786,lead3,,0,1,7,music.note.lead3,sounds07,875
10787,lead4,,0,1,7,music.note.lead4,sounds07,875
10788,lead5,,0,1,7,music.note.lead5,sounds07,875
10789,lead6,,0,1,7,music.note.lead6,sounds07,875
10790,lead7,,0,1,7,music.note.lead7,sounds07,875
10791,lead8,,0,1,7,music.note.lead8,sounds07,875
10792,tone,,0,1,7,music.tone.tone,sounds07,875
10793,chest,,0,0,2,npc.chest,sounds02,1054
10794,crafted,,0,1,2,npc.crafted,sounds02,809
10795,crafting,,0,1,2,npc.crafting,sounds02,1317
10796,deal_defeated,,0,1,2,npc.deal_defeated,sounds02,495
10797,deal_succeed,,0,1,2,npc.deal_succeed,sounds02,431
10798,eat,,0,1,2,npc.eat,sounds02,215
10799,hungry,,0,1,2,npc.hungry,sounds02,875
10800,need,,0,1,2,npc.need,sounds02,440
10801,pick,,0,1,2,npc.pick,sounds02,182
10802,rise,,0,1,2,npc.rise,sounds02,3000
10803,sleep,,0,1,2,npc.sleep,sounds02,4000
10804,task_complete,,0,1,2,npc.task_complete,sounds02,808
10805,task_pickup,,0,1,2,npc.task_pickup,sounds02,397
10806,brake,,0,1,2,phy.brake,sounds02,784
10807,collision,,0,1,2,phy.collision,sounds02,553
10808,createmachine,,0,1,2,phy.createmachine,sounds02,878
10809,engineignition,,0,1,2,phy.engineignition,sounds02,2000
10810,enginework,,0,1,2,phy.enginework,sounds02,2577
10811,partsexplode,,0,1,2,phy.partsexplode,sounds02,720
10812,wheeltravel,,0,0,2,phy.wheeltravel,sounds02,6996
10813,count1,,0,1,9,pvp.count1,sounds09,1114
10814,count2,,0,1,9,pvp.count2,sounds09,1230
10815,count3,,0,1,9,pvp.count3,sounds09,1137
10816,defeat,,0,1,9,pvp.defeat,sounds09,4270
10817,end,,0,1,9,pvp.end,sounds09,5375
10818,kill,,0,1,9,pvp.kill,sounds09,331
10819,kill_1,,0,1,9,pvp.kill_1,sounds09,1500
10820,kill_2,,0,1,9,pvp.kill_2,sounds09,1500
10821,kill_3,,0,1,9,pvp.kill_3,sounds09,1750
10822,kill_4,,0,1,9,pvp.kill_4,sounds09,1875
10823,kill_5,,0,1,9,pvp.kill_5,sounds09,2000
10824,kill_6,,0,1,9,pvp.kill_6,sounds09,1875
10825,snowball1,,0,1,9,pvp.snowball1,sounds09,203
10826,start,,0,1,9,pvp.start,sounds09,1346
10827,whistle,,0,1,9,pvp.whistle,sounds09,813
10828,win,,0,1,9,pvp.win,sounds09,2142
10829,skin1,,0,0,1,skin.skin1,sounds01,1750
10830,skin10,,0,0,1,skin.skin10,sounds01,8780
10831,skin11,,0,0,1,skin.skin11,sounds01,5250
10832,skin12,,0,0,1,skin.skin12,sounds01,6500
10833,skin13,,0,0,1,skin.skin13,sounds01,6500
10834,skin14,,0,0,1,skin.skin14,sounds01,4750
10835,skin15,,0,0,1,skin.skin15,sounds01,7500
10836,skin16,,0,0,1,skin.skin16,sounds01,4750
10837,skin17,,0,0,1,skin.skin17,sounds01,6000
10838,skin18,,0,0,1,skin.skin18,sounds01,6375
10839,skin19,,0,0,1,skin.skin19,sounds01,5625
10840,skin2,,0,0,1,skin.skin2,sounds01,2125
10841,skin20,,0,0,1,skin.skin20,sounds01,4500
10842,skin21,,0,0,1,skin.skin21,sounds01,6000
10843,skin22,,0,0,1,skin.skin22,sounds01,6750
10844,skin23,,0,0,1,skin.skin23,sounds01,9600
10845,skin24,,0,0,1,skin.skin24,sounds01,8000
10846,skin25,,0,0,1,skin.skin25,sounds01,6857
10847,skin26,,0,0,1,skin.skin26,sounds01,4000
10848,skin27,,0,0,1,skin.skin27,sounds01,6000
10849,skin28,,0,0,1,skin.skin28,sounds01,7204
10850,skin29,,0,0,1,skin.skin29,sounds01,6625
10851,skin3,,0,0,1,skin.skin3,sounds01,1375
10852,skin30,,0,0,1,skin.skin30,sounds01,7916
10853,skin31,,0,0,1,skin.skin31,sounds01,7988
10854,skin32,,0,0,1,skin.skin32,sounds01,7671
10855,skin33,,0,0,1,skin.skin33,sounds01,10000
10856,skin34,,0,0,1,skin.skin34,sounds01,6000
10857,skin35,,0,0,1,skin.skin35,sounds01,6567
10858,skin36,,0,0,1,skin.skin36,sounds01,8880
10859,skin37,,0,0,1,skin.skin37,sounds01,7000
10860,skin38,,0,0,1,skin.skin38,sounds01,7250
10861,skin39,,0,0,1,skin.skin39,sounds01,6000
10862,skin4,,0,0,1,skin.skin4,sounds01,1625
10863,skin40,,0,0,1,skin.skin40,sounds01,10500
10864,skin41,,0,0,1,skin.skin41,sounds01,4750
10865,skin42,,0,0,1,skin.skin42,sounds01,7521
10866,skin43,,0,0,1,skin.skin43,sounds01,6403
10867,skin44,,0,0,1,skin.skin44,sounds01,9904
10868,skin45,,0,0,1,skin.skin45,sounds01,6923
10869,skin46,,0,0,1,skin.skin46,sounds01,5357
10870,skin47,,0,0,1,skin.skin47,sounds01,7500
10871,skin5,,0,0,1,skin.skin5,sounds01,4250
10872,skin6,,0,0,1,skin.skin6,sounds01,3500
10873,skin7,,0,0,1,skin.skin7,sounds01,3625
10874,skin8,,0,0,1,skin.skin8,sounds01,2500
10875,skin9,,0,0,1,skin.skin9,sounds01,6500
10876,horse1,,0,0,6,storehorse.horse1,sounds06,3500
10877,horse2,,0,0,6,storehorse.horse2,sounds06,2625
10878,horse3,,0,0,6,storehorse.horse3,sounds06,3000
10879,horse4,,0,0,6,storehorse.horse4,sounds06,4000
10880,horse5,,0,0,6,storehorse.horse5,sounds06,5135
10881,horse6,,0,0,6,storehorse.horse6,sounds06,3250
10882,button_click,,0,0,1,ui.button.button_click,sounds01,261
10883,camera,,0,0,1,ui.button.camera,sounds01,365
10884,jump,,0,0,1,ui.button.jump,sounds01,250
10885,guide_boy_1,,0,0,8,ui.guide.guide_boy.guide_boy_1,sounds08,2375
10886,guide_boy_10,,0,0,8,ui.guide.guide_boy.guide_boy_10,sounds08,1000
10887,guide_boy_11,,0,0,8,ui.guide.guide_boy.guide_boy_11,sounds08,1750
10888,guide_boy_12,,0,0,8,ui.guide.guide_boy.guide_boy_12,sounds08,2500
10889,guide_boy_13,,0,0,8,ui.guide.guide_boy.guide_boy_13,sounds08,1500
10890,guide_boy_14,,0,0,8,ui.guide.guide_boy.guide_boy_14,sounds08,1750
10891,guide_boy_15,,0,0,8,ui.guide.guide_boy.guide_boy_15,sounds08,2250
10892,guide_boy_16,,0,0,8,ui.guide.guide_boy.guide_boy_16,sounds08,3250
10893,guide_boy_17,,0,0,8,ui.guide.guide_boy.guide_boy_17,sounds08,1875
