资源ID,备注,模型路径,模型文件[如果是程序生成的模型，这里需要配置模型的枚举，否则配置模型的文件名字。0.立方体、1.球体、2.圆柱、3.圆锥、4.三角斜面、5.胶囊体、6.多边形],"资源类型[1.程序生成, 2.obj 3.omod 4.Prefab 5.blockmesh 6.png]",名称,图标,一级分类(1.生物 2.),二级分类[1.基础 2.装饰 3.玩法4.方块5.部件],是否合并SUBMESH,材质类型（按照submesh的顺序设置材质是否是透明材质，0是不透明材质1是透明材质2是遮罩材质 ）,模型文件名,贴图文件名,"模型类型[1.静态, 2.动态]"
11000636,蘑菇士兵_头盔,ugcModel,11000636,4,蘑菇士兵_头盔,cube,,0,0,,11000636.prefab,,
11000637,蘑菇士兵_围巾,ugcModel,11000637,4,蘑菇士兵_围巾,cube,,0,0,,11000637.prefab,,
11000638,蘑菇士兵_左手盾牌,ugcModel,11000638,4,蘑菇士兵_左手盾牌,cube,,0,0,,11000638.prefab,,
11000639,蘑菇士兵_右手长矛,ugcModel,11000639,4,蘑菇士兵_右手长矛,cube,,0,0,,11000639.prefab,,
11000640,蘑菇士兵_严肃表情,ugcModel,11000640,4,蘑菇士兵_严肃表情,cube,,0,0,,11000640.prefab,,
11000641,蘑菇厨师_厨师帽,ugcModel,11000641,4,蘑菇厨师_厨师帽,cube,,0,0,,11000641.prefab,,
11000642,蘑菇厨师_围巾,ugcModel,11000642,4,蘑菇厨师_围巾,cube,,0,0,,11000642.prefab,,
11000643,蘑菇厨师_左手铲子,ugcModel,11000643,4,蘑菇厨师_左手铲子,cube,,0,0,,11000643.prefab,,
11000644,蘑菇厨师_右手铲子,ugcModel,11000644,4,蘑菇厨师_右手铲子,cube,,0,0,,11000644.prefab,,
11000645,蘑菇厨师_表情,ugcModel,11000645,4,蘑菇厨师_表情,cube,,0,0,,11000645.prefab,,
11000646,可填写,ugcModel,11000646,4,可填写,cube,,0,0,,,,
11000647,蘑菇平民_表情,ugcModel,11000647,4,蘑菇平民_表情,cube,,0,0,,11000647.prefab,,
11000648,蘑菇平民_包,ugcModel,11000648,4,蘑菇平民_包,cube,,0,0,,11000648.prefab,,
11000649,酸液泡,ugcModel,11000649,4,酸液泡,cube,,0,0,0,11000649.prefab,,
11000650,可填写,ugcModel,11000650,4,可填写,cube,,0,0,,,,
11000651,可填写,ugcModel,11000651,4,可填写,cube,,0,0,,,,
11000652,可填写,ugcModel,11000652,4,可填写,cube,,0,0,,,,
11000653,可填写,ugcModel,11000653,4,可填写,cube,,0,0,,,,
11000654,音乐菇1,ugcModel,11000654,4,音乐菇1,cube,,0,0,0,body.prefab,,
11000655,动物人形_村民_法袍(华丽),ugcModel,11000655,4,动物人形_村民_法袍(华丽),cube,,0,0,,11000655.prefab,,
11000656,动物人形_村民_右手法杖(华丽),ugcModel,11000656,4,动物人形_村民_右手法杖(华丽),cube,,0,0,,11000656.prefab,,
11000657,动物人形_村民_左手卷轴,ugcModel,11000657,4,动物人形_村民_左手卷轴,cube,,0,0,,11000657.prefab,,
11000658,动物人形_村民_法袍(普通),ugcModel,11000658,4,动物人形_村民_法袍(普通),cube,,0,0,,11000658.prefab,,
11000659,动物人形_村民_法帽,ugcModel,11000659,4,动物人形_村民_法帽,cube,,0,0,,11000659.prefab,,
11000660,动物人形_村民_法杖,ugcModel,11000660,4,动物人形_村民_法杖,cube,,0,0,,11000660.prefab,,
11000661,动物人形_生物_头盔,ugcModel,11000661,4,动物人形_生物_头盔,cube,,0,0,,11000661.prefab,,
11000662,动物人形_生物_衣甲,ugcModel,11000662,4,动物人形_生物_衣甲,cube,,0,0,,11000662.prefab,,
11000663,动物人形_生物_左手盾牌,ugcModel,11000663,4,动物人形_生物_左手盾牌,cube,,0,0,,11000663.prefab,,
11000664,动物人形_生物_右手战斧,ugcModel,11000664,4,动物人形_生物_右手战斧,cube,,0,0,,11000664.prefab,,
11000665,动物人形_生物_法袍,ugcModel,11000665,4,动物人形_生物_法袍,cube,,0,0,,11000665.prefab,,
11000666,动物人形_生物_法杖,ugcModel,11000666,4,动物人形_生物_法杖,cube,,0,0,,11000666.prefab,,
11000667,动物人形_生物_大檐帽,ugcModel,11000667,4,动物人形_生物_大檐帽,cube,,0,0,,11000667.prefab,,
11000668,动物人形_生物_弓箭服饰,ugcModel,11000668,4,动物人形_生物_弓箭服饰,cube,,0,0,,11000668.prefab,,
11000669,动物人形_生物_战锤服饰,ugcModel,11000669,4,动物人形_生物_战锤服饰,cube,,0,0,,11000669.prefab,,
11000670,动物人形_生物_右手战锤,ugcModel,11000670,4,动物人形_生物_右手战锤,cube,,0,0,,11000670.prefab,,
11000671,动物人形_生物_刺客蒙脸巾,ugcModel,11000671,4,动物人形_生物_刺客蒙脸巾,cube,,0,0,,11000671.prefab,,
11000672,动物人形_生物_刺客腰带,ugcModel,11000672,4,动物人形_生物_刺客腰带,cube,,0,0,,11000672.prefab,,
11000673,动物人形_生物_左手匕首,ugcModel,11000673,4,动物人形_生物_左手匕首,cube,,0,0,,11000673.prefab,,
11000674,动物人形_生物_右手匕首,ugcModel,11000674,4,动物人形_生物_右手匕首,cube,,0,0,,11000674.prefab,,
11000675,动物人形_生物_长剑,ugcModel,11000675,4,动物人形_生物_长剑,cube,,0,0,,11000675.prefab,,
11000676,动物人形_生物_弓箭,ugcModel,11000676,4,动物人形_生物_弓箭,cube,,0,0,,11000676.prefab,,
11000677,动物人形_村民_农夫帽,ugcModel,11000677,4,动物人形_村民_农夫帽,cube,,0,0,,11000677.prefab,,
11000678,动物人形_村民_长裤,ugcModel,11000678,4,动物人形_村民_长裤,cube,,0,0,,11000678.prefab,,
11000679,动物人形_村民_厨师帽,ugcModel,11000679,4,动物人形_村民_厨师帽,cube,,0,0,,11000679.prefab,,
11000680,动物人形_村民_围巾,ugcModel,11000680,4,动物人形_村民_围巾,cube,,0,0,,11000680.prefab,,
11000681,动物人形_村民_左手厨具,ugcModel,11000681,4,动物人形_村民_左手厨具,cube,,0,0,,11000681.prefab,,
11000682,动物人形_村民_右手厨具,ugcModel,11000682,4,动物人形_村民_右手厨具,cube,,0,0,,11000682.prefab,,
11000683,动物人形_村民_渔服,ugcModel,11000683,4,动物人形_村民_渔服,cube,,0,0,,11000683.prefab,,
11000684,动物人形_村民_右手鱼竿,ugcModel,11000684,4,动物人形_村民_右手鱼竿,cube,,0,0,,11000684.prefab,,
11000685,动物人形_村民_普通服饰,ugcModel,11000685,4,动物人形_村民_普通服饰,cube,,0,0,,11000685.prefab,,
11000686,蘑菇法师_法帽,ugcModel,11000686,4,蘑菇法师_法帽,cube,,0,0,,11000686.prefab,,
11000687,蘑菇法师_围巾,ugcModel,11000687,4,蘑菇法师_围巾,cube,,0,0,,11000687.prefab,,
11000688,蘑菇法师_法杖,ugcModel,11000688,4,蘑菇法师_法杖,cube,,0,0,,11000688.prefab,,
11000689,蘑菇乐手_围巾,ugcModel,11000689,4,蘑菇乐手_围巾,cube,,0,0,,11000689.prefab,,
11000690,蘑菇乐手_胡琴,ugcModel,11000690,4,蘑菇乐手_胡琴,cube,,0,0,,11000690.prefab,,
11000691,蘑菇舞者_舞帽,ugcModel,11000691,4,蘑菇舞者_舞帽,cube,,0,0,,11000691.prefab,,
11000692,蘑菇舞者_花围巾,ugcModel,11000692,4,蘑菇舞者_花围巾,cube,,0,0,,11000692.prefab,,
11000693,蘑菇舞者_花舞裙,ugcModel,11000693,4,蘑菇舞者_花舞裙,cube,,0,0,,11000693.prefab,,
11000694,蘑菇商人_商服,ugcModel,11000694,4,蘑菇商人_商服,cube,,0,0,,11000694.prefab,,
11000695,蘑菇商人_皮鞋,ugcModel,11000695,4,蘑菇商人_皮鞋,cube,,0,0,,11000695.prefab,,
11000696,蘑菇商人_背包,ugcModel,11000696,4,蘑菇商人_背包,cube,,0,0,,11000696.prefab,,
11000697,蘑菇法师_表情,ugcModel,11000697,4,蘑菇法师_表情,cube,,0,0,,11000697.prefab,,
11000698,蘑菇乐手_表情开心,ugcModel,11000698,4,蘑菇乐手_表情开心,cube,,0,0,,11000698.prefab,,
11000699,蘑菇舞者_表情开心,ugcModel,11000699,4,蘑菇舞者_表情开心,cube,,0,0,,11000699.prefab,,
11000700,新版围栏门,ugcModel,210517,4,围栏门,cube,,,0,0,,,
11000701,田园门,ugcModel,201503,4,田园门,cube,,,0,0,,,
11000702,星河窗帘,ugcModel,201603,4,星河窗帘,cube,,,0,0,,,
11000703,星河床,ugcModel,201607,4,星河床,cube,,,0,0,,,
11000704,星河水晶球,ugcModel,201616,4,星河水晶球,cube,,,0,0,,,
11000705,星河门,ugcModel,201601,4,星河门,cube,,,0,0,,,
11000706,星河抽屉柜,ugcModel,201608,4,星河抽屉柜,cube,,,0,0,,,
11000707,星河星象吊灯,ugcModel,201611,4,星河星象吊灯,cube,,,0,0,,,
11000708,星河风铃,ugcModel,201613,4,星河风铃,cube,,,0,0,,,
11000709,田园箱子,ugcModel,201502,4,田园箱子,cube,,,0,0,,,
11000710,田园衣柜,ugcModel,201501,4,田园衣柜,cube,,,0,0,,,
11000711,星河衣橱,ugcModel,201609,4,星河衣橱,cube,,,0,0,,,
11000712,田园壁炉,ugcModel,201512,4,田园壁炉,cube,,,0,0,,,
11000713,星河壁炉,ugcModel,201612,4,星河壁炉,cube,,,0,0,,,
11000714,云朵软床,ugcModel,201626,4,云朵软床,cube,,,0,0,,,
11000715,云朵门,ugcModel,201620,4,云朵门,cube,,,0,0,,,
11000716,云朵圆桌,ugcModel,201630,4,云朵圆桌,cube,,,0,0,,,
11000717,云朵场景摆件,ugcModel,201636,4,云朵场景摆件,cube,,,0,0,,,
11000718,云朵沙发,ugcModel,201624,4,云朵沙发,cube,,,0,0,,,
11000719,云朵花盆,ugcModel,201631,4,云朵花盆,cube,,,0,0,,,
11000720,云朵壁灯,ugcModel,201632,4,云朵壁灯,cube,,,0,0,,,
11000721,云朵吊灯,ugcModel,201633,4,云朵吊灯,cube,,,0,0,,,
11000722,云朵喷泉,ugcModel,201637,4,云朵喷泉,cube,,,0,0,,,
11000723,云朵衣橱,ugcModel,201627,4,云朵衣橱,cube,,,0,0,,,
11000724,云朵小储物箱,ugcModel,201628,4,云朵小储物箱,cube,,,0,0,,,
11000725,云朵大储物箱,ugcModel,201629,4,云朵大储物箱,cube,,,0,0,,,
11000726,猫猫顶灯,ugcModel,201647,4,猫猫顶灯,cube,,,0,0,,,
11000727,花小楼衣柜,ugcModel,201662,4,花小楼衣柜,cube,,,0,0,,,
11000728,花小楼冰箱,ugcModel,201665,4,花小楼冰箱,cube,,,0,0,,,
11000729,花小楼方柜,ugcModel,201666,4,花小楼方柜,cube,,,0,0,,,
11000730,符文铭刻台,ugcModel,826,4,符文铭刻台,cube,,,0,0,,,
11000731,星辉火盆灯,blocks,,5,星辉火盆灯,cube,,,0,0,starlightfirelamp,,
11000800,蘑菇商人_表情,ugcModel,11000800,4,蘑菇商人_表情,cube,,0,0,,11000800.prefab,,
11000801,动物人形_猪_表情,ugcModel,11000801,4,动物人形_猪_表情,cube,,0,0,,11000801.prefab,,
11000802,动物人形_猪_凶狠表情,ugcModel,11000802,4,动物人形_猪_凶狠表情,cube,,0,0,,11000802.prefab,,
11000803,动物人形_犬_表情,ugcModel,11000803,4,动物人形_犬_表情,cube,,0,0,,11000803.prefab,,
11000804,动物人形_犬_凶狠表情,ugcModel,11000804,4,动物人形_犬_凶狠表情,cube,,0,0,,11000804.prefab,,
11000805,动物人形_猫_表情,ugcModel,11000805,4,动物人形_猫_表情,cube,,0,0,,11000805.prefab,,
11000806,动物人形_猫_凶狠表情,ugcModel,11000806,4,动物人形_猫_凶狠表情,cube,,0,0,,11000806.prefab,,
11000807,动物人形_蛙_表情 1,ugcModel,11000807,4,动物人形_蛙_表情 1,cube,,0,0,,11000807.prefab,,
11000808,动物人形_蛙_表情 2,ugcModel,11000808,4,动物人形_蛙_表情 2,cube,,0,0,,11000808.prefab,,
11000809,动物人形_蛙_表情 3,ugcModel,11000809,4,动物人形_蛙_表情 3,cube,,0,0,,11000809.prefab,,
11000810,音乐菇2,ugcModel,11000810,4,音乐菇2,cube,,0,0,0,body.prefab,,
11000811,音乐菇3,ugcModel,11000811,4,音乐菇3,cube,,0,0,0,body.prefab,,
11000812,音乐菇4,ugcModel,11000812,4,音乐菇4,cube,,0,0,0,body.prefab,,
11000813,音乐菇5,ugcModel,11000813,4,音乐菇5,cube,,0,0,0,body.prefab,,
11000814,音乐菇6,ugcModel,11000814,4,音乐菇6,cube,,0,0,0,body.prefab,,
11000815,音乐菇7,ugcModel,11000815,4,音乐菇7,cube,,0,0,0,body.prefab,,
11000816,音乐菇8,ugcModel,11000816,4,音乐菇8,cube,,0,0,0,body.prefab,,
11000817,动物人形_蛙_表情 4,ugcModel,11000817,4,动物人形_蛙_表情 4,cube,,0,0,,11000817.prefab,,
11000818,蚀化蘑菇士兵_表情,ugcModel,11000818,4,蚀化蘑菇士兵_表情,cube,,0,0,,11000818.prefab,,
11000819,蚀化蘑菇士兵_头盔,ugcModel,11000819,4,蚀化蘑菇士兵_头盔,cube,,0,0,,11000819.prefab,,
11000820,蚀化蘑菇士兵_围巾,ugcModel,11000820,4,蚀化蘑菇士兵_围巾,cube,,0,0,,11000820.prefab,,
11000821,蚀化蘑菇士兵_左手盾,ugcModel,11000821,4,蚀化蘑菇士兵_左手盾,cube,,0,0,,11000821.prefab,,
11000822,蚀化蘑菇士兵_右手矛,ugcModel,11000822,4,蚀化蘑菇士兵_右手矛,cube,,0,0,,11000822.prefab,,
11000823,蚀化蘑菇法师_头饰,ugcModel,11000823,4,蚀化蘑菇法师_头饰,cube,,0,0,,11000823.prefab,,
11000824,蚀化蘑菇法师_围巾,ugcModel,11000824,4,蚀化蘑菇法师_围巾,cube,,0,0,,11000824.prefab,,
11000825,蚀化蘑菇法师_右手法杖,ugcModel,11000825,4,蚀化蘑菇法师_右手法杖,cube,,0,0,,11000825.prefab,,
11000826,动物人形_猪_超凶表情,ugcModel,11000826,4,动物人形_猪_超凶表情,cube,,0,0,,11000826.prefab,,
11000827,动物人形_猫_超凶表情,ugcModel,11000827,4,动物人形_猫_超凶表情,cube,,0,0,,11000827.prefab,,
11000828,动物人形_犬_超凶表情,ugcModel,11000828,4,动物人形_犬_超凶表情,cube,,0,0,,11000828.prefab,,
11000829,动物人形_村民_头饰花圈,ugcModel,11000829,4,动物人形_村民_头饰花圈,cube,,0,0,,11000829.prefab,,
11000830,动物人形_村民_围巾花环,ugcModel,11000830,4,动物人形_村民_围巾花环,cube,,0,0,,11000830.prefab,,
11000831,动物人形_村民_花裙,ugcModel,11000831,4,动物人形_村民_花裙,cube,,0,0,,11000831.prefab,,
11002000,星辉三叶草苗,blocks,,5,星辉三叶草苗,cube,,,0,0,starlightclover,,
11002001,星辉三叶草,blocks,,5,星辉三叶草,cube,,,0,0,starlightclover,,
11002002,荧菇,blocks,,5,荧菇,cube,,,0,0,luminous_mushroom,,
11002003,荧菇丛,blocks,,5,荧菇丛,cube,,,0,0,luminous_mushroom_cluster,,
11002004,星点草,blocks,,5,星点草,cube,,,0,0,starrygrass,,
11002005,蹦床菇,prefab\blocks,201920,4,蹦床菇,cube,,,0,0,body.prefab,,
11002006,音乐菇,prefab\blocks,11002006,4,音乐菇,cube,,,0,0,body.prefab,,
11002007,滑伞菇,prefab\blocks,201930,4,滑伞菇,cube,,,0,0,body.prefab,,
11002008,星露莓丛,blocks,,5,星露莓丛,cube,,,0,0,plant_stardewberry,,
11002010,菇排,blocks,,5,菇排,cube,,,0,0,MushroomSteak,,
11002011,炸蘑菇,blocks,,5,炸蘑菇,cube,,,0,0,FriedMushroom,,
11002012,荧菇炖汤,blocks,,5,荧菇炖汤,cube,,,0,0,GlowMushroomStew,,
11002013,星光面包,blocks,,5,星光面包,cube,,,0,0,StarlightBread,,
11002014,星辉花饼,blocks,,5,星辉花饼,cube,,,0,0,StarlightFlowerPie,,
11002015,星斑野猪排,blocks,,5,星斑野猪排,cube,,,0,0,StarSpottedBoarMeat,,
11002016,星芒麦,blocks,,5,星芒麦,cube,,,0,0,starlightwheat,,
11002017,蚀化召唤阵,prefab\blocks,201760,4,蚀化召唤阵,cube,,,0,0,body.prefab,,
11002018,学院宝箱（真）,prefab\blocks,390117,4,学院宝箱（真）,cube,,,0,0,body.prefab,,
11002019,学院宝箱（假）,prefab\blocks,390118,4,学院宝箱（假）,cube,,,0,0,body.prefab,,
11002020,荧藻冻,prefab\blocks,200262,4,荧藻冻,cube,,,0,0,body.prefab,,
11002021,蘑菇箱,prefab\blocks,201751,4,蘑菇箱,cube,,,0,0,body.prefab,,
11002022,蘑菇门,prefab\blocks,201747,4,蘑菇门,cube,,,0,0,body.prefab,,
11002023,蘑菇窗,prefab\blocks,201748,4,蘑菇窗,cube,,,0,0,body.prefab,,
11002024,星辉窗,prefab\blocks,201737,4,星辉窗,cube,,,0,0,body.prefab,,
11002025,滑伞菇,prefab\blocks,201930,4,滑伞菇,cube,,,0,0,body.prefab,,
11002026,荧菇幼苗,blocks,,5,荧菇幼苗,cube,,,0,0,luminousmushroomseedlings,luminous_mushroom,
11002027,星辉门,prefab\blocks,201736,4,星辉门,cube,,,0,0,body.prefab,,
11002028,星辉衣柜,prefab\blocks,201740,4,星辉衣柜,cube,,,0,0,body.prefab,,
11002029,星辉储物箱,prefab\blocks,201741,4,星辉储物箱,cube,,,0,0,body.prefab,,
11002030,星谕梦榻,prefab\blocks,201667,4,幽夜星谕床,cube,,,0,0,body.prefab,,
11002031,星谕书柜,prefab\blocks,201668,4,幽夜星谕书柜,cube,,,0,0,body.prefab,,
11002032,星谕门扉,prefab\blocks,201669,4,幽夜星谕门,cube,,,0,0,body.prefab,,
11002033,星谕摇椅,prefab\blocks,201670,4,幽夜星谕摇椅,cube,,,0,0,body.prefab,,
11002034,星谕方桌,prefab\blocks,201671,4,幽夜星谕方几,cube,,,0,0,body.prefab,,
11002035,星谕衣橱,prefab\blocks,201672,4,幽夜星谕衣柜,cube,,,0,0,body.prefab,,
11002036,星谕壁炉,prefab\blocks,201673,4,幽夜星谕壁炉,cube,,,0,0,body.prefab,,
11002037,星谕琉窗,prefab\blocks,201674,4,幽夜星谕窗户,cube,,,0,0,body.prefab,,
11002038,星谕织毯,prefab\blocks,201675,4,幽夜星谕地毯,cube,,,0,0,body.prefab,,
11002039,星谕晶灯,prefab\blocks,201676,4,幽夜星谕吊灯,cube,,,0,0,body.prefab,,
11002500,皮头盔,remotes\entity\avatar,1000_2500,4,皮头盔,icon12201,,5,0,0,2500.prefab,,
11002501,链甲头盔,remotes\entity\avatar,1000_2501,4,链甲头盔,icon12211,,5,0,0,2501.prefab,,
11002502,黄铜头盔,remotes\entity\avatar,1000_2502,4,黄铜头盔,icon12216,,5,0,0,2502.prefab,,
11002503,铸铁头盔,remotes\entity\avatar,1000_2503,4,铸铁头盔,icon12221,,5,0,0,2503.prefab,,
11002504,钛金头盔,remotes\entity\avatar,1000_2504,4,钛金头盔,icon12231,,5,0,0,2504.prefab,,
11002505,钨金头盔,remotes\entity\avatar,1000_2505,4,钨金头盔,icon12241,,5,0,0,2505.prefab,,
11002506,野人面具,remotes\entity\avatar,1000_2506,4,野人面具,icon12246,,5,0,0,2506.prefab,,
11002515,皮胸甲,remotes\entity\avatar,1000_2515,4,皮胸甲,icon12202,,5,0,0,2515.prefab,,
11002516,链甲胸甲,remotes\entity\avatar,1000_2516,4,链甲胸甲,icon12212,,5,0,0,2516.prefab,,
11002517,黄铜胸甲,remotes\entity\avatar,1000_2517,4,黄铜胸甲,icon12217,,5,0,0,2517.prefab,,
11002518,铸铁胸甲,remotes\entity\avatar,1000_2518,4,铸铁胸甲,icon12222,,5,0,0,2518.prefab,,
11002519,钛金胸甲,remotes\entity\avatar,1000_2519,4,钛金胸甲,icon12232,,5,0,0,2519.prefab,,
11002520,钨金胸甲,remotes\entity\avatar,1000_2520,4,钨金胸甲,icon12242,,5,0,0,2520.prefab,,
11002524,皮护腿,remotes\entity\avatar,1000_2524,4,皮护腿,icon12203,,5,0,0,2524.prefab,,
11002525,链甲护腿,remotes\entity\avatar,1000_2525,4,链甲护腿,icon12213,,5,0,0,2525.prefab,,
11002526,黄铜护腿,remotes\entity\avatar,1000_2526,4,黄铜护腿,icon12218,,5,0,0,2526.prefab,,
11002527,铸铁护腿,remotes\entity\avatar,1000_2527,4,铸铁护腿,icon12223,,5,0,0,2527.prefab,,
11002528,钛金护腿,remotes\entity\avatar,1000_2528,4,钛金护腿,icon12233,,5,0,0,2528.prefab,,
11002529,钨金护腿,remotes\entity\avatar,1000_2529,4,钨金护腿,icon12243,,5,0,0,2529.prefab,,
11002531,皮靴子,remotes\entity\avatar,1000_2531,4,皮靴子,icon12204,,5,0,0,2531.prefab,,
11002532,链甲靴子,remotes\entity\avatar,1000_2532,4,链甲靴子,icon12214,,5,0,0,2532.prefab,,
11002533,黄铜靴子,remotes\entity\avatar,1000_2533,4,黄铜靴子,icon12219,,5,0,0,2533.prefab,,
11002534,铸铁靴子,remotes\entity\avatar,1000_2534,4,铸铁靴子,icon12224,,5,0,0,2534.prefab,,
11002535,钛金靴子,remotes\entity\avatar,1000_2535,4,钛金靴子,icon12234,,5,0,0,2535.prefab,,
11002536,钨金靴子,remotes\entity\avatar,1000_2536,4,钨金靴子,icon12244,,5,0,0,2536.prefab,,
11002541,皮披风,remotes\entity\avatar,1000_2541,4,皮披风,icon12205,,5,0,0,2541.prefab,,
11002543,炽炎披风,remotes\entity\avatar,1000_2543,4,炽炎披风,icon12206,,5,0,0,2543.prefab,,
11002544,钨金披风,remotes\entity\avatar,1000_2544,4,钨金披风,icon12207,,5,0,0,2544.prefab,,
11002545,云母披风,remotes\entity\avatar,1000_2545,4,云母披风,icon12208,,5,0,0,2545.prefab,,
11002542,精铝披风,remotes\entity\avatar,1000_2542,4,精铝披风,icon12209,,5,0,0,2542.prefab,,
11002546,熔岩披风,remotes\entity\avatar,1000_2546,4,熔岩披风,icon12210,,5,0,0,2546.prefab,,
11002551,迷你披风,remotes\entity\avatar,1000_2551,4,迷你披风,icon12205,,5,0,0,2551.prefab,,
11002552,4399披风,remotes\entity\avatar,1000_2552,4,4399披风,icon12205,,5,0,0,2552.prefab,,
11002553,阿里游戏披风,remotes\entity\avatar,1000_2553,4,阿里游戏披风,icon12205,,5,0,0,2553.prefab,,
11002554,华为披风,remotes\entity\avatar,1000_2554,4,华为披风,icon12205,,5,0,0,2554.prefab,,
11002555,百度披风,remotes\entity\avatar,1000_2555,4,百度披风,icon12205,,5,0,0,2555.prefab,,
11002556,魅族披风,remotes\entity\avatar,1000_2556,4,魅族披风,icon12205,,5,0,0,2556.prefab,,
11002557,小米披风,remotes\entity\avatar,1000_2557,4,小米披风,icon12205,,5,0,0,2557.prefab,,
11002558,oppo披风,remotes\entity\avatar,1000_2558,4,oppo披风,icon12205,,5,0,0,2558.prefab,,
11002559,360披风,remotes\entity\avatar,1000_2559,4,360披风,icon12205,,5,0,0,2559.prefab,,
11002560,腾讯披风,remotes\entity\avatar,1000_2560,4,腾讯披风,icon12205,,5,0,0,2560.prefab,,
11002561,酷狗披风,remotes\entity\avatar,1000_2561,4,酷狗披风,icon12205,,5,0,0,2561.prefab,,
11002562,金立披风,remotes\entity\avatar,1000_2562,4,金立披风,icon12205,,5,0,0,2562.prefab,,
11002563,vivo披风,remotes\entity\avatar,1000_2563,4,vivo披风,icon12205,,5,0,0,2563.prefab,,
11002564,乐视披风,remotes\entity\avatar,1000_2564,4,乐视披风,icon12205,,5,0,0,2564.prefab,,
11002565,庆典披风,remotes\entity\avatar,1000_2565,4,庆典披风,icon12205,,5,0,0,2565.prefab,,
11002566,祥瑞披风,remotes\entity\avatar,1000_2566,4,祥瑞披风,icon12205,,5,0,0,2566.prefab,,
11002567,新春披风,remotes\entity\avatar,1000_2567,4,新春披风,icon12206,,5,0,0,2567.prefab,,
11002568,防沙披风,remotes\entity\avatar,1000_2568,4,防沙披风,icon11639,,5,0,0,2568.prefab,,
11002569,防寒披风,remotes\entity\avatar,1000_2569,4,防寒披风,icon12279,,5,0,0,2569.prefab,,
11002507,潜水面罩,remotes\entity\avatar,1000_2507,4,潜水面罩,icon11642,,5,0,0,2507.prefab,,
11002521,潜水服,remotes\entity\avatar,1000_2521,4,潜水服,icon11643,,5,0,0,2521.prefab,,
11002537,潜水脚蹼,remotes\entity\avatar,1000_2537,4,潜水脚蹼,icon11644,,5,0,0,2537.prefab,,
11002508,高级潜水面罩,remotes\entity\avatar,1000_2508,4,高级潜水面罩,icon11645,,5,0,0,2508.prefab,,
11002522,高级潜水服,remotes\entity\avatar,1000_2522,4,高级潜水服,icon11646,,5,0,0,2522.prefab,,
11002538,高级潜水脚蹼,remotes\entity\avatar,1000_2538,4,高级潜水脚蹼,icon11647,,5,0,0,2538.prefab,,
11002510,防寒头盔,remotes\entity\avatar,1000_2510,4,防寒头盔,icon12312,,5,0,0,2510.prefab,,
11002523,防寒胸甲,remotes\entity\avatar,1000_2523,4,防寒胸甲,icon12313,,5,0,0,2523.prefab,,
11002530,防寒护腿,remotes\entity\avatar,1000_2530,4,防寒护腿,icon12314,,5,0,0,2530.prefab,,
11002539,防寒靴靴,remotes\entity\avatar,1000_2539,4,防寒靴靴,icon12315,,5,0,0,2539.prefab,,
11003400,铝合金头盔,remotes\entity\avatar,1000_3400,4,铝合金头盔,icon12764,,5,0,0,3400.prefab,,
11003387,铝合金胸甲,remotes\entity\avatar,1000_3387,4,铝合金胸甲,icon12765,,5,0,0,3387.prefab,,
11003388,铝合金护腿,remotes\entity\avatar,1000_3388,4,铝合金护腿,icon12766,,5,0,0,3388.prefab,,
11003389,铝合金靴子,remotes\entity\avatar,1000_3389,4,铝合金靴子,icon12767,,5,0,0,3389.prefab,,
11003390,钴合金头盔,remotes\entity\avatar,1000_3390,4,钴合金头盔,icon12768,,5,0,0,3390.prefab,,
11003391,钴合金胸甲,remotes\entity\avatar,1000_3391,4,钴合金胸甲,icon12769,,5,0,0,3391.prefab,,
11003392,钴合金护腿,remotes\entity\avatar,1000_3392,4,钴合金护腿,icon12770,,5,0,0,3392.prefab,,
11003393,钴合金靴子,remotes\entity\avatar,1000_3393,4,钴合金靴子,icon12771,,5,0,0,3393.prefab,,
11002511,虚空瓜帽1,remotes\entity\avatar,1000_2511,4,虚空瓜帽1,cube,,5,0,0,2511.prefab,,
11002512,虚空瓜帽2,remotes\entity\avatar,1000_2512,4,虚空瓜帽2,cube,,5,0,0,2512.prefab,,
11002513,虚空瓜帽3,remotes\entity\avatar,1000_2513,4,虚空瓜帽3,cube,,5,0,0,2513.prefab,,
11002514,虚空瓜帽4,remotes\entity\avatar,1000_2514,4,虚空瓜帽4,cube,,5,0,0,2514.prefab,,
