道具ID,名称,食材类型（0=食材，1=非食材）,食物类型（0=生的，1=篝火烹饪的，2=锅烹饪的，3=加工的）,使用时间,增加饥饿度,增加饥饿耐力,增加治疗血量,动物治疗血量,增加治疗血量（溢出）,恢复体力值,恢复温度,获取护盾,获取毅力,获得氧气值,恢复法力,附加状态1ID,状态1等级,状态1获得概率,附加状态2ID,状态2等级,状态2获得概率,附加状态3ID,状态3等级,状态3获得概率,保留容器,是否投掷（无效）,影响范围半径（无效）,随机状态(1:是否随机获得状态),"清除状态(1:清除随机状态, 2:清除随机有害状态)",食物效果,野人选择优先级（0不选择，1最高优先级，数字越大优先级越低）,烧烤类型（1=生肉，2=熟肉，3=糊肉）
150167,豪华鲜肉果蔬盖饭,1,2,30,0,0,20,,,25,,15,,,,,,,,,,,,,,,,,,,,
150168,豪华海陆水果盖饭,1,2,30,0,0,30,,,30,,,,,,,,,,,,,,,,,,,,,,
150169,豪华海陆蔬菜盖饭,1,2,30,0,0,15,,,25,,20,,,,,,,,,,,,,,,,,,,,
150170,豪华水果拼盘,1,2,30,0,0,60,,,,,,,,,,,,,,,,,,,,,,,,,
150171,豪华果蔬沙拉,1,2,30,0,0,30,,,,,30,,,,,,,,,,,,,,,,,,,,
150172,豪华海鲜沙拉,1,2,30,0,0,35,,,25,,,,,,,,,,,,,,,,,,,,,,
150173,豪华水果饭团,1,2,30,0,0,35,,,,,25,,,,,,,,,,,,,,,,,,,,
150174,豪华果蔬鲜鱼拼盘,1,2,30,0,0,25,,,20,,15,,,,,,,,,,,,,,,,,,,,
150175,豪华果蔬饭团,1,2,30,0,0,40,,,,,20,,,,,,,,,,,,,,,,,,,,
150176,豪华海鲜炒饭,1,2,30,0,0,25,,,35,,,,,,,,,,,,,,,,,,,,,,
150177,豪华果蔬烤鱼拼盘,1,2,30,0,0,25,,,25,,10,,,,,,,,,,,,,,,,,,,,
150178,豪华海鲜果蔬盖饭,1,2,30,0,0,30,,,15,,15,,,,,,,,,,,,,,,,,,,,
150179,豪华炒蔬菜,1,2,30,0,0,,,,,,65,,,,,,,,,,,,,,,,,,,,
150180,豪华蔬菜炒海鲜,1,2,30,0,0,,,,35,,30,,,,,,,,,,,,,,,,,,,,
150181,豪华蔬菜饭团,1,2,30,0,0,30,,,,,30,,,,,,,,,,,,,,,,,,,,
150182,豪华鲜鱼蔬菜炒饭,1,2,30,0,0,20,,,20,,20,,,,,,,,,,,,,,,,,,,,
150183,豪华煎鱼,1,2,30,0,0,,,,65,,,,,,,,,,,,,,,,,,,,,,
150184,豪华大碗饭,1,2,30,0,0,60,,,,,,,,,,,,,,,,,,,,,,,,,
150185,豪华蒸玉米,1,2,30,0,0,,,,65,,,,,,,,,,,,,,,,,,,,,,
150186,豪华蒸番薯,1,2,30,0,0,,,,65,,,,,,,,,,,,,,,,,,,,,,
150187,豪华奇怪味道的食物,1,2,30,0,0,,,,5,,,,,,76,1,3000,6,3,500,,,,,,,,,,,
150188,豪华不可名状的东西,1,2,30,0,0,,,,5,,,,,,76,1,4000,2014,3,3000,4,3,500,,,,,,,,
150189,豪华煎肉排,1,2,30,0,0,,,,65,,,,,,,,,,,,,,,,,,,,,,
150190,豪华海鲜水果饭团,1,2,30,0,0,30,,,30,,,,,,,,,,,,,,,,,,,,,,
200112,浆果,,0,30,25,15,15,,,,,,,,,,,,,,,,,,,,,,,,4,
200113,丰硕浆果,,0,30,25,15,30,,,,,,,,,,,,,,,,,,,,,,,,4,
200115,西瓜,,0,30,25,15,15,,,,,,,,,,,,,,,,,,,,,,,,4,
200116,丰硕西瓜,,0,30,25,15,45,,,,,,,,,,,,,,,,,,,,,,,,4,
200119,番茄,,0,30,25,15,,,,15,,,,,,,,,,,,,,,,,,,,,4,
200120,丰硕番茄,,0,30,25,15,,,,30,,,,,,,,,,,,,,,,,,,,,4,
200122,胡萝卜,,0,30,25,15,,,,15,,,,,,,,,,,,,,,,,,,,,4,
200123,丰硕胡萝卜,,0,30,25,15,,,,30,,,,,,,,,,,,,,,,,,,,,4,
200125,南瓜,,0,30,25,15,,,,15,,,,,,,,,,,,,,,,,,,,,4,
200126,丰硕南瓜,,0,30,25,15,,,,45,,,,,,,,,,,,,,,,,,,,,4,
200129,草莓,,0,30,25,15,15,,,,,,,,,,,,,,,,,,,,,,,,4,
200130,丰硕草莓,,0,30,25,15,30,,,,,,,,,,,,,,,,,,,,,,,,4,
200132,莲藕,,0,30,25,15,,,,15,,,,,,,,,,,,,,,,,,,,,4,
200133,丰硕莲藕,,0,30,25,15,,,,30,,,,,,,,,,,,,,,,,,,,,4,
200135,沙棘,,0,30,25,15,15,,,,,,,,,,,,,,,,,,,,,,,,4,
200136,丰硕沙棘,,0,30,25,15,30,,,,,,,,,,,,,,,,,,,,,,,,4,
200138,葡萄,,0,30,25,15,15,,,,,,,,,,,,,,,,,,,,,,,,4,
200139,丰硕葡萄,,0,30,25,15,30,,,,,,,,,,,,,,,,,,,,,,,,4,
200141,玉米,,0,30,25,15,,,,15,,,,,,,,,,,,,,,,,,,,,4,
200142,丰硕玉米,,0,30,25,15,,,,30,,,,,,,,,,,,,,,,,,,,,4,
200144,青瓜,,0,30,25,15,,,,15,,,,,,,,,,,,,,,,,,,,,4,
200145,丰硕青瓜,,0,30,25,15,,,,30,,,,,,,,,,,,,,,,,,,,,4,
200147,番薯,,0,30,25,15,,,,15,,,,,,,,,,,,,,,,,,,,,4,
200148,丰硕番薯,,0,30,25,15,,,,30,,,,,,,,,,,,,,,,,,,,,4,
200150,水稻麦穗,,0,30,25,15,,,,15,,,,,,,,,,,,,,,,,,,,,4,
200151,丰硕水稻麦穗,,0,30,25,15,,,,30,,,,,,,,,,,,,,,,,,,,,4,
200153,独葵,,0,30,25,15,,,,15,,,,,,,,,,,,,,,,,,,,,4,
200154,丰硕独葵,,0,30,25,15,,,,30,,,,,,,,,,,,,,,,,,,,,4,
200156,萝卜王,,0,30,25,15,,,,20,,,,,,,,,,,,,,,,,,,,,4,
200157,丰硕萝卜王,,0,30,25,15,,,,40,,,,,,,,,,,,,,,,,,,,,4,
200167,日光番茄,,0,30,25,15,,,,20,,,,,,,,,,,,,,,,,,,,,4,
200168,丰硕日光番茄,,0,30,25,15,,,,40,,,,,,,,,,,,,,,,,,,,,4,
200170,超级杂交水稻麦穗,,0,30,25,15,,,,20,,,,,,,,,,,,,,,,,,,,,4,
200171,丰硕超级杂交水稻麦穗,,0,30,25,15,,,,40,,,,,,,,,,,,,,,,,,,,,4,
200173,彩虹草莓,,0,30,25,15,20,,,,,,,,,,,,,,,,,,,,,,,,4,
200174,丰硕彩虹草莓,,0,30,25,15,40,,,,,,,,,,,,,,,,,,,,,,,,4,
200176,水晶西瓜,,0,30,25,15,20,,,,,,,,,,,,,,,,,,,,,,,,4,
200177,丰硕水晶西瓜,,0,30,25,15,60,,,,,,,,,,,,,,,,,,,,,,,,4,
200180,阳光青提,,0,30,25,15,20,,,,,,,,,,,,,,,,,,,,,,,,4,
200181,丰硕阳光青提,,0,30,25,15,40,,,,,,,,,,,,,,,,,,,,,,,,4,
200183,精致玉米,,0,30,25,15,,,,20,,,,,,,,,,,,,,,,,,,,,4,
200184,丰硕精致玉米,,0,30,25,15,,,,40,,,,,,,,,,,,,,,,,,,,,4,
200186,冰果,,0,30,25,15,50,,,50,,,,,,,,,,,,,,,,,,,,,4,
200187,丰硕冰果,,0,30,25,15,50,,,50,,,,,,115,1,10000,,,,,,,,,,,,,4,
200190,烈焰瓜,,0,30,25,15,50,,,50,,,,,,,,,,,,,,,,,,,,,4,
200191,丰硕烈焰瓜,,0,30,25,15,50,,,50,,,,,,115,1,10000,,,,,,,,,,,,,4,
200200,冰焰双果披萨,,0,30,25,15,100,,,100,,100,100,,,115,2,10000,,,,,,,,,,,,,4,
200201,西瓜沙棘慕斯,,0,30,25,15,60,,,,,,,,,29,2,10000,,,,,,,,,,,,,4,
200202,阳光青提舒芙蕾,,0,30,25,15,60,,,,,,,,,16,3,10000,,,,,,,,,,,,,4,
200203,彩虹草莓千层,,0,30,25,15,60,,,,,,,,,6,6,10000,,,,,,,,,,,,,4,
200204,汉堡,,0,30,25,15,,,,50,,,,,,,,,,,,,,,,,,,,,4,
200205,青瓜鸡蛋饼,,0,30,25,15,,,,50,,,,,,,,,,,,,,,,,,,,,4,
200206,浆果松饼,,0,30,25,15,,,,40,,,,,,,,,,,,,,,,,,,,,4,
200207,独葵蜂蜜饼干,,0,30,25,15,,,,50,,,,,,,,,,,,,,,,,,,,,4,
200208,葡萄干土司,,0,30,25,15,50,,,,,,,,,,,,,,,,,,,,,,,,4,
200209,草莓蛋糕,,0,30,25,15,25,,,25,,,,,,,,,,,,,,,,,,,,,4,
200210,牛角包,,0,30,25,15,,,,40,,,,,,,,,,,,,,,,,,,,,4,
200211,面包,,0,30,25,15,20,,,20,,,,,,,,,,,,,,,,,,,,,4,
200212,超级米发糕,,0,30,25,15,,,,60,,,,,,116,1,10000,,,,,,,,,,,,,4,
200213,日光番茄佛卡夏,,0,30,25,15,20,,,40,,,,,,117,1,10000,,,,,,,,,,,,,4,
200214,胡萝卜南瓜盅,,0,30,25,15,20,,,30,,,,,,,,,,,,,,,,,,,,,4,
200215,莲藕核桃糕,,0,30,25,15,,,,50,,,,,,,,,,,,,,,,,,,,,4,
200223,饺子,,0,30,25,12,10,,,0,,,,,,,,,,,,,,,,,,,,,4,
200224,汤圆,,0,30,25,12,10,,,0,,,,,,,,,,,,,,,,,,,,,4,
200253,幻觉菇,,0,30,0,0,0,0,,15,,,,,,76,1,6000,2270,1,10000,2271,1,10000,,,,,,幻觉+拉肚子+持续回蓝,,
200254,荧菇,,0,30,0,0,0,0,,15,,,,,,60,1,1500,,,,,,,,,,,,拉肚子,,
550101,星露莓,,0,30,25,12,10,30,,0,,,,,,,,,,,,,,,11405,,,,,莲花坐骑食物,4,
550102,星斑野猪肉,,0,30,20,4,0,15,,15,,,,,,76,1,1000,,,,,,,,,,,,,4,1
200263,星斑野猪排,1,1,30,45,59,0,40,,25,1,,,,,,,,,,,,,,,,,,,,2,2
550104,鲜幻彩霓虹,,0,30,15,0,0,20,,15,,,,,,76,1,1000,,,,,,,,,,,,,5,
550105,鲜幽兰刺龟,,0,30,15,0,0,20,,15,,,,,,76,1,1000,,,,,,,,,,,,,5,
550106,鲜冰雪明珠,,0,30,15,0,0,20,,15,,,,,,76,1,1000,,,,,,,,,,,,,5,
550107,鲜冰晶玉壶,,0,30,15,0,0,20,,15,,,,,,76,1,1000,,,,,,,,,,,,,5,
550108,鲜星夜光纹,,0,30,15,0,0,20,,15,,,,,,76,1,1000,,,,,,,,,,,,,5,
550109,鲜长颌白鲑,,0,30,15,0,0,20,,15,,,,,,76,1,1000,,,,,,,,,,,,,5,
550110,鲜浪里白条,,0,30,15,0,0,20,,15,,,,,,76,1,1000,,,,,,,,,,,,,5,
550111,鲜炫彩灵锤,,0,30,15,0,0,20,,15,,,,,,76,1,1000,,,,,,,,,,,,,5,
550112,烤鱼,,1,30,25,15,0,30,,25,1,,,,,,,,,,,,,,,,,,,,2,
200257,菇排,1,1,30,45,59,0,40,,25,1,,,,,,,,,,,,,,,,,,,,2,2
200258,炸蘑菇,1,1,30,25,15,30,40,,0,1,,,,,,,,,,,,,,,,,,,,2,2
200259,荧菇炖汤,1,2,30,25,15,25,20,,25,,,,,,,,,,,,,,,,,,,,,,
200260,星光面包,1,0,30,25,15,50,40,,0,,,,,,84,1,10000,,,,,,,,,,,,,4,
200261,星辉花饼,1,0,30,25,15,0,40,,50,,,,,,,,,,,,,,,,,,,,,4,
550120,星露莓果汁,1,3,30,20,12,25,25,,0,,,,,,2271,2,10000,,,,,,,,,,,,,4,
200262,荧藻冻,,0,30,30,10,25,,,0,,,,,,16,1,10000,,,,,,,,,,,,,4,
550121,星辉药剂,1,3,30,20,12,25,25,,0,,,,,,2274,1,10000,,,,,,,11320,,,,3|77001,,,
200412,虚空鲜奶,1,0,30,0,0,,,,0,,,,,,,,,,,,,,,11320,,,,,,,
300,风铃花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,若兰,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,星辰花,0,0,30,,,0,30,,0,,,,,,,,,,,,,,,,,,,,月亮坐骑的食物,,
303,龙血花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,风信子,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,龙爪草,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,龙血树,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,红色龙舌兰,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,橙色龙舌兰,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,灰色龙舌兰,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,粉色龙舌兰,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,白椰花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,黄钟花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,野蔷薇,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,冬温花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,彼岸花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12612,仙人掌花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200398,虚空星辰花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200399,虚空若兰,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200400,虚空龙血花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200401,虚空龙血树,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200402,虚空风信子,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200403,虚空黄钟花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200404,虚空龙舌兰,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200405,虚空白椰花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200406,虚空野蔷薇,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200407,虚空冬温花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200408,虚空彼岸花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200422,虚空兽肉,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,玉米粉,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11099,燃油,0,0,30,,,0,30,,,,,,,,,,,,,,,,,,,,,,,,
550029,小份烤蔬菜,1,0,30,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,
550030,中份烤蔬菜,1,0,30,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,
550031,大份烤蔬菜,1,0,30,0,0,45,,,,,,,,,,,,,,,,,,,,,,,,,
550032,小份烤肉煲,1,0,30,0,0,,,,20,,,,,,,,,,,,,,,,,,,,,,
550033,中份烤肉煲,1,0,30,0,0,,,,30,,,,,,,,,,,,,,,,,,,,,,
550034,大份烤肉煲,1,0,30,0,0,,,,45,,,,,,,,,,,,,,,,,,,,,,
550035,小份烤制菜肉,1,0,30,0,0,,,,20,,,,,,,,,,,,,,,,,,,,,,
550036,中份烤制菜肉,1,0,30,0,0,,,,30,,,,,,,,,,,,,,,,,,,,,,
550037,大份烤制菜肉,1,0,30,0,0,,,,45,,,,,,,,,,,,,,,,,,,,,,
550038,小份烤海鲜,1,0,30,0,0,,,,20,,,,,,,,,,,,,,,,,,,,,,
550039,中份烤海鲜,1,0,30,0,0,,,,30,,,,,,,,,,,,,,,,,,,,,,
550040,大份烤海鲜,1,0,30,0,0,,,,45,,,,,,,,,,,,,,,,,,,,,,
550041,小份烤水果,1,0,30,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,
550042,中份烤水果,1,0,30,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,
550043,大份烤水果,1,0,30,0,0,45,,,,,,,,,,,,,,,,,,,,,,,,,
