熔炼ID,熔炼材料ID,物品名字,英文名称/必填/插件用,插件用名称,插件编辑模板[0=不是模板，1=作为模板],插件编辑[大于0开放插件编辑，1=作物，2=工具，3=杂物，4=方块],"熔炉类型(0熔炉,1氧气提炼装置,2篝火)",氧气值,热量（燃烧时间单位tick，20tick=1s）,燃烧值（篝火，0-100）,熔炉产出（石炉产出）,产出数量,（废弃）熔炉产出2（铜炉产出）,（废弃）产出数量2,（废弃）熔炉产出3（铁炉产出）,（废弃）产出数量3,经验产出,掉落几率,掉落的星星数量（数组，两个值随机）,保留容器ID,分数,提供热量（每个tick提供的热量）,熔炼时间,标签
283,165022,菌菇板薄斜板,WoodStep,WoodStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
284,167022,菌菇板竖薄斜板,WoodStep,WoodStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
285,172045,菌菇板薄弧板,WoodStep,WoodStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
286,174045,菌菇板竖薄弧板,WoodStep,WoodStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
287,176045,菌菇板棱锥,WoodStep,WoodStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
288,161017,宝石蓝薄板,WoodStep,WoodStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
289,162018,宝石蓝竖薄板,WoodStep,WoodStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
290,165018,宝石蓝薄斜板,WoodStep,WoodStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
291,167018,宝石蓝竖薄斜板,WoodStep,WoodStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
292,172041,宝石蓝薄弧板,WoodStep,WoodStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
293,174041,宝石蓝竖薄弧板,WoodStep,WoodStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
294,176041,宝石蓝棱锥,WoodStep,WoodStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
295,161018,花青紫薄板,WoodStep,WoodStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
296,162019,花青紫竖薄板,WoodStep,WoodStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
297,165019,花青紫薄斜板,WoodStep,WoodStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
298,167019,花青紫竖薄斜板,WoodStep,WoodStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
299,172042,花青紫薄弧板,WoodStep,WoodStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
300,174042,花青紫竖薄弧板,WoodStep,WoodStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
301,176042,花青紫棱锥,WoodStep,WoodStep,0,4,0,,160,16,0,0,,,,,,,,,,3,,
302,200254,荧菇,,,0,0,2,,0,0,200257,1,,,,,,,,,,,,
303,200253,幻觉菇,,,0,0,2,,0,0,200257,1,,,,,,,,,,,,
