ID,名称,文件名称,类别【1=图标|2=标签|3=按钮4=底板|5=背景图|6=文字|7=边框 8 = 天空盒 9=滤镜 10=方块贴图 11=特效贴图】,上级,文件夹,开关(0:关 1:开),排序,选择器类型（0不开放  1图片通用选择器 2贴图选择器 3天空盒贴图选择器 4太阳月亮选择器 5银河贴图选择器）,一级分类（1基础图片 2贴图）
10445,图标122,npchat_icon_chat,1,c_miniwork,,1,506,1,1
10446,图标123,npchat_icon_collect,1,c_miniwork,,1,507,1,1
10447,图标124,aaa_icon_4g_6,1,c_miniwork,,1,508,1,1
10448,图标125,aaa_icon_4g_7,1,c_miniwork,,1,509,1,1
10449,图标126,aaa_icon_4g_8,1,c_miniwork,,1,510,1,1
10450,图标127,aaa_icon_wifi_1,1,c_miniwork,,1,511,1,1
10451,图标199,icon_adv_mini_d,1,c_miniwork,,1,601,1,1
10452,图标200,icon_battle_mini_d,1,c_miniwork,,1,602,1,1
10453,图标128,icon_server_red_,1,c_miniwork,,1,512,1,1
10454,图标201,icon_create_mini_d,1,c_miniwork,,1,603,1,1
10455,图标202,icon_elec_mini_d,1,c_miniwork,,1,604,1,1
10456,图标203,icon_intomap,1,c_miniwork,,1,605,1,1
10457,图标204,icon_moble,1,c_miniwork,,1,608,1,1
10458,图标205,icon_pc,1,c_miniwork,,1,609,1,1
10459,图标206,icon_puzzle_mini_d,1,c_miniwork,,1,610,1,1
10460,图标207,icon_refresh,1,c_miniwork,,1,611,1,1
10461,图标208,icon_run_mini_d,1,c_miniwork,,1,612,1,1
10462,图标209,icon_search,1,c_miniwork,,1,613,1,1
10463,图标129,icon_server_yellow,1,c_miniwork,,1,513,1,1
10464,图标210,icon_video_mini_d,1,c_miniwork,,1,614,1,1
10465,图标211,icon_act_atk,1,c_shop,,1,615,1,1
10466,图标212,icon_act_dead,1,c_shop,,1,616,1,1
10467,图标213,icon_act_default,1,c_shop,,1,617,1,1
10468,图标214,icon_act_lie,1,c_shop,,1,618,1,1
10469,图标215,icon_act_run,1,c_shop,,1,619,1,1
10470,图标216,icon_act_set,1,c_shop,,1,620,1,1
10471,图标217,icon_act_strike,1,c_shop,,1,621,1,1
10472,图标218,icon_act_swim,1,c_shop,,1,622,1,1
10473,图标219,icon_act_walk,1,c_shop,,1,623,1,1
10474,图标220,icon_animation_act,1,c_shop,,1,624,1,1
10475,图标130,icon_bone,1,c_shop,,1,514,1,1
10476,图标178,icon_camera,1,c_shop,,1,579,1,1
10477,图标179,icon_close_ar,1,c_shop,,1,580,1,1
10478,图标221,icon_custom_all,1,c_shop,,1,625,1,1
10479,图标222,icon_custom_back,1,c_shop,,1,626,1,1
10480,图标223,icon_custom_cloth,1,c_shop,,1,627,1,1
10481,图标224,icon_custom_Expression,1,c_shop,,1,628,1,1
10482,图标225,icon_custom_foot,1,c_shop,,1,629,1,1
10483,图标226,icon_custom_hands,1,c_shop,,1,630,1,1
10484,图标227,icon_custom_head,1,c_shop,,1,631,1,1
10485,图标243,icon_custom_n,1,c_shop,,1,647,1,1
10486,图标228,icon_custom_pants,1,c_shop,,1,632,1,1
10487,图标229,icon_custom_record,1,c_shop,,1,633,1,1
10488,图标230,icon_custom_shoes,1,c_shop,,1,634,1,1
10489,图标244,icon_gambling_n,1,c_shop,,1,648,1,1
10490,图标131,icon_goto,1,c_shop,,1,515,1,1
10491,图标180,icon_help_ar,1,c_shop,,1,581,1,1
10492,图标181,icon_hide_ar,1,c_shop,,1,582,1,1
10493,图标231,icon_like,1,c_shop,,1,635,1,1
10494,图标132,icon_model_pack,1,c_shop,,1,516,1,1
10495,图标133,icon_model,1,c_shop,,1,517,1,1
10496,图标134,icon_move_ar_b,1,c_shop,,1,518,1,1
10497,图标135,icon_myfactory,1,c_shop,,1,519,1,1
10498,图标245,icon_new_n,1,c_shop,,1,649,1,1
10499,图标246,icon_pack_n,1,c_shop,,1,650,1,1
10500,图标247,icon_pet_n,1,c_shop,,1,651,1,1
10501,图标248,icon_prop_n,1,c_shop,,1,652,1,1
10502,图标249,icon_recharge_n,1,c_shop,,1,653,1,1
10503,图标250,icon_recommend_n,1,c_shop,,1,654,1,1
10504,图标251,icon_role_n,1,c_shop,,1,655,1,1
10505,图标232,icon_sfx,1,c_shop,,1,636,1,1
10506,图标233,icon_skin,1,c_shop,,1,637,1,1
10507,图标234,icon_star_act,1,c_shop,,1,638,1,1
10508,图标235,icon_standard_act,1,c_shop,,1,639,1,1
10509,图标252,icon_style,1,c_shop,,1,656,1,1
10510,图标253,icon_subscribe_n,1,c_shop,,1,657,1,1
10511,图标182,icon_success_ar,1,c_shop,,1,583,1,1
10512,图标254,icon_tvgift_n,1,c_shop,,1,658,1,1
10513,图标136,img_decorate_08,1,c_shop,,1,520,1,1
10514,图标137,label_subscribe_red,1,c_shop,,1,521,1,1
10515,图标138,lqjl_bg1,1,c_shop,,1,522,1,1
10516,底板102,btn_special_blue,4,c_shop,,1,381,1,1
10517,底板103,btn_special_gray,4,c_shop,,1,382,1,1
10518,按钮19,board_activity_box_blue,3,common,common5,1,57,1,1
10519,按钮20,btn_big_blue,3,common,common5,1,58,1,1
10520,底板62,btn_big_circle_blue,4,common,common5,1,134,1,1
10521,按钮21,btn_big_orange,3,common,common5,1,59,1,1
10522,按钮22,btn_big_red,3,common,common5,1,60,1,1
10523,按钮23,btn_big_yellow,3,common,common5,1,61,1,1
10524,按钮24,btn_bigsquare_yellow,3,common,common5,1,62,1,1
10525,底板63,btn_huge_circle_yellow,4,common,common5,1,135,1,1
10526,按钮137,btn_close,3,common,common5,1,523,1,1
10527,按钮138,btn_help,3,common,common5,1,524,1,1
10528,底板49,tutorial_board_popups,4,common,,1,120,1,1
10529,按钮139,tutorial_board_skip,3,common,,1,524,1,1
10530,按钮140,tutorial_btn_direction_a,3,common,,1,524,1,1
10531,按钮141,tutorial_btn_direction_d,3,common,,1,524,1,1
10532,按钮142,tutorial_btn_direction_s,3,common,,1,524,1,1
10533,按钮143,tutorial_btn_direction_w,3,common,,1,524,1,1
10534,按钮144,tutorial_btn_middle_blue,3,common,,1,524,1,1
10535,按钮145,tutorial_btn_middle_yellow,3,common,,1,524,1,1
10536,按钮146,tutorial_btn_task_go,3,common,,1,524,1,1
10537,底板50,tutorial_dialogbg,4,common,,1,121,1,1
10538,底板51,tutorial_frame_exchange,4,common,,1,121,1,1
10539,底板52,tutorial_frame_task_bk,4,common,,1,121,1,1
10540,图标139,tutorial_guide_tip_0026,1,common,,1,524,1,1
10541,图标140,tutorial_icon_skip,1,common,,1,524,1,1
10542,底板53,tutorial_img_board_tips,4,common,,1,121,1,1
10543,图标141,tutorial_img_line_guide,1,common,,1,524,1,1
10544,图标142,tutorial_n5,1,common,,1,524,1,1
10545,图标143,dice_1,1,common,,1,524,1,1
10546,图标144,dice_2,1,common,,1,524,1,1
10547,图标145,dice_3,1,common,,1,524,1,1
10548,图标146,dice_4,1,common,,1,524,1,1
10549,图标147,dice_5,1,common,,1,524,1,1
10550,图标148,dice_6,1,common,,1,524,1,1
10551,底板104,triangle_white,4,common,,1,524,1,1
10552,按钮147,partyzone_btn,3,common,,1,524,1,1
10553,按钮148,partyzone_colse,3,common,,1,524,1,1
10554,背景图77,partyzone_draw,5,common,,1,670,1,1
10555,底板54,partyzone_prize,4,common,,1,121,1,1
10556,边框18,partyzone_board,7,common,,1,524,1,1
10557,底板55,partyzone_choose,4,common,,1,121,1,1
10558,按钮149,partyzone_close_red,3,common,,0,524,1,1
10559,底板56,partyzone_dialogue,4,common,,1,121,1,1
10560,底板57,partyzone_board_rank,4,common,,1,121,1,1
10561,按钮150,partyzone_btn_close,3,common,,1,524,1,1
10562,图标149,partyzone_icon_first,1,common,,1,524,1,1
10563,图标150,partyzone_icon_second,1,common,,1,524,1,1
10564,图标151,partyzone_icon_third,1,common,,1,524,1,1
10565,图标152,partyzone_icon_star_rank,1,common,,1,524,1,1
10566,边框28,partyzone_img_line,7,common,,1,699,1,1
10567,标签58,partyzone_lable,2,common,,1,524,1,1
10568,底板58,partyzone_rank_board,4,common,,1,121,1,1
10569,背景图78,partyzone_surfing,5,common,,0,670,1,1
10570,背景图79,partyzone_puzzle,5,common,,0,670,1,1
10571,图标245,DyingTips,1,common,,1,670,1,1
10572,图标246,HungryTips,1,common,,1,670,1,1
20001,背景图66,board_bottom_blue,5,common,,1,525,1,1
20002,背景图67,board_sink,5,common,,1,526,1,1
20003,按钮54,board_tips_arrow,3,common,,1,249,1,1
20004,背景图68,board_tips_icon_brown,5,common,,1,527,1,1
20005,按钮26,board_uistyle_b,3,common,,1,63,1,1
20006,按钮27,board_uistyle_g,3,common,,1,64,1,1
20007,按钮28,board_uistyle_y,3,common,,1,65,1,1
20008,底板64,btn_circle_red,4,common,,1,136,1,1
20009,底板65,btn_circle_yellow,4,common,,1,137,1,1
20010,背景图69,btn_Facebook,5,common,,1,528,1,1
20011,背景图70,btn_long_red,5,common,,1,529,1,1
20012,背景图71,btn_long_yellow,5,common,,1,530,1,1
20013,按钮29,btn_middle_blue_right,3,common,,1,66,1,1
20014,按钮30,btn_middle_red,3,common,,1,67,1,1
20015,按钮31,btn_middle_yellow,3,common,,1,68,1,1
20016,按钮32,btn_mini_gray,3,common,,1,69,1,1
20017,按钮33,btn_mini_gray_d,3,common,,1,77,1,1
20018,按钮34,btn_mini_gray_n,3,common,,1,78,1,1
20019,按钮35,btn_mini_gray_p,3,common,,1,120,1,1
20020,按钮36,btn_mini_green_n,3,common,,1,121,1,1
20021,按钮37,btn_mini_lightblue,3,common,,1,122,1,1
20022,按钮38,btn_mini_red_n,3,common,,1,123,1,1
20023,按钮40,btn_subscribe_blue,3,common,,1,125,1,1
20024,按钮55,friendchat_jiantou,3,common,,1,250,1,1
20025,标签35,ico_new_bg,2,common,,1,251,1,1
20026,图标236,ico_save,1,common,,1,640,1,1
20027,图标237,ico_time,1,common,,1,641,1,1
20028,按钮56,icon_add_btn_money_s,3,common,,1,252,1,1
20029,按钮57,icon_add_light,3,common,,1,253,1,1
20030,按钮58,icon_arrow_green,3,common,,1,254,1,1
20031,按钮59,icon_arrow_red,3,common,,1,255,1,1
20032,按钮60,icon_attack,3,common,,1,256,1,1
20033,图标153,icon_bagbook,1,common,,1,531,1,1
20034,图标238,icon_blood_grey,1,ugc_common,,1,642,1,1
20035,图标154,icon_c_copper,1,common,,1,532,1,1
20036,按钮61,icon_dropdown,3,common,,1,257,1,1
20037,按钮62,icon_dropdown_black,3,common,,1,258,1,1
20038,按钮63,icon_dropdown_blue,3,common,,1,259,1,1
20039,图标155,icon_fly,1,common,,1,533,1,1
20040,图标156,icon_handbag,1,common,,1,534,1,1
20041,图标157,icon_height,1,common,,1,535,1,1
20042,图标239,icon_home,1,common,,1,643,1,1
20043,图标158,icon_home_fruit,1,common,,1,536,1,1
20044,图标159,icon_hy,1,common,,1,537,1,1
20045,图标240,icon_idcard,1,common,,1,644,1,1
20046,图标241,icon_qa,1,common,,1,645,1,1
20047,图标160,icon_studio,1,common,,1,538,1,1
20048,图标161,icon_tick,1,common,,1,539,1,1
20049,图标5,icon_time_h,1,common,,1,5,1,1
20050,按钮64,img_arrow_arrowhead_h,3,common,,1,260,1,1
20051,按钮65,img_arrow_black,3,common,,1,261,1,1
20052,底板107,img_bar_mounts,4,common,,1,542,1,1
20053,底板31,img_board_garden_b,4,common,,1,102,1,1
20054,底板32,img_board_garden_g,4,common,,1,103,1,1
20055,底板33,img_board_garden_green,4,common,,1,104,1,1
20056,底板34,img_board_garden_n,4,common,,1,105,1,1
20057,底板35,img_board_garden_o,4,common,,1,106,1,1
20058,底板36,img_board_garden_y,4,common,,1,107,1,1
20059,底板37,img_board_green_r,4,common,,1,108,1,1
20060,底板38,img_board_load_,4,common,,1,109,1,1
20061,底板66,img_dot_change,4,common,,1,138,1,1
20062,底板67,img_dot_tips,4,common,,1,139,1,1
20063,图标162,img_dot_tips_orange,1,common,,1,543,1,1
20064,图标163,img_frame_arrow_n,1,common,,1,544,1,1
20065,标签59,img_tips_board,2,common,,1,545,1,1
20066,标签60,img_title,2,common,,1,546,1,1
20067,背景图72,img_water,5,common,,1,547,1,1
20068,标签61,label_information_grey,2,common,,1,548,1,1
20069,图标6,tips_new,1,common,,1,6,1,1
20070,按钮66,xtc_icon03,3,common,,1,262,1,1
21001,底板39,board_question,4,c_ingame,,1,110,1,1
21002,标签65,btn_answer_riddle,2,c_ingame,,1,552,1,1
21003,图标7,dtch_icon02,1,ugc_common,,1,7,1,1
21004,图标8,dtch_icon03,1,ugc_common,,1,8,1,1
21005,图标164,frame_map_qy,1,c_ingame,,1,553,1,1
21006,标签66,frame_map_zb,2,c_ingame,,1,554,1,1
21007,图标9,icon_food,1,c_ingame,,1,9,1,1
21008,图标10,icon_freeplay,1,c_ingame,,1,10,1,1
21009,图标165,icon_heart,1,c_ingame,,1,555,1,1
21010,图标11,icon_home,1,c_ingame,,1,11,1,1
21011,图标166,icon_light,1,c_ingame,,1,556,1,1
21012,图标12,icon_ore,1,c_ingame,,1,12,1,1
21013,图标167,icon_point,1,c_ingame,,1,557,1,1
21014,图标13,icon_tes,1,c_ingame,,1,13,1,1
21015,图标242,icon_track,1,c_ingame,,1,646,1,1
21016,标签67,img_board_list_r,2,c_ingame,,1,558,1,1
21017,图标168,img_map_light,1,c_ingame,,1,559,1,1
21018,底板85,img_operating_board_r,4,c_ingame,,1,157,1,1
21019,标签68,img_transform,2,ugc_common,,1,560,1,1
21020,边框19,juese_xuanzhong,7,ugc_common,,1,561,1,1
21021,图标14,lzy_09,1,c_ingame,,1,14,1,1
21022,图标16,lzy_13,1,ugc_common,,1,16,1,1
21023,图标17,lzy_14,1,ugc_common,,1,17,1,1
21024,图标18,lzy_16,1,ugc_common,,1,18,1,1
21025,图标19,lzy_18,1,ugc_common,,1,19,1,1
21026,图标20,lzy_porter,1,c_ingame,,1,20,1,1
21027,图标21,lzy_startrans,1,c_ingame,,1,21,1,1
21028,图标22,xtc_icon01,1,ugc_common,,1,22,1,1
21029,图标23,xtc_icon06,1,ugc_common,,1,23,1,1
22001,底板86,board_ar_record,4,ugc_common,,1,158,1,1
22002,背景图73,board_grass,5,ugc_common,,1,562,1,1
22003,标签69,btn_shop_ad,2,c_shop,,1,563,1,1
22004,按钮25,btn_square_blue,3,c_shop,,1,62,1,1
22005,标签70,frame_commend,2,c_shop,,1,564,1,1
22006,标签71,frame_hot,2,c_shop,,1,565,1,1
22007,标签72,frame_new,2,c_shop,,1,566,1,1
22008,标签73,frame_rage,2,c_shop,,1,567,1,1
22009,标签74,frame_sale,2,c_shop,,1,568,1,1
22010,标签75,frame_time,2,c_shop,,1,569,1,1
22011,边框20,frame_white,7,c_shop,,1,584,1,1
22012,图标24,icon_55,1,c_shop,,1,24,1,1
22013,图标25,icon_56,1,c_shop,,1,25,1,1
22014,底板1,img_mount01,4,c_shop,,1,70,1,1
22015,底板2,img_mount02,4,c_shop,,1,71,1,1
22016,底板3,img_mount03,4,c_shop,,1,72,1,1
22017,底板4,img_mount04,4,c_shop,,1,73,1,1
22018,底板5,img_mount05,4,c_shop,,1,74,1,1
22019,底板6,img_mount06,4,c_shop,,1,75,1,1
22020,底板7,img_mount07,4,c_shop,,1,76,1,1
22021,标签76,img_stage_1,2,c_shop,,1,659,1,1
22022,标签77,img_stage_2,2,c_shop,,1,660,1,1
22023,标签78,img_stage_3,2,c_shop,,1,661,1,1
22024,标签79,img_stage_4,2,c_shop,,1,662,1,1
22025,标签80,img_stage_5,2,c_shop,,1,663,1,1
22026,标签81,img_stage_6,2,c_shop,,1,664,1,1
22027,标签82,img_stage_7,2,c_shop,,1,665,1,1
22028,文字16,img_title_Character,6,c_shop,,1,666,1,1
22029,标签39,tab_workshop_n,2,c_shop,,1,384,1,1
22030,图标255,icon_music_1,1,ugc_common,,1,999,1,1
22031,图标256,icon_music_2,1,ugc_common,,1,999,1,1
22032,图标257,icon_music_3,1,ugc_common,,1,999,1,1
22033,图标258,icon_savedata_1,1,ugc_common,,1,999,1,1
22034,图标259,icon_savedata_2,1,ugc_common,,1,999,1,1
22035,图标260,icon_savedata_4,1,ugc_common,,1,999,1,1
22036,图标261,icon_savedata_8,1,ugc_common,,1,999,1,1
22037,图标262,icon_savedata_16,1,ugc_common,,1,999,1,1
22038,图标263,icon_savedata_32,1,ugc_common,,1,999,1,1
22039,图标264,icon_savedata_64,1,ugc_common,,1,999,1,1
22040,图标265,icon_savedata_128,1,ugc_common,,1,999,1,1
22041,图标266,icon_savedata_256,1,ugc_common,,1,999,1,1
22042,图标267,icon_savedata_512,1,ugc_common,,1,999,1,1
22043,图标268,icon_savedata_1024,1,ugc_common,,1,999,1,1
23001,按钮1,board_bubble_white,3,ugc_common,,1,39,1,1
23002,按钮2,board_mask_white,3,ugc_common,,1,40,1,1
23003,标签40,board_popup_cyan,2,ugc_common,,1,385,1,1
23004,标签41,board_popup_cyan_big,2,ugc_common,,1,386,1,1
23005,背景图74,board_popups,5,ugc_common,,1,667,1,1
23006,背景图75,board_rightpop,5,ugc_common,,1,668,1,1
23007,背景图76,btn_blue,5,ugc_common,,1,669,1,1
23008,底板68,btn_circle_blue,4,ugc_common,,1,140,1,1
23009,底板87,btn_circle_yellow,4,ugc_common,,1,159,1,1
23010,按钮41,btn_middle_blue,3,ugc_common,,1,126,1,1
23011,按钮42,btn_middle_red,3,ugc_common,,1,127,1,1
23012,按钮43,btn_middle_yellow,3,ugc_common,,1,128,1,1
23013,按钮44,but_blue_popup,3,ugc_common,,1,129,1,1
23014,按钮45,but_yellow_popup,3,ugc_common,,1,130,1,1
24001,边框22,ui/mobile/texture0/bigtex/cold1.png,7,,,1,667,1,1
24002,边框23,ui/mobile/texture0/bigtex/cold2.png,7,,,1,667,1,1
24003,边框24,ui/mobile/texture0/bigtex/freeze.png,7,,,1,667,1,1
24004,边框25,ui/mobile/texture0/bigtex/hot1.png,7,,,1,667,1,1
24005,边框26,ui/mobile/texture0/bigtex/hot2.png,7,,,1,667,1,1
24006,边框27,ui/mobile/texture0/bigtex/burn.png,7,,,1,667,1,1
30000,默认,ugcenv/default.png,8,,,1,30001,3|4,1
30001,天空1,ugcenv/sky1.png,8,,,1,30002,3,1
30002,天空2,ugcenv/sky2.png,8,,,1,30003,3,1
30003,天空3,ugcenv/sky3.png,8,,,1,30004,3,1
30004,天空4,ugcenv/sky4.png,8,,,1,30005,3,1
30005,天空5,ugcenv/sky5.png,8,,,1,30006,3,1
30006,天空6,ugcenv/sky6.png,8,,,1,30007,3,1
30007,天空7,ugcenv/sky7.png,8,,,1,30008,3,1
30008,天空8,ugcenv/sky8.png,8,,,1,30009,3,1
30009,天空9,ugcenv/sky9.png,8,,,1,30010,3,1
30010,天空10,ugcenv/sky10.png,8,,,1,30011,3,1
30011,天空11,ugcenv/sky11.png,8,,,1,30012,3,1
30012,天空12,ugcenv/sky12.png,8,,,1,30013,3,1
30013,全景天空1,ui://ugc_resourcesidebar/icon_sky_1,8,,,1,30731,3,1
30014,全景天空2,ui://ugc_resourcesidebar/icon_sky_2,8,,,1,30732,3,1
30015,全景天空3,ui://ugc_resourcesidebar/icon_sky_ink,8,,,1,30733,3,1
30016,全景天空4,ui://ugc_resourcesidebar/icon_sky_inkGreen,8,,,1,30734,3,1
30017,全景天空5,ui://ugc_resourcesidebar/icon_sky_9,8,,,1,30735,3,1
30018,全景天空6,ui://ugc_resourcesidebar/icon_sky_10,8,,,1,30736,3,1
30101,太阳1,ugcenv/sun1.png,8,,,1,30014,4,1
30102,太阳2,ugcenv/sun2.png,8,,,1,30015,4,1
30103,太阳3,ugcenv/sun3.png,8,,,1,30016,4,1
30104,太阳4,ugcenv/sun4.png,8,,,1,30017,4,1
30105,太阳5,ugcenv/sun5.png,8,,,1,30018,4,1
30201,月亮1,ugcenv/moon1.png,8,,,1,30019,4,1
30202,月亮2,ugcenv/moon2.png,8,,,1,30020,4,1
30203,月亮3,ugcenv/moon3.png,8,,,1,30021,4,1
30204,月亮4,ugcenv/moon4.png,8,,,1,30022,4,1
30205,月亮5,ugcenv/moon5.png,8,,,1,30023,4,1
30250,默认,ugcenv/galaxyDefault.png,8,,,1,30000,5,1
30300,默认,ugcenv/default.png,9,,,1,30000,1,1
30301,冷色调,ui://ugc_resourcesidebar/icon_lut_1,9,,,1,30301,1,1
30302,暖色调,ui://ugc_resourcesidebar/icon_lut_2,9,,,1,30302,1,1
30303,卡通,ui://ugc_resourcesidebar/icon_lut_3,9,,,1,30303,1,1
30304,夜视,ui://ugc_resourcesidebar/icon_lut_4,9,,,1,30304,1,1
30305,反转,ui://ugc_resourcesidebar/icon_lut_5,9,,,1,30305,1,1
30306,电影感,ui://ugc_resourcesidebar/icon_lut_6,9,,,1,30306,1,1
30307,海岛,ui://ugc_resourcesidebar/icon_lut_7,9,,,1,30307,1,1
30308,回忆,ui://ugc_resourcesidebar/icon_lut_8,9,,,1,30308,1,1
30309,明艳,ui://ugc_resourcesidebar/icon_lut_9,9,,,1,30309,1,1
30310,青橙,ui://ugc_resourcesidebar/icon_lut_10,9,,,1,30310,1,1
30311,清新,ui://ugc_resourcesidebar/icon_lut_11,9,,,1,30311,1,1
30312,日系,ui://ugc_resourcesidebar/icon_lut_12,9,,,1,30312,1,1
30313,日系过曝,ui://ugc_resourcesidebar/icon_lut_13,9,,,1,30313,1,1
30314,郁金香,ui://ugc_resourcesidebar/icon_lut_14,9,,,1,30314,1,1
31001,单色滤镜（蓝）,ui://ugc_resourcesidebar/icon_lut_21,9,,,1,31001,1,1
31002,单色滤镜（绿）,ui://ugc_resourcesidebar/icon_lut_22,9,,,1,31002,1,1
31003,单色滤镜（红）,ui://ugc_resourcesidebar/icon_lut_23,9,,,1,31003,1,1
31004,单色滤镜（黄）,ui://ugc_resourcesidebar/icon_lut_24,9,,,1,31004,1,1
31005,漫画风格,ui://ugc_resourcesidebar/icon_lut_25,9,,,1,31005,1,1
31006,手绘铅笔,ui://ugc_resourcesidebar/icon_lut_26,9,,,1,31006,1,1
30315,兔子贴图,entity/100213/tuzi.png,11,,,1,30315,0,2
30316,兔子遮罩1,entity/100213/tuzi_mask1.png,11,,,1,30316,0,2
30317,兔子遮罩2,entity/100213/tuzi_mask2.png,11,,,1,30317,0,2
30318,兔子遮罩3,entity/100213/tuzi_mask3.png,11,,,1,30318,0,2
30319,兔子遮罩4,entity/100213/tuzi_mask4.png,11,,,1,30319,0,2
30320,狗贴图,entity/100209/dog.png,11,,,1,30320,0,2
30321,狗遮罩1,entity/100209/dog_mask.png,11,,,1,30321,0,2
30322,狗遮罩2,entity/100209/dog_mask1.png,11,,,1,30322,0,2
30323,狗遮罩3,entity/100209/dog_mask2.png,11,,,1,30323,0,2
30324,狗遮罩4,entity/100209/dog_mask3.png,11,,,1,30324,0,2
30325,狗遮罩5,entity/100209/dog_mask4.png,11,,,1,30325,0,2
30326,猫贴图1,entity/100211/male.png,11,,,1,30326,0,2
30327,猫遮罩1,entity/100211/male_mask3.png,11,,,1,30327,0,2
30328,猫遮罩1-1,entity/100211/male_mask.png,11,,,1,30328,0,2
30329,猫遮罩1-2,entity/100211/male_mask4.png,11,,,1,30329,0,2
30330,猫遮罩1-4,entity/100211/male_mask8.png,11,,,1,30330,0,2
30331,猫遮罩2,entity/100211/male_mask7.png,11,,,1,30331,0,2
30332,猫遮罩2-1,entity/100211/male_mask6.png,11,,,1,30332,0,2
30333,奶牛贴图,entity/100222/nainiu.png,11,,,1,30333,0,2
30334,奶牛遮罩1,entity/100222/nainiu_mask1.png,11,,,1,30334,0,2
30335,奶牛遮罩2,entity/100222/nainiu_mask2.png,11,,,1,30335,0,2
30336,奶牛遮罩3,entity/100222/nainiu_mask3.png,11,,,1,30336,0,2
30337,仓鼠贴图,entity/100224/cangshu_bai.png,11,,,1,30337,0,2
30338,仓鼠遮罩1,entity/100224/cangshu_bai_mask.png,11,,,1,30338,0,2
30339,仓鼠遮罩2,entity/100224/cangshu_bai_mask1.png,11,,,1,30339,0,2
30340,绵羊贴图,entity/100220/male.png,11,,,1,30340,0,2
30341,绵羊遮罩1,entity/100220/male_mask.png,11,,,1,30341,0,2
30342,绵羊遮罩2,entity/100220/male_mask1.png,11,,,1,30342,0,2
30343,仓鼠遮罩3,entity/100224/cangshu_bai_mask2.png,11,,,1,30343,0,2
30344,仓鼠遮罩4,entity/100224/cangshu_bai_mask3.png,11,,,1,30344,0,2
30345,未驯服狼白天贴图,entity/100227/male_wolf.png,11,,,1,30345,0,2
30346,未驯服狼晚上贴图,entity/100227/male_wolf_green.png,11,,,1,30346,0,2
30347,小狼贴图,entity/100228/male.png,11,,,1,30347,0,2
30348,驯服狼狗贴图,entity/100227/male_dog_collar.png,11,,,1,30348,0,2
30349,狼狗贴图,entity/100227/male_dog.png,11,,,1,30349,0,2
30350,驯服小狼贴图,entity/100228/male_smallwolf_collar.png,11,,,1,30350,0,2
30351,驯服狼贴图,entity/100227/male_wolf_collar.png,11,,,1,30351,0,2
30352,小狼狗贴图,entity/100228/male1.png,11,,,1,30352,0,2
30353,未驯服狼晚上自发光贴图,entity/100227/male_wolf_green_emi.png,11,,,1,30353,0,2
30354,原色蘑菇贴图,entity/100231/male.png,11,,,1,30354,0,2
30355,浅蓝色蘑菇贴图,entity/100231/male_blue.png,11,,,1,30355,0,2
30356,绿色蘑菇贴图,entity/100231/male_green.png,11,,,1,30356,0,2
30357,紫色蘑菇贴图,entity/100231/male_purple.png,11,,,1,30357,0,2
30358,红色蘑菇贴图,entity/100231/male_shangren.png,11,,,1,30358,0,2
30359,深绿蘑菇贴图,entity/100231/male_wuzhe.png,11,,,1,30359,0,2
30360,黄色蘑菇贴图,entity/100231/male_yellow.png,11,,,1,30360,0,2
30361,棕色花纹蘑菇贴图,entity/100231/male_yuezhe.png,11,,,1,30361,0,2
30362,狗人原色,entity/100235/new_body.png,11,,,1,30362,0,2
30363,狗人黑色,entity/100235/dog_heise.png,11,,,1,30363,0,2
30364,狗人红色,entity/100235/dog_hongshe.png,11,,,1,30364,0,2
30365,狗人黄褐色,entity/100235/dog_huangheshe.png,11,,,1,30365,0,2
30366,狗人灰色,entity/100235/dog_huishe.png,11,,,1,30366,0,2
30367,狗人紫色,entity/100235/dog_zishe.png,11,,,1,30367,0,2
30368,猫人原色,entity/100236/body.png,11,,,1,30368,0,2
30369,猫人灰色,entity/100236/body_ huise.png,11,,,1,30369,0,2
30370,猫人黑色,entity/100236/body_hei.png,11,,,1,30370,0,2
30371,猫人红色,entity/100236/body_hongse.png,11,,,1,30371,0,2
30372,猫人绿色,entity/100236/body_lvse.png,11,,,1,30372,0,2
30373,猫人紫色,entity/100236/body_zise.png,11,,,1,30373,0,2
30374,猪人原色,entity/100237/zhu.png,11,,,1,30374,0,2
30375,猪人黑色,entity/100237/zhu_heishe.png,11,,,1,30375,0,2
30376,猪人褐色,entity/100237/zhu_heshe.png,11,,,1,30376,0,2
30377,猪人灰褐色,entity/100237/zhu_huiheshe.png,11,,,1,30377,0,2
30378,猪人灰色,entity/100237/zhu_huishe.png,11,,,1,30378,0,2
30379,猪人深紫色,entity/100237/zhu_shenzishe.png,11,,,1,30379,0,2
30380,蛙人灰色,entity/100249/male.png,11,,,1,30380,0,2
30381,蛙人黑色,entity/100249/male_heise.png,11,,,1,30381,0,2
30382,蛙人红色,entity/100249/male_hong.png,11,,,1,30382,0,2
30383,蛙人黄色,entity/100249/male_huang.png,11,,,1,30383,0,2
30384,蛙人绿色,entity/100249/male_lv.png,11,,,1,30384,0,2
30385,蛙人紫色,entity/100249/male_zise.png,11,,,1,30385,0,2
30386,猫头鹰紫色,entity/100239/male.png,11,,,1,30386,0,2
30387,奇幻蛙紫色,entity/100241/male.png,11,,,1,30387,0,2
