任务ID,名称,类型（0=主线、1=支线、2=成就、3=科技树）,描述(加上@goal_index#会显示对应任务目标序号的任务计数，使用@item_道具id#添加可查看详情的道具),任务追踪框描述(加上@goal_index#会显示对应任务目标序号的任务计数，使用@item_道具id#添加道具文本，默认颜色#c7bbe3a),任务目标(道具：I_itemID(若使用组则填“IG_道具ID”)、生物：M_monsterID、生态：B_biometypename、星球：P_planet(0=迷拉星，1=烈焰星，2=萌眼星)、T_tunestoneEnchantType，0代表任意),奖励（成就型任务只读取index=1的奖励）,奖励发放类型(1=自动发放 2=手动领取),任务icon(填写“id”，获取显示对应item的图标，填写“#id”表示使用生物头像，路径：Assetruntime\Assets\Resources\ui\roles),指引图片(读取Assetruntime\Assets\Resources\ui\survivetaskguide目录下的文件名),继承存量已完成任务id,条件记录方式（科技树专用）,能否预完成（0=允许，1=不允许）,是否上报服务器（0=不上报，1=上报）,上报参数1,上报参数2
203511,大魔法师,1,"[
{
""String"": ""据说这是星洛大法师曾经使用过的法杖，不知道握在手中时，能否体会到星落初到时的那份心境呢"",
""UnlockTaskId"": 0
}
]","[
""制作获得"",
""@item_11776#@goal_1#""
]","[
{
""Index"": 1,
""Type"": 3,
""GoalID1"": ""I_11776"",
""GoalNum"": 1
}
]","[
{
""Index"": 1,
""RewardType"": 1,
""RewardID"": 0,
""RewardNum"": 2
}
]",1,11776,203511,,[],0,0,,
203512,符文之力,1,"[
{
""String"": ""星尘之境的魔法气息相当浓郁，制作一批符文装备吧，它们能帮助你更好的施展各类法术"",
""UnlockTaskId"": 0
}
]","[
""制造符文服和符文裤各×1""
]","[
{
""Index"": 1,
""Type"": 3,
""GoalID1"": ""I_12321"",
""GoalNum"": 1
},
{
""Index"": 2,
""Type"": 3,
""GoalID1"": ""I_12322"",
""GoalNum"": 1
}
]","[
{
""Index"": 1,
""RewardType"": 1,
""RewardID"": 0,
""RewardNum"": 2
}
]",1,12321,203512,,[],0,0,,
203513,符文加身,1,"[
{
""String"": ""穿上符文装备，尽情释放你的魔法天赋吧！"",
""UnlockTaskId"": 0
}
]","[
""穿戴任意符文装备""
]","[
{
""Index"": 1,
""Type"": 34,
""GoalID1"": ""I_12321,I_12322,I_12320,I_12323"",
""GoalNum"": 1
}
]","[
{
""Index"": 1,
""RewardType"": 1,
""RewardID"": 0,
""RewardNum"": 2
}
]",1,12321,203513,,[],0,0,,
203514,蘑菇村来客,1,"[
{
""String"": ""听说有个村子的居民全是蘑菇变得，里面有格式各样的蘑菇人，还有机会拿到特色的蘑菇装备，今天去会会他们"",
""UnlockTaskId"": 0
}
]","[
""抵达#c7bbe3a蘑菇村#n""
]","[
{
""Index"": 1,
""Type"": 14,
""GoalID1"": ""B_MUSHROOM_VILLAGE"",
""GoalNum"": 1
}
]","[
{
""Index"": 1,
""RewardType"": 1,
""RewardID"": 0,
""RewardNum"": 1
}
]",1,200254,203514,,[],0,0,,
203517,初至四叶草村,1,"[
{
""String"": ""据传这#c7bbe3a四叶草村#n可是以前星洛大法师讲课布道的地方，现在那里还有她当年的弟子呢，百闻不如一见，去看看"",
""UnlockTaskId"": 0
}
]","[
""抵达#c7bbe3a四叶草村#n""
]","[
{
""Index"": 1,
""Type"": 14,
""GoalID1"": ""B_CATDOG_VILLAGE"",
""GoalNum"": 1
}
]","[
{
""Index"": 1,
""RewardType"": 1,
""RewardID"": 0,
""RewardNum"": 1
}
]",1,#3364,203517,,[],0,0,,
203519,老当益壮,1,"[
{
""String"": ""这#c7bbe3a老村长#n可是战力强大的法师，有他加入我们，必然是如虎添翼"",
""UnlockTaskId"": 0
}
]","[
""使用星璀璨流星招募老村长入队""
]","[
{
""Index"": 1,
""Type"": 10,
""GoalID1"": ""M_3364"",
""GoalNum"": 1
}
]","[
{
""Index"": 1,
""RewardType"": 1,
""RewardID"": 0,
""RewardNum"": 2
}
]",1,11712,203519,,[],0,0,,
203520,腐化堡垒,1,"[
{
""String"": ""#c7bbe3a碎岛边境#n是这片空间的外围，据传在边境的某处有一座魔法城堡，里面不时传出阵阵低语... 但每当我问蘑菇人们城堡的事，他们都沉默不语"",
""UnlockTaskId"": 0
}
]","[
""抵达#c7bbe3a碎岛边境#n""
]","[
{
""Index"": 1,
""Type"": 14,
""GoalID1"": ""B_STAR_FOREST_EDGE"",
""GoalNum"": 1
}
]","[
{
""Index"": 1,
""RewardType"": 1,
""RewardID"": 0,
""RewardNum"": 1
}
]",1,11774,203520,,[],0,0,,
203521,改朝换代,1,"[
{
""String"": ""城堡中有位被虚空腐蚀的旧日王者，击败他，将他从这无尽的折磨中解脱出来吧"",
""UnlockTaskId"": 0
}
]","[
""击败#c7bbe3a腐化蘑菇王#n""
]","[
{
""Index"": 1,
""Type"": 8,
""GoalID1"": ""M_3359"",
""GoalNum"": 1
}
]","[
{
""Index"": 1,
""RewardType"": 1,
""RewardID"": 0,
""RewardNum"": 10
},
{
""Index"": 2,
""RewardType"": 0,
""RewardID"": 12327,
""RewardNum"": 1
}
]",1,#3359,203521,,[],0,0,,
203522,捕捉之光,1,"[
{
""String"": ""制作一个#c7bbe3a蘑晶球#n，这是蘑晶凝结成的装备，有着捕捉野生生物并让其转变为伙伴的力量"",
""UnlockTaskId"": 0
}
]","[
""获得@item_15078#@goal_1#""
]","[
{
""Index"": 1,
""Type"": 3,
""GoalID1"": ""I_15078"",
""GoalNum"": 1
}
]","[
{
""Index"": 1,
""RewardType"": 1,
""RewardID"": 0,
""RewardNum"": 1
},
{
""Index"": 2,
""RewardType"": 0,
""RewardID"": 15078,
""RewardNum"": 1
}
]",1,15078,203522,,[],0,0,,
203523,神圣之兽,1,"[
{
""String"": ""使用#c7bbe3a蘑晶球#n捕捉一只野生独角兽——这么说来要是蘑晶球足够多，家里能开动物园了"",
""UnlockTaskId"": 0
}
]","[
""使用@item_15078#"",
""捕捉独角兽@goal_1#""
]","[
{
""Index"": 1,
""Type"": 3,
""GoalID1"": ""I_13347"",
""GoalNum"": 1
}
]","[
{
""Index"": 1,
""RewardType"": 1,
""RewardID"": 0,
""RewardNum"": 1
}
]",1,15078,203523,,[],0,0,,
203524,召唤伙伴,1,"[
{
""String"": ""这样高贵的生物会成为你前进的好伙伴，把他从蘑晶球里释放出来！"",
""UnlockTaskId"": 0
}
]","[
""召唤捕捉的独角兽""
]","[
{
""Index"": 1,
""Type"": 7,
""GoalID1"": ""I_13347"",
""GoalNum"": 1
}
]","[
{
""Index"": 1,
""RewardType"": 1,
""RewardID"": 0,
""RewardNum"": 2
}
]",1,15078,203524,,[],0,0,,
203525,破碎边缘,1,"[
{
""String"": ""去#c7bbe3a腐化遗岛#n吧，那是最接近虚空的地方。为何这里的虚空腐蚀如此严重？星洛大法师到底怎么了？也许你的一切疑问都将在那里得到解答..."",
""UnlockTaskId"": 0
}
]","[
""抵达#c7bbe3a腐化遗岛#n""
]","[
{
""Index"": 1,
""Type"": 14,
""GoalID1"": ""B_CORRUPTED_RUINS"",
""GoalNum"": 1
}
]","[
{
""Index"": 1,
""RewardType"": 1,
""RewardID"": 0,
""RewardNum"": 2
}
]",1,200411,203525,,[],0,0,,
203526,破除诅咒,1,"[
{
""String"": ""原来虚空女巫就是...不，我们还有机会，只要战胜她我们还有机会挽回这一切！"",
""UnlockTaskId"": 0
}
]","[
""击败#c7bbe3a虚空女巫#n""
]","[
{
""Index"": 1,
""Type"": 8,
""GoalID1"": ""M_3943"",
""GoalNum"": 1
}
]","[
{
""Index"": 1,
""RewardType"": 1,
""RewardID"": 0,
""RewardNum"": 10
}
]",1,#3943,203526,,[],0,0,,
203527,最终审判,1,"[
{
""String"": ""原来这只虚空魔眼就是一切的罪魁祸首，多少新仇旧恨，都将在此刻清算"",
""UnlockTaskId"": 0
}
]","[
""击败#c7bbe3a虚空之眼#n""
]","[
{
""Index"": 1,
""Type"": 8,
""GoalID1"": ""M_3944"",
""GoalNum"": 1
}
]","[
{
""Index"": 1,
""RewardType"": 1,
""RewardID"": 0,
""RewardNum"": 10
}
]",1,#3944,203527,,[],0,0,,
203528,风平浪静,1,"[
{
""String"": ""终于迎回了我们的#c7bbe3a星洛法师#n，去拜访下她吧，看看她那儿有什么故事——或有什么货品"",
""UnlockTaskId"": 0
}
]","[
""与星洛法师交流""
]","[
{
""Index"": 1,
""Type"": 22,
""GoalID1"": ""0"",
""GoalID2"": ""M_3946"",
""GoalNum"": 1
}
]","[
{
""Index"": 1,
""RewardType"": 1,
""RewardID"": 0,
""RewardNum"": 1
}
]",1,#3946,203528,,[],0,0,,
300101,抵达迷拉星,2,"[
{
""String"" : ""终于到迷拉星了"",
""UnlockTaskId"" : 0,
}
]","[
""终于到迷拉星了""
]","[
{
""Index"" : 1,
""Type"" : 24,
""GoalID1"" : 0,
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 100
}
]",2,595,,[],0,,0,,
300201,抵达烈焰星,2,"[
{
""String"" : ""终于到烈焰星了"",
""UnlockTaskId"" : 0,
}
]","[
""终于到烈焰星了""
]
","[
{
""Index"" : 1,
""Type"" : 25,
""GoalID1"" : ""P_1"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 100
}
]",2,124,,[1008001],0,,0,,
300301,抵达萌眼星,2,"[
{
""String"" : ""终于到萌眼星了"",
""UnlockTaskId"" : 0,
}
]","[
""终于到萌眼星了""
]","[
{
""Index"" : 1,
""Type"" : 25,
""GoalID1"" : ""P_2"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 100
}
]",2,118,,[1009001],0,,0,,
300401,烧烤大师1,2,"[
{
""String"" : ""用篝火烤制各种@item_12513#和@item_12496#@goal_1#吧"",
""UnlockTaskId"" : 0,
}
]
","[
""烤制各种@item_12513#和@item_12496#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : ""IG_12513,IG_12496"",
""GoalNum"" : 3
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,12513,,[],0,,0,,
300402,烧烤大师2,2,"[
{
""String"" : ""用篝火烤制各种@item_12513#和@item_12496#@goal_1#吧"",
""UnlockTaskId"" : 0,
}
]
","[
""烤制各种@item_12513#和@item_12496#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : ""IG_12513,IG_12496"",
""GoalNum"" : 50
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 50
}
]",2,12513,,[],0,,0,,
300403,烧烤大师3,2,"[
{
""String"" : ""用篝火烤制各种@item_12513#和@item_12496#@goal_1#吧"",
""UnlockTaskId"" : 0,
}
]
","[
""烤制各种@item_12513#和@item_12496#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : ""IG_12513,IG_12496"",
""GoalNum"" : 100
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 100
}
]",2,12513,,[],0,,0,,
300404,烧烤大师4,2,"[
{
""String"" : ""用篝火烤制各种@item_12513#和@item_12496#@goal_1#吧"",
""UnlockTaskId"" : 0,
}
]
","[
""烤制各种@item_12513#和@item_12496#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : ""IG_12513,IG_12496"",
""GoalNum"" : 500
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 500
}
]",2,12513,,[],0,,0,,
300405,烧烤大师5,2,"[
{
""String"" : ""用篝火烤制各种@item_12513#和@item_12496#@goal_1#吧"",
""UnlockTaskId"" : 0,
}
]
","[
""烤制各种@item_12513#和@item_12496#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : ""IG_12513,IG_12496"",
""GoalNum"" : 1000
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 1000
}
]",2,12513,,[],0,,0,,
300501,烤呆呆鱼,2,"[
{
""String"" : ""用篝火烤取@item_12521#@goal_1#吧"",
""UnlockTaskId"" : 0,
}
]
","[
""烤取@item_12521#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : ""I_12521"",
""GoalNum"" : 10
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 12521,
""RewardNum"" : 5
}
]",2,12521,,[2007016],0,,0,,
300502,烤丑丑鱼,2,"[
{
""String"" : ""用篝火烤取@item_12705#@goal_1#吧"",
""UnlockTaskId"" : 0,
}
]
","[
""烤取@item_12705#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : ""I_12705"",
""GoalNum"" : 10
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 12705,
""RewardNum"" : 5
}
]",2,12705,,[2007019],0,,0,,
300503,烤奇奇鱼,2,"[
{
""String"" : ""用篝火烤取@item_12706#@goal_1#吧"",
""UnlockTaskId"" : 0,
}
]
","[
""烤取@item_12706#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : ""I_12706"",
""GoalNum"" : 10
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 12706,
""RewardNum"" : 5
}
]",2,12706,,[2007022],0,,0,,
300601,烤沃沃兽肉,2,"[
{
""String"" : ""用篝火烤取@item_12517#@goal_1#吧"",
""UnlockTaskId"" : 0,
}
]
","[
""烤取@item_12517#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : ""I_12517"",
""GoalNum"" : 10
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 12517,
""RewardNum"" : 5
}
]",2,12517,,[2007001],0,,0,,
300602,烤嘟嘟鸟肉,2,"[
{
""String"" : ""用篝火烤取@item_12519#@goal_1#吧"",
""UnlockTaskId"" : 0,
}
]
","[
""烤取@item_12519#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : ""I_12519"",
""GoalNum"" : 10
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 12519,
""RewardNum"" : 5
}
]",2,12519,,[2007004],0,,0,,
300603,烤角鹿肉,2,"[
{
""String"" : ""用篝火烤取@item_12531#@goal_1#吧"",
""UnlockTaskId"" : 0,
}
]
","[
""烤取@item_12531#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : ""I_12531"",
""GoalNum"" : 10
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 12531,
""RewardNum"" : 5
}
]",2,12531,,[2007007],0,,0,,
300604,烤墩墩肉,2,"[
{
""String"" : ""用篝火烤取@item_12523#@goal_1#吧"",
""UnlockTaskId"" : 0,
}
]
","[
""烤取@item_12523#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : ""I_12523"",
""GoalNum"" : 10
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 12523,
""RewardNum"" : 5
}
]",2,12523,,[2007010],0,,0,,
300605,烤鸵鸟腿,2,"[
{
""String"" : ""用篝火烤取@item_12608#@goal_1#吧"",
""UnlockTaskId"" : 0,
}
]
","[
""烤取@item_12608#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : ""I_12608"",
""GoalNum"" : 10
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 12608,
""RewardNum"" : 5
}
]",2,12608,,[2007013],0,,0,,
300701,锅烹饪1,2,"[
{
""String"" : ""用@item_200108#或@item_200109#烹饪各种食物@goal_1#吧"",
""UnlockTaskId"" : 0,
}
]
","[
""用锅烹饪各种食物@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : 0,
""GoalNum"" : 3
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,200108,,[],0,,0,,
300702,锅烹饪2,2,"[
{
""String"" : ""用@item_200108#或@item_200109#烹饪各种食物@goal_1#吧"",
""UnlockTaskId"" : 0,
}
]
","[
""用锅烹饪各种食物@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : 0,
""GoalNum"" : 50
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 100
}
]",2,200108,,[],0,,0,,
300703,锅烹饪3,2,"[
{
""String"" : ""用@item_200108#或@item_200109#烹饪各种食物@goal_1#吧"",
""UnlockTaskId"" : 0,
}
]
","[
""用锅烹饪各种食物@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : 0,
""GoalNum"" : 100
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 200
}
]",2,200108,,[],0,,0,,
300704,锅烹饪4,2,"[
{
""String"" : ""用@item_200108#或@item_200109#烹饪各种食物@goal_1#吧"",
""UnlockTaskId"" : 0,
}
]
","[
""用锅烹饪各种食物@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : 0,
""GoalNum"" : 500
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 500
}
]",2,200109,,[],0,,0,,
300705,锅烹饪5,2,"[
{
""String"" : ""用@item_200108#或@item_200109#烹饪各种食物@goal_1#吧"",
""UnlockTaskId"" : 0,
}
]
","[
""用锅烹饪各种食物@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : 0,
""GoalNum"" : 1000
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 1000
}
]",2,200109,,[],0,,0,,
300801,豪华海鲜果蔬盖饭,2,"[
{
""String"" : ""用@item_200108#或@item_200109#烹饪超级美味"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""@item_150178#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""用锅烹饪@item_150178#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : ""I_150178"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,150178,,[],0,,0,,
300802,蔬果披萨,2,"[
{
""String"" : ""用@item_200108#或@item_200109#烹饪超级美味"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""@item_831#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""用锅烹饪@item_831#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : ""I_831"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,831,,[],0,,0,,
300803,豪华海陆果蔬拼盘,2,"[
{
""String"" : ""用@item_200108#或@item_200109#烹饪超级美味"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""@item_150166#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""用锅烹饪@item_150166#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : ""I_150166"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,150166,,[],0,,0,,
300804,香溢巨布鲁果派,2,"[
{
""String"" : ""用@item_200108#或@item_200109#烹饪超级美味"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""@item_12552#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""用锅烹饪@item_12552#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : ""I_12552"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,12552,,[],0,,0,,
300805,豪华煎肉排,2,"[
{
""String"" : ""用@item_200108#或@item_200109#烹饪超级美味"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""@item_150189#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""用锅烹饪@item_150189#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : ""I_150189"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,150189,,[],0,,0,,
300806,豪华大碗饭,2,"[
{
""String"" : ""用@item_200108#或@item_200109#烹饪超级美味"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""@item_150184#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""用锅烹饪@item_150184#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 20,
""GoalID1"" : ""I_150184"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,150184,,[],0,,0,,
300901,耕地种植1,2,"[
{
""String"" : ""在@item_102#里种植@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""在@item_102#里种植@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 17,
""GoalID1"" : 0,
""GoalID2"" : ""I_102"",
""GoalNum"" : 10
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,102,,[],0,,0,,
300902,耕地种植2,2,"[
{
""String"" : ""在@item_102#里种植@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""在@item_102#里种植@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 17,
""GoalID1"" : 0,
""GoalID2"" : ""I_102"",
""GoalNum"" : 50
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 50
}
]",2,102,,[],0,,0,,
300903,耕地种植3,2,"[
{
""String"" : ""在@item_102#里种植@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""在@item_102#里种植@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 17,
""GoalID1"" : 0,
""GoalID2"" : ""I_102"",
""GoalNum"" : 100
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 100
}
]",2,102,,[],0,,0,,
300904,耕地种植4,2,"[
{
""String"" : ""在@item_102#里种植@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""在@item_102#里种植@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 17,
""GoalID1"" : 0,
""GoalID2"" : ""I_102"",
""GoalNum"" : 500
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 500
}
]",2,102,,[],0,,0,,
300905,耕地种植5,2,"[
{
""String"" : ""在@item_102#里种植@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""在@item_102#里种植@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 17,
""GoalID1"" : 0,
""GoalID2"" : ""I_102"",
""GoalNum"" : 1000
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 1000
}
]",2,102,,[],0,,0,,
301001,土坑种植1,2,"[
{
""String"" : ""在@item_103#里种植@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""在@item_103#里种植@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 17,
""GoalID1"" : 0,
""GoalID2"" : ""I_103"",
""GoalNum"" : 10
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,103,,[],0,,0,,
301002,土坑种植2,2,"[
{
""String"" : ""在@item_103#里种植@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""在@item_103#里种植@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 17,
""GoalID1"" : 0,
""GoalID2"" : ""I_103"",
""GoalNum"" : 50
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 50
}
]",2,103,,[],0,,0,,
301003,土坑种植3,2,"[
{
""String"" : ""在@item_103#里种植@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""在@item_103#里种植@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 17,
""GoalID1"" : 0,
""GoalID2"" : ""I_103"",
""GoalNum"" : 100
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 100
}
]",2,103,,[],0,,0,,
301004,土坑种植4,2,"[
{
""String"" : ""在@item_103#里种植@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""在@item_103#里种植@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 17,
""GoalID1"" : 0,
""GoalID2"" : ""I_103"",
""GoalNum"" : 500
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 500
}
]",2,103,,[],0,,0,,
301005,土坑种植5,2,"[
{
""String"" : ""在@item_103#里种植@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""在@item_103#里种植@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 17,
""GoalID1"" : 0,
""GoalID2"" : ""I_103"",
""GoalNum"" : 1000
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 1000
}
]",2,103,,[],0,,0,,
301101,种出玉米,2,"[
{
""String"" : ""在@item_102#里种出@item_200141#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""种出@item_200141#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 32,
""GoalID1"" : ""I_200140"",
""GoalNum"" : 10
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 11689,
""RewardNum"" : 10
}
]",2,229,,[],0,,0,,
301102,种出番薯,2,"[
{
""String"" : ""在@item_102#里种出@item_200147#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""种出@item_200147#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 32,
""GoalID1"" : ""I_200146"",
""GoalNum"" : 10
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 11691,
""RewardNum"" : 7
}
]",2,241,,[],0,,0,,
301103,种出青瓜,2,"[
{
""String"" : ""在@item_102#上的@item_153000#种出@item_200122#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""种出@item_200122#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 32,
""GoalID1"" : ""I_200143"",
""GoalNum"" : 10
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 11690,
""RewardNum"" : 10
}
]",2,200144,,[],0,,0,,
301104,种出水稻,2,"[
{
""String"" : ""在@item_102#里种出@item_200150#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""种出@item_200150#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 32,
""GoalID1"" : ""I_200149"",
""GoalNum"" : 10
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 11692,
""RewardNum"" : 10
}
]",2,200150,,[],0,,0,,
301105,种出番茄,2,"[
{
""String"" : ""在@item_102#上的@item_153000#种出@item_200119#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""种出@item_200119#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 32,
""GoalID1"" : ""I_200118"",
""GoalNum"" : 10
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 11682,
""RewardNum"" : 7
}
]",2,200119,,[],0,,0,,
