iD,备注（坐骑必须配置两个，服务器解锁用0级，客户端商店用1级）,被骑时高度,存档界面显示放缩,商城界面显示放缩,最小生命,最大生命,最小陆地速度,最大陆地速度,最小飞行速度,最大飞行速度,最小游泳速度,最大游泳速度,最小跳跃高度,最大跳跃高度,坐骑蛋ID,下蛋时间(刻),骑乘切换背视角,子模型显示（原鞍使用模型）,天生装备鞍,天生装备铠甲,铠甲栏位概率,天生技能1（1孵化蛋，2蓄力期间加速，3水上行走，4超级跳跃，5滑翔，6岩浆行走，7奔腾）,天生技能2（同天生技能1）,天生技能3（同天生技能1）,天生技能4（同天生技能1）,天生技能5（同天生技能1）,天生技能6（同天生技能1）,坐骑类型(1=变形关联坐骑2=驯服类坐骑3=解锁坐骑),骑乘绑点ID,"个人中心界面位置调整（基准位置-260, 20, -150）",,加速特效名称,食物,骑乘坐姿（0坐，1站）,变色
4500,九色鹿0级,290,0.4,,200,200,600,600,,,,,70,70,,,,1,11810,,1,,,,,,,3,,"-300, 20, -150",,,236,,
4501,九色鹿1级,290,0.4,,180,180,800,800,,,,,80,80,,,,2,12273,12274,100,49,,,,,,3,,"-300, 20, -150",,,236,,
4502,九色鹿2级,290,0.4,,180,180,820,820,,,,,80,80,,,,2,12273,12274,100,49,,,,,,3,,"-300, 20, -150",,,236,,
4503,九色鹿3级,290,0.4,,180,180,840,840,,,,,80,80,,,,2,12273,12274,100,49,,,,,,3,,"-300, 20, -150",,,236,,
45004,九色鹿4级,290,0.4,,180,180,860,860,,,,,80,80,,,,2,12273,12274,100,49,,,,,,3,,"-300, 20, -150",,,236,,
45005,九色鹿5级,290,0.4,,200,200,880,880,,,,,90,90,,,,3,12273,12274,100,50,,,,,,3,,"-300, 20, -150",,,236,,
45006,九色鹿6级,290,0.4,,200,200,900,900,,,,,90,90,,,,3,12273,12274,100,50,,,,,,3,,"-300, 20, -150",,,236,,
45007,九色鹿7级,290,0.4,,200,200,920,920,,,,,90,90,,,,3,12273,12274,100,50,,,,,,3,,"-300, 20, -150",,,236,,
45008,九色鹿8级,290,0.4,,200,200,940,940,,,,,90,90,,,,3,12273,12274,100,50,,,,,,3,,"-300, 20, -150",,,236,,
45009,九色鹿9级,290,0.4,,200,200,960,960,,,,,90,90,,,,3,12273,12274,100,50,,,,,,3,,"-300, 20, -150",,,236,,
45010,九色鹿10级,290,0.4,,220,220,1000,1000,,,,,100,100,,,,4,12273,12274,100,50,51,248,,,,3,,"-300, 20, -150",,,236,,
4504,南瓜车0级,290,0.4,0.7,200,200,600,600,,,,,70,70,,,1,1,11810,,1,,,,,,,3,,"-230, 20, -150",,,12515,,
4505,南瓜车1级,290,0.4,0.7,180,180,800,800,,,,,80,80,,,1,2,12273,12274,100,52,,,,,,3,,"-230, 20, -150",,,12515,,
4506,南瓜车2级,290,0.4,0.7,180,180,820,820,,,,,80,80,,,1,2,12273,12274,100,52,,,,,,3,,"-230, 20, -150",,,12515,,
4507,南瓜车3级,290,0.4,0.7,180,180,840,840,,,,,80,80,,,1,2,12273,12274,100,52,,,,,,3,,"-230, 20, -150",,,12515,,
45044,南瓜车4级,290,0.4,0.7,180,180,860,860,,,,,80,80,,,1,2,12273,12274,100,52,,,,,,3,,"-230, 20, -150",,,12515,,
45045,南瓜车5级,290,0.4,0.7,200,200,880,880,,,,,90,90,,,1,3,12273,12274,100,52,54,,,,,3,,"-230, 20, -150",,,12515,,
45046,南瓜车6级,290,0.4,0.7,200,200,900,900,,,,,90,90,,,1,3,12273,12274,100,52,54,,,,,3,,"-230, 20, -150",,,12515,,
45047,南瓜车7级,290,0.4,0.7,200,200,920,920,,,,,90,90,,,1,3,12273,12274,100,52,54,,,,,3,,"-230, 20, -150",,,12515,,
45048,南瓜车8级,290,0.4,0.7,200,200,940,940,,,,,90,90,,,1,3,12273,12274,100,52,54,,,,,3,,"-230, 20, -150",,,12515,,
45049,南瓜车9级,290,0.4,0.7,200,200,960,960,,,,,90,90,,,1,3,12273,12274,100,52,54,,,,,3,,"-230, 20, -150",,,12515,,
45050,南瓜车10级,290,0.4,0.7,220,220,1000,1000,,,,,100,100,,,1,4,12273,12274,100,53,55,248,,,,3,,"-230, 20, -150",,,12515,,
4508,竹蜻蜓0级,290,0.7,,140,140,300,300,,,,,60,60,,,,1,11810,,1,,,,,,,3,,"-260, 60, -150",,,378,1,
4509,竹蜻蜓1级,290,0.7,1.7,160,160,600,600,,,,,70,70,,,,2,12273,12274,100,56,57,,,,,3,,"-260, 60, -150",,,378,1,
4511,白天鹅0级,290,0.7,,160,160,400,400,,,,,70,70,,,,1,,,,,,,,,,3,,"-300, 20, -150",,,12525,,
4512,灰甜绒绒,290,0.7,,140,140,600,600,,,,,70,70,,,,2,11810,,100,,,,,,,3,,"-300, 20, -150",,,12525,,
4513,灰甜绒绒,290,0.7,,145,145,600,600,,,,,70,70,,,,2,11810,,100,,,,,,,3,,"-300, 20, -150",,,12525,,
4514,灰甜绒绒,290,0.7,,150,150,600,600,,,,,70,70,,,,2,11810,,100,,,,,,,3,,"-300, 20, -150",,,12525,,
4515,星愿雪霜,290,0.7,,160,160,700,700,,,,,70,70,,,,3,12273,12274,100,59,,,,,,3,,"-280, 20, -150",,,12525,,
45115,星愿雪霜,290,0.7,,165,165,700,700,,,,,70,70,,,,3,12273,12274,100,59,,,,,,3,,"-280, 20, -150",,,12525,,
45116,星愿雪霜,290,0.7,,170,170,700,700,,,,,70,70,,,,3,12273,12274,100,59,,,,,,3,,"-280, 20, -150",,,12525,,
45117,绮幻奇旅,290,0.7,,180,180,800,800,,,500,500,90,90,,,,4,12273,12274,100,59,60,,,,,3,,"-280, 20, -150",,,12525,,
45118,绮幻奇旅,290,0.7,,185,185,800,800,,,500,500,90,90,,,,4,12273,12274,100,59,60,,,,,3,,"-280, 20, -150",,,12525,,
45119,绮幻奇旅,290,0.7,,190,190,800,800,,,500,500,90,90,,,,4,12273,12274,100,59,60,,,,,3,,"-280, 20, -150",,,12525,,
45120,曦光绘梦,290,0.7,,200,200,900,900,,,700,700,130,130,,,,5,12273,12274,100,59,60,61,,,,3,,"-280, 20, -150",,,12525,,
4516,黑飞机0级,290,0.4,0.6,140,140,300,300,,,,,50,50,,,1,1,11810,,1,,,,,,,3,,,,,11099,,
4517,黑飞机1级,290,0.4,0.6,180,180,800,800,,,,,80,80,,,1,2,12273,,100,62,66,,,,,3,,,,,11099,,
4518,黑飞机2级,290,0.4,0.6,180,180,820,820,,,,,80,80,,,1,2,12273,12274,100,62,66,,,,,3,,,,,11099,,
45163,黑飞机3级,290,0.4,0.6,180,180,840,840,,,,,80,80,,,1,2,12273,12274,100,62,66,,,,,3,,,,,11099,,
45164,黑飞机4级,290,0.4,0.6,180,180,860,860,,,,,80,80,,,1,2,12273,12274,100,62,66,,,,,3,,,,,11099,,
45165,黑飞机5级,290,0.4,0.6,200,200,880,880,,,,,90,90,,,1,2,12273,12274,100,62,66,,,,,3,,,,,11099,,
45166,黑飞机6级,290,0.4,0.6,200,200,900,900,,,,,90,90,,,1,2,12273,12274,100,62,66,,,,,3,,,,,11099,,
45167,黑飞机7级,290,0.4,0.6,200,200,920,920,,,,,90,90,,,1,2,12273,12274,100,62,66,,,,,3,,,,,11099,,
45168,黑飞机8级,290,0.4,0.6,200,200,940,940,,,,,90,90,,,1,2,12273,12274,100,62,66,,,,,3,,,,,11099,,
45169,黑飞机9级,290,0.4,0.6,200,200,960,960,,,,,90,90,,,1,2,12273,12274,100,62,66,,,,,3,,,,,11099,,
45170,黑飞机10级,290,0.4,0.6,220,220,1000,1000,,,,,100,100,,,1,3,12273,12274,100,63,241,68,,,,3,,,,,11099,,
4519,白飞机0级,290,0.4,0.6,140,140,300,300,,,,,50,50,,,1,1,11810,,1,,,,,,,3,,,,,11099,,
4520,白飞机1级,290,0.4,0.6,180,180,800,800,,,,,80,80,,,1,2,12273,,100,64,66,,,,,3,,,,,11099,,
4521,白飞机2级,290,0.4,0.6,180,180,820,820,,,,,80,80,,,1,2,12273,12274,100,64,66,,,,,3,,,,,11099,,
45203,白飞机3级,290,0.4,0.6,180,180,840,840,,,,,80,80,,,1,2,12273,12274,100,64,66,,,,,3,,,,,11099,,
45204,白飞机4级,290,0.4,0.6,180,180,860,860,,,,,80,80,,,1,2,12273,12274,100,64,66,,,,,3,,,,,11099,,
45205,白飞机5级,290,0.4,0.6,200,200,880,880,,,,,90,90,,,1,2,12273,12274,100,64,66,,,,,3,,,,,11099,,
45206,白飞机6级,290,0.4,0.6,200,200,900,900,,,,,90,90,,,1,2,12273,12274,100,64,66,,,,,3,,,,,11099,,
45207,白飞机7级,290,0.4,0.6,200,200,920,920,,,,,90,90,,,1,2,12273,12274,100,64,66,,,,,3,,,,,11099,,
45208,白飞机8级,290,0.4,0.6,200,200,940,940,,,,,90,90,,,1,2,12273,12274,100,64,66,,,,,3,,,,,11099,,
45209,白飞机9级,290,0.4,0.6,200,200,960,960,,,,,90,90,,,1,2,12273,12274,100,64,66,,,,,3,,,,,11099,,
45210,白飞机10级,290,0.4,0.6,220,220,1000,1000,,,,,100,100,,,1,3,12273,12274,100,65,241,68,,,,3,,,,,11099,,
4522,小汽车0级,290,0.7,,180,180,500,500,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,,,,11099,,
4523,小汽车1级,290,0.4,0.7,200,200,600,600,,,,,70,70,,,1,2,11810,,1,69,,,,,,3,,,,,11099,,
4524,环海洛洛0级,290,0.4,0.7,160,160,400,400,,,,,70,70,,,1,1,,,,,,,,,,3,,"-320, 20, -150",,,12525,1,
4525,环海洛洛,290,0.4,0.7,180,180,700,700,,,500,500,80,80,,,1,2,11810,,100,70,13,,,,,3,,"-320, 20, -150",,,12525,1,
4526,环海洛洛,290,0.4,0.7,180,180,730,730,,,500,500,80,80,,,1,2,11810,,100,70,13,,,,,3,,"-320, 20, -150",,,12525,1,
45243,环海洛洛,290,0.4,0.7,180,180,760,760,,,500,500,80,80,,,1,2,11810,,100,70,13,,,,,3,,"-320, 20, -150",,,12525,1,
45244,环海洛洛,290,0.4,0.7,180,180,790,790,,,500,500,80,80,,,1,2,11810,,100,70,13,,,,,3,,"-320, 20, -150",,,12525,1,
45245,环海洛洛,290,0.4,0.7,200,200,800,800,,,500,500,90,90,,,1,2,11810,,100,70,13,,,,,3,,"-320, 20, -150",,,12525,1,
45246,环海洛洛,290,0.4,0.7,200,200,820,820,,,500,500,90,90,,,1,2,11810,,100,70,13,,,,,3,,"-320, 20, -150",,,12525,1,
45247,环海洛洛,290,0.4,0.7,200,200,840,840,,,500,500,90,90,,,1,2,11810,,100,70,13,,,,,3,,"-320, 20, -150",,,12525,1,
45248,环海洛洛,290,0.4,0.7,200,200,860,860,,,500,500,90,90,,,1,2,11810,,100,70,13,,,,,3,,"-320, 20, -150",,,12525,1,
45249,环海洛洛,290,0.4,0.7,200,200,880,880,,,500,500,90,90,,,1,2,11810,,100,70,13,,,,,3,,"-320, 20, -150",,,12525,1,
45250,环海洛洛-进阶,290,0.4,0.7,220,220,900,900,,,700,700,100,100,,,1,3,12273,12274,100,70,13,71,,,,3,,"-320, 20, -150",,,12525,1,
4527,尼东洛洛0级,290,0.5,0.9,160,160,400,400,,,,,70,70,,,1,1,,,,,,,,,,3,,"-320, 20, -150",,,12520,1,
4528,尼东洛洛,290,0.5,0.9,180,180,700,700,,,500,500,80,80,,,1,2,11810,,100,72,13,,,,,3,,"-320, 20, -150",,,12520,1,
4529,尼东洛洛,290,0.5,0.9,180,180,730,730,,,500,500,80,80,,,1,2,11810,,100,72,13,,,,,3,,"-320, 20, -150",,,12520,1,
45273,尼东洛洛,290,0.5,0.9,180,180,760,760,,,500,500,80,80,,,1,2,11810,,100,72,13,,,,,3,,"-320, 20, -150",,,12520,1,
45274,尼东洛洛,290,0.5,0.9,180,180,790,790,,,500,500,80,80,,,1,2,11810,,100,72,13,,,,,3,,"-320, 20, -150",,,12520,1,
45275,尼东洛洛,290,0.5,0.9,200,200,800,800,,,500,500,90,90,,,1,2,11810,,100,72,13,,,,,3,,"-320, 20, -150",,,12520,1,
45276,尼东洛洛,290,0.5,0.9,200,200,820,820,,,500,500,90,90,,,1,2,11810,,100,72,13,,,,,3,,"-320, 20, -150",,,12520,1,
45277,尼东洛洛,290,0.5,0.9,200,200,840,840,,,500,500,90,90,,,1,2,11810,,100,72,13,,,,,3,,"-320, 20, -150",,,12520,1,
45278,尼东洛洛,290,0.5,0.9,200,200,860,860,,,500,500,90,90,,,1,2,11810,,100,72,13,,,,,3,,"-320, 20, -150",,,12520,1,
45279,尼东洛洛,290,0.5,0.9,200,200,880,880,,,500,500,90,90,,,1,2,11810,,100,72,13,,,,,3,,"-320, 20, -150",,,12520,1,
45280,尼东洛洛-进阶,290,0.5,0.9,220,220,900,900,,,700,700,100,100,,,1,3,12273,12274,100,72,13,73,,,,3,,"-320, 20, -150",,,12520,1,
4530,龙0级,290,0.5,0.7,160,160,500,500,,,,,80,80,,,1,1,11810,,1,,,,,,,3,,"-300, 20, -150",,,12519,,
4531,龙1级,290,0.5,0.7,180,180,800,800,,,,,80,80,,,1,2,12273,12274,100,74,,,,,,3,,"-300, 20, -150",,,12519,,
4532,龙2级,290,0.5,0.7,180,180,820,820,,,,,80,80,,,1,2,12273,12274,100,74,,,,,,3,,"-300, 20, -150",,,12519,,
4533,龙3级,290,0.5,0.7,180,180,840,840,,,,,80,80,,,1,2,12273,12274,100,74,,,,,,3,,"-300, 20, -150",,,12519,,
45304,龙4级,290,0.5,0.7,180,180,860,860,,,,,80,80,,,1,2,12273,12274,100,74,,,,,,3,,"-300, 20, -150",,,12519,,
45305,龙5级,290,0.5,0.7,200,200,880,880,,,,,90,90,,,1,3,12273,12274,100,75,20,,,,,3,,"-300, 20, -150",,,12519,,
45306,龙6级,290,0.5,0.7,200,200,900,900,,,,,90,90,,,1,3,12273,12274,100,75,20,,,,,3,,"-300, 20, -150",,,12519,,
45307,龙7级,290,0.5,0.7,200,200,920,920,,,,,90,90,,,1,3,12273,12274,100,75,20,,,,,3,,"-300, 20, -150",,,12519,,
45308,龙8级,290,0.5,0.7,200,200,940,940,,,,,90,90,,,1,3,12273,12274,100,75,20,,,,,3,,"-300, 20, -150",,,12519,,
45309,龙9级,290,0.5,0.7,200,200,960,960,,,,,90,90,,,1,3,12273,12274,100,75,20,,,,,3,,"-300, 20, -150",,,12519,,
45310,龙10级,290,0.5,0.7,280,280,1000,1000,,,,,100,100,,,1,4,12273,12274,100,76,11,241,,,,3,,"-300, 20, -150",,,12519,,
4534,画舫0级,290,0.4,0.5,160,160,400,400,,,,,50,50,,,1,1,11810,,1,,,,,,,3,,"-300, 20, -150",,,11326,,
4535,玲珑音韵,290,0.4,0.5,180,180,800,800,,,,,80,80,,,1,2,12273,12274,100,77,,,,,,3,,"-300, 20, -150",,,11326,,
4536,玲珑音韵,290,0.4,0.5,180,180,820,820,,,,,80,80,,,1,2,12273,12274,100,77,,,,,,3,,"-300, 20, -150",,,11326,,
4537,玲珑音韵,290,0.4,0.5,180,180,840,840,,,,,80,80,,,1,2,12273,12274,100,77,,,,,,3,,"-300, 20, -150",,,11326,,
45344,玲珑音韵,290,0.4,0.5,180,180,860,860,,,,,80,80,,,1,2,12273,12274,100,77,,,,,,3,,"-300, 20, -150",,,11326,,
45345,蝶弄清影,290,0.4,0.5,200,200,880,880,,,,,90,90,,,1,3,12273,12274,100,78,3,,,,,3,,"-300, 20, -150",,,11326,,
45346,蝶弄清影,290,0.4,0.5,200,200,900,900,,,,,90,90,,,1,3,12273,12274,100,78,3,,,,,3,,"-300, 20, -150",,,11326,,
45347,蝶弄清影,290,0.4,0.5,200,200,920,920,,,,,90,90,,,1,3,12273,12274,100,78,3,,,,,3,,"-300, 20, -150",,,11326,,
45348,蝶弄清影,290,0.4,0.5,200,200,940,940,,,,,90,90,,,1,3,12273,12274,100,78,3,,,,,3,,"-300, 20, -150",,,11326,,
45349,蝶弄清影,290,0.4,0.5,200,200,960,960,,,,,90,90,,,1,3,12273,12274,100,78,3,,,,,3,,"-300, 20, -150",,,11326,,
45350,繁花夜明,290,0.4,0.5,220,220,1000,1000,,,,,100,100,,,1,4,12273,12274,100,79,80,248,,,,3,,"-220, 20, -150",,,11326,,
4538,魔毯0级,290,0.5,0.7,160,160,400,400,,,,,50,50,,,1,1,11810,,1,,,,,,,3,,,,,12565,,
4539,天方夜谭,290,0.5,0.7,180,180,800,800,,,,,80,80,,,1,2,12273,12274,100,81,,,,,,3,,,,,12565,,
4540,天方夜谭,290,0.5,0.7,180,180,820,820,,,,,80,80,,,1,2,12273,12274,100,81,,,,,,3,,,,,12565,,
4541,天方夜谭,290,0.5,0.7,180,180,840,840,,,,,80,80,,,1,2,12273,12274,100,81,,,,,,3,,,,,12565,,
45384,天方夜谭,290,0.5,0.7,180,180,860,860,,,,,80,80,,,1,2,12273,12274,100,81,,,,,,3,,,,,12565,,
45385,波斯飞毯,290,0.5,0.7,200,200,880,880,,,,,90,90,,,1,3,12273,12274,100,82,22,,,,,3,,,,,12565,,
45386,波斯飞毯,290,0.5,0.7,200,200,900,900,,,,,90,90,,,1,3,12273,12274,100,82,22,,,,,3,,,,,12565,,
45387,波斯飞毯,290,0.5,0.7,200,200,920,920,,,,,90,90,,,1,3,12273,12274,100,82,22,,,,,3,,,,,12565,,
45388,波斯飞毯,290,0.5,0.7,200,200,940,940,,,,,90,90,,,1,3,12273,12274,100,82,22,,,,,3,,,,,12565,,
45389,波斯飞毯,290,0.5,0.7,200,200,960,960,,,,,90,90,,,1,3,12273,12274,100,82,22,,,,,3,,,,,12565,,
45390,星月魔毯,290,0.5,0.7,220,220,1000,1000,,,,,100,100,,,1,4,12273,12274,100,83,22,84,241,,,3,,,,,12565,,
4542,机械鸟0级,290,0.5,0.7,160,160,500,500,,,,,50,50,,,1,1,11810,,1,,,,,,,3,,"-380, 20, -150",,,12705,,
4543,咕咕,290,0.5,0.7,180,180,800,800,,,,,80,80,,,1,2,12273,12274,100,85,,,,,,3,,"-380, 20, -150",,,12705,,
4544,咕咕,290,0.5,0.7,180,180,820,820,,,,,80,80,,,1,2,12273,12274,100,85,,,,,,3,,"-300, 20, -150",,,12705,,
4545,咕咕,290,0.5,0.7,180,180,840,840,,,,,80,80,,,1,2,12273,12274,100,85,,,,,,3,,"-300, 20, -150",,,12705,,
45424,咕咕,290,0.5,0.7,180,180,860,860,,,,,80,80,,,1,2,12273,12274,100,85,,,,,,3,,"-300, 20, -150",,,12705,,
45425,炼金雀,290,0.5,0.7,200,200,880,880,,,,,90,90,,,1,3,12273,12274,100,85,87,,,,,3,,"-300, 20, -150",,,12705,,
45426,炼金雀,290,0.5,0.7,200,200,900,900,,,,,90,90,,,1,3,12273,12274,100,85,87,,,,,3,,"-300, 20, -150",,,12705,,
45427,炼金雀,290,0.5,0.7,200,200,920,920,,,,,90,90,,,1,3,12273,12274,100,85,87,,,,,3,,"-300, 20, -150",,,12705,,
45428,炼金雀,290,0.5,0.7,200,200,940,940,,,,,90,90,,,1,3,12273,12274,100,85,87,,,,,3,,"-300, 20, -150",,,12705,,
45429,炼金雀,290,0.5,0.7,200,200,960,960,,,,,90,90,,,1,3,12273,12274,100,85,87,,,,,3,,"-300, 20, -150",,,12705,,
45430,千机隼,290,0.5,0.7,220,220,1000,1000,,,,,100,100,,,1,4,12273,12274,100,86,87,241,,,,3,,"-300, 20, -150",,,12705,,
4546,打碟机0级,290,0.5,0.7,200,200,600,600,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,,,,12574,1,
4547,最强音浪,290,0.5,0.7,180,180,800,800,,,,,80,80,,,1,2,12273,12274,100,89,91,,,,,3,,,,,12574,1,
4548,最强音浪,290,0.5,0.7,180,180,820,820,,,,,80,80,,,1,2,12273,12274,100,89,9102,,,,,3,,,,,12574,1,
45463,最强音浪,290,0.5,0.7,180,180,840,840,,,,,80,80,,,1,2,12273,12274,100,89,9103,,,,,3,,,,,12574,1,
45464,最强音浪,290,0.5,0.7,180,180,860,860,,,,,80,80,,,1,2,12273,12274,100,89,9104,,,,,3,,,,,12574,1,
45465,最强音浪,290,0.5,0.7,200,200,880,880,,,,,90,90,,,1,2,12273,12274,100,89,9105,,,,,3,,,,,12574,1,
45466,最强音浪,290,0.5,0.7,200,200,900,900,,,,,90,90,,,1,2,12273,12274,100,89,9106,,,,,3,,,,,12574,1,
45467,最强音浪,290,0.5,0.7,200,200,920,920,,,,,90,90,,,1,2,12273,12274,100,89,9106,,,,,3,,,,,12574,1,
45468,最强音浪,290,0.5,0.7,200,200,940,940,,,,,90,90,,,1,2,12273,12274,100,89,9106,,,,,3,,,,,12574,1,
45469,最强音浪,290,0.5,0.7,200,200,960,960,,,,,90,90,,,1,2,12273,12274,100,89,9106,,,,,3,,,,,12574,1,
45470,无限电音,290,0.5,0.7,220,220,1000,1000,,,,,100,100,,,1,3,12273,12274,100,90,92,248,,,,3,,"-220, 20, -150",,,12574,1,
4549,花架0级,290,0.5,0.5,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,"-290, 20, -150",,,378,,
4550,云中花架,290,0.55,0.55,180,180,800,800,,,,,80,80,,,1,2,12273,12274,100,93,94,,,,,3,,"-290, 20, -150",,,378,,
4551,云中花架,290,0.55,0.55,180,180,820,820,,,,,80,80,,,1,2,12273,12274,100,93,94,,,,,3,,"-290, 20, -150",,,378,,
45493,云中花架,290,0.55,0.55,180,180,840,840,,,,,80,80,,,1,2,12273,12274,100,93,94,,,,,3,,"-290, 20, -150",,,378,,
45494,云中花架,290,0.55,0.55,180,180,860,860,,,,,80,80,,,1,2,12273,12274,100,93,94,,,,,3,,"-290, 20, -150",,,378,,1 1 1|0 1 0|1 1 0|1 0 0.5|1 0 1|0 0.5 1
45495,云中花架,290,0.55,0.55,200,200,880,880,,,,,90,90,,,1,2,12273,12274,100,93,94,,,,,3,,"-290, 20, -150",,,378,,1 1 1|0 1 0|1 1 0|1 0 0.5|1 0 1|0 0.5 1
45496,云中花架,290,0.55,0.55,200,200,900,900,,,,,90,90,,,1,2,12273,12274,100,93,94,,,,,3,,"-290, 20, -150",,,378,,
45497,云中花架,290,0.55,0.55,200,200,920,920,,,,,90,90,,,1,2,12273,12274,100,93,94,,,,,3,,"-290, 20, -150",,,378,,
45498,云中花架,290,0.55,0.55,200,200,940,940,,,,,90,90,,,1,2,12273,12274,100,93,94,,,,,3,,"-290, 20, -150",,,378,,
45499,云中花架,290,0.55,0.55,200,200,960,960,,,,,90,90,,,1,2,12273,12274,100,93,94,,,,,3,,"-290, 20, -150",,,378,,
45500,云梦飞舞,290,0.55,0.55,220,220,1000,1000,,,,,100,100,,,1,3,12273,12274,100,93,95,241,,,,3,,"-290, 20, -150",,,378,,
4552,扇子0级,290,0.5,0.7,200,200,600,600,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,,,,12601,,
4553,水云游,290,0.5,0.7,220,220,800,800,,,,,80,80,,,1,2,12273,12274,100,96,98,,,,,3,,,,,12601,,
4554,水云游,290,0.5,0.7,220,220,820,820,,,,,80,80,,,1,2,12273,12274,100,96,98,,,,,3,,,,,12601,,
45523,水云游,290,0.5,0.7,220,220,840,840,,,,,80,80,,,1,2,12273,12274,100,96,98,,,,,3,,,,,12601,,
45524,水云游,290,0.5,0.7,220,220,860,860,,,,,80,80,,,1,2,12273,12274,100,96,98,,,,,3,,,,,12601,,
45525,水云游,290,0.5,0.7,220,220,880,880,,,,,90,90,,,1,2,12273,12274,100,96,98,,,,,3,,,,,12601,,
45526,水云游,290,0.5,0.7,220,220,900,900,,,,,90,90,,,1,2,12273,12274,100,96,98,,,,,3,,,,,12601,,
45527,水云游,290,0.5,0.7,220,220,920,920,,,,,90,90,,,1,2,12273,12274,100,96,98,,,,,3,,,,,12601,,
45528,水云游,290,0.5,0.7,220,220,940,940,,,,,90,90,,,1,2,12273,12274,100,96,98,,,,,3,,,,,12601,,
45529,水云游,290,0.5,0.7,220,220,960,960,,,,,90,90,,,1,2,12273,12274,100,96,98,,,,,3,,,,,12601,,
45530,醉花荫,290,0.5,0.7,260,260,1000,1000,,,,,100,100,,,1,3,12273,12274,100,97,241,99,,,,3,,,,,12601,,
4555,旺财0级,290,0.5,,200,200,600,600,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,"-300, 20, -150",,,12518,,
4556,旺财,290,0.5,,200,200,600,600,,,,,70,70,,,1,2,12273,12274,101,100,,,,,,3,,"-300, 20, -150",,,12518,,
4559,帝皇驹0级,290,0.5,,220,220,800,800,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,"-300, 20, -150",,,12531,,
4560,超音帝皇驹,290,0.5,,220,220,800,800,,,,,80,80,,,1,2,12273,12274,100,101,,,,,,3,,"-300, 20, -150",,,12531,,
4561,超音帝皇驹,290,0.5,,220,220,830,830,,,,,80,80,,,1,2,12273,12274,100,101,,,,,,3,,"-300, 20, -150",,,12531,,
4562,超音帝皇驹,290,0.5,,220,220,860,860,,,,,80,80,,,1,2,12273,12274,100,101,,,,,,3,,"-300, 20, -150",,,12531,,
45594,超音帝皇驹,290,0.5,,220,220,890,890,,,,,80,80,,,1,2,12273,12274,100,101,,,,,,3,,"-300, 20, -150",,,12531,,
45595,陆行帝皇驹,290,0.5,,240,240,900,900,,,,,90,90,,,1,3,12273,12274,100,101,103,,,,,3,210,"-300, 20, -150",,,12531,,
45596,陆行帝皇驹,290,0.5,,240,240,920,920,,,,,90,90,,,1,3,12273,12274,100,101,103,,,,,3,210,"-300, 20, -150",,,12531,,
45597,陆行帝皇驹,290,0.5,,240,240,940,940,,,,,90,90,,,1,3,12273,12274,100,101,103,,,,,3,210,"-300, 20, -150",,,12531,,
45598,陆行帝皇驹,290,0.5,,240,240,960,960,,,,,90,90,,,1,3,12273,12274,100,101,103,,,,,3,210,"-300, 20, -150",,,12531,,
45599,陆行帝皇驹,290,0.5,,240,240,980,980,,,,,90,90,,,1,3,12273,12274,100,101,103,,,,,3,210,"-300, 20, -150",,,12531,,
45600,帝皇战龙,290,0.5,,260,260,1000,1000,,,,,100,100,,,1,4,12273,12274,100,102,103,241,,,,3,220,"-300, 20, -150",,,12531,,
4563,布老虎0级,290,0.5,,180,180,700,700,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,"-300, 20, -150",,,12530,,
4564,小老虎,290,0.5,,180,180,800,800,,,,,80,80,,,1,2,12273,12274,100,105,,,,,,3,,"-300, 20, -150",,,12530,,
4565,小老虎,290,0.5,,180,180,830,830,,,,,80,80,,,1,2,12273,12274,100,105,,,,,,3,,"-300, 20, -150",,,12530,,
4566,小老虎,290,0.5,,180,180,860,860,,,,,80,80,,,1,2,12273,12274,100,105,,,,,,3,,"-300, 20, -150",,,12530,,
45634,小老虎,290,0.5,,180,180,890,890,,,,,80,80,,,1,2,12273,12274,100,105,,,,,,3,,"-300, 20, -150",,,12530,,
45635,萌虎下山,290,0.5,,200,200,900,900,,,,,90,90,,,1,3,12273,12274,100,105,107,,,,,3,210,"-300, 20, -150",,,12530,,
45636,萌虎下山,290,0.5,,200,200,920,920,,,,,90,90,,,1,3,12273,12274,100,105,10702,,,,,3,210,"-300, 20, -150",,,12530,,
45637,萌虎下山,290,0.5,,200,200,940,940,,,,,90,90,,,1,3,12273,12274,100,105,10703,,,,,3,210,"-300, 20, -150",,,12530,,
45638,萌虎下山,290,0.5,,200,200,960,960,,,,,90,90,,,1,3,12273,12274,100,105,10704,,,,,3,210,"-300, 20, -150",,,12530,,
45639,萌虎下山,290,0.5,,200,200,980,980,,,,,90,90,,,1,3,12273,12274,100,105,10705,,,,,3,210,"-300, 20, -150",,,12530,,
