强化方向ID,强化方向名称,强化效果描述,消耗星星,材料ID,材料数量,强化文件（Skill文件，数组，多文件用|分割）,强化文件（Timeline文件，数组，多文件用|分割）,回溯星星消耗,是否允许广告重置
5001006,移动加快,释放后获得增加移速状态,3,200411,2,,Patch_VoidLaserBall_Weapon6,2,1
5001007,消耗减少,消耗血量降低50%,2,11911,1,Patch_VoidLaserBall_Weapon7,,2,1
5001008,冷却缩减,CD-3秒,3,15080,1,Patch_VoidLaserBall_Weapon8,,2,1
5001101,持续延长,释放时间增加1秒,1,12020,1,,Patch_VoidMeteorRain_Weapon1,2,1
5001102,击飞强化,陨石命中后击飞敌人,1,12016,2,,Patch_VoidMeteorRain_Weapon2,2,1
5001103,陨石加速,陨石下落速度更快,1,12019,2,,Patch_VoidMeteorRain_Weapon3,2,1
5001104,伤害增幅,陨石伤害×1.3,1,12015,2,,Patch_VoidMeteorRain_Weapon4,2,1
5001105,减速陨石,被命中的敌人获得减速状态,2,11201,1,,Patch_VoidMeteorRain_Weapon5,2,1
5001106,蓄力强化,蓄力时间加快50%,3,12014,2,,Patch_VoidMeteorRain_Weapon6,2,1
5001107,消耗减少,消耗血量降低50%,2,11911,1,Patch_VoidMeteorRain_Weapon7,,2,1
5001108,冷却缩减,CD-2秒,3,200411,1,Patch_VoidMeteorRain_Weapon8,,2,1
5001201,分身强化,分身获得减伤护盾,1,12019,2,,Patch_VoidSummonMinion_Weapon1,2,1
5001202,时间增加,分身存活时间延长,1,12015,2,,Patch_VoidSummonMinion_Weapon2,2,1
5001203,移动强化,分身移动速度加快,1,12016,2,,Patch_VoidSummonMinion_Weapon3,2,1
5001204,数量增加,召唤数量+1,1,12020,1,,Patch_VoidSummonMinion_Weapon4,2,1
5001205,数量增加,召唤数量+1,2,12020,1,,Patch_VoidSummonMinion_Weapon5,2,1
5001206,攻击强化,分身攻击力强化50%,3,11201,1,,Patch_VoidSummonMinion_Weapon6,2,1
5001207,消耗减少,消耗血量降低50%,2,11911,1,Patch_VoidSummonMinion_Weapon7,,2,1
5001208,冷却缩减,CD-5秒,3,15080,1,Patch_VoidSummonMinion_Weapon8,,2,1
5001301,法球增多,法球数量增加2颗,1,12020,1,,Patch_VoidOrbitBall_Weapon1,2,1
5001302,法球伤害,法球伤害×1.4,1,11516,3,,Patch_VoidOrbitBall_Weapon2,2,1
5001303,冷却减少,冷却减少5秒,1,11609,2,Patch_VoidOrbitBall_Weapon3,,2,1
5001304,旋转加速,法球旋转速度+50%,1,11717,2,,Patch_VoidOrbitBall_Weapon4,2,1
5001305,扩大范围,法球旋转半径扩大,2,11117,2,,Patch_VoidOrbitBall_Weapon5,2,1
5001306,减速法球,被法球命中的生物获得减速状态,3,11611,1,,Patch_VoidOrbitBall_Weapon6,2,1
5001307,消耗减少,消耗血量降低50%,2,200411,1,Patch_VoidOrbitBall_Weapon7,,2,1
5001308,蓄力减少,蓄力时间减少1秒,3,15081,3,,Patch_VoidOrbitBall_Weapon8,2,1
6000701,伤害强化,单发伤害增加,1,11201,1,,Patch_HomingMissile_Weapon1,2,1
6000702,爆炸范围,命中后小范围爆炸,1,11201,1,,Patch_HomingMissile_Weapon2,2,1
6000703,靶向放大,命中后放大目标身形便于瞄准跟踪,1,11210,2,,Patch_HomingMissile_Weapon3,2,1
6000704,弹数+1,飞弹数量+1,1,11080,2,,Patch_HomingMissile_Weapon4,2,1
6000705,弹数+1,飞弹数量+1,2,11522,2,,Patch_HomingMissile_Weapon5,2,1
6000706,二重飞弹,连续发射两次,3,11609,3,,Patch_HomingMissile_Weapon6,2,1
6000707,精准打击,提升初始追踪弹飞行速度,2,11611,2,,Patch_HomingMissile_Weapon7,2,1
6000708,冷却回升,减少技能冷却时间,3,11211,3,Patch_HomingMissile_Weapon8,,2,1
6000801,再次释放,再次召唤多一只团子,1,11201,1,,petChargeAgain,2,1
6000802,更大团子,发射的团子大小增加50%,1,11201,1,,petChargeBigger,2,1
6000803,团子护盾,释放后施法者获得护盾,1,11640,1,,petChargeShield,2,1
6000804,流血强化,团子攻击造成流血状态,1,11593,1,,petChargeBleed,2,1
6000805,击飞强化,对命中的敌人击飞高度+100%,2,11522,2,,petChargeKnockUp,2,1
6000806,蓄力强化,蓄力时间减少50%,3,11609,3,,petChargeFastCharge,2,1
6000807,后背发射,增加从后方冲锋的团子,2,11602,2,,petChargeBack,2,1
6000808,冷却减少,冷却时间减少2秒,3,11611,2,petChargeCD,,2,1
6000901,流星追影,一箭化多，箭矢如流星追向敌群,1,11201,1,,Patch_Tracking_Weapon1,2,1
6000902,永续星轨,追踪箭矢可以追踪到更远的目标,1,11201,1,,Patch_Tracking_Weapon2,2,1
6000903,追风逐影,箭矢加速飞驰，缩短命中前的时间,1,11655,1,,Patch_Tracking_Weapon3,2,1
6000904,穿云爆矢,箭矢命中时爆炸，对周围敌人造成范围伤害,1,11306,2,,Patch_Tracking_Weapon4,2,1
6000905,蜂毒穿心,箭矢附带蜂毒，命中后使敌人中毒,2,11609,2,,Patch_Tracking_Weapon5,2,1
6000906,霜矢锁足,箭矢附带冰缓，命中后使敌人减速,3,11522,3,,Patch_Tracking_Weapon6,2,1
6000907,追猎疾步,命中后自身获得加速状态,2,11780,1,,Patch_Tracking_Weapon7,2,1
6000908,致命追踪,对标记目标造成额外暴击伤害,3,11611,2,,Patch_Tracking_Weapon8,2,1
