工具id,名称,类型：1斧，2镐，3铲，4耙，5剪刀，6工具，7弓，8头盔，9胸甲，10护腿，11靴子，12容器，13点火石，14投掷物，16披风（特殊），17空白卷轴，18火之卷轴，19坐骑鞍，20坐骑项圈，21混乱卷轴，22捕鱼网，23变异卷轴，24法杖，25家园回收（植物），26家园回收（动物），27合成锤，28锅，29鱼竿，32开关道具,子类型：1-剑，2-盾，3-锤，4-矛，5-镐，6-斧，7-铲，8-耙，9-弓，10-杖，11-箭，12-法球，13-回旋镖，14-新法杖,装扮ID,等级（装备的等级必须和美术模型名称尾缀数字相同，不然会影响到野人伙伴装备的显隐及行为树）,子等级（用于双持武器配置用的等级，不为0的才会参与到双持内）,技能冷却,效率加成,视野亮度,"攻击类型:0近程,1远程,2爆炸",攻击力,削韧值（默认5）,物理防御,近战防御,远程防御,爆炸防御,元素防御,混乱防御,燃烧防御,毒素防御,冰冻防御,移动速度加成,行走速度,潜行速度,奔跑速度,游泳速度,开垦速度（单位tick）,攻击速度倍率,韧性,韧性恢复间隔时间,韧性恢复速度,攻击附带buffid（使用该工具攻击命中其他生物时可对目标施加一个状态，本列填buff的id）,攻击附带bufflv（使用该工具攻击命中其他生物时可对目标施加一个状态，本列填buff的lv）,耐久,采集消耗耐久,攻击1次消耗耐久,耐压阈值（控制水压环境中装备是否会被损坏）,压力消耗耐久（配合耐压阈值使用，控制水压环境中装备耐久的消耗速度）,修复消耗经验,组（0不为组1为组，例如木板通用）（关联Itemdef的ItemGroup）,修理材料ID1,修复量1,修理材料ID2,修复量2,修理材料ID3,修复量3,修理材料ID4,修复量4,修理材料ID5,修复量5,修理材料ID6,修复量6,效果库ID1（仅限装备道具使用）,默认值1（时间需要除以10）,效果库ID2,默认值2,效果库ID3,默认值3,效果库ID4,默认值4,效果库ID5,默认值5,分数,自带附魔（旧字段，不要用，但是不可以删）,自带新附魔,消耗ItemID,每次消耗的数量,发射音效,蓄力时间,"蓄力种类(0-弓那种,1-必须蓄到完成才能用,2-无需蓄力)",蓄力消耗体力（默认不填就读luaconstans）,蓄力音效,释放音效,攻击连段动作列表,连段计时器,游泳攻击动作,骑乘攻击动作,第一人称挖掘动作,第一人称启动动作,第一人称循环动作,第一人称右键施放动作,工具启动动作,工具循环动作,工具攻击动作,第三人称待机,第三人称挖掘动作,第三人称循环,第三人称右键施放,第三人称攻击特效,工具切换模型/弓切换有箭和没箭模型,挥动音效,附魔特效比例(默认是1倍写200就是2倍),附魔UV动画配置JSON文件名,初速度加成,可否投掷/0=不可投掷，1=可投掷,温度防御,元素攻击,混乱攻击,燃烧攻击,毒素攻击,冰冻攻击,击退抗性（万分比）,评分（用于更换标准）
11636,破损的元素核,14,,,1,,,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw,1,0,,,,,,,,,,,,,,,,,,,,,,20000,,,1,,,,,,,,0
15073,投射物-沙球,14,12,,1,,,0,,1,0,,,0,,,,,,,,,,,,,,,,,,,,0,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,misc.throw,,,,,,,,,,,,,,,,,,,,,,,,20000,,,1,,,,,,,,0
15074,投射物-沙矛,14,11,,1,,,0,,1,0,,,0,,,,,,,,,,,,,,,,,,,,0,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,misc.throw,,,,,,,,,,,,,,,,,,,,,,,,20000,,,1,,,,,,,,0
15075,投射物-骆驼口水,14,,,1,,,0,,1,0,,,0,,,,,,,,,,,,,,,,,,,,0,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,misc.throw,,,,,,,,,,,,,,,,,,,,,,,,20000,,,1,,,,,,,,0
11637,熔化剂,14,,,1,,,0,,1,0,,,0,,,,,,,,,,,,,,,,,,,,0,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw,1,0,,,,,,,,,,,,,,,,,,,,,,20000,,,1,,,,,,,,0
11638,音爆罐子,14,,,1,,,0,,1,,,,0,,,,,,,,,,,,,,,,,,,,0,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw,1,0,,,,,,,,,,,,,,,,,,,,,,20000,,,1,,,,,,,,0
12311,沙之咆哮,7,,,1,,15,0,,1,,,,0,,,,,,,,,,,,,,,,,,,,500,0,1,,,300,0,11911,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101111,,,100301,100302,100303,,,100149,100116,,,,10000,,,,,,,,,,,0
800,不完整工匠台,27,,,1,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
797,完整工匠台,27,,,1,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11651,空气球,14,12,,1,,,0,,1,0,,,0,,,,,,,,,,,,,,,,,,,,0,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,misc.throw,,,,,,,,,,,,,,,,,,,,,,,,20000,,,1,,,,,,,,0
11649,水压炮,7,,,1,,15,0,,1,,,,0,,,,,,,,,,,,,,,,,,,,500,0,1,,,150,0,11209,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101111,,,100301,100302,100303,,,100149,100116,,,,10000,,,,,,,,,,,0
11654,彼岸菠萝,14,,,1,,,0,,1,0,,,0,,,,,,,,,,,,,,,,,,,,0,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw,1,0,,,,,,,,,,,,,,,,,,,,,,20000,,,1,,,,,,,,0
11641,海灵变身石,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11642,潜水面罩,8,,2507,1,,,0,20,,,,2,,,,,,,,,,,,,,,,,,,,,600,0,0,3,2,200,0,11329,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,,0
11643,潜水服,9,,2521,1,,,0,,,,,2,,,,,,,,,,,,,,,,,,,,,600,0,0,3,2,200,0,11329,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11644,潜水脚蹼,11,,2537,1,,,0,,,,,2,,,,,,,,,,,,,35,,,,,,,,600,0,0,3,2,200,0,11329,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11645,高级潜水面罩,8,,2508,1,,,0,50,,,,3,,,,,,,,,,,,,,,,,,,,,1200,0,0,4,5,300,0,12614,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11646,高级潜水服,9,,2522,1,,,0,,,,,5,,,,,,,,,,,,,,,,,,,,,1200,0,0,4,5,300,0,12614,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11647,高级潜水脚蹼,11,,2538,1,,,0,,,,,3,,,,,,,,,,,,,50,,,,,,,,1200,0,0,4,5,300,0,12614,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11650,幸运花冠,8,,,7,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,30,0,0,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11424,投射物-椰子炮弹,14,,,1,,,0,,2,1,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,misc.throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12021,猫猫鱼竿,29,,,1,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,100,1,2,,,100,0,11329,50,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12721,普通鱼竿,29,,,1,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,100,1,2,,,100,0,11329,50,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12722,角珊瑚鱼竿,29,,,2,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,200,1,2,,,150,0,11329,50,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12723,气泡珊瑚鱼竿,29,,,2,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,200,1,2,,,150,0,11329,50,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12724,圆盘珊瑚鱼竿,29,,,2,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,200,1,2,,,150,0,11329,50,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12725,树珊瑚鱼竿,29,,,2,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,200,1,2,,,150,0,11329,50,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12739,激光笔,35,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100153,100136,100153,,,,,,,,,,,,,,,
26,投掷物-漂流瓶,14,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0
27,投掷物-远方的漂流瓶,14,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0
11657,发光的荧光棒,14,,,1,,,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,300,1,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0
11658,耗尽的荧光棒,14,,,1,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0
12312,防寒头盔,8,,2510,8,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,225,0,0,2,3,150,0,12623,25,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,1,,,,,,,50
12313,防寒胸甲,9,,2523,8,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,225,0,0,2,3,50,0,12623,25,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,1,,,,,,,50
12314,防寒护腿,10,,2530,8,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,225,0,0,2,3,50,0,12623,25,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,1,,,,,,,50
12315,防寒靴靴,11,,2539,8,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,225,0,0,2,3,50,0,12623,25,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,1,,,,,,,50
11667,冰魄法杖,24,10,,1,2,10,0,,1,,,,0,,,,,,,,,,,,,,,,,,,,100,0,1,,,200,0,11911,50,,,,,,,,,,,,,,,,,,,,,,,,11669,1,misc.throw,1,,,,,,,,,,101111,,,100301,100302,100303,,,100116,,,1,,10000,,,,,,,,,,,0
11668,极寒域法杖,24,10,,1,5,14,0,,1,,,,0,,,,,,,,,,,,,,,,,,,,75,0,1,,,300,0,12710,25,,,,,,,,,,,,,,,,,,,,,,,,11670,1,misc.throw,1,,,,,,,,,,101111,,,100301,100302,100303,,,100116,,,1,,10000,,,,,,,,,,,0
10122,手持布丁,14,,,1,,,0,,1,,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0
10123,传送球,14,,,1,,,0,,1,,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0
11672,冰雾瓶,14,,,1,,,0,,1,,,,0,,,,,,,,,,,,,,,,,,,,0,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw,1,0,,,,,,,,,,,,,,,,,,,,,,20000,,,1,,,,,,,,0
12625,冰石,14,,,1,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12068,雪球-投掷物,14,,,1,,,0,,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw,,2,,,,,,,,,,,,,,,,,,,,,,20000,,,1,,,,,,,,0
12069,枯木棒,6,3,,1,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,5,1,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12711,战斗号角,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101159,101159,101159,,,,,,,,,,,,,,,,,,,,,,,0
17004,破石术卷轴,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11017,铝合金镐,2,5,,4,4,,200,,,31,5,,,,,,,,,,,,,,,,,,,,,,360,1,2,,,200,0,12758,120,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,101130,101131,101132,,,,,,100148,100147,,,,20000,weapon_11017,,,,,,,,,,220
11018,钴合金镐,2,5,,6,4,,415,,,43,5,,,,,,,,,,,,,,,,,,,,,,1200,1,2,,,400,0,12759,400,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,101130,101131,101132,,,,,,100148,100147,,,,20000,weapon_11018,,,,,,,,,,220
12761,铝合金剑,6,1,,4,,,0,,,44,20,,0,,,,,,,,,,,,,,0.88,,,,,,450,2,1,,,200,0,12758,90,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,item.12009.charge4,Sword_NAtk_01|Sword_NAtk_02|Sword_NAtk_03,10,,,,,,,,,,,,,,,,,170,weapon_12761,,,,,,,,,,1650
12762,钴短剑,6,1,,6,,,0,,,65,25,,0,,,,,,,,,,,,,,0.88,,,,,,900,2,1,,,400,0,12759,180,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,item.12009.charge4,Sword_NAtk_01|Sword_NAtk_02|Sword_NAtk_03|Sword_NAtk_04,15,,,,,,,,,,,,,,,,,170,weapon_12762,,,,,,,,,,1650
12764,铝合金头盔,8,,3400,9,,,0,,,,,5,,,,3,,,,,,,,,,,,,,,,,300,0,0,3,3,200,0,12758,60,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,500,65
12765,铝合金胸甲,9,,3387,9,,,0,,,,,8,,,,3,,,,,,,,,,,,,,,,,300,0,0,3,3,200,0,12758,60,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,500,65
12766,铝合金护腿,10,,3388,9,,,0,,,,,7,,,,3,,,,,,,,,,,,,,,,,300,0,0,3,3,200,0,12758,60,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,500,65
12767,铝合金靴子,11,,3389,9,,,0,,,,,5,,,,3,,,,,,,,,,,,,,,,,300,0,0,3,3,200,0,12758,60,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,500,65
12768,钴合金头盔,8,,3390,10,,,0,,,,,11,,,,5,,,,,,,,,,,,,,,,,450,0,0,3,3,400,0,12759,90,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,800,65
12769,钴合金胸甲,9,,3391,10,,,0,,,,,18,,,,6,,,,,,,,,,,,,,,,,450,0,0,3,3,400,0,12759,90,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,800,65
12770,钴合金护腿,10,,3392,10,,,0,,,,,15,,,,5,,,,,,,,,,,,,,,,,450,0,0,3,3,400,0,12759,90,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,800,65
12771,钴合金靴子,11,,3393,10,,,0,,,,,11,,,,5,,,,,,,,,,,,,,,,,450,0,0,3,3,400,0,12759,90,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,800,65
200382,虚空果实,14,,,1,,,0,,1,,,,0,,,,,,,,,,,,,,,,,,,,0,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw,1,0,,,,,,,,,,,,,,,,,,,,,,20000,,,1,,,,,,,,0
200389,虚空果实超级无敌大漩涡炸弹,14,,,1,,,0,,1,,,,0,,,,,,,,,,,,,,,,,,,,0,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw,1,0,,,,,,,,,,,,,,,,,,,,,,20000,,,1,,,,,,,,0
200413,虚空瓜帽1,8,,2511,1,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,50,0,0,2,3,,0,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,,15
200414,虚空瓜帽2,8,,2512,1,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,50,0,0,2,3,,0,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,,15
200415,虚空瓜帽3,8,,2513,1,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,50,0,0,2,3,,0,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,,15
200416,虚空瓜帽4,8,,2514,1,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,50,0,0,2,3,,0,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,,,,,,,,15
201011,烘焙箱,28,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
540001,黄铜斧+黄铜斧,1,6,,2,,,80,,,28,6,,,,,,,,,,,,,,,0,,,,,,,180,1,2,,,100,0,11329,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Axe_Axe_Natk_01|Double_Axe_Axe_Natk_02,1,,,,,,,,,,,,,,,,,,weapon_12005,,,,,,,,,,
540002,黄铜斧+石斧,1,6,,2,,,50,,,24,6,,,,,,,,,,,,,,,0,,,,,,,140,1,2,,,75,0,11329,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Axe_Axe_Natk_01|Double_Axe_Axe_Natk_02,1,,,,,,,,,,,,,,,,,,weapon_12005,,,,,,,,,,
540003,黄铜斧+木棒,1,1,,2,,,40,,,20,8,,,,,,,,,,,,,,,0,,,,,,,120,1,2,,,65,0,11329,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Axe_Axe_Natk_01|Double_Axe_Axe_Natk_02,5,,,,,,,,,,,,,,,,,,weapon_12005,,,,,,,,,,
540004,黄铜斧+尖尖碰碰锤,1,1,,2,,,40,,,22,11,,,,,,,,,,,,,,,0,,,,,77,1,140,1,2,,,75,0,11329,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Axe_Axe_Natk_01|Double_Axe_Axe_Natk_02,5,,,,,,,,,,,,,,,,,,weapon_12005,,,,,,,,,,
540005,黄铜斧+冻结棒,1,1,,2,,,40,,,28,13,,,,,,,,,,,,,,,0,,,,,,,165,1,2,,,125,0,11329,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Axe_Axe_Natk_01|Double_Axe_Axe_Natk_02,5,,,,,,,,,,,,,,,,,,weapon_12005,,,,,,,,,,
540006,黄铜斧+钛金战锤,1,1,,5,,,40,,,46,19,,,,,,,,,,,,,,,0,,,,,,,390,1,2,,,200,0,11330,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Axe_Axe_Natk_01|Double_Axe_Axe_Natk_02,5,,,,,,,,,,,,,,,,,,weapon_12005,,,,,,,,,,
540007,黄铜斧+石剑,1,1,,2,,,40,,,21,7,,,,,,,,,,,,,,,0,,,,,,,140,1,2,,,75,0,11329,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,5,,,,,,,,,,,,,,,,,,weapon_12005,,,,,,,,,,
540008,黄铜斧+短剑,1,1,,3,,,40,,,29,10,,,,,,,,,,,,,,,0,,,,,,,225,1,2,,,100,0,11209,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,5,,,,,,,,,,,,,,,,,,weapon_12005,,,,,,,,,,
540009,黄铜斧+收割者,1,1,,5,,,40,,,39,13,,,,,,,,,,,,,,,0,,,,,,,390,1,2,,,200,0,11330,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,5,,,,,,,,,,,,,,,,,,weapon_12005,,,,,,,,,,
540010,黄铜斧+能量剑,1,1,,7,,,40,,,53,15,,,,,,,,,,,,,,,0,,,,,,,690,1,2,,,300,0,11203,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,5,,,,,,,,,,,,,,,,,,weapon_12005,,,,,,,,,,
540011,黄铜斧+石矛,1,4,,2,,,40,,,22,10,,,,,,,,,,,,,,,0,,,,,,,140,1,2,,,75,0,11329,60,,,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,weapon_12005,,1,,,,,,,,
540012,黄铜斧+黄铜矛,1,4,,2,,,40,,,26,14,,,,,,,,,,,,,,,0,,,,,,,180,1,2,,,100,0,11329,60,,,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,weapon_12005,,1,,,,,,,,
540013,黄铜斧+能量矛,1,4,,7,,,40,,,54,24,,,,,,,,,,,,,,,0,,,,,,,690,1,2,,,300,0,11203,240,,,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,weapon_12005,,1,,,,,,,,
540014,黄铜斧+魔鬼鱼叉,1,1,,2,,,40,,,30,14,,,,,,,,,,,,,,,0,,,,,,,240,1,2,,,125,0,11329,60,,,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,weapon_12005,,,,,,,,,,
540015,石斧+石斧,1,6,,1,,,20,,,19,6,,,,,,,,,,,,,,,0,,,,,,,100,1,2,,,50,0,11627,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Axe_Axe_Natk_01|Double_Axe_Axe_Natk_02,1,,,,,,,,,,,,,,,,,,weapon_12005,,,,,,,,,,
540016,石斧+木棒,1,1,,1,,,10,,,17,8,,,,,,,,,,,,,,,0,,,,,,,80,1,2,,,40,0,11627,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Axe_Axe_Natk_01|Double_Axe_Axe_Natk_02,5,,,,,,,,,,,,,,,,,,weapon_12005,,,,,,,,,,
540017,石斧+尖尖碰碰锤,1,1,,1,,,10,,,19,11,,,,,,,,,,,,,,,0,,,,,77,1,100,1,2,,,50,0,11627,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Axe_Axe_Natk_01|Double_Axe_Axe_Natk_02,5,,,,,,,,,,,,,,,,,,weapon_12005,,,,,,,,,,
540018,石斧+冻结棒,1,1,,1,,,10,,,25,13,,,,,,,,,,,,,,,0,,,,,,,125,1,2,,,100,0,11627,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Axe_Axe_Natk_01|Double_Axe_Axe_Natk_02,5,,,,,,,,,,,,,,,,,,weapon_12005,,,,,,,,,,
540019,石斧+钛金战锤,1,1,,5,,,10,,,43,19,,,,,,,,,,,,,,,0,,,,,,,350,1,2,,,175,0,11330,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Axe_Axe_Natk_01|Double_Axe_Axe_Natk_02,5,,,,,,,,,,,,,,,,,,weapon_12005,,,,,,,,,,
540020,石斧+石剑,1,1,,1,,,10,,,18,7,,,,,,,,,,,,,,,0,,,,,,,100,1,2,,,50,0,11627,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,5,,,,,,,,,,,,,,,,,,weapon_12005,,,,,,,,,,
