id,中文名称【所有用到道具名称的地方都是读这里】,预制文件名,插件用【作为插件json文件的名称，不能有空格】,2.0创造背包开放，11=地形，12=植物，13=建筑，14=装饰，15=星能，16=颜色，17=功能，18=机械，21=动物，22=怪物，23=人物（NPC），24=载具，31=装备，32=功能，33=食物，34=材料，35武器，36工具，41=功能，42=创造，43=功能对象,插件编辑【大于0开放插件编辑，1=工具，2=武器，3=食物，4=装备，5=材料】,2.0插件编辑模板【0=不是模板，1=作为插件编辑模板】,作为插件编辑材料，如道具掉落等【0=不作为材料，1=作物分类，2=工具，3=杂物，4=方块】,开放到触发器选择的道具库【1-5方块类 6-10道具类 12投掷物类 1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块 6=消耗品 7=材料 8=武器 9=装备 10=工具 11=生物蛋 12=投掷物 13=乐器】,模型文件夹名字【用于手持模型和凋落物模型，位于res/itemmods】,贴图【模型的贴图文件，已弃用】,贴图id【一个模型可以使用不同的贴图，改变外观；仅用于手持模型名字为texturen】,海外开放（0和空为在国内海外都开放，1为只在国内开放，2为只在海外开放）,"品质等级【用于旧版家园开果实的奖励级别，0一级,1二级,2三级,3四级】","帐号道具类型【0普通功能，1碎片，2仅普通地图提取，3仅家园提取，4都可提取,5可选择，6抽奖礼包，7商业化道具，8宠物蛋】",1-皮肤，2-坐骑，3-avatar，4-皮肤碎片，5-坐骑碎片，6-武器皮肤道具，7-武器皮肤碎片，8-头像框，9-喷漆道具，10-喷漆道具碎片，11-气泡道具，12-播报道具，13-称号道具，14-迷你大会员，15-优惠券，16-头像，17-动作，18-心情框，19-背景，20称号，21表情包，22迷你赛季积分道具，23坐骑升级道具，24搭配赛抽奖券，26七彩碎片，29图鉴道具,皮肤/坐骑/avatarID/武器皮肤,"品质等级（1=浅灰色,2=绿色，3=蓝色，4=紫色，5=橙色，6=红色，7=白金）",0-普通，1-稀有，2-珍贵，3-传说，抽奖礼包暂用:4-永久，5-体验,关联物品ID【用于家园图鉴碎片配置对应解锁的道具，解锁类型是4时填10000】,家园图鉴解锁的货币类型【0不用解锁3碎片4迷你豆5混合】,家园图鉴解锁标志位【每个道具对应一个标志位】,替换解锁物品【家园图鉴解锁货币不足时用什么代替，解锁类型是4的时候这里填服务器那个ID】,碎片价格【跟替换解锁物品配套使用，替换物数】,家园图鉴解锁需要的碎片数量,"条件解锁类型【用来控制打完黑龙解锁的配方,1=一阶黑龙,2=二阶黑龙,3=三阶黑龙,4=科技树，-1=解锁配方才能用的道具】",背包筛选类型【冒险模式背包的筛选类型，1装备2工具3方块4材料】,"道具类型【会影响道具的功能，无0，方块1，杂物2，工具3，一组物品4，怪物5，帐号物品6，弓7，投掷8，装备9，枪械10，食物11，12工具+投掷物，13工具+食物，14方块+食物，16机械，17地图通行证，18乐器，19喷漆贴图，20气泡，21武器皮肤，22播报，23称号，24特长碎片,25头像，26动作，27心情框，28背景，31可孵化蛋，32方块+预制蓝图】","创造模式背包一级分类【0不显示,1作物2工具3杂物4方块5编辑】",创造模式背包二级分类【植物=11 食物=12 饲料=13 特殊作物=14 道具=21 电路=22 生物=23 装备=24 建材=[31] 家具=32 装饰物=33 特殊杂物=34 地形=41 资源=42 特殊方块=43 建筑=44 玩法=51】,排序【创造模式背包同分类下调整排序用，数字小的在前面，数字相同id小的在前面】,高级创造排序【高级创造背包/高级资源列表/资源库，同分类下调整排序用，数字小的在前面，数字相同id小的在前面】,类型描述,新道具提示版本号【填了之后，玩家第一次看到时会显示新字，取第二位】,描述中的解锁途径-String表ID,类型描述-String表ID,描述【所有道具tips等用到道具描述的地方，都是读的这里】,获取方式(工匠台和冶炼台的内容可读取并显示在tips上，无需写在这里了),图标【所有显示道具图标的地方都是读的这里，默认文件路径是env1/bin/res/items；方块类道具不填则使用自动生成的图标；#=使用角色头像，hf=使用头像框图标，#avatar_icon1000_=使用avatar图标，[=使用方块贴图】,是否显示模型【控制拿在手上是否显示模型，0显示图标，1显示工具模型toolmodel，2显示方块模型有模型优先调用模型没有就程序生成blockmodel，9显示新prefab模型（prefab道具手持），10prefab方块手持】,图标特效/填1带有特效,挥舞音效,挥舞用的图片,第一人称大小,第三人称大小,掉落物大小,挥舞周期（毫秒）,冒险背包最大堆叠数目/做了防作弊的处理，获得超过这个数量会宕机,是否可以右键使用,右键使用操作范围(1/100方块）,归属物品组【同一物品组，在作为制作或者修理素材时会视为同一物品】,"使用目标:0-放置或者不能用, 1-点击方块, 2-点击液体方块  3-点使用按钮,  4-使用弓, 5-使用食物，6-使用特技，7-仓库中使用，8-使用枪, 9-蓄力扔出，烟雾弹，手雷等,10-钩爪, 11-“微缩组合”道具，12-乐器，14-使用盾牌，15-使用timeline蓄力投出）",使用的脚本,使用的脚本2（同时使用两个脚本时填写）,发射器发射物品的脚本,附魔标记（1放上面 2放下面 3前两者都可以 0前两者都不可以）,材料级别（0木1皮2石3链4铁5钛合金6钻，6代表5条附魔 5代表3条附魔 4代表1条附魔）,附魔后道具ID,是否可以提取(0不能 1能 2只有房主),分数,冷却,道具功能,消耗饥饿度,手持特效,手持特效放大系数,UGC工具屏蔽（填0或空不屏蔽脚本调用，作者解锁了就能用。填1屏蔽脚本调用。填2屏蔽脚本、选择器调用，作者解锁也不能用）,给道具添加技能（可以添加多个，用 | 隔开）,3.0高级创造背包开放，11=地形，12=植物，13=建筑，14=装饰，15=星能，16=颜色，17=功能，18=机械，21=动物，22=怪物，23=人物（NPC），24=载具，31=装备，32=功能，33=食物，34=材料，35武器，36工具，41=功能，42=创造，43=功能对象 999=不展示并屏蔽使用功能,显示模型特效（prefab模型使用，0或不填=不显示，1=显示）,显示第一人称手模型(1=显示，0=不显示),新输入方式标识（0或不填为老单击、长按判断，1为新单击长按判断）,标签,豪华值
13926,野人投矛百夫长,,,22,,,2,11,12700,,3,,,,,,,-1,,,,,,,,2,5,2,[23],,50,测试,33,,,对地面使用生成野人投矛百夫长,,icon13926,9,,,,0.6,0.6,,200,64,1,5,,1,MobEgg_OnUse,,MobEgg_AutoUse,,,,,,,,,,,,,22,,,,,
13927,野人投矛百夫长,,,,,,,,12700,,3,,,,,,,-1,,,,,,,,2,5,,,,,测试,28,,,对地面使用生成野人投矛百夫长,,icon13926,9,,,,0.6,0.6,,200,64,1,5,,1,MobEgg_OnUse,,MobEgg_AutoUse,,,,,,,,,,,,,,,,,,
13928,虚空蛋,,,22,,,2,11,12700,,,,,,,,,-1,,,,,,,,2,5,2,[23],,1200,测试,33,,,对地面使用生成虚空蛋,,icon13928,9,,,,0.6,0.6,,200,64,1,5,,1,MobEgg_OnUse,,MobEgg_AutoUse,,,,,,,,,,,,,22,,,,,
13929,虚空野人伍长,,,22,,,2,11,12700,,4,,,,,,,-1,,,,,,,,2,5,2,[23],,1200,测试,33,,,对地面使用生成虚空野人伍长,,icon13929,9,,,,0.6,0.6,,200,64,1,5,,1,MobEgg_OnUse,,MobEgg_AutoUse,,,,,,,,,,,,,22,,,,,
13930,虚空野人百夫长,,,22,,,2,11,12700,,,,,,,,,-1,,,,,,,,2,5,2,[23],,1200,测试,33,,,对地面使用生成虚空野人百夫长,,icon13930,9,,,,0.6,0.6,,200,64,1,5,,1,MobEgg_OnUse,,MobEgg_AutoUse,,,,,,,,,,,,,22,,,,,
13931,虚空野人投矛伍长,,,22,,,2,11,12700,,4,,,,,,,-1,,,,,,,,2,5,2,[23],,1200,测试,33,,,对地面使用生成虚空野人投矛伍长,,icon13931,9,,,,0.6,0.6,,200,64,1,5,,1,MobEgg_OnUse,,MobEgg_AutoUse,,,,,,,,,,,,,22,,,,,
13932,虚空野人投矛百夫长,,,22,,,2,11,12700,,,,,,,,,-1,,,,,,,,2,5,2,[23],,1200,测试,33,,,对地面使用生成虚空野人投矛百夫长,,icon13932,9,,,,0.6,0.6,,200,64,1,5,,1,MobEgg_OnUse,,MobEgg_AutoUse,,,,,,,,,,,,,22,,,,,
13933,虚空野萌宝,,,22,,,2,11,12700,,,,,,,,,-1,,,,,,,,2,5,2,[23],,1200,测试,33,,,对地面使用生成虚空野萌宝,,icon13933,9,,,,0.6,0.6,,200,64,1,5,,1,MobEgg_OnUse,,MobEgg_AutoUse,,,,,,,,,,,,,22,,,,,
13934,生物蛋-虚空使徒,,Fantom,,,,,,12700,,,,,2,,,,-1,,,,,,,,,5,,,,,测试,,,100022,对目标地点使用，生成一只#c0aba1d虚空使徒#n。#r近战主动攻击，会飞行移动。#r击败后可获得的物品有经验、@item_11911#。,,icon3501,9,,,,0.8,0.4,,200,64,1,5,,1,MobEgg_OnUse,,MobEgg_AutoUse,,,,,,,,,,,,,,,,,,
13938,铁穹钳击兵,,,22,,,2,11,12700,,,,,,,,,-1,,,,,,,,2,5,2,[23],,1200,,,,,对地面使用生成铁穹钳击兵,,icon13938,9,,,,0.6,0.6,,200,64,1,5,,1,MobEgg_OnUse,,MobEgg_AutoUse,,,,,,,,,,,,,22,,,,,
13939,铁穹炮击兵,,,22,,,2,11,12700,,,,,,,,,-1,,,,,,,,2,5,2,[23],,1200,,,,,对地面使用生成铁穹炮击兵,,icon13939,9,,,,0.6,0.6,,200,64,1,5,,1,MobEgg_OnUse,,MobEgg_AutoUse,,,,,,,,,,,,,22,,,,,
13940,铁穹猎杀卫,,,22,,,2,11,12700,,,,,,,,,-1,,,,,,,,2,5,2,[23],,1200,,,,,对地面使用生成铁穹猎杀卫,,icon13940,9,,,,0.6,0.6,,200,64,1,5,,1,MobEgg_OnUse,,MobEgg_AutoUse,,,,,,,,,,,,,22,,,,,
13941,铁穹焊愈卫,,,22,,,2,11,12700,,,,,,,,,-1,,,,,,,,2,5,2,[23],,1200,,,,,对地面使用生成铁穹焊愈卫,,icon13941,9,,,,0.6,0.6,,200,64,1,5,,1,MobEgg_OnUse,,MobEgg_AutoUse,,,,,,,,,,,,,22,,,,,
13942,铁穹终焉巨像,,,22,,,2,11,12700,,,,,,,,,-1,,,,,,,,2,5,2,[23],45,1200,测试,,,,对地面使用生成铁穹终焉巨像,,icon13942,9,,,,0.6,0.6,,200,64,0,5,,1,MobEgg_OnUse,,MobEgg_AutoUse,,,,,,,,,,,,,22,,,,,
13943,极夜,,,,,,,,12700,,,,,,,,,-1,,,,,,,,2,5,,,,1200,测试,,,,对地面使用生成极夜,,icon13942,9,,,,0.6,0.6,,200,64,0,5,,1,MobEgg_OnUse,,MobEgg_AutoUse,,,,,,,,,,,,,,,,,,
13944,虚空魔眼,,,,,,,,12700,,,,,,,,,-1,,,,,,,,2,5,,,,1200,测试,,,,对地面使用生成虚空魔眼,,icon13944,9,,,,0.6,0.6,,200,64,0,5,,1,MobEgg_OnUse,,MobEgg_AutoUse,,,,,,,,,,,,,,,,,,
13945,小虚空魔眼,,,,,,,,12700,,,,,,,,,-1,,,,,,,,2,5,,,,1200,测试,,,,对地面使用生成小虚空魔眼,,icon13945,9,,,,0.6,0.6,,200,64,0,5,,1,MobEgg_OnUse,,MobEgg_AutoUse,,,,,,,,,,,,,,,,,,
13946,极光,,,,,,,,12700,,,,,2,,,,-1,,,,,,,,,5,,,,,测试,,,100022,对目标地点使用，生成极光,,icon3501,9,,,,0.8,0.4,,200,64,1,5,,1,MobEgg_OnUse,,MobEgg_AutoUse,,,,,,,,,,,,,,,,,,
13947,虚空分身,,,,,,,,12700,,,,,2,,,,-1,,,,,,,,,5,,,,,测试,,,100022,对目标地点使用，生成一只分身,,icon3501,9,,,,0.8,0.4,,200,64,1,5,,1,MobEgg_OnUse,,MobEgg_AutoUse,,,,,,,,,,,,,,,,,,
14000,成就测试图标,,AchievementTestIcon,,,,,,,,,,,,,,,-1,,,,,,,,,2,0,,,,测试,,,,,,icon11211,,,,,,,,200,1,1,5,,,,,,,,,,,,,,,,,,,,,,,
14001,星星,,Stars,,,,,,,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,,,icon14001,,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
14002,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,快去下载最新的游戏版本吧！,,unknown,,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
14003,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,快去下载最新的游戏版本吧！,,unknown,,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
14004,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,快去下载最新的游戏版本吧！,,unknown,,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
14005,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,快去下载最新的游戏版本吧！,,unknown,,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
14006,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,快去下载最新的游戏版本吧！,,unknown,,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
14007,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,快去下载最新的游戏版本吧！,,unknown,,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
14008,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,快去下载最新的游戏版本吧！,,unknown,,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
14009,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,快去下载最新的游戏版本吧！,,unknown,,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
14010,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,快去下载最新的游戏版本吧！,,unknown,,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,,,,,,
14011,彩虹奶,,RainbowMilk,33,3,,1,6,14011,,,,,,,,,-1,,,,,,,,4,11,1,[12],219,150,测试,,,100007,闪闪发光的牛奶，颜色像彩虹一样漂亮！喝下后可以获得奇妙的效果。,通过奶牛挤奶有概率获得。,icon14011,9,,,,0.6,0.6,,200,64,1,5,,5,,,,,,,,0.1,,,,,,,,33,,,,official_Material.CreatureOutput,
14012,生牛肉,,RawBeef,33,3,,1,6,14012,,,,,,,,,-1,,,,,,,,4,11,1,[12],219,150,测试,,,100007,生吃小心#c0aba1d拉肚子#n，可以在@item_1200#上烤熟。,击败野牛或者奶牛掉落。,icon14012,9,,,,0.6,0.6,,200,64,1,5,12513,5,,,,,,,,0.1,,,,,,,,33,,,,official_ItemCommonAttributes.FoodAttribute.RawFood|official_Food.Foodstuffs.Meat,
14013,烤牛肉,,GrilledBeef,33,3,,1,6,14013,,,,,,,,,-1,,,,,,,,4,11,1,[12],219,150,测试,,,100007,食用后可恢复身体状态。,在篝火中烤制@item_14012#获得。,icon14013,9,,,,0.6,0.6,,200,64,1,5,12513,5,,,,,,,,0.1,,,,,,,,33,,,,official_ItemCommonAttributes.FoodAttribute.CookedFood|official_Food.Foodstuffs.Meat,
14014,生羊肉,,RawMutton,33,3,,1,6,14014,,,,,,,,,-1,,,,,,,,4,11,1,[12],219,150,测试,,,100007,生吃小心#c0aba1d拉肚子#n，可以在@item_1200#上烤熟。,击败野羊或绵羊掉落。,icon14014,9,,,,0.6,0.6,,200,64,1,5,12513,5,,,,,,,,0.1,,,,,,,,33,,,,official_ItemCommonAttributes.FoodAttribute.RawFood|official_Food.Foodstuffs.Meat,
14015,烤羊肉,,GrilledMutton,33,3,,1,6,14015,,,,,,,,,-1,,,,,,,,4,11,1,[12],219,150,测试,,,100007,食用后可恢复身体状态。,在篝火中烤制@item_14014#获得。,icon14015,9,,,,0.6,0.6,,200,64,1,5,12513,5,,,,,,,,0.1,,,,,,,,33,,,,official_ItemCommonAttributes.FoodAttribute.CookedFood|official_Food.Foodstuffs.Meat,
14016,羊毛,,Wool,34,5,,3,7,14016,,,,,,,,,-1,,,,,,,,4,2,3,[34],219,150,测试,,,100007,细软的毛，柔软而保暖。可在@item_797#制作沙发、床铺、地毯等家居饰品。,通过绵羊薅毛获得。,icon14016,9,,,,0.6,0.6,,200,64,0,5,,0,,,,,,,,0.1,,,,,,,,34,,,,official_Material.CreatureOutput,
14100,10迷你币,,10MiniCoins,,,,,,,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,,,icon14100,,,,,,,,200,1,1,5,,,,,,,,,,,,,,,,,,,,,,,
14101,20迷你币,,20MiniCoins,,,,,,,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,,,icon14101,,,,,,,,200,1,1,5,,,,,,,,,,,,,,,,,,,,,,,
14102,50迷你币,,50MiniCoins,,,,,,,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,,,icon14102,,,,,,,,200,1,1,5,,,,,,,,,,,,,,,,,,,,,,,
14103,100迷你币,,100MiniCoins,,,,,,,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,,,icon14103,,,,,,,,200,1,1,5,,,,,,,,,,,,,,,,,,,,,,,
14104,200迷你币,,200MiniCoins,,,,,,,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,,,icon14104,,,,,,,,200,1,1,5,,,,,,,,,,,,,,,,,,,,,,,
14105,500迷你币,,500MiniCoins,,,,,,,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,,,icon14105,,,,,,,,200,1,1,5,,,,,,,,,,,,,,,,,,,,,,,
14106,1000迷你币,,1000MiniCoins,,,,,,,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,,,icon14106,,,,,,,,200,1,1,5,,,,,,,,,,,,,,,,,,,,,,,
14107,5000迷你币,,5000MiniCoins,,,,,,,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,,,icon14107,,,,,,,,200,1,1,5,,,,,,,,,,,,,,,,,,,,,,,
14108,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,,,unknown,,,,,,,,200,1,0,5,,,,,,,,,,,,,,,,,,,,,,,
14109,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,,,unknown,,,,,,,,200,1,0,5,,,,,,,,,,,,,,,,,,,,,,,
14110,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,,,unknown,,,,,,,,200,1,0,5,,,,,,,,,,,,,,,,,,,,,,,
14111,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,,,unknown,,,,,,,,200,1,0,5,,,,,,,,,,,,,,,,,,,,,,,
14112,游戏版本过低,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,,,unknown,,,,,,,,200,1,0,5,,,,,,,,,,,,,,,,,,,,,,,
14113,订阅迷你币18元,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,,,icon14201,,,,,,,,200,1,0,5,,,,,,,,,,,,,,,,,,,,,,,
14114,订阅迷你币38元,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,,,icon14202,,,,,,,,200,1,0,5,,,,,,,,,,,,,,,,,,,,,,,
14115,订阅迷你币98元,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,,,icon14203,,,,,,,,200,1,0,5,,,,,,,,,,,,,,,,,,,,,,,
14116,索要迷你币,,,,,,,,,,,,,,,,,-1,,,,,,,,,0,,,,,测试,,,,,,icon14204,,,,,,,,200,1,0,5,,,,,,,,,,,,,,,,,,,,,,,
15000,冲锋枪,,SubmachineGun,35,2,1,2,8,15000,,,,,,,,,-1,,,,,,,,1,10,2,[24],66,350,测试,,,100006,射速非常快，弹药为@item_15003#。,,icon15000,1,,,,,0.7,,200,1,0,5,,8,,,,,,,,,,,,,,,,35,,1,,,
15001,左轮手枪,,Revolver,,,,,8,15001,,,,,,,,,-1,,,,,,,,1,10,,,,,测试,,,,枪械模型,,icon15001,1,,,,,0.7,,200,1,0,5,,8,,,,,,,,,,,,,,,,,,1,,,
15002,牛仔左轮,,CowboyRevolver,35,2,1,2,8,15002,,,,,,,,,-1,,,,,,,,1,10,2,[24],66,350,测试,,,100006,弹药为@item_15003#。,,icon15002,1,,,,,0.7,,200,1,0,5,,8,,,,,,,,,,,,,,,,35,,1,,,
15003,子弹,,Bullet,35,2,1,2,12,15003,,,,,,,,,-1,,,,,,,,1,8,2,[24],67,430,测试,,,100006,需要枪械发射。,,icon15003,1,,,,,,,200,64,0,5,,9,,,ShootProjectile_Auto,,,,,,,,,,,,,35,,,,,
15004,狙击枪,,SniperRifle,35,2,1,2,8,15004,,,,,,,,,-1,,,,,,,,1,10,2,[24],66,350,测试,,,100006,手持后使用可以切换开镜模式，弹药为@item_15003#。,,icon15004,1,,,,0.87,0.5,,200,1,1,5,,8,,,,,,,,,,,,,,,,35,,1,,,
15005,重机枪,,HeavyMachineGun,35,2,1,2,8,15005,,,,,,,,,-1,,,,,,,,1,10,2,[24],66,350,测试,,,100006,弹夹容量超大，弹药为@item_15003#。,,icon15005,1,,,,,0.7,,200,1,0,5,,8,,,,,,,,,,,,,,,,35,,1,,,
15006,霰弹枪,,Shotgun,,,,,8,15006,,,,,,,,,-1,,,,,,,,1,10,,,,,测试,,,,威力强大，但是射速较慢。,,icon15006,1,,,,,0.7,,200,1,0,5,,8,,,,,,,,,,,,,,,,,,1,,,
15007,罐装手雷,,CannedGrenades,35,2,,2,12,15007,,,,,,,,,-1,,,,,,,,1,8,2,[24],66,260,测试,,,100006,#c0aba1d蓄力#n后丢出，#c0aba1d短暂延迟#n后发生爆炸。#r具备#c0aba1d物理特性#n，遇到方块会反弹。,,icon15007,1,,,,0.7,0.5,,200,64,1,5,,9,,,ShootProjectile_Auto,,,,,,,,,,,,,35,,,,,
15008,菠萝手雷,,PineappleGrenades,35,2,,2,12,15008,,,,,,,,,-1,,,,,,,,1,8,2,[24],66,260,测试,,,100006,#c0aba1d蓄力#n后丢出，#c0aba1d短暂延迟#n后发生爆炸。#r具备#c0aba1d物理特性#n，遇到方块会反弹。,,icon15008,1,,,,0.7,0.5,,200,64,1,5,,9,,,ShootProjectile_Auto,,,,,,,,,,,,,35,,,,,
15009,乌兹冲锋枪,,UziSubmachineGun,35,2,,2,8,15009,,,,,,,,,-1,,,,,,,,1,10,2,[24],,350,测试,,,100006,#c0aba1d基础伤害+30#n#r弹药为@item_15003#。,,icon15009,1,,,,,,,200,1,0,5,,8,,,,,,,,,,,,,,,,35,,1,,,
15010,MP5K冲锋枪,,Mp5KSubmachineGun,35,2,,2,8,15010,,,,,,,,,-1,,,,,,,,1,10,2,[24],66,350,测试,,,100006,#c0aba1d基础伤害+30#n#r弹药为@item_15003#。,,icon15010,1,,,,,,,200,1,0,5,,8,,,,,,,,,,,,,,,,35,,1,,,
15011,汤普森,,ThompsonSubmachineGun,35,2,,2,8,15011,,,,,,,,,-1,,,,,,,,1,10,2,[24],66,350,测试,,,100006,#c0aba1d基础伤害+30#n#r弹药为@item_15003#。,,icon15011,1,,,,,,,200,1,0,5,,8,,,,,,,,,,,,,,,,35,,1,,,
15012,P-90冲锋枪,,P90SubmachineGun,35,2,,2,8,15012,,,,,,,,,-1,,,,,,,,1,10,2,[24],,350,测试,,,100006,#c0aba1d基础伤害+30#n#r弹药为@item_15003#。,,icon15012,1,,,,,,,200,1,0,5,,8,,,,,,,,,,,,,,,,35,,1,,,
15013,JS9冲锋枪,,JS9SubmachineGun,35,2,,2,8,15013,,,,,,,,,-1,,,,,,,,1,10,2,[24],,350,测试,,,100006,#c0aba1d基础伤害+30#n#r弹药为@item_15003#。,,icon15013,1,,,,,,,200,1,0,5,,8,,,,,,,,,,,,,,,,35,,1,,,
15014,AK步枪,,AKRifle,35,2,,2,8,15014,,,,,,,,,-1,,,,,,,,1,10,2,[24],,350,测试,,,100006,#c0aba1d基础伤害+30#n#r弹药为@item_15003#。,,icon15014,1,,,,,,,200,1,0,5,,8,,,,,,,,,,,,,,,,35,,1,,,
15015,M416步枪,,M416Rifle,35,2,,2,8,15015,,,,,,,,,-1,,,,,,,,1,10,2,[24],,350,测试,,,100006,#c0aba1d基础伤害+30#n#r弹药为@item_15003#。,,icon15015,1,,,,,,,200,1,0,5,,8,,,,,,,,,,,,,,,,35,,1,,,
15016,黄金M416,,GoldenM416Rifle,35,2,,2,8,15016,,,,,,,,,-1,,,,,,,,1,10,2,[24],,350,测试,,,100006,#c0aba1d基础伤害+30#n#r弹药为@item_15003#。,,icon15016,1,,,,,,,200,1,0,5,,8,,,,,,,,,,,,,,,,35,,1,,,
15017,赤焰M416,,FlameM416Rifle,35,2,,2,8,15017,,,,,,,,,-1,,,,,,,,1,10,2,[24],,350,测试,,,100006,#c0aba1d基础伤害+30#n#r弹药为@item_15003#。,,icon15017,1,,,,,,,200,1,0,5,,8,,,,,,,,,,,,,,,,35,,1,,,
15018,寒冰M416,,IceM416Rifle,35,2,,2,8,15018,,,,,,,,,-1,,,,,,,,1,10,2,[24],,350,测试,,,100006,#c0aba1d基础伤害+30#n#r弹药为@item_15003#。,,icon15018,1,,,,,,,200,1,0,5,,8,,,,,,,,,,,,,,,,35,,1,,,
15019,AUG-急速音符,,RushNoteAUGRifle,35,2,,2,8,15019,,,,,,,,,-1,,,,,,,,1,10,2,[24],,350,测试,,,100006,#c0aba1d基础伤害+30#n#r弹药为@item_15003#。,,icon15019,1,,,,,,,200,1,0,5,,8,,,,,,,,,,,,,,,,35,,1,,,
15020,枪械,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15050,投射物-野人投矛手,,SpearGoblinProjectile,,,,,,15051,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,怪物投射物,,icon3105,1,,,,0.7,0.7,,200,64,0,5,,,,,ShootProjectile_Auto,,,,,,,,,,,,,,,,,,
15051,投射物-硫黄弓手,,SulfurArcherProjectile,,,,,,15051,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,怪物投射物,,icon3131,1,,,,0.7,0.7,,200,64,0,5,,,,,ShootProjectile_Auto,,,,,,,,,,,,,,,,,,
15052,投射物-小恶魔,,TinyMonsterProjectile,,,,,12,15051,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,怪物投射物,,icon13508,1,,,,0.7,0.7,,200,64,0,5,,,,,ShootProjectile_Auto,,,,,,,,,,,,,,,,,,
15053,投射物-野生团子,,DangoProjectile,,,,,,15051,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,怪物投射物,,icon13414,1,,,,0.7,0.7,,200,64,0,5,,,,,ShootProjectile_Auto,,,,,,,,,,,,,,,,,,
15054,投射物-黑龙火球,,BlackDragonFireballProjectile,,,,,,15055,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,怪物投射物,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,3,SnowBall_OnUse,,ShootProjectile_Auto,,,,,,,,,,,,,,,,,,
15055,投射物-黑龙熔岩石柱,,LavaSteleProjectile,,,,,,15055,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,怪物投射物,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,3,SnowBall_OnUse,,ShootProjectile_Auto,,,,,,,,,,,,,,,,,,
15056,投射物-黑龙熔岩球,,LavaBallProjectile,,,,,,15055,,,,,,,,,-1,,,,,,,,,8,,,,,测试,,,,怪物投射物,,icon3502,1,,,,0.7,0.7,,200,64,0,5,,3,SnowBall_OnUse,,ShootProjectile_Auto,,,,,,,,,,,,,,,,,,
