行为树ID,显示名称,显示图片,"分类[ 0 = 全部 ,  1 =移动  ,  2 =  战斗 , 3 = 属性 ]",显示控制（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见 9=都不显示）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7615881664769563146_12,通用_待机闲逛,3004.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7616672247989672458_1,通用_跟随母亲,3004.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7617758174635891210_2,通用_出水都买,3004.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7617757981362362890_1,狼彩蛋_战狼,3003.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7617773207021427210_1,通用_护院,3004.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7617773859856456202_2,通用_吸引_驯服,3004.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7617774216338741770_3,通用_空手互动,3004.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7617774456856910346_4,通用_跟随与待机切换,3004.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7617775543483636234_5,通用_警戒_驯服,3004.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7618484256037149194_1,野狼_呼叫救援,3003.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7618886927401107011_2,活化生物跟随行为,3003.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7618885845069348419_1,活化生物通用行为,3003.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7621402226753280522_1,野狼_待机闲逛,3003.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7621405280475027978_2,狼_待机闲逛,3003.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7620293662334532045_2,扫把-被动行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7619178259327760845_1,扫把-闲逛行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7623631981499922893_1,扫把-活化表现,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7639006941217298954_1,修狗法师行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7639279083230075402_1,老村长投影行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7641906643290031231_1,蘑菇国王工作行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7642195774045952522_7,大法师驯服前互动行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7642195769750985226_6,法术老村长工作行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7642195769750985226_5,猫勾守卫者工作行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806
7642195769750985226_4,猪厨师工作行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,807
7642195769750985226_3,猫种植工作行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7642195765456017930_2,皮皮猪工作行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7642194764728637962_1,钓鱼猫工作行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7642195774045952522_8,演奏猫工作行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7642196156298041866_9,勾舞者工作行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7641907278945191039_2,蘑菇商人工作行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7641907536643228799_3,蘑菇法师工作行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7642251997315335295_4,蘑菇战士工作行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7642252100394550399_5,蘑菇乐手工作行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7642252181998929023_6,蘑菇舞者工作行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7642252263603307647_7,蘑菇村民工作行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7634536083125713357_2,六一商人综合行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7649288498070946969_2,草精灵战斗行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7649364370815719946_1,被动_动物村民,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7649364405175458314_2,时间表_动物村民,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7651874134955137546_1,通_(无音)待机闲逛,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7651877102777539082_2,通_随机音效,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7651884253898086922_3,通_反击行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7651895768705407498_4,通_主动攻击,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7651918845564688906_1,呆呆菇行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7651927800571501066_2,奇幻蛙行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7651929157781166602_3,凝胶怪行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7651941505812142602_4,星斑野猪行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7652241556522408458_5,小星斑野猪行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7652244975316376074_6,游侠猫行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7652255098554292746_7,星尘精灵,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7652305792053287434_8,独角兽行为树,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7655638713444875843_1,虚空魔眼,3003.png,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7655639844168664223_1,一阶虚空boss,3003.png,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7656739864750073616_1,虚空魔眼小弟,1001.png,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7659343684378302986_2,被动_蘑菇村民,1001.png,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7659319503712426506_1,时间表_蘑菇村民,1001.png,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7659706192502987274_1,鱼_通用闲逛,1001.png,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7659623759195675146_14,被动_蘑菇法师,1001.png,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7654880281349855754_6,被动_胆小蘑菇村民,1001.png,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7657086885222685194_10,通用_蘑菇村民休闲,1001.png,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7661173729140933791_3,蚀化蘑菇国王行为,1001.png,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7661212209900427786_1,荧羽夜枭行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7661226585155967498_2,荧羽夜枭_待机,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7661299148628433418_3,临时坐骑销毁,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7661571316411013642_4,食人花行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7661585163385575946_5,蚀化生物行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7661593405427816970_6,晶石巨像行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7661601166433720842_8,蚀化法师行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7661584584565079619_1,虚空小弟发呆,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7660465818598915651_4,虚空发射,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7660466252390612547_5,虚空小激光,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7660466501498715715_6,虚空三连发,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7660443003732639299_3,虚空小弟默认ai,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7662371410836195007_1,虚空使徒新,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7662723885917275839_1,虚空使大祭司新,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7664523477214299839_1,城堡蚀化生物待机,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7664803225614157503_1,虚空使徒祭司,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7666334126904720963_2,皇冠蘑菇战士,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7666134448580073994_2,动物村民互动行为2,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7666197167987497482_4,人类法师互动行为,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7666142677737413130_3,动物村民互动行为1,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7666363344567147018_1,荧羽夜枭_被惊吓,1002.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
