皮肤ID,皮肤名称,皮肤模型,贴图ID,头像,特效类型1[1=脚印，2=飞行，3=周身],特效1命名,特效类型2[1=脚印，2=飞行，3=周身],特效2命名,特效类型3[1=脚印，2=飞行，3=周身，4=拖尾],特效3命名,商店特效,购买天数1,钱类型1/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替6仅激活码解锁,消耗道具ID1,价格1,购买天数2,钱类型2/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替,消耗道具ID2,价格2,购买天数3,钱类型3/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替,消耗道具ID3,价格3,皮肤描述,购买提示类型（1前往家园和取消 2只有确定）,购买提示,标签（1限时 2折扣 3特惠 4典藏）,限时开始,限时结束,开放渠道ID（-1全关，0全开）,音效,高度,宽度,厚度,受击高度,受击宽度,受击厚度,特别效果类型1（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果1图标,特别效果1描述,特别效果类型2（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果2图标,特别效果2描述,特别效果类型3（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果3图标,特别效果3描述,特别效果类型4（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果4图标,特别效果4描述,特别效果类型5（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果5图标,特别效果5描述,特别效果类型6（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果6图标,特别效果6描述,背景图,背景动画文件,背景动画文件,动态商城图标（已废弃，改为读SkinCostDef装扮服务器表）,变形类型[不填=不显示变形按钮，1=变身为坐骑（且优先显示装扮），2=变身为装扮2（且优先显示装扮1），3=变身为坐骑（且优先显示坐骑）],变形关联（填入坐骑、装扮ID）,小窗logo,小窗尺寸(正常不填为2.0),野人举起高度,AR动捕支持（1支持，空则不支持）,备注标准人形骨骼（1为支持，0为不支持）,换装ID,新换装ID,头像框：只能永久,"表情动作（100140,100108）",解锁道具,装扮图片,互动关联,"多重换装ID(index_skinid,index表示对应的第几条特性,skinid表示皮肤id,有多个变色效果时用逗号隔开)",多重换装前置id,切换顺序,局部换肤,是否显示（1=不显示）,语音范围（半径）,出场语音,间隔时间1,初次判断时间1,休闲语音,间隔时间2,初次判断时间2,死亡语音,间隔时间3,社交语音,间隔时间4,初次判断时间3,光照条件,幻化特效,幻化准备时间,功能说明(1:幻化),动作播放顺序,主题序号（1=奇迹派对，2=探险小队，3=龙响天下，4=棉花泡泡，5=花蔓四季，6=幻想童话，7=小马宝莉，8=瑞雪丰年，9=梦旅笙歌，10=晨星战队，11=琉光圣灵）,主题图标,召唤ID,变身条件（1=水环境之外的环境，2=水环境）,变身特效,变身时间,天赋buff,跳转ID（全局跳转id_定制id）,左侧边栏背景色,可搭配部件类型,列表模型缩放比|y轴位移,变形坐骑移动端是否显示技能按钮（0=显示，1=不显示）,商城场景动画,皮肤类型 1常规皮肤（陆地移动）2飞行皮肤,,冒险互动类皮肤（默认不填）,死亡特效(放在particles目录下，只填特效名称即可，如scene_siwang_01）,换装皮肤贴图的名称,换装皮肤周身特效的名称,空手无道具时要切换的模型,cpID/支持配多个,cp效果范围半径/格,cp音效,cp特效,cpbuff,私人定制默认avt,私人定制皮肤列表
97,银剑,140097,,232,3,140097_2,1,140050_3,,,140097_1,,,,,,,,,-1,2,,999,,2,,,,,999,skin97,180,60,60,220,120,120,,bodyeffcet,身体特效：游戏内可实现变形功能，切换形态！,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下阵营标志脚印。,,,,,,,,,,,common_01,0,transformers_icon1,2,,icon_52,,180,,,,,,,20475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
98,弹弓,140098,,233,3,140098_2,1,140050_3,,,140098_1,,,,,,,,,-1,2,,999,,2,,,,,999,skin98,180,60,60,220,120,120,,bodyeffcet,身体特效：游戏内可实现变形功能，切换形态！,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下阵营标志脚印。,,,,,,,,,,,common_01,0,transformers_icon1,2,,icon_52,,180,,,,,,,20476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
99,俯冲,140099,,234,3,140099_2,1,140050_3,,,140099_1,,,,,,,,,-1,2,,999,,2,,,,,999,skin99,180,60,60,220,120,120,,bodyeffcet,身体特效：游戏内可实现变形功能，切换形态！,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下阵营标志脚印。,,,,,,,,,,,common_01,0,transformers_icon1,2,,icon_52,,180,,,,,,,20477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
100,空袭,140100,,235,3,140100_2,1,140050_3,,,140100_1,,,,,,,,,-1,2,,999,,2,,,,,999,skin100,180,60,60,220,120,120,,bodyeffcet,身体特效：游戏内可实现变形功能，切换形态！,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下阵营标志脚印。,,,,,,,,,,,common_01,0,transformers_icon1,2,,icon_52,,180,,,,,,,20478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
101,飞火,140101,,236,3,140101_2,1,140050_3,,,140101_1,,,,,,,,,-1,2,,999,,2,,,,,999,skin101,180,60,60,220,120,120,,bodyeffcet,身体特效：游戏内可实现变形功能，切换形态！,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下阵营标志脚印。,,,,,,,,,,,common_01,0,transformers_icon1,2,,icon_52,,180,,,,,,,20479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
102,圣婴,140102,,237,3,140102_2,1,140102_3,,,140102_1,,,,,,,,,-1,2,,999,小爷枪法仙奉第一。若有不服，来战便是！,2,在抽奖里获取,,,,999,skin102,180,60,60,220,120,120,,footprint,行走足迹：走过的地方会留下大圣脚印,,headicon,头像：解锁头像。,,skill,仅限礼盒产出,,,,,,,,,,,dtxx_beijingtu18,0,,,,,,180,,,,,,,20480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
103,魔炎,140103,,238,3,140103_2,1,140103_3,,,140103_1,,,,,,,,,-1,2,,999,我，我就是火焰之主！风林火山，就是我的信条！,2,,,,,999,skin103,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着妖王之气,,headicon,头像：解锁头像。,,,,1,changeicon,变形：点击左侧变形按钮，可切换牛/ 人形形态！,,skill,魔炎专属技能：蛮牛之力！,,,,,dtxx_beijingtu18,0,,1,3494,icon_61,,180,,,,,,,20481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"3,5,8,9,13,14,15,16,17,18,19",1.37|0,,,1,,,,,,,,,,,,,
104,灵瑶,140104,,239,3,140104_2,1,140104_3,,,140104_1,,,,,,,,,-1,2,,999,据说风神宫有一位华丽而优雅的女主人。哦呵呵，除了我还能是谁呢？,2,,,,,999,skin104,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着金色花瓣,,headicon,头像：解锁头像。,,,,,,,,,,,,,,dtxx_beijingtu18,0,,,,,,180,,,,,,,20482,,,,,,,,,,,,,,,,,,,,,,,,,10,lab_dresstheme_team,,,,,,,3,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
105,小红帽阿夏尔,140105,,240,3,140105_2,1,140105_3,,,140105_1,,,,,,,,,-1,2,,999,整理着装是阿夏尔每天起床后的第一要务，毕竟得让自己的形象衬得上这高贵的独角兽才行。不过最近，许多人都在打这独角兽的主意。这可是沃尔夫费尽心思才驯服送给自己的生日礼物，她才不会交给任何人呢！,2,,,,,999,skin105,180,60,60,220,120,120,,footprint,行走足迹：走过的地方会留下小红帽脚印,,headicon,头像：解锁头像。,,,,,,,,,,,,,,dtxx_beijingtu19,-380,,,,,,180,,,,,,,20483,,,,,,,,,,,,,,,,,,,,,,,,,6,lab_dresstheme_storyes,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
106,迷小酷,140106,,241,3,140106_2,1,140106_3,,,140106_1,,,,,,,,,-1,2,,999,《迷你星工场》特邀导师，原迷你编程金牌导师，拥有神奇的编程之力。在迷你星工场中完成创作任务即可获得。,2,在迷你星工场app完成任务获取,,,,999,skin106,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着科幻粒子！,,headicon,头像：解锁头像。,,,行走足迹：走过的地方会留下脚印,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,20484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
107,狼少年沃尔夫,140107,,242,3,140107_2,1,140107_3,,,140107_1,,,,,,,,,-1,2,,999,“悄悄告诉你个秘密，狼外婆是真的！”沃尔夫和阿夏尔最喜欢童话故事。今天，他穿上狼外套和外婆的围裙，准备化身大灰狼，逗逗那个爱演戏的阿夏尔。既然大家都中了魔法咒语，那就亲自完成一场属于自己的童话之旅吧！,2,,,,,999,skin107,180,60,60,220,120,120,,footprint,行走足迹：走过的地方会留下狼少年脚印,,headicon,头像：解锁头像。,,,,,,,,,,,,,,dtxx_beijingtu26,-380,,,,,1.8,180,,,,,,,20485,,,,,,,,,,,,,,,,,,,,,,,,,6,lab_dresstheme_storyes,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
108,天仙子 雅,140108,,243,3,140108_2,1,140108_3,,,140108_1,,,,,,,,,-1,2,,999,身回云阙，鼓钟钦钦。仙奉星的锦绣繁华使能歌善舞的天仙子也被它所吸引。她带着四弦阮周游世界，无论她的曲调如何流转，不变的是内心的从容和舒展。,2,,,,,999,skin108,180,60,60,220,120,120,,bodyeffcet,身体特效：身上飘散着金色辉光,,headicon,头像：解锁头像。,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,20486,,,,,,,,,,,,,,,,,,,,,,,,,22,lab_dresstheme_gyss,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,2,,,,,,,,,,,,,
109,临江仙 颂,140109,,244,3,140109_2,1,140109_3,,,140109_1,,,,,,,,,-1,2,,0,“白雁西风紫塞，皂雕落日黄沙。夕阳西下，是谁在奏响琵琶？”经历了人世间的坎坷，他决定追随内心的选择，留在仙奉星以龙为伴，洗心游胜境，从此去尘蒙。,2,解锁道具可由活动获得,,,,999,skin109,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下龙神脚印。,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,20487,,,,,,,,,,,,,,,,,,,,,,,,,1,lab_dresstheme_party,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
110,红玫瑰少女 仙杜瑞拉,140110,,245,3,140110_2,1,140110_3,,,140110_1,,,,,,,,,-1,2,,999,夏天的夜晚，魔法花园在举行盛大舞会。仙度瑞拉惊奇地发现，曾在梦中出现过的那抹蓝，正走向舞台中心。随他而来的，是和她发现的遗落花瓣一样的——蓝色绣球花。,2,,,,,999,skin110,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下粉蔷薇脚印。,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,20488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
111,橘子,140112,,246,3,140112_2,1,140112_3,,,140112_1,,,,,,,,,-1,2,,999,“天才美食家，就是要吃遍四方！不过世上的美食那么多，我最喜欢的，还是爸爸妈妈做的鲷鱼烧的味道。”——橘子在接受迷萌日报采访后如是说。,2,解锁道具可通过购买礼包或参与活动获得,,,,999,skin111,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下花猫脚印。,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,20492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
112,绣球花少年 查理斯,140111,,247,3,140111_2,1,140111_3,,,140111_1,,,,,,,,,-1,2,,999,宫殿外的舞会像繁星与烟花一样绚丽多彩。王子查理斯见到仙杜瑞拉，掩盖不住内心的喜悦，小心翼翼取出他捡到的娇艳玫瑰。,2,悦享卡产出,,,,999,skin112,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着蓝色光辉！,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,20493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
113,泡泡,140114,,248,3,140114_2,1,140114_3,,,140114_1,,,,,,,,,-1,2,,999,“你听说过蔚蓝大海的传说吗？”见多识广的泡泡天生就是一个探险家。他喜欢透过气泡观察世界，每次都能发现大家看不到的细节。,2,解锁道具可通过购买礼包或参与活动获得,,,,999,skin113,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下海豚脚印。,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,20494,,,,,,,,,,,,,,,,,,,,,,,,,4,lab_dresstheme_cotton,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
114,朝露繁花,140113,,249,3,140113_2,1,140113_3,,,140113_1,,,,,,,,,-1,2,,999,"我的意中人是个盖世英雄，有一天他会身披金甲战衣,脚踏五彩祥云来娶我……等等，哥哥？不许来叫醒我的美梦！",2,,,,,999,skin114,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着桃花花瓣！,,,,,,,,,,,,,,dtxx_beijingtu20,0,,,,,,180,,,"21,1","21,114,388,573",20289,100108,20495,Pskin114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
115,冰公主,140115,,250,3,140115_2,1,140115_3,,,140115_1,,,,,,,,,-1,2,,999,从叶罗丽仙境诞生开始便存在的公主，居住在冰晶宫，是冰雪的守护女神，冰雪的主宰。因为冷漠所以从未有过朋友。生性清冷淡漠，但心地善良，不忍心伤害他人。,2,,,,,999,skin115,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着冰晶！,,,,,,,,,,,,,,dtxx_beijingtu21,0,,,,icon_57,,180,,,,,,,20496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"3,5,8,9,13,14,15,16,17,18,19",1.3|0,,,1,,,,,,,,,,,,,
116,罗丽,140116,,251,3,140116_2,1,140116_3,,,140116_1,,,,,,,,,-1,2,,999,叶罗丽仙境的公主，拥有治愈系和爱系魔法。被女王变成娃娃后，与王默互相选中缔结契约，重新获得了生命和魔法。单纯善良，性情随性而灵动，喜欢吃草莓。,2,,,,,999,skin116,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着爱心！,,,,,,,,,,,,,,dtxx_beijingtu22,0,,,,icon_57,,180,,,,,,,20497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
117,白光莹,140117,,252,3,140117_2,1,140117_3,,,140117_1,,,,,,,,,-1,2,,999,她和光一样，会随着唤醒者的性格而决定自己的性格，是个影子般的存在，但本身的性格还未知，所以内心极其渴望并崇尚获得自由。,2,,,,,999,skin117,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着金色粉尘光芒。,,,,,,,,,,,,,,dtxx_beijingtu23,0,,,,icon_57,,180,,,,,,,20498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
118,灰姑娘 克里斯汀,140118,,253,3,140118_2,1,140118_3,,,140118_1,,,,,,,,,-1,2,,999,“经常用幻想的力量点缀生活，就真的会遇到奇迹哦~”乐观善良的克里斯汀，做家务的时候也常常把自己幻想成美丽的童话人物。她的仙子朋友，在王国庆典的那天，将她的幻想变为了现实。,2,,,,,999,skin118,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下水晶鞋脚印。,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,20499,,,,,,,,,,,,,,,,,,,,,,,,,6,lab_dresstheme_storyes,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.3|0,,,1,,,,,,,,,,,,,
119,游戏版本过低,140119,,254,3,140119_2,1,140119_3,,,140119_1,,,,,,,,,-1,2,,999,游戏版本过低,2,,,,,999,skin119,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下花朵脚印。,,,,,,,,,,,,,,dtxx_beijingtu24,0,,,,,,180,,,,,,,27001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
120,小龙人麟休,140120,,255,3,140120_2,1,140120_3,,,140120_1,,,,,,,,,-1,2,,999,麟休以前从未离开过大海：因为《哪吒闹海》的故事，让他对陆地带有“恐怖滤镜”。而这次冒险让他变得勇敢起来，也发现人间没有想象中的险恶。原来这是父亲为了让自己成为合格的冲浪里海域接班人而特别设置的考验。,2,,,,,999,skin120,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘着魔法冰晶。,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,27002,,,,,,,,,,,,,,,,,,,,,,,,,11,lab_dresstheme_ryukyu,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
121,妙妙,140121,,256,3,140121_2,1,140121_3,,,140121_1,,,,,,,,,-1,2,,999,“什么？说我个子小！猜猜这根鱼刺什么时候出现在你的沙发上？”活泼欢脱、精力旺盛的他总喜欢用鱼骨展示自己的飞镖技艺。如天鹅绒般顺滑的可爱外衣可能会欺骗你，因为他可是迷萌星球出了名的最淘气的家伙。,2,,,,,999,skin121,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下喵喵头脚印。,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,27003,,,,,,,,,,,,,,,,,,,,,,,,,2,lab_dresstheme_explore,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
122,白天鹅 奥杰塔,140124,,257,3,140124_2,1,140124_3,,,140124_1,,,,,,,,,-1,2,,999,白昼与黑夜轮回交替，现实与梦境相伴相生。而我扮演的，究竟是谁？,2,,,,,999,skin122,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着白天鹅羽毛！,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,27004,,,,,,,,,,,,,,,,,,,,,,,,,6,lab_dresstheme_storyes,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
123,时希,140125,,258,3,140125_2,1,140125_4,,,140125_1,,,,,,,,,-1,2,,999,八位灵犀阁成员之一，居住在叶罗丽仙境中的圣地——四时钟，法术可控制时间，能拥有无数个分身。拥有银灰色的长发与星河般的眼睛，高贵优雅，遇事临危不乱。,2,,,,,999,skin123,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下时钟脚印。,,,,,,,,,,,,,,dtxx_beijingtu25,0,,,,icon_57,1.8,180,,,,,,,27005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
124,洁莉,140127,,259,3,140127_2,1,140128_3,,,140127_1,,,,,,,,,-1,2,,999,洁莉和余小欢是从小一起长大的好朋友。从前的她胆小怕生，后来被余小欢的勇敢乐观所感染，还学会了用铃铛召唤小水母寻求帮助。她再也不会怯懦，因为勇气和友谊就是最强大的秘密武器！,2,,,,,999,skin124,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下小水母脚印。,,,,,,,,,,,,,,common_01,0,,,,,1.7,180,,,,,,,27006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.3|0,,,1,,,,,,,,,,,,,
125,快客小涡,140128,,260,3,140128_2,1,140127_3,,,140128_1,,,,,,,,,-1,2,,999,快客小涡是个急性子，每天都有用不完的干劲儿，一刻也停不下来。他平时喜欢收集一些有趣的小玩意儿，如果哪天你需要什么物品，就去问问快客小涡吧！说不定他的蜗牛包包里就有你想要的东西。,2,,,,,999,skin125,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下小蜗牛脚印。,,,,,,,,,,,,,,common_01,0,,,,,1.6,180,,,,,,,27007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.3|0,,,1,,,,,,,,,,,,,
126,游戏版本过低,140129,,261,3,140129_2,1,140129_3,,,140129_1,,,,,,,,,-1,2,,999,游戏版本过低,2,,,,,999,skin126,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：游戏版本过低,,,,,,,,,,,,,,dtxx_beijingtu26,0,giflogo_126,,,icon_58,,180,,,,,,,27008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
127,黑天鹅 奥杰塔,140123,,262,3,140123_2,1,140123_3,,,140123_1,,,,,,,,,-1,2,,999,现实与梦境并无纠缠，白昼与黑夜各有精彩。我扮演的，就是我自己。,2,,,,,999,skin127,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着紫色羽毛！,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,27009,,,,,,,,,,,,,,,,,,,,,,,,,6,lab_dresstheme_storyes,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
128,青蛙王子 克劳德,140126,,263,3,140126_2,1,140126_3,,,140126_1,,,,,,,,,-1,2,,999,“再坚持一下，也许就能实现和她的约定了。”这位研究沼泽生物群落的学者，总是望着手里小巧的金球暗暗给自己打气。在这潮湿泥泞的地方，闪烁着他金子般的希望。,2,,,,,999,skin128,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下荷叶脚印。,,skill,仅限礼盒产出,,,,,,,,,,,dtxx_beijingtu106,0,,,,,,180,,,,,,,27010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.3|0,,,1,,,,,,,,,,,,,
129,游戏版本过低,140130,,264,3,140130_2,1,140130_3,,,140130_1,,,,,,,,,-1,2,,999,游戏版本过低,2,,,,,999,skin129,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：游戏版本过低,,,,,,,,,,,,,,common_01,0,giflogo_126,,,icon_58,,180,,,,,,,27011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
130,白雪公主 索菲亚,140133,,265,3,140133_2,1,140133_3,,,140133_1,,,,,,,,,-1,2,,999,“这是我最好的朋友，一共有7个。”索菲亚的玩具店有许多精致的玩偶。她和玩偶会时不时窃窃私语，仿佛它们有生命一样。想从她那里得到玩偶，用钱可不行，要用一件非常重要的东西才能交换。究竟是什么呢？,2,,,,,999,skin130,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下苹果脚印。,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,27012,,,,,,,,,,,,,,,,,,,,,,,,,6,lab_dresstheme_storyes,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
131,汉森,140131,,266,3,140131_2,1,140131_3,,,140131_1,,,,,,,,,-1,2,,999,心思缜密，对妹妹照顾周到的男孩，曾和妹妹在密林中走失月余，却奇迹般的一起回来了，他对在密林中的经历很少提及，但自此法棍随身。肩膀上的小鸟据说也是当时捡的。,2,,,,,999,skin131,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下面包脚印。,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,27013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
132,格雷特,140132,,267,3,140132_2,1,140132_3,,,140132_1,,,,,,,,,-1,2,,999,格雷特对哥哥十分信任，爱好采集烹饪，尤其擅长烘培和制作甜品，自称这些技能都是走失时学会的，荒芜人烟的密林里她是如何学会这些技能的呢？,2,,,,,999,skin132,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下桃花脚印。,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,27014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
133,游戏版本过低,140135,,268,3,140135_2,1,140135_3,,,140135_1,,,,,,,,,-1,2,,999,游戏版本过低,2,,,,,999,skin133,180,60,60,220,120,120,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,,,common_01,0,giflogo_126,,,icon_58,,180,,,,,,,27015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
134,游戏版本过低,140136,,269,3,140136_2,1,140136_3,,,140136_1,,,,,,,,,-1,2,,999,游戏版本过低,2,,,,,999,skin134,180,60,60,220,120,120,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,,,common_01,0,giflogo_126,,,icon_58,,180,,,,,,,27016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
