喷漆ID,喷漆显示时间(s),喷漆贴图信息
97,30,"[{""TexName"":""#spray_097_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_097_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_097_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_097_4"", ""Left"":0,""Up"":-1}]"
98,30,"[{""TexName"":""#spray_098_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_098_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_098_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_098_4"", ""Left"":0,""Up"":-1}]"
99,30,"[{""TexName"":""#spray_099_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_099_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_099_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_099_4"", ""Left"":0,""Up"":-1}]"
100,30,"[{""TexName"":""#spray_100_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_100_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_100_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_100_4"", ""Left"":0,""Up"":-1}]"
101,30,"[{""TexName"":""#spray_101_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_101_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_101_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_101_4"", ""Left"":0,""Up"":-1}]"
102,30,"[{""TexName"":""#spray_102_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_102_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_102_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_102_4"", ""Left"":0,""Up"":-1}]"
103,30,"[{""TexName"":""#spray_103_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_103_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_103_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_103_4"", ""Left"":0,""Up"":-1}]"
104,30,"[{""TexName"":""#spray_104_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_104_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_104_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_104_4"", ""Left"":0,""Up"":-1}]"
105,30,"[{""TexName"":""#spray_105_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_105_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_105_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_105_4"", ""Left"":0,""Up"":-1}]"
106,30,"[{""TexName"":""#spray_106_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_106_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_106_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_106_4"", ""Left"":0,""Up"":-1}]"
107,30,"[{""TexName"":""#spray_107_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_107_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_107_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_107_4"", ""Left"":0,""Up"":-1}]"
108,30,"[{""TexName"":""#spray_108_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_108_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_108_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_108_4"", ""Left"":0,""Up"":-1}]"
109,30,"[{""TexName"":""#spray_109_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_109_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_109_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_109_4"", ""Left"":0,""Up"":-1}]"
110,30,"[{""TexName"":""#spray_110_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_110_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_110_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_110_4"", ""Left"":0,""Up"":-1}]"
111,30,"[{""TexName"":""#spray_111_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_111_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_111_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_111_4"", ""Left"":0,""Up"":-1}]"
112,30,"[{""TexName"":""#spray_112_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_112_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_112_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_112_4"", ""Left"":0,""Up"":-1}]"
113,30,"[{""TexName"":""#spray_113_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_113_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_113_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_113_4"", ""Left"":0,""Up"":-1}]"
114,30,"[{""TexName"":""#spray_114_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_114_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_114_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_114_4"", ""Left"":0,""Up"":-1}]"
115,30,"[{""TexName"":""#spray_115_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_115_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_115_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_115_4"", ""Left"":0,""Up"":-1}]"
116,30,"[{""TexName"":""#spray_116_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_116_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_116_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_116_4"", ""Left"":0,""Up"":-1}]"
117,30,"[{""TexName"":""#spray_117_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_117_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_117_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_117_4"", ""Left"":0,""Up"":-1}]"
118,30,"[{""TexName"":""#spray_118_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_118_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_118_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_118_4"", ""Left"":0,""Up"":-1}]"
119,30,"[{""TexName"":""#spray_119_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_119_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_119_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_119_4"", ""Left"":0,""Up"":-1}]"
120,30,"[{""TexName"":""#spray_120_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_120_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_120_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_120_4"", ""Left"":0,""Up"":-1}]"
121,30,"[{""TexName"":""#spray_121_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_121_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_121_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_121_4"", ""Left"":0,""Up"":-1}]"
122,30,"[{""TexName"":""#spray_122_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_122_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_122_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_122_4"", ""Left"":0,""Up"":-1}]"
123,30,"[{""TexName"":""#spray_123_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_123_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_123_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_123_4"", ""Left"":0,""Up"":-1}]"
124,30,"[{""TexName"":""#spray_124_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_124_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_124_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_124_4"", ""Left"":0,""Up"":-1}]"
125,30,"[{""TexName"":""#spray_125_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_125_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_125_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_125_4"", ""Left"":0,""Up"":-1}]"
126,30,"[{""TexName"":""#spray_126_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_126_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_126_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_126_4"", ""Left"":0,""Up"":-1}]"
127,30,"[{""TexName"":""#spray_127_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_127_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_127_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_127_4"", ""Left"":0,""Up"":-1}]"
128,30,"[{""TexName"":""#spray_128_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_128_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_128_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_128_4"", ""Left"":0,""Up"":-1}]"
129,30,"[{""TexName"":""#spray_129_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_129_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_129_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_129_4"", ""Left"":0,""Up"":-1}]"
130,30,"[{""TexName"":""#spray_130_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_130_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_130_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_130_4"", ""Left"":0,""Up"":-1}]"
131,30,"[{""TexName"":""#spray_131_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_131_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_131_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_131_4"", ""Left"":0,""Up"":-1}]"
132,30,"[{""TexName"":""#spray_132_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_132_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_132_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_132_4"", ""Left"":0,""Up"":-1}]"
133,30,"[{""TexName"":""#spray_133_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_133_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_133_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_133_4"", ""Left"":0,""Up"":-1}]"
134,30,"[{""TexName"":""#spray_134_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_134_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_134_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_134_4"", ""Left"":0,""Up"":-1}]"
135,30,"[{""TexName"":""#spray_135_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_135_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_135_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_135_4"", ""Left"":0,""Up"":-1}]"
136,30,"[{""TexName"":""#spray_136_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_136_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_136_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_136_4"", ""Left"":0,""Up"":-1}]"
137,30,"[{""TexName"":""#spray_137_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_137_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_137_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_137_4"", ""Left"":0,""Up"":-1}]"
138,30,"[{""TexName"":""#spray_138_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_138_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_138_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_138_4"", ""Left"":0,""Up"":-1}]"
139,30,"[{""TexName"":""#spray_139_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_139_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_139_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_139_4"", ""Left"":0,""Up"":-1}]"
140,30,"[{""TexName"":""#spray_140_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_140_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_140_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_140_4"", ""Left"":0,""Up"":-1}]"
141,30,"[{""TexName"":""#spray_141_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_141_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_141_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_141_4"", ""Left"":0,""Up"":-1}]"
142,30,"[{""TexName"":""#spray_142_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_142_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_142_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_142_4"", ""Left"":0,""Up"":-1}]"
143,30,"[{""TexName"":""#spray_143_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_143_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_143_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_143_4"", ""Left"":0,""Up"":-1}]"
144,30,"[{""TexName"":""#spray_144_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_144_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_144_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_144_4"", ""Left"":0,""Up"":-1}]"
145,30,"[{""TexName"":""#spray_145_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_145_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_145_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_145_4"", ""Left"":0,""Up"":-1}]"
146,30,"[{""TexName"":""#spray_146_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_146_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_146_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_146_4"", ""Left"":0,""Up"":-1}]"
147,30,"[{""TexName"":""#spray_147_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_147_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_147_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_147_4"", ""Left"":0,""Up"":-1}]"
148,30,"[{""TexName"":""#spray_148_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_148_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_148_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_148_4"", ""Left"":0,""Up"":-1}]"
149,30,"[{""TexName"":""#spray_149_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_149_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_149_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_149_4"", ""Left"":0,""Up"":-1}]"
150,30,"[{""TexName"":""#spray_150_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_150_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_150_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_150_4"", ""Left"":0,""Up"":-1}]"
151,30,"[{""TexName"":""#spray_151_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_151_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_151_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_151_4"", ""Left"":0,""Up"":-1}]"
152,30,"[{""TexName"":""#spray_152_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_152_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_152_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_152_4"", ""Left"":0,""Up"":-1}]"
153,30,"[{""TexName"":""#spray_153_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_153_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_153_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_153_4"", ""Left"":0,""Up"":-1}]"
154,30,"[{""TexName"":""#spray_154_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_154_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_154_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_154_4"", ""Left"":0,""Up"":-1}]"
155,30,"[{""TexName"":""#spray_155_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_155_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_155_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_155_4"", ""Left"":0,""Up"":-1}]"
156,30,"[{""TexName"":""#spray_156_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_156_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_156_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_156_4"", ""Left"":0,""Up"":-1}]"
157,30,"[{""TexName"":""#spray_157_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_157_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_157_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_157_4"", ""Left"":0,""Up"":-1}]"
158,30,"[{""TexName"":""#spray_158_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_158_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_158_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_158_4"", ""Left"":0,""Up"":-1}]"
159,30,"[{""TexName"":""#spray_159_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_159_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_159_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_159_4"", ""Left"":0,""Up"":-1}]"
160,30,"[{""TexName"":""#spray_160_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_160_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_160_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_160_4"", ""Left"":0,""Up"":-1}]"
161,30,"[{""TexName"":""#spray_161_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_161_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_161_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_161_4"", ""Left"":0,""Up"":-1}]"
162,30,"[{""TexName"":""#spray_162_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_162_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_162_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_162_4"", ""Left"":0,""Up"":-1}]"
163,30,"[{""TexName"":""#spray_163_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_163_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_163_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_163_4"", ""Left"":0,""Up"":-1}]"
164,30,"[{""TexName"":""#spray_164_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_164_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_164_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_164_4"", ""Left"":0,""Up"":-1}]"
165,30,"[{""TexName"":""#spray_165_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_165_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_165_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_165_4"", ""Left"":0,""Up"":-1}]"
166,30,"[{""TexName"":""#spray_166_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_166_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_166_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_166_4"", ""Left"":0,""Up"":-1}]"
167,30,"[{""TexName"":""#spray_167_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_167_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_167_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_167_4"", ""Left"":0,""Up"":-1}]"
168,30,"[{""TexName"":""#spray_168_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_168_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_168_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_168_4"", ""Left"":0,""Up"":-1}]"
169,30,"[{""TexName"":""#spray_169_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_169_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_169_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_169_4"", ""Left"":0,""Up"":-1}]"
170,30,"[{""TexName"":""#spray_170_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_170_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_170_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_170_4"", ""Left"":0,""Up"":-1}]"
171,30,"[{""TexName"":""#spray_171_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_171_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_171_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_171_4"", ""Left"":0,""Up"":-1}]"
172,30,"[{""TexName"":""#spray_172_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_172_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_172_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_172_4"", ""Left"":0,""Up"":-1}]"
173,30,"[{""TexName"":""#spray_173_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_173_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_173_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_173_4"", ""Left"":0,""Up"":-1}]"
174,30,"[{""TexName"":""#spray_174_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_174_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_174_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_174_4"", ""Left"":0,""Up"":-1}]"
175,30,"[{""TexName"":""#spray_175_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_175_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_175_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_175_4"", ""Left"":0,""Up"":-1}]"
176,30,"[{""TexName"":""#spray_176_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_176_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_176_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_176_4"", ""Left"":0,""Up"":-1}]"
177,30,"[{""TexName"":""#spray_177_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_177_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_177_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_177_4"", ""Left"":0,""Up"":-1}]"
178,30,"[{""TexName"":""#spray_178_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_178_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_178_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_178_4"", ""Left"":0,""Up"":-1}]"
179,30,"[{""TexName"":""#spray_179_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_179_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_179_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_179_4"", ""Left"":0,""Up"":-1}]"
180,30,"[{""TexName"":""#spray_180_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_180_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_180_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_180_4"", ""Left"":0,""Up"":-1}]"
181,30,"[{""TexName"":""#spray_181_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_181_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_181_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_181_4"", ""Left"":0,""Up"":-1}]"
182,30,"[{""TexName"":""#spray_182_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_182_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_182_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_182_4"", ""Left"":0,""Up"":-1}]"
183,30,"[{""TexName"":""#spray_183_1"", ""Left"":3,""Up"":0},{""TexName"":""#spray_183_2"", ""Left"":2,""Up"":0},{""TexName"":""#spray_183_3"", ""Left"":1,""Up"":0},{""TexName"":""#spray_183_4"", ""Left"":0,""Up"":0},{""TexName"":""#spray_183_5"", ""Left"":3,""Up"":-1},{""TexName"":""#spray_183_6"", ""Left"":2,""Up"":-1},{""TexName"":""#spray_183_7"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_183_8"", ""Left"":0,""Up"":-1},{""TexName"":""#spray_183_9"", ""Left"":3,""Up"":-2},{""TexName"":""#spray_183_10"", ""Left"":2,""Up"":-2},{""TexName"":""#spray_183_11"", ""Left"":1,""Up"":-2},{""TexName"":""#spray_183_12"", ""Left"":0,""Up"":-2}]"
184,30,"[{""TexName"":""#spray_184_1"", ""Left"":3,""Up"":0},{""TexName"":""#spray_184_2"", ""Left"":2,""Up"":0},{""TexName"":""#spray_184_3"", ""Left"":1,""Up"":0},{""TexName"":""#spray_184_4"", ""Left"":0,""Up"":0},{""TexName"":""#spray_184_5"", ""Left"":3,""Up"":-1},{""TexName"":""#spray_184_6"", ""Left"":2,""Up"":-1},{""TexName"":""#spray_184_7"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_184_8"", ""Left"":0,""Up"":-1},{""TexName"":""#spray_184_9"", ""Left"":3,""Up"":-2},{""TexName"":""#spray_184_10"", ""Left"":2,""Up"":-2},{""TexName"":""#spray_184_11"", ""Left"":1,""Up"":-2},{""TexName"":""#spray_184_12"", ""Left"":0,""Up"":-2}]"
185,30,"[{""TexName"":""#spray_185_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_185_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_185_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_185_4"", ""Left"":0,""Up"":-1}]"
186,30,"[{""TexName"":""#spray_186_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_186_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_186_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_186_4"", ""Left"":0,""Up"":-1}]"
187,30,"[{""TexName"":""#spray_187_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_187_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_187_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_187_4"", ""Left"":0,""Up"":-1}]"
188,30,"[{""TexName"":""#spray_188_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_188_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_188_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_188_4"", ""Left"":0,""Up"":-1}]"
189,30,"[{""TexName"":""#spray_189_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_189_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_189_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_189_4"", ""Left"":0,""Up"":-1}]"
190,30,"[{""TexName"":""#spray_190_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_190_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_190_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_190_4"", ""Left"":0,""Up"":-1}]"
191,30,"[{""TexName"":""#spray_191_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_191_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_191_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_191_4"", ""Left"":0,""Up"":-1}]"
192,30,"[{""TexName"":""#spray_192_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_192_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_192_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_192_4"", ""Left"":0,""Up"":-1}]"
