材料id,材料名,成功产物（11517=红/11518=蓝/11519=黄/11520=绿/11521=紫）,生产时间,生产数量,基础成功率,适配方块类型（竖线隔开）,适配环境修正值（%）,相悖方块类型（竖线隔开）,相悖环境修正值（%）,备注说明
343,细白杨木树枝,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
346,巨型扇贝,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
348,锰块,11519,10,12,90,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
349,粗红杉木树枝,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
350,细红杉木树枝,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
378,乔木果,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
384,香蕉树叶,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
386,香蕉树干,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
392,灌木丛,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
394,星光粉尘树叶,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
395,雨林乔木树叶,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
396,雨林之芯乔木,11520,4,2,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
397,苔藓,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
400,炽炎矿,11517,4,2,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
401,铁矿,11519,4,2,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
404,钨矿,11519,8,6,100,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
407,硅石矿,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
408,钨金块,11519,10,24,100,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
410,炽炎块,11517,8,8,60,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
411,铁块,11519,8,8,100,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
412,云母块,11519,4,2,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
413,花纹云母块,11519,4,2,60,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
414,竖纹云母块,11519,4,2,60,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
430,冰砖,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
445,星瞳矿石,11519,5,3,60,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
446,紫荧矿石,11521,5,3,60,voidHerbSeedBellFlower|voidBellFlower|voidHerbSeedDragonFlower|voidDragonFlower|voidModelStarFlower|voidModelDragonFlower|voidModelYellowFlower|voidModelWhiteFlower|voidModelWinterFlower|voidModelBiAnflower|Voidflowers|voidModelRuolan|voidModelRosebush,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,紫
448,石油块,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
451,铜矿,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
452,钛矿,11519,6,4,60,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
456,黄铜块,11519,6,4,60,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
457,钛合金块,11519,10,16,100,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
462,鸵鸟蛋,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
465,洋红毒菇,11521,3,1,50,voidHerbSeedBellFlower|voidBellFlower|voidHerbSeedDragonFlower|voidDragonFlower|voidModelStarFlower|voidModelDragonFlower|voidModelYellowFlower|voidModelWhiteFlower|voidModelWinterFlower|voidModelBiAnflower|Voidflowers|voidModelRuolan|voidModelRosebush,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,紫
477,胡杨木,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
478,粗胡杨树枝,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
479,细胡杨树枝,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
480,胡杨叶,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
486,角珊瑚,11518,4,2,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
487,白化角珊瑚,11519,4,2,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
488,气泡珊瑚,11518,4,2,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
489,白化气泡珊瑚,11519,4,2,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
490,圆盘珊瑚,11518,4,2,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
491,白化圆盘珊瑚,11519,4,2,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
492,树珊瑚,11520,4,2,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
493,白化树珊瑚,11520,4,2,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
495,荧光棒藻,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
550,荧光晶块,11519,6,4,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
558,蜂蜜块,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
561,烧焦的蜂蜜,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
579,雨林乔木,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
590,神圣树干,11520,3,1,100,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
592,神圣树叶,11520,3,1,80,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
710,细线,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
761,冬温花,11517,3,1,65,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
763,枯灌木丛,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
764,庇佑雪莲,11518,7,5,80,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
837,荧光小菇,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
11049,瓶装水,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
11051,瓶装水,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
11052,岩浆坩埚,11517,3,1,60,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
11067,红色的羽毛,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
11068,鸡爪,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
11069,鸡嘴,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
11073,星瞳石,11519,5,3,60,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11074,紫荧石,11521,5,3,60,voidHerbSeedBellFlower|voidBellFlower|voidHerbSeedDragonFlower|voidDragonFlower|voidModelStarFlower|voidModelDragonFlower|voidModelYellowFlower|voidModelWhiteFlower|voidModelWinterFlower|voidModelBiAnflower|Voidflowers|voidModelRuolan|voidModelRosebush,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,紫
11075,星启石,11520,4,2,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
11076,星辉石,11518,4,2,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
11077,岩石碎片,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11079,聚合物,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
11080,重力结晶,11521,3,1,50,voidHerbSeedBellFlower|voidBellFlower|voidHerbSeedDragonFlower|voidDragonFlower|voidModelStarFlower|voidModelDragonFlower|voidModelYellowFlower|voidModelWhiteFlower|voidModelWinterFlower|voidModelBiAnflower|Voidflowers|voidModelRuolan|voidModelRosebush,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,紫
11095,星团云瓶,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11099,燃油,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
11200,水泥,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11203,钨棒,11519,8,6,100,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11206,曙光石粉,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11207,炽炎,11517,4,2,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
11208,炽炎粒,11517,4,2,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
11209,铁棒,11519,4,2,80,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11210,硅石,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11211,火种,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
11226,植物纤维,11520,3,1,35,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
11227,绳子,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
11303,细羽毛,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11305,石英砂,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11306,不稳定化合物,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
11307,软皮革,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11309,软皮革布,11519,4,2,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11310,焦油,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
11311,便便,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11312,空心竹竿,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
11313,蜂刺,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11318,荧光晶体,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11319,鱼鳃,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
11322,纸张,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11323,木料,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11326,瓶装果糖浆,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11329,铜棒,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11330,钛棒,11519,6,4,100,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11403,红杉果,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
11422,巨大椰叶,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
11423,异化巨大椰叶,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
11533,钛粉,11519,6,4,100,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11593,巫骨,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11595,苔藓球,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
11596,星光粉尘,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11598,草木灰,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11599,香蕉,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11600,星光香蕉,11519,4,2,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11601,雨林之芯碎片,11518,4,2,60,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
11602,豹皮,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11627,石料,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11632,坚硬蝎壳,11521,3,1,50,voidHerbSeedBellFlower|voidBellFlower|voidHerbSeedDragonFlower|voidDragonFlower|voidModelStarFlower|voidModelDragonFlower|voidModelYellowFlower|voidModelWhiteFlower|voidModelWinterFlower|voidModelBiAnflower|Voidflowers|voidModelRuolan|voidModelRosebush,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,紫
