投射物id,名称,攻击类型（0 - 点射，1范围爆炸，2新范围爆炸）,伤害类型(1物理伤害、9元素伤害、4燃烧伤害、5毒素伤害、6混乱伤害、7闪电伤害、8冰冻伤害),攻击力,爆炸范围（新范围爆炸使用）,爆炸范围类型（新范围爆炸使用1全向爆炸 2向上爆炸）,爆炸是否破坏方块（新范围爆炸使用0不破坏方块，1破坏方块）,削刃值,运动类型（0 - 抛物线模型）,重力,重力变化时机（投掷物生成后一段时间）,重力变化量,初始速度,速度衰减（速度=初始速度*（1-速度衰减））,是否可以拾取（0否 1是）,"触发条件（1碰撞Actor，2碰撞Block，3两者皆有, 4出手就触发，5不触发）",触发延迟,触发特效,触发音效（0伤害 1爆炸）,模型,（无效的）碰撞体大小,拖尾特效,Buff,Buff等级,是否开放作为弹药[0=不开放，1=开放],触发器开放[0=不开放 1=开放],可击碎方块,击碎值,穿透上限
15620,大虚空飞弹裂波,0,9,0,,,,,0,0.1,,,140,0,0,3,0,Skill_BigVoidBall_Boom,newAtkSys.cyclops_bolt_hit,void_model,100,Skill_WaveBall_Trail,,,1,1,,,
15621,虚空分身飞弹,0,9,0,,,,,0,0.1,,,75,0,0,3,0,boss_Loka_huoqiu2,newAtkSys.cyclops_bolt_hit,void_model,100,Skill_VoidBall_Trail,,,1,1,,,
17009,浮空术卷轴,,,,,,,,0,0.3,,,75,0,0,3,0,,buff.buff_dumpling,void_model,100,magic_fukong_3,,,1,1,,,
17012,烟花术卷轴,,,,,,,,0,0.3,,,75,0,0,3,0,,buff.buff_dumpling,void_model,100,magic_fukong_3,,,1,1,,,
17013,大头术卷轴,,,,,,,,0,0.3,,,75,0,0,3,0,,buff.buff_dumpling,void_model,100,magic_fukong_3,,,1,1,,,
17015,小头术卷轴,,,,,,,,0,0.3,,,75,0,0,3,0,,buff.buff_dumpling,void_model,100,magic_fukong_3,,,1,1,,,
200382,虚空果实,1,1,1.5,,,,25,0,3,,,250,0,0,3,0,,,200382,20,,,,1,1,,,
200389,虚空果实超级无敌大漩涡炸弹,1,1,5,,,,55,0,3,,,250,0,0,3,0,,,200389,20,,,,1,1,,,
540011,黄铜斧+石矛,0,1,22,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540012,黄铜斧+黄铜矛,0,1,26,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540013,黄铜斧+能量矛,0,1,54,,,,24,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,15,999
540024,石斧+石矛,0,1,30,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,2
540025,石斧+黄铜矛,0,1,18,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540026,石斧+能量矛,0,1,22,,,,24,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,10,999
540039,秘银斧+石矛,0,1,50,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540040,秘银斧+黄铜矛,0,1,26,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540041,秘银斧+能量矛,0,1,26,,,,24,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,20,999
540055,钛合金斧+石矛,0,1,29,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540056,钛合金斧+黄铜矛,0,1,57,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540057,钛合金斧+能量矛,0,1,33,,,,24,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,25,999
540072,链锯+石矛,0,1,32,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540073,链锯+黄铜矛,0,1,36,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540074,链锯+能量矛,0,1,64,,,,24,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,30,999
540086,黄铜镐+石矛,0,1,40,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540087,黄铜镐+黄铜矛,0,1,41,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,2
540088,黄铜镐+能量矛,0,1,45,,,,24,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,15,999
540099,石镐+石矛,0,1,73,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540100,石镐+黄铜矛,0,1,49,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540101,石镐+能量矛,0,1,20,,,,24,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,10,999
540114,秘银镐+石矛,0,1,24,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540115,秘银镐+黄铜矛,0,1,52,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540116,秘银镐+能量矛,0,1,28,,,,24,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,20,999
540130,钛合金镐+石矛,0,1,17,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540131,钛合金镐+黄铜矛,0,1,21,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540132,钛合金镐+能量矛,0,1,49,,,,24,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,25,999
540148,钻头+石矛,0,1,25,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540149,钻头+黄铜矛,0,1,23,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540150,钻头+能量矛,0,1,27,,,,24,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,50,999
540165,星瞳钻头+石矛,0,1,55,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540166,星瞳钻头+黄铜矛,0,1,31,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540167,星瞳钻头+能量矛,0,1,30,,,,24,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,30,999
540179,黄铜铲+石矛,0,1,33,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540180,黄铜铲+黄铜矛,0,1,61,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540181,黄铜铲+能量矛,0,1,37,,,,24,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,,999
540192,石铲+石矛,0,1,39,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540193,石铲+黄铜矛,0,1,42,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540194,石铲+能量矛,0,1,70,,,,24,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,,999
540207,秘银铲+石矛,0,1,46,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540208,秘银铲+黄铜矛,0,1,39,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540209,秘银铲+能量矛,0,1,42,,,,24,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,,999
540223,钛合金铲+石矛,0,1,70,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540224,钛合金铲+黄铜矛,0,1,46,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540225,钛合金铲+能量矛,0,1,20,,,,24,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,,999
540240,钨金铲+石矛,0,1,24,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540241,钨金铲+黄铜矛,0,1,52,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540242,钨金铲+能量矛,0,1,28,,,,24,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,,999
540254,黄铜耙+石矛,0,1,17,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540255,黄铜耙+黄铜矛,0,1,21,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540256,黄铜耙+能量矛,0,1,49,,,,24,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,,999
540267,石耙+石矛,0,1,25,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540268,石耙+黄铜矛,0,1,23,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540269,石耙+能量矛,0,1,27,,,,24,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,,999
540282,秘银耙+石矛,0,1,55,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540283,秘银耙+黄铜矛,0,1,31,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540284,秘银耙+能量矛,0,1,30,,,,24,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,,999
540298,钛合金耙+石矛,0,1,33,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540299,钛合金耙+黄铜矛,0,1,61,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540300,钛合金耙+能量矛,0,1,37,,,,24,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,,999
540315,钨金耙+石矛,0,1,33,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540316,钨金耙+黄铜矛,0,1,36,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540317,钨金耙+能量矛,0,1,65,,,,24,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,,999
540395,石矛+木棒,0,1,41,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540396,石矛+尖尖碰碰锤,0,1,20,,,,12,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540397,石矛+冻结棒,0,1,24,,,,15,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540398,石矛+钛金战锤,0,1,52,,,,20,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540399,石矛+石剑,0,1,28,,,,10,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540400,石矛+短剑,0,1,17,,,,13,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540401,石矛+收割者,0,1,21,,,,15,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540402,石矛+能量剑,0,1,49,,,,18,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540403,石矛+石矛,0,1,25,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,2
540409,黄铜矛+木棒,0,1,23,,,,12,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540410,黄铜矛+尖尖碰碰锤,0,1,27,,,,15,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540411,黄铜矛+冻结棒,0,1,55,,,,17,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540412,黄铜矛+钛金战锤,0,1,31,,,,22,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540413,黄铜矛+石剑,0,1,30,,,,13,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540414,黄铜矛+短剑,0,1,33,,,,15,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540415,黄铜矛+收割者,0,1,61,,,,18,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540416,黄铜矛+能量剑,0,1,37,,,,20,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540417,黄铜矛+石矛,0,1,33,,,,17,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,2
540418,黄铜矛+黄铜矛,0,1,36,,,,21,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,
540419,黄铜矛+魔鬼鱼叉,0,1,65,,,,21,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,1,0,1,,2
540425,能量矛+木棒,0,1,41,,,,20,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,,999
540426,能量矛+尖尖碰碰锤,0,1,23,,,,22,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,,999
540427,能量矛+冻结棒,0,1,25,,,,25,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,,999
540428,能量矛+钛合金锤,0,1,33,,,,30,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,,999
540429,能量矛+石剑,0,1,53,,,,20,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,,999
540430,能量矛+短剑,0,1,21,,,,23,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,,999
540431,能量矛+收割者,0,1,29,,,,26,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,,999
540432,能量矛+能量剑,0,1,39,,,,28,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,,999
540433,能量矛+石矛,0,1,52,,,,28,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,,999
540434,能量矛+黄铜矛,0,1,29,,,,31,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,,999
540435,能量矛+能量矛,0,1,26,,,,42,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,,999
540436,能量矛+魔鬼鱼叉,0,1,29,,,,31,0,2,,,240,0,1,3,0,item_12002_2,misc.bowhit,540432,50,mao_Line,,,0,0,1,,999
540450,魔鬼鱼叉+石矛,0,1,36,,,,17,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540014,黄铜斧+魔鬼鱼叉,0,1,56,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540027,石斧+魔鬼鱼叉,0,1,24,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540042,秘银斧+魔鬼鱼叉,0,1,32,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540058,钛合金斧+魔鬼鱼叉,0,1,42,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540075,链锯+魔鬼鱼叉,0,1,56,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540089,黄铜镐+魔鬼鱼叉,0,1,34,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540102,石镐+魔鬼鱼叉,0,1,39,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540117,秘银镐+魔鬼鱼叉,0,1,44,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540133,钛合金镐+魔鬼鱼叉,0,1,53,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540151,钻头+魔鬼鱼叉,0,1,56,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540168,星瞳钻头+魔鬼鱼叉,0,1,63,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540182,黄铜铲+魔鬼鱼叉,0,1,83,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540195,石铲+魔鬼鱼叉,0,1,53,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540210,秘银铲+魔鬼鱼叉,0,1,60,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540226,钛合金铲+魔鬼鱼叉,0,1,70,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540243,钨金铲+魔鬼鱼叉,0,1,84,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540257,黄铜耙+魔鬼鱼叉,0,1,72,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540270,石耙+魔鬼鱼叉,0,1,77,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540285,秘银耙+魔鬼鱼叉,0,1,114,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540301,钛合金耙+魔鬼鱼叉,0,1,82,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540318,钨金耙+魔鬼鱼叉,0,1,30,,,,14,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540442,魔鬼鱼叉+木棒,0,1,33,,,,12,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540443,魔鬼鱼叉+尖尖碰碰锤,0,1,40,,,,15,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540444,魔鬼鱼叉+冻结棒,0,1,60,,,,17,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540445,魔鬼鱼叉+钛金战锤,0,1,29,,,,22,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540446,魔鬼鱼叉+石剑,0,1,36,,,,13,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540447,魔鬼鱼叉+短剑,0,1,46,,,,15,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540448,魔鬼鱼叉+收割者,0,1,60,,,,18,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540449,魔鬼鱼叉+能量剑,0,1,39,,,,20,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,
540451,魔鬼鱼叉+魔鬼鱼叉,0,1,50,,,,21,0,4,,,190,0,1,3,0,item_12002_2,misc.bowhit,12002,50,1026,,,0,0,1,,2
