状态ID,名字,等级,作用时间(秒),"调用Update周期(秒), 0表示不调用","脚本名字:开始Script_Start,结束Script_End,Tick:Script_Tick",作为插件编辑效果[0代表不开放，1150=有害，1151=有益，1152=中立 ],触发器开放[0代表不开放，1=有害效果，2=有益效果，3=中立效果 ],效果库ID1,默认值1（时间需要除以10）,效果库ID2,默认值2,效果库ID3,默认值3,效果库ID4,默认值4,效果库ID5,默认值5,效果库ID6,默认值6,效果库ID7,默认值7,效果库ID8,默认值8,效果库ID9,默认值9,效果库ID10,默认值10,睡觉获取权重,睡觉获取权重生态加成,图标(填图标库ID),特效(填特效库ID),音效(填音效库ID),持续模式（0=无限时间 大于0=有限时间）,优先级（1=覆盖 2=并存）,死亡不清除（1=清除 2=不清除）,主动攻击清除效果（1=清除 2=不清除）,受到伤害清除效果（1=清除 2=不清除）,冷却时间（获取后这段时间内无法再次获得同一个buff，填秒数）（未开发）,冷却说明（描述冷却原因，填stringid）（未开发）,插件编辑模板(不填=不是模板 1=作为模板),属性类型1（废弃）,属性值1（废弃）,属性类型2（废弃）,属性值2（废弃）,属性类型3（废弃）,属性值3（废弃）,属性类型4（废弃）,属性值4（废弃）,属性类型5（废弃）,属性值5（废弃）,描述,图标名字,类型(0有益，1不利，2特殊),状态类型(0-无，1-火，2-变身，3-毒素，4-流血，5-冰，6-冻结),状态类型名称（填stringid）,特效名称,音效类型（0单次1循环）,音效名称,身体模型,中BUFF变第三人称,禁止做一切事,图标缺失,部件放大(将来除以1000等于部件),在buff栏隐藏,备注,标签,预制资源名
28001,爆炸防御1级,1,180,,,1151,2,1010,100403|-25,,,,,,,,,,,,,,,,,,,,,1038,1229,10081,180,1,1,2,2,,,1,DAMAGED_EXPLODE,-0.25,,,,,,,,,降低25%受到的爆炸伤害。,damaged_explode_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
28002,爆炸防御2级,2,180,,,1151,2,1010,100403|-50,,,,,,,,,,,,,,,,,,,,,1038,1229,10081,180,1,1,2,2,,,1,DAMAGED_EXPLODE,-0.5,,,,,,,,,降低50%受到的爆炸伤害。,damaged_explode_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
28003,爆炸防御3级,3,180,,,1151,2,1010,100403|-75,,,,,,,,,,,,,,,,,,,,,1038,1229,10081,180,1,1,2,2,,,1,DAMAGED_EXPLODE,-0.75,,,,,,,,,降低75%受到的爆炸伤害。,damaged_explode_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
29001,燃烧抗性1级,1,180,,,1151,2,1010,100404|-25,,,,,,,,,,,,,,,,,,,,,1042,1229,10081,180,1,1,2,2,,,1,DAMAGED_FIRE,-0.25,,,,,,,,,降低25%受到的火焰伤害。,damaged_fire_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
29002,燃烧抗性2级,2,180,,,1151,2,1010,100404|-50,,,,,,,,,,,,,,,,,,,,,1042,1229,10081,180,1,1,2,2,,,1,DAMAGED_FIRE,-0.5,,,,,,,,,降低50%受到的火焰伤害。,damaged_fire_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
29003,燃烧抗性3级,3,180,,,1151,2,1010,100404|-75,,,,,,,,,,,,,,,,,,,,,1042,1229,10081,180,1,1,2,2,,,1,DAMAGED_FIRE,-0.75,,,,,,,,,降低75%受到的火焰伤害。,damaged_fire_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
30001,毒素抗性1级,1,180,,,,,1010,100405|-25,,,,,,,,,,,,,,,,,,,,,1044,1229,10081,180,1,1,2,2,,,,DAMAGED_POISON,-0.25,,,,,,,,,降低25%受到的毒素伤害。,damaged_poison_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
30002,毒素抗性2级,2,180,,,,,1010,100405|-50,,,,,,,,,,,,,,,,,,,,,1044,1229,10081,180,1,1,2,2,,,,DAMAGED_POISON,-0.5,,,,,,,,,降低50%受到的毒素伤害。,damaged_poison_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
30003,毒素抗性3级,3,180,,,,,1010,100405|-75,,,,,,,,,,,,,,,,,,,,,1044,1229,10081,180,1,1,2,2,,,,DAMAGED_POISON,-0.75,,,,,,,,,降低75%受到的毒素伤害。,damaged_poison_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
31001,混乱抗性1级,1,180,,,,,1010,100406|-25,,,,,,,,,,,,,,,,,,,,,1035,1229,10081,180,1,1,2,2,,,,DAMAGED_WITHER,-0.25,,,,,,,,,降低25%受到的混乱伤害。,damagebuff_wither,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
31002,混乱抗性2级,2,180,,,,,1010,100406|-50,,,,,,,,,,,,,,,,,,,,,1035,1229,10081,180,1,1,2,2,,,,DAMAGED_WITHER,-0.5,,,,,,,,,降低50%受到的混乱伤害。,damagebuff_wither,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
31003,混乱抗性3级,3,180,,,,,1010,100406|-75,,,,,,,,,,,,,,,,,,,,,1035,1229,10081,180,1,1,2,2,,,,DAMAGED_WITHER,-0.75,,,,,,,,,降低75%受到的混乱伤害。,damagebuff_wither,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
32001,摔落抗性1级,1,180,,,,,1010,100411|-25,,,,,,,,,,,,,,,,,,,,,1048,1229,10081,180,1,1,2,2,,,,DAMAGED_FALLING,-0.25,,,,,,,,,降低25%受到的摔落伤害。,damaged_range_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,1,,,,,
32002,摔落抗性2级,2,180,,,,,1010,100411|-50,,,,,,,,,,,,,,,,,,,,,1048,1229,10081,180,1,1,2,2,,,,DAMAGED_FALLING,-0.5,,,,,,,,,降低50%受到的摔落伤害。,damaged_range_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,1,,,,,
32003,摔落抗性3级,3,180,,,,,1010,100411|-75,,,,,,,,,,,,,,,,,,,,,1048,1229,10081,180,1,1,2,2,,,,DAMAGED_FALLING,-0.75,,,,,,,,,降低75%受到的摔落伤害。,damaged_range_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,1,,,,,
32004,摔落抗性4级,3,180,,,,,1010,100411|-100,,,,,,,,,,,,,,,,,,,,,1048,1229,10081,180,1,1,2,2,,,,DAMAGED_FALLING,-0.75,,,,,,,,,降低100%受到的摔落伤害。,damaged_range_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,1,,,,,
33000,着火0级,0,2,1,DamageBuff,1150,1,1008,10|3|101007,,,,,,,,,,,,,,,,,,,,,1032,1232,10668,4,1,1,2,2,,,1,SCRIPT_VAR,3,SCRIPT_VAR,5,,,,,,,每1秒造成3点伤害。,damagebuff_fire,1,1,25469,BUFF_FIRE_1,1,fire.fire,,0,,,,,属性值1是伤害类型，属性值2是伤害点数,,
33001,着火1级,1,4,1,DamageBuff,1150,1,1008,10|5|101007,,,,,,,,,,,,,,,,,,,,,1032,1232,10668,4,1,1,2,2,,,1,SCRIPT_VAR,3,SCRIPT_VAR,5,,,,,,,每1秒造成5点伤害。,damagebuff_fire,1,1,25469,BUFF_FIRE_1,1,fire.fire,,0,,,,,属性值1是伤害类型，属性值2是伤害点数,,
33002,着火2级,2,4,1,DamageBuff,1150,1,1008,10|10|101007,,,,,,,,,,,,,,,,,,,,,1032,1232,10668,4,1,1,2,2,,,1,SCRIPT_VAR,3,SCRIPT_VAR,10,,,,,,,每1秒造成10点伤害。,damagebuff_fire,1,1,25469,BUFF_FIRE_1,1,fire.fire,,0,,,,,,,
33003,着火3级,3,4,1,DamageBuff,1150,1,1008,10|15|101007,,,,,,,,,,,,,,,,,,,,,1032,1232,10668,4,1,1,2,2,,,1,SCRIPT_VAR,3,SCRIPT_VAR,15,,,,,,,每1秒造成15点伤害。,damagebuff_fire,1,1,25469,BUFF_FIRE_1,1,fire.fire,,0,,,,,,,
33004,着火4级,4,4,1,DamageBuff,1150,1,1008,10|20|101007,,,,,,,,,,,,,,,,,,,,,1032,1232,10668,4,1,1,2,2,,,1,SCRIPT_VAR,3,SCRIPT_VAR,20,,,,,,,每1秒造成20点伤害。,damagebuff_fire,1,1,25469,BUFF_FIRE_1,1,fire.fire,,0,,,,,,,
33005,着火5级,5,4,1,DamageBuff,1150,1,1008,10|25|101007,,,,,,,,,,,,,,,,,,,,,1032,1232,10668,4,1,1,2,2,,,1,SCRIPT_VAR,3,SCRIPT_VAR,25,,,,,,,每1秒造成25点伤害。,damagebuff_fire,1,1,25469,BUFF_FIRE_1,1,fire.fire,,0,,,,,,,
34001,中毒1级,1,11,1,DamageBuff,1150,1,1008,10|5|101007,,,,,,,,,,,,,,,,,,,,,1034,1236,10095,11,1,1,2,2,,,1,SCRIPT_VAR,4,SCRIPT_VAR,5,,,,,,,每1秒造成5点伤害。,damagebuff_poison,1,3,25467,BUFF_POISON_1,0,buff.buff_wither_1,,0,,,,,,,
34002,中毒2级,2,11,1,DamageBuff,1150,1,1008,10|10|101007,,,,,,,,,,,,,,,,,,,,,1034,1236,10095,11,1,1,2,2,,,1,SCRIPT_VAR,4,SCRIPT_VAR,10,,,,,,,每1秒造成10点伤害。,damagebuff_poison,1,3,25467,BUFF_POISON_1,0,buff.buff_wither_1,,0,,,,,,,
34003,中毒3级,3,11,1,DamageBuff,1150,1,1008,10|15|101007,,,,,,,,,,,,,,,,,,,,,1034,1236,10095,11,1,1,2,2,,,1,SCRIPT_VAR,4,SCRIPT_VAR,15,,,,,,,每1秒造成15点伤害。,damagebuff_poison,1,3,25467,BUFF_POISON_1,0,buff.buff_wither_1,,0,,,,,,,
35001,暗1级,1,11,2,DamageBuff,,,1008,20|10|101007,,,,,,,,,,,,,,,,,,,,,1035,1239,10095,11,1,1,2,2,,,,SCRIPT_VAR,5,SCRIPT_VAR,10,,,,,,,每2秒造成10点伤害。,damagebuff_wither,1,,,BUFF_WITHER_1,0,buff.buff_wither_1,,0,,,,,,,
35002,暗2级,2,11,2,DamageBuff,,,1008,20|10|101007,,,,,,,,,,,,,,,,,,,,,1035,1239,10095,11,1,1,2,2,,,,SCRIPT_VAR,5,SCRIPT_VAR,10,,,,,,,每2秒造成10点伤害。,damagebuff_wither,1,,,BUFF_WITHER_1,0,buff.buff_wither_1,,0,,,,,,,
35003,暗3级,3,11,2,DamageBuff,,,1008,20|10|101007,,,,,,,,,,,,,,,,,,,,,1035,1239,10095,11,1,1,2,2,,,,SCRIPT_VAR,5,SCRIPT_VAR,10,,,,,,,每2秒造成10点伤害。,damagebuff_wither,1,,,BUFF_WITHER_1,0,buff.buff_wither_1,,0,,,,,,,
36001,食物中毒1级,1,30,1,StarveBuff,1150,1,1011,25,,,,,,,,,,,,,,,,,,,,,1033,1236,10095,30,1,1,2,2,,,1,SCRIPT_VAR,500,,,,,,,,,你感觉更加饥饿了，饥饿速度加快25%。,damagebuff_hunger,1,,,BUFF_POISON_1,0,buff.buff_wither_1,,0,,,,,,,
36002,食物中毒2级,2,30,1,StarveBuff,1150,1,1011,50,,,,,,,,,,,,,,,,,,,,,1033,1236,10095,30,1,1,2,2,,,1,SCRIPT_VAR,1000,,,,,,,,,你感觉更加饥饿了，饥饿速度加快50%。,damagebuff_hunger,1,,,BUFF_POISON_1,0,buff.buff_wither_1,,0,,,,,,,
36003,食物中毒3级,3,30,1,StarveBuff,1150,1,1011,75,,,,,,,,,,,,,,,,,,,,,1033,1236,10095,30,1,1,2,2,,,1,SCRIPT_VAR,2000,,,,,,,,,你感觉更加饥饿了，饥饿速度加快75%。,damagebuff_hunger,1,,,BUFF_POISON_1,0,buff.buff_wither_1,,0,,,,,,,
37001,初级水下呼吸,1,30,,,1151,2,1021,100801|10|6,,,,,,,,,,,,,,,,,,,,,1074,1229,10081,15,1,1,2,2,,,1,OXYGEN_SUPPLY,1,,,,,,,,,拥有水下呼吸能力！,swim_speed_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
37002,中级水下呼吸,2,60,,,1151,2,1021,100801|10|8,,,,,,,,,,,,,,,,,,,,,1074,1229,10081,30,1,1,2,2,,,1,OXYGEN_SUPPLY,1,,,,,,,,,拥有水下呼吸能力！,swim_speed_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
37003,高级水下呼吸,3,180,,,1151,2,1021,100801|10|10,,,,,,,,,,,,,,,,,,,,,1074,1229,10081,180,1,1,2,2,,,1,OXYGEN_SUPPLY,1,,,,,,,,,拥有水下呼吸能力！,swim_speed_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
38001,晕头转向1级,1,60,,,1152,3,1017,,,,,,,,,,,,,,,,,,,,,,1035,1238,10092,60,1,1,2,2,,,1,,,,,,,,,,,哦，我感觉飘飘欲仙了~,damagebuff_wither,1,,,BUFF_SPEED_1,0,buff.buff_sick_1,,0,,,,,,,
38002,晕头转向2级,2,15,,,1152,3,1017,,,,,,,,,,,,,,,,,,,,,,1035,1238,10092,15,1,1,2,2,,,1,,,,,,,,,,,哦，我好像飘飘欲仙了~,damagebuff_wither,1,,,BUFF_SPEED_1,0,buff.buff_sick_1,,0,,,,,,,
38003,晕头转向3级,3,5,,,1152,3,1017,,,,,,,,,,,,,,,,,,,,,,1035,1238,10092,5,1,1,2,2,,,1,,,,,,,,,,,哦，我已经飘飘欲仙了~,damagebuff_wither,1,,,BUFF_SPEED_1,0,buff.buff_sick_1,,0,,,,,,,
39001,翻江倒海！1级,1,60,,,,,1001,100101|-60,,,,,,,,,,,,,,,,,,,,,1033,1238,10092,60,1,1,2,2,,,,MOVE_SPEED,-0.6,,,,,,,,,来自元旦老人胖次口袋里的礼物！,damagebuff_hunger,1,,,BUFF_SPEED_1,0,buff.buff_sick_1,,0,,,,,,,
39002,游戏版本过低,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
39003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
40001,我被放大了！1级,1,180,,,1152,3,1015,100701|75,,,,,,,,,,,,,,,,,,,,,1063,1238,10094,180,1,1,2,2,,,1,ACTOR_SCALE,0.75,,,,,,,,,世界似乎在缩小！,MODEL_ADD,0,,,BUFF_SPEED_1,0,buff.buff_speed_1,,0,,,,,,,
40002,游戏版本过低,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
40003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
41001,我被缩小了！1级,1,180,,,1152,3,1015,100701|-50,,,,,,,,,,,,,,,,,,,,,1065,1238,10094,180,1,1,2,2,,,1,ACTOR_SCALE,-0.5,,,,,,,,,世界似乎在放大！,MODEL_REDUCE,0,,,BUFF_SPEED_1,0,buff.buff_speed_1,,0,,,,,,,
41002,游戏版本过低,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
41003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
42001,泡泡1级,1,5,,,1152,3,1019,,,,,,,,,,,,,,,,,,,,,,1035,1237,10090,5,1,1,2,2,,,1,,,,,,,,,,,被泡泡包裹，我感觉轻飘飘的,damagebuff_wither,1,,,BUFF_POP,0,buff.buff_pop,,0,,,,,,,
42002,泡泡2级,2,15,,,1152,3,1019,,,,,,,,,,,,,,,,,,,,,,1035,1237,10090,15,1,1,2,2,,,1,,,,,,,,,,,被泡泡包裹，我感觉轻飘飘的,damagebuff_wither,1,,,BUFF_POP,0,buff.buff_pop,,0,,,,,,,
42003,泡泡3级,3,2,,,,,1019,,,,,,,,,,,,,,,,,,,,,,1035,1237,10090,2,1,1,2,2,,,,,,,,,,,,,,被泡泡包裹，我感觉轻飘飘的,damagebuff_wither,1,,,BUFF_POP,0,buff.buff_pop,,0,,,,,,,
43001,弹起1级,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1067,,,1,1,1,2,2,,,,,,,,,,,,,,弹起！,,0,,,,,,,0,,,,,,,
43002,游戏版本过低,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
43003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
44001,蜂毒1级,1,10,1,DamageBuff,1150,1,1015,100702|40,1008,10|5|101005,,,,,,,,,,,,,,,,,,,1035,1236,10095,10,1,1,2,2,,,1,SCRIPT_VAR,4,SCRIPT_VAR,5,,,,,,,持续中毒，头也肿大了,damagebuff_wither,1,3,25467,BUFF_POISON_1,0,buff.buff_wither_1,,0,,,160,,,,
44002,游戏版本过低,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
44003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
45001,冰冻1级,1,1.5,,,1150,1,1001,100101|-70,,,,,,,,,,,,,,,,,,,,,1055,1233,10086,1.5,1,1,2,2,,,1,MOVE_SPEED,-0.7,,,,,,,,,寒冷会使你移动缓慢。,freeze,1,,,BUFF_FREEZE,,buff.buff_freeze,,0,,,,,,,
45002,冰冻2级,1,3,,,1150,1,1001,100101|-70,,,,,,,,,,,,,,,,,,,,,1055,1233,10086,3,1,1,2,2,,,1,MOVE_SPEED,-0.7,,,,,,,,,寒冷会使你移动缓慢。,freeze,1,,,BUFF_FREEZE,,buff.buff_freeze,,0,,,,,,,
45003,冰冻3级,1,3,,,,,1001,100101|-33,,,,,,,,,,,,,,,,,,,,,1055,1233,10086,3,1,1,2,2,,,,MOVE_SPEED,-0.33,,,,,,,,,寒冷会使你移动缓慢。,freeze,1,,,BUFF_FREEZE,,buff.buff_freeze,,0,,,,,,,
46001,禁锢1级,1,199980,1,DamageBuff,1150,1,1020,,1008,1|15|101006,,,,,,,,,,,,,,,,,,,1028,1227,10086,0,1,1,2,2,,,1,SCRIPT_VAR,5,SCRIPT_VAR,15,,,,,,,被控制住了，持续受到伤害。,clasp,1,,,BUFF_CLASP,,buff.buff_freeze,,0,,,,,,,
46002,游戏版本过低,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
46003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
47001,点燃,1,6,1,DamageBuff,,,1008,10|20|101004,,,,,,,,,,,,,,,,,,,,,1032,1232,10668,6,1,1,2,2,,,,SCRIPT_VAR,3,SCRIPT_VAR,20,,,,,,,被点燃了，持续受到伤害。,damagebuff_fire,1,1,25469,BUFF_FIRE_1,1,fire.fire,,0,,,,,,,
47002,点燃,1,6,1,DamageBuff,,,1008,10|5|101004,,,,,,,,,,,,,,,,,,,,,1032,1232,10668,6,1,1,2,2,,,,SCRIPT_VAR,3,SCRIPT_VAR,5,,,,,,,被点燃了，持续受到伤害。,damagebuff_fire,1,1,25469,BUFF_FIRE_1,1,fire.fire,,0,,,,,,,
47003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
48001,游戏版本过低,1,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
48002,游戏版本过低,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
48003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
49001,游戏版本过低,1,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
49002,游戏版本过低,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
49003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
50001,快速生命恢复1级,1,5,1,AddHPBuff,1151,2,1007,10|3,,,,,,,,,,,,,,,,,,,,,1001,1234,10087,5,1,1,2,2,,,1,SCRIPT_VAR,3,,,,,,,,,5秒内恢复15点生命值。,addhpbuff_add,0,,,BUFF_HP_1,0,buff.buff_hp_1,,0,,,,,,,
50002,快速生命恢复2级,2,5,1,AddHPBuff,1151,2,1007,10|6,,,,,,,,,,,,,,,,,,,,,1001,1234,10087,5,1,1,2,2,,,1,SCRIPT_VAR,6,,,,,,,,,5秒内恢复30点生命值。,addhpbuff_add,0,,,BUFF_HP_1,0,buff.buff_hp_1,,0,,,,,,,
50003,快速生命恢复3级,3,5,1,AddHPBuff,1151,2,1007,10|12,,,,,,,,,,,,,,,,,,,,,1001,1234,10087,5,1,1,2,2,,,1,SCRIPT_VAR,8,,,,,,,,,5秒内恢复40点生命值。,addhpbuff_add,0,,,BUFF_HP_1,0,buff.buff_hp_1,,0,,,,,,,
50004,快速生命恢复4级,4,5,1,AddHPBuff,1151,2,1007,10|10,,,,,,,,,,,,,,,,,,,,,1001,1234,10087,5,1,1,2,2,,,1,SCRIPT_VAR,10,,,,,,,,,5秒内恢复50点生命值。,addhpbuff_add,0,,,BUFF_HP_1,0,buff.buff_hp_1,,0,,,,,,,
51001,快速生命恢复5级,1,30,2,AddHPBuff,,,1007,10|5,,,,,,,,,,,,,,,,,,,,,1001,1234,10087,30,1,1,2,2,,,,SCRIPT_VAR,5,,,,,,,,,30秒内恢复75点生命值。,addhpbuff_add,0,,,BUFF_HP_1,0,buff.buff_hp_1,,0,,,,,,,
51002,快速生命恢复2级,2,12,1,AddHPBuff,,,1007,10|5,,,,,,,,,,,,,,,,,,,,,1001,1234,10087,12,1,1,2,2,,,,SCRIPT_VAR,5,,,,,,,,,12秒内恢复60点生命值。,addhpbuff_add,0,,,BUFF_HP_1,0,buff.buff_hp_1,,0,,,,,,,
52001,变异红菇的奇妙力量1级,1,11,1,AddHPBuff,,,1007,10|5,,,,,,,,,,,,,,,,,,,,,1001,1234,10087,11,1,1,2,2,,,,SCRIPT_VAR,5,,,,,,,,,每秒恢复5点生命值,addhpbuff_add,0,,,BUFF_HP_1,0,buff.buff_hp_1,,0,,,,,,,
52002,变异红菇的奇妙力量2级,2,11,1,DamageBuff,,,1008,10|5|101005,,,,,,,,,,,,,,,,,,,,,1035,1236,10095,11,1,1,2,2,,,,SCRIPT_VAR,4,SCRIPT_VAR,5,,,,,,,每秒损失5点生命值,damagebuff_wither,0,,,BUFF_POISON_1,0,buff.buff_wither_1,,0,,,,,,,
52003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,,unknown,0,,,,,,,0,,,,,,,
53001,变异蘑菇的奇妙力量1级,1,60,,,,,1002,25,,,,,,,,,,,,,,,,,,,,,1052,1238,10094,60,1,1,2,2,,,,DIG_SPEED,0.25,,,,,,,,,挖掘能力提升25%,dig_speed_add,0,,,BUFF_SPEED_1,0,buff.buff_speed_1,,0,,,,,,,
53002,变异蘑菇的奇妙力量2级,2,60,,,,,1002,-25,,,,,,,,,,,,,,,,,,,,,1053,1225,10078,60,1,1,2,2,,,,DIG_SPEED,-0.25,,,,,,,,,挖掘能力降低了25%,dig_speed_reduce,1,,,BUFF_ATTACK_2,0,buff.buff_attack_1,,0,,,,,,,
53003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
54001,毒素免疫,1,180,,,,,1050,3,,,,,,,,,,,,,,,,,,,,,1104,,,180,1,1,2,2,,,,,,,,,,,,,,百毒不侵！,unknown,0,,,,,,,0,,,,,,,
54002,游戏版本过低,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
54003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
55001,解毒包！,1,3,,,,,1008,10|5|101007 ,,,,,,,,,,,,,,,,,,,,,1076,1236,,10,1,1,2,2,,,,,,,,,,,,,,这难道是……杀虫剂！,unknown,1,,,,,,,0,,,,,,,
55002,游戏版本过低,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
55003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
56001,游戏版本过低,1,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
56002,游戏版本过低,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
